 ArnimBettinavon_DEU015_1 ArnimBettinavon_DEU022_1 AstonLouise_DEU010_1 AstonLouise_DEU012_1 AuerbachBerthold_DEU002_1 AuerbachBerthold_DEU008_1 AuerbachBerthold_DEU013_1 BahrHermann_DEU055_1 BallHugo_DEU095_1 BleibtreuKarl_DEU061_1 BoyEdIda_DEU074_1 BraunLily_DEU082_1 ChristenAda_DEU064_1 ChristLena_DEU093_1 ChristLena_DEU099_1 ConradiHermann_DEU056_1 DahnFelix_DEU044_1 DohmHedwig_DEU057_1 DohmHedwig_DEU063_1 DohmHedwig_DEU073_1 EbnerEschenbachMarievon_DEU027_1 EbnerEschenbachMarievon_DEU058_1 EbnerEschenbachMarievon_DEU100_1 EssigHermann_DEU078_1 FontaneTheodor_DEU035_1 FontaneTheodor_DEU046_1 FontaneTheodor_DEU051_1 FontaneTheodor_DEU053_1 FontaneTheodor_DEU059_1 FontaneTheodor_DEU066_1 FontaneTheodor_DEU070_1 FontaneTheodor_DEU071_1 FontaneTheodor_DEU088_1 FranooisLouisevon_DEU028_1 FranooisLouisevon_DEU033_1 FranooisLouisevon_DEU047_1 FreytagGustav_DEU011_1 FreytagGustav_DEU030_1 FreytagGustav_DEU048_1 GanghoferLudwig_DEU067_1 GanghoferLudwig_DEU085_1 GerstnckerFriedrich_DEU016_1 GutzkowKarl_DEU024_1 HahnHahnIdaGrnfinvon_DEU020_1 HeykingElisabethvon_DEU087_1 JanitschekMaria_DEU060_1 JanitschekMaria_DEU075_1 KellerGottfried_DEU036_1 KeyserlingEduardvon_DEU080_1 KeyserlingEduardvon_DEU097_1 KretzerMax_DEU069_1 KrnbergerFerdinand_DEU025_1 KurzHermann_DEU005_1 LewaldFanny_DEU021_1 MarlittEugenie_DEU037_1 MarlittEugenie_DEU040_1 MarlittEugenie_DEU041_1 MayKarl_DEU054_1 MayKarl_DEU081_1 MayKarl_DEU084_1 MeyerConradFerdinand_DEU032_1 MeyrinkGustav_DEU096_1 MeysenbugMalwidaFreiinvon_DEU086_1 MllhausenBalduin_DEU042_1 OttoLouise_DEU004_1 PolenzWilhelmvon_DEU062_1 RaabeWilhelm_DEU029_1 RaabeWilhelm_DEU031_1 RaabeWilhelm_DEU038_1 RaabeWilhelm_DEU049_1 RaabeWilhelm_DEU050_1 RaabeWilhelm_DEU072_1 ReventlowFranziskaGrnfinzu_DEU077_1 ReventlowFranziskaGrnfinzu_DEU090_1 ReventlowFranziskaGrnfinzu_DEU098_1 RilkeRainerMaria_DEU079_1 RuppiusOtto_DEU003_1 RuppiusOtto_DEU009_1 SackGustav_DEU083_1 SchnitzlerArthur_DEU091_1 SchnitzlerArthur_DEU094_1 SchopenhauerAdele_DEU018_1 SpielhagenFriedrich_DEU039_1 SpielhagenFriedrich_DEU043_1 SpielhagenFriedrich_DEU065_1 SpittelerCarl_DEU068_1 SpyriJohanna_DEU052_1 StifterAdalbert_DEU007_1 StifterAdalbert_DEU017_1 StifterAdalbert_DEU019_1 StifterAdalbert_DEU023_1 StifterAdalbert_DEU045_1 SudermannHermann_DEU092_1 TieckLudwig_DEU014_1 VischerFriedrichTheodor_DEU026_1 VischerFriedrichTheodor_DEU034_1 WassermannJakob_DEU076_1 WeerthGeorg_DEU006_1 WilleBruno_DEU089_1 WillkommErnstAdolf_DEU001_1
ArnimBettinavon_DEU015_1 0.0 1.891442241753023 3.1629623225808 3.222155979780421 2.890471379470319 2.745334563173744 2.568742768699456 2.7420359555102864 3.2420205170675405 3.1444455090619 3.19435025184718 3.38754087502533 3.10963535537527 3.1848982823651104 3.0757507535384736 3.127352461442412 3.214124900526833 2.8605840816076133 2.999683430866041 2.785150644188769 3.3034755882793396 3.11853710176338 3.0648548062166103 2.932407598744607 3.27290165084894 2.8302020527140117 3.14195624406592 3.0695721834805987 2.940547286430588 2.9662517549543157 3.141900653858772 3.2092215619692297 2.63637620857678 3.3504037969144704 3.32179626953224 3.26729745651527 3.1092514831693188 3.133653426303149 3.016767374994635 3.17314423384507 3.2289972931728936 3.3021644157440604 3.3140743506670702 2.646809867349826 2.992932634641903 3.028463641343004 2.972323960294206 3.11414798854368 3.09017849432192 3.0396122101766982 3.23800286546858 3.15382740888385 2.729957710760301 2.871388382250335 3.25661315556762 3.34164466399232 3.35852343452836 2.562145023593508 2.731180702603922 2.763842210282254 3.40181172016498 2.872551330484296 3.0126298956260147 3.1809590821024605 2.914401054889625 3.19487387270423 3.023750565629617 3.16675245717988 3.25751573068864 3.3516037114510597 3.2060887625450905 3.192288490670763 2.59140154247748 2.702179123358266 2.782532906893311 2.579776433439556 3.23759263425967 3.19960553083496 2.8818611708335857 3.2795416017102106 3.11334410080506 3.21446713155219 3.07098348677097 3.0190901468273124 3.105088725342042 3.17862664962908 2.8338831946002387 2.933850374982353 2.94764383475593 2.919817782431659 2.770994637512068 3.1383321028535205 2.695711087818776 3.020927674785729 2.894275037063759 3.145576950974323 3.017058782191504 3.14455258005097 2.881888921520944 3.31820383430661
ArnimBettinavon_DEU022_1 1.891442241753023 0.0 3.1469913653347197 3.191965316223389 2.874564849131661 2.777717401560131 2.6099133452183088 2.8177874221378767 3.3478290250252103 3.161495714107086 3.19617846665862 3.4863772018570103 3.16980155579809 3.198943133115529 3.1585788123235403 3.076520954788654 3.2480442951573467 2.816206622153606 3.016920176572825 2.8145107437209558 3.3002079524973906 3.0614002996733 3.088773412301993 2.998118375633836 3.27843030638296 3.0003593373223874 3.17148649426561 3.0438270091610424 2.97377445299601 2.93566017922626 3.10485641636813 3.2092459777031097 2.683053769559246 3.2792231119027555 3.28856657229034 3.34101811747073 3.13786902158693 3.10424144844101 3.14601794309875 3.34459512941681 3.4377886275218197 3.2971491267184705 3.24959856509357 2.684795887060308 2.8287699570576033 3.056945044851838 2.9988826851205728 3.07501183568671 3.23409818952485 3.12233667395998 3.168261815687 3.1225872870847398 2.7132009368485663 2.726598942184285 3.23839924580425 3.28214980013996 3.33154921652477 2.566942887765559 2.669572975763246 2.75600574112693 3.4042620596187394 2.9785996097190153 2.954191794219727 3.1144998581694168 2.8903286711031297 3.1581079723300496 2.871535796198375 3.0124447533483707 3.22738973205616 3.240476976785256 3.124000226033149 3.114905685822671 2.600287540061334 2.524932006119711 2.750728161126482 2.624660617183272 3.1935311093040597 3.1256913935007398 2.9201976434384562 3.2813924044390803 3.12757728114315 3.0856988410726 2.966588960805539 2.937492455261674 2.949467367529067 3.3055428796347495 2.903266462315054 2.866829916275769 2.965087914904603 2.8214778299629346 2.719909656061768 3.21840192544681 2.850884226852571 2.9717274378075658 2.892110846377794 3.17958375860087 3.1481878428969 3.022451380082967 2.970748599999461 3.231410428457694
AstonLouise_DEU010_1 3.1629623225808 3.1469913653347197 0.0 2.690921428289289 3.2231056162524103 3.24776498738126 3.31085707999007 3.1917180114243204 3.1951899730933997 2.97623134992539 2.87154607589319 2.740891820074848 3.13093513803024 3.33412100102646 3.34833065818182 3.06595761763114 2.941397027940836 3.1756496669402603 2.7997172673376762 3.18504157634292 2.78947021949987 2.7275902498991806 2.948360033760867 3.05760483634589 3.1219505822678197 3.213902946310773 3.2574082752387397 3.17294388381978 3.26680494503971 3.3713906550686596 3.14099945994465 3.2002928059409603 3.36179520512878 2.8913149316110203 3.1968966062785205 2.991240289697433 2.8879786874938693 2.934993947817196 2.987121499786355 2.950014803436655 3.12267591127685 2.8966280996079963 2.9975037305323617 2.816332587279876 3.1514916171215903 2.9216225987885647 2.855374848099758 2.9842427411553443 3.042212176286876 3.0855636831794504 2.8178604141560033 3.073789699868577 2.902555028249986 2.70419586978004 2.8672894525283397 2.709208354877926 2.76601372762989 2.850762881342865 2.9004091941911563 2.945204129050226 2.785978688970424 2.8083218285297242 2.743249707542093 2.584890892885614 2.873179990627066 3.16621459058286 3.2995567700143096 3.18129681368221 3.17252530189217 3.101267341425417 3.2081683855943 3.27956359666525 3.21643692028323 3.28390521360427 3.12962850263667 3.18945825146502 2.65813454588556 2.626681887037435 3.3050808625226997 2.65992969386979 2.8163899044798724 2.820713062266104 2.907570453983883 2.809241903213975 2.994804757206193 2.8884455949783616 3.31361080831463 3.16091433771506 3.22976485091031 3.0178523277173053 3.1484847862647802 3.092849406274948 3.39359415372565 2.931242051861198 3.1957574849266397 3.077894937744749 2.855227141614427 2.908348779367428 3.16458474278899 2.695823424988864
AstonLouise_DEU012_1 3.222155979780421 3.191965316223389 2.690921428289289 0.0 3.29851869051295 3.3031470897804502 3.62652154287654 3.08671088828261 3.18829024310901 2.631738702198126 2.714990884724425 2.610542011306536 3.1546509422899502 3.3705753136979197 3.24510074207067 3.079808926298707 2.7258446798162903 2.9336883594988663 2.9350224631940556 2.835645517238624 2.750582126513164 2.907108822280883 2.8117171308727027 3.162226515946707 3.042974709822503 3.3220687937398 3.46535255706494 3.30988387993033 3.55685589815871 3.5155930318595203 3.0707600753716897 3.22253903579455 3.65207406830691 2.5272591262140214 2.7062280481134753 2.671972977829447 2.890292532046257 2.778153940196439 2.775888777946556 2.921067858334032 2.770950390166425 3.2100128261736103 2.702650548439263 2.7595630933929822 2.84383741318072 3.0224247245105778 3.0726143542461704 2.7956738488341353 3.20481772732822 3.2360359851930696 2.815416482431207 2.6328187146724558 3.308728201018971 2.659035284143449 2.897485477404525 2.6864000839577873 2.59843214200518 3.3232934665902 3.3431715125977104 3.3307149577762 2.537190742195576 3.1996180167132504 2.632076056901022 2.770802348800585 3.0589239241211357 2.996915216582437 3.3851971754586403 3.067442669700994 2.769876115698085 2.690540659374855 2.971862806142825 3.2049031182518295 3.4000718388071394 3.4543340008295402 3.5024843748831302 3.20522505484466 3.14766550669784 3.14856682087935 2.745174468128883 2.8978632664791153 3.34737971296817 2.599867578354854 2.850203513793242 3.040334253943981 2.970937378693055 3.058465025325084 3.5340860197649704 3.2594415878904295 3.01762215548269 3.22828983225723 3.003321685629417 3.0393696787595013 3.46835621066103 2.7015118514256042 2.9191497743637678 2.772096161193169 2.9896683807210582 2.8712073355108103 2.97474668374617 2.618453144279462
AuerbachBerthold_DEU002_1 2.890471379470319 2.874564849131661 3.2231056162524103 3.29851869051295 0.0 2.530989135790724 2.329262289740483 3.049641052082114 3.1331462203402305 3.1854613595074195 3.027092851612522 3.31116877571694 2.8580488213450908 2.816075193079165 2.808635667965519 3.180442375568576 3.1661166925959705 3.147926710578664 3.082966553710811 3.18438311326845 3.123083462848821 3.2168675523612302 3.108851317160121 2.791281518458627 3.17183025708188 3.085607767986318 3.001374733586693 3.0880206134934802 3.09072413056169 3.0809056275433404 3.22182175446466 3.2005342100517 2.946141030718306 3.20430809693184 2.998617564758173 3.106993595877182 2.948094577626308 2.89723705554412 2.8735120887838432 3.063336449541035 3.064932043021833 3.0214134473606293 2.90726841220137 3.0923398091948284 3.1299255992094004 3.20656602903719 3.1788138802989 3.0175571245875297 3.1820947459080005 2.965959651463133 2.865475355204351 3.07918705321927 2.760711796825111 3.0002450752479612 3.0961859098889577 3.1166840641832203 3.13866926603189 2.995653001079848 3.0580848469223003 3.064602688474427 3.13779840826478 3.1885001183550097 3.11388213290625 3.22707808053247 2.8032189848568247 2.756117920752966 2.9500002593661083 3.025598549512853 2.9515944239100977 3.1107277830642603 3.04261231746543 3.0610662881495356 2.913046420853712 2.997065642744624 2.966205695591405 3.0480725687003423 2.992582579822831 3.03871549117462 3.0861181842116947 3.21985681171118 3.1718206606346797 2.972363478050324 3.13084375542085 3.13354463412698 3.1226985296842296 3.104535335186834 2.789054206725145 2.8296581585413048 2.98505284502716 2.981823865020612 3.0976666414414677 2.960784662831455 2.833929536679826 3.1038672284193503 3.09583834706743 3.0029926415472032 2.932049464156782 2.886102779411782 2.984053134535301 3.12489704752579
AuerbachBerthold_DEU008_1 2.745334563173744 2.777717401560131 3.24776498738126 3.3031470897804502 2.530989135790724 0.0 2.35523526919341 3.0157718590328866 3.0106379572373747 3.11423096940824 3.2014312448597297 3.3741850614439395 2.766883638543488 2.9170345763829957 2.9110701061555737 2.933393944960916 3.16434012435439 3.1119599808918497 3.148949701667 3.10316105491325 3.132752752939402 3.0885814992321716 3.1413703843463496 2.879115919505738 3.13091223522126 3.09718611712888 2.907642557950968 3.0764640588230012 2.9624654082408393 2.785645795155227 3.2075217728076297 3.07907455114674 2.731000688568918 3.3511751884486696 3.11294472114624 3.31295237106361 3.0651819375772202 3.0178787727284533 3.11350748796899 3.093446525218538 3.103626097248421 2.757614763817494 3.15798819804213 3.22502921582301 3.101264577791635 2.931832464876881 2.9471106077630678 3.1961983469299895 2.9327355566767723 2.9344119904985737 2.983930399634115 3.0503142107558032 2.637376126613032 3.17218256719808 3.2370575703816797 3.2568249351630802 3.2868236193579 2.797493251701653 2.857473916843126 2.912181865231256 3.37236127263324 3.16231688108026 3.15505158844432 3.25775891586669 3.010376172187687 2.8165474313774768 2.971146295101806 3.152160173482974 3.16788288290144 3.20753772813514 3.2028204055663303 3.1158639075307932 2.8671198010073278 2.743439108383675 2.814873913993479 3.039447606058701 3.051892270978383 3.033636541513831 3.34698953356363 3.30627742853263 2.991927546667511 3.1452150621824604 3.17335831224798 3.13381681811049 3.03279080294305 2.92032258716522 2.712215912554011 2.934411599937527 3.08324660559809 2.955771362704822 3.092413912740424 2.9931325338234442 2.771412450433648 3.0914002959483806 2.874216135986989 3.05649615670009 3.04160991048746 2.9447390974308068 2.985485616285327 3.21915592879352
AuerbachBerthold_DEU013_1 2.568742768699456 2.6099133452183088 3.31085707999007 3.62652154287654 2.329262289740483 2.35523526919341 0.0 2.847337756866617 3.017871314656297 3.34783653559342 3.2349547885037415 3.4724729827755803 2.6157617811725458 2.7035338297800537 2.796508788846822 3.04400182494601 3.316772437 3.1909234254155194 3.13789588401006 3.134456480619191 3.3290360003626605 3.2041287180772704 3.2326741542043 2.9068296414896713 3.21457927773446 2.572291396794398 2.737236831038468 2.858717616726588 2.566966490617495 2.6817007411894767 3.1605641038139103 3.0809734617153985 2.3544396346110243 3.55366470879841 3.3483866537593796 3.46580068281397 3.17628116239187 3.22388799105196 3.14256886719226 3.163903272145548 3.2798480277128137 2.941663063350827 3.40995563628835 3.15421134133723 3.24916517716671 3.0689123726215977 2.974656247342026 3.2651645570546597 2.9819013197116 2.782522869443467 3.20284338341332 3.44034575099701 2.6650727339886764 3.17941344016712 3.17649430846621 3.30040314273138 3.3856233035473298 2.810184955341685 2.857650568997735 2.844300068075518 3.58278277055398 3.047673799908671 3.1715220872344108 3.3324981684485904 2.958783445446182 3.19179823090208 2.852471499646138 3.03372004211267 3.2963742436817802 3.4294754935752803 3.216404345579307 3.039845405737026 2.45888281273242 2.703725253891297 2.605454926549112 2.81561119184149 3.040953283820948 3.0694563519494302 3.2323578543517506 3.3606432637762698 2.964400503360378 3.35183984162928 3.22779779261674 3.12917352754907 3.2569970887680597 2.971185826698494 2.356365515646924 2.845618797855903 2.844708084204058 2.919228299788651 2.8951516291338786 2.988895643138629 2.435178517709474 3.1304239586236697 3.097661639293328 3.30545713784393 3.1824356911219898 3.10744334499448 3.102394803501353 3.42476221870787
BahrHermann_DEU055_1 2.7420359555102864 2.8177874221378767 3.1917180114243204 3.08671088828261 3.049641052082114 3.0157718590328866 2.847337756866617 0.0 3.2729417298725703 2.9484610151053308 3.2017892140847506 3.1803329587102254 2.99372640192671 3.1221301723657042 3.1530606536531 2.649396430312808 3.43332024895603 2.7501697026531 2.844845483425443 2.763486394775843 3.255891164205039 2.948673663777118 3.20384594327303 2.9422482354491 3.1804705415497896 2.9803278580588692 2.9750939058985857 2.908854755085308 2.728770270536609 2.714781095881528 3.0999020972724995 2.968090180085132 2.605198082758748 3.1696309799199396 3.0796803838071547 3.1695047455096104 3.42385084150685 3.4721485237422 3.42147379641796 3.4137241793804503 3.39392105825454 3.22990801157726 3.2467676009765 2.9132096415934363 2.86434002517747 3.1696957734009805 3.0854449950007727 2.911165376239181 3.2201633468724005 3.1809137244233296 3.229400736267639 3.09761162190497 3.1316892427614693 2.871195255079469 3.33164325965901 3.3399126536743897 3.3687743554928904 2.878194768222894 2.806557529469143 2.8859146948508183 3.41182754267567 3.1386669207419198 3.1095572517274297 3.06117807642044 2.9593886560531937 3.10518296798689 2.952212148096149 3.0993680947553903 3.2309181078197 3.32473182356503 3.2234178105066302 3.06315143569963 2.575445445898488 2.3813552076934563 2.738406630719025 2.464712742026364 3.3674116641003105 3.34190615888916 2.88359882487011 2.9636491828182643 2.89554073988976 3.08395145585974 2.9645012259806576 2.985595971317279 2.7893266792882048 2.923544297088063 3.0082560971965853 2.9738358196018337 2.921868582924753 3.0501828944527114 2.734444537649681 3.49520183270565 2.768296783513298 2.982454365719092 2.8086972140734403 3.1125321648859803 3.1747386640907203 2.901745795258309 3.26809021471752 3.24903110086442
BallHugo_DEU095_1 3.2420205170675405 3.3478290250252103 3.1951899730933997 3.18829024310901 3.1331462203402305 3.0106379572373747 3.017871314656297 3.2729417298725703 0.0 2.808817047273129 2.927047420048685 2.8047150173404933 2.850030395041165 2.5383129892495573 2.771992564981825 2.778095899147934 2.522645424591634 2.955213220763028 2.905747714718984 3.0856897789126503 2.742221750711182 2.885814312663697 2.7997103617154693 2.830281409013688 2.8753744637988 2.961032676282764 2.796847062121784 3.15480973850719 2.9112035464390713 2.964863070296536 3.07798244604663 2.9576271574334037 2.954573939484132 3.1590005535957 3.0134709454003548 2.772921511277329 2.838079306660284 2.921210472640895 2.926088592478552 2.429931244341126 2.504497727038256 2.9084462254047603 2.9972421803666407 3.20935704828621 3.5024562186174 2.6885081145517544 2.715432215065837 3.46250185570309 2.308943777208406 2.618244492345418 3.177404703075147 2.984253652105454 3.119086606912853 3.47648042037629 2.9075365667428894 3.3020714516119103 3.11563501170086 3.31443148788415 3.2839536364398505 3.24794235977027 3.020650154515084 2.818576403504421 3.2010352629766103 3.4790026047422398 3.37190002122597 2.774295341336776 3.197172276383924 3.16887611743585 3.056687823728846 2.899609819192725 3.0293724456307998 2.958517095776825 3.22834898015065 3.32248534184886 3.059445002671512 3.3211000968769895 3.19571114621697 3.1793903655464 3.1506707831553804 3.12615499360186 2.89390799816391 3.18886816680177 3.3923762024412896 3.45900925865335 3.267644212765688 2.625060480745966 2.832189215724969 3.5449547876806804 3.27106303841374 3.5310454843695105 3.45882708510572 2.868550208419514 2.959190958234169 3.3007309983631696 2.868596423580178 2.9688027935726637 2.818464890807621 3.3889710387362904 2.780792320943714 3.07737244050983
BleibtreuKarl_DEU061_1 3.1444455090619 3.161495714107086 2.97623134992539 2.631738702198126 3.1854613595074195 3.11423096940824 3.34783653559342 2.9484610151053308 2.808817047273129 0.0 2.8748661808465727 2.69044438074015 3.1923416312729165 2.948921902208724 2.967008787579433 2.809772627656308 2.654623230108567 2.76144427669516 2.909209831639315 2.815580819315078 2.904011854463514 3.003442160216574 2.955592173865268 2.949244185847189 3.0111022630091 3.37845091615794 3.1933969468139303 3.2457725841469798 3.21406540375087 3.029459997500016 3.079854600784164 2.996306606430765 3.2545743914140703 2.7927901052990958 2.79114164768854 2.7818811328793407 3.1505089187149196 3.0452110251832236 3.016517022964498 2.9723916329306332 2.7539359553799283 3.054963923578321 2.686514525146784 2.783621700767716 2.828588086393812 2.9959987503300862 3.039854467078067 2.863678770925362 3.018818214354024 3.0794278690592236 2.997669896451134 2.523746082798091 3.3315907360548502 3.1906183638458563 3.044167202146906 3.009851581183182 2.877939738778101 3.267941027093081 3.307298786679658 3.32754412112557 2.618317568821952 3.09019073873871 2.981685275677341 2.918393748420944 3.1409838075569727 2.940180267776324 3.19199541521715 3.032058337999626 2.980004222635598 2.734146479387911 2.9461554555552008 3.0385224851298984 3.33983221096118 3.117784303469843 3.106304009263881 3.4497156419930395 3.2971589988565597 3.32210183617326 2.748871591845627 3.015936274253732 3.1610221263549603 2.723997488879219 3.13997835248757 3.34700417068885 3.185943663836469 2.773034031331825 3.3977850715592597 3.5139048965124404 3.26385377205788 3.51843136333651 3.1803642639465 3.2068199115426412 3.284071291263598 2.940064223701667 2.537032625424136 2.6940971402921923 3.0105147077499828 2.985640119693099 2.7752375607677027 2.665886798754928
