 ArnimBettinavon_DEU015_1 ArnimBettinavon_DEU022_1 AstonLouise_DEU010_1 AstonLouise_DEU012_1 AuerbachBerthold_DEU002_1 AuerbachBerthold_DEU008_1 AuerbachBerthold_DEU013_1 BahrHermann_DEU055_1 BallHugo_DEU095_1 BleibtreuKarl_DEU061_1 BoyEdIda_DEU074_1 BraunLily_DEU082_1 ChristenAda_DEU064_1 ChristLena_DEU093_1 ChristLena_DEU099_1 ConradiHermann_DEU056_1 DahnFelix_DEU044_1 DohmHedwig_DEU057_1 DohmHedwig_DEU063_1 DohmHedwig_DEU073_1 EbnerEschenbachMarievon_DEU027_1 EbnerEschenbachMarievon_DEU058_1 EbnerEschenbachMarievon_DEU100_1 EssigHermann_DEU078_1 FontaneTheodor_DEU035_1 FontaneTheodor_DEU046_1 FontaneTheodor_DEU051_1 FontaneTheodor_DEU053_1 FontaneTheodor_DEU059_1 FontaneTheodor_DEU066_1 FontaneTheodor_DEU070_1 FontaneTheodor_DEU071_1 FontaneTheodor_DEU088_1 FranooisLouisevon_DEU028_1 FranooisLouisevon_DEU033_1 FranooisLouisevon_DEU047_1 FreytagGustav_DEU011_1 FreytagGustav_DEU030_1 FreytagGustav_DEU048_1 GanghoferLudwig_DEU067_1 GanghoferLudwig_DEU085_1 GerstnckerFriedrich_DEU016_1 GutzkowKarl_DEU024_1 HahnHahnIdaGrnfinvon_DEU020_1 HeykingElisabethvon_DEU087_1 JanitschekMaria_DEU060_1 JanitschekMaria_DEU075_1 KellerGottfried_DEU036_1 KeyserlingEduardvon_DEU080_1 KeyserlingEduardvon_DEU097_1 KretzerMax_DEU069_1 KrnbergerFerdinand_DEU025_1 KurzHermann_DEU005_1 LewaldFanny_DEU021_1 MarlittEugenie_DEU037_1 MarlittEugenie_DEU040_1 MarlittEugenie_DEU041_1 MayKarl_DEU054_1 MayKarl_DEU081_1 MayKarl_DEU084_1 MeyerConradFerdinand_DEU032_1 MeyrinkGustav_DEU096_1 MeysenbugMalwidaFreiinvon_DEU086_1 MllhausenBalduin_DEU042_1 OttoLouise_DEU004_1 PolenzWilhelmvon_DEU062_1 RaabeWilhelm_DEU029_1 RaabeWilhelm_DEU031_1 RaabeWilhelm_DEU038_1 RaabeWilhelm_DEU049_1 RaabeWilhelm_DEU050_1 RaabeWilhelm_DEU072_1 ReventlowFranziskaGrnfinzu_DEU077_1 ReventlowFranziskaGrnfinzu_DEU090_1 ReventlowFranziskaGrnfinzu_DEU098_1 RilkeRainerMaria_DEU079_1 RuppiusOtto_DEU003_1 RuppiusOtto_DEU009_1 SackGustav_DEU083_1 SchnitzlerArthur_DEU091_1 SchnitzlerArthur_DEU094_1 SchopenhauerAdele_DEU018_1 SpielhagenFriedrich_DEU039_1 SpielhagenFriedrich_DEU043_1 SpielhagenFriedrich_DEU065_1 SpittelerCarl_DEU068_1 SpyriJohanna_DEU052_1 StifterAdalbert_DEU007_1 StifterAdalbert_DEU017_1 StifterAdalbert_DEU019_1 StifterAdalbert_DEU023_1 StifterAdalbert_DEU045_1 SudermannHermann_DEU092_1 TieckLudwig_DEU014_1 VischerFriedrichTheodor_DEU026_1 VischerFriedrichTheodor_DEU034_1 WassermannJakob_DEU076_1 WeerthGeorg_DEU006_1 WilleBruno_DEU089_1 WillkommErnstAdolf_DEU001_1
ArnimBettinavon_DEU015_1 0.0 1.365728610245509 2.187702399070213 1.8924983044109895 2.0681862569171634 1.9013791285916892 2.0106230950567707 1.9360491923272247 2.151345042996446 1.7353469714874254 2.072498175956078 2.091154545524292 2.158260601453578 2.0674738170031897 2.020736995974045 2.034318051011773 1.9690556905567245 1.8255739357144165 2.0178574861653074 1.851952445532502 2.264845633162065 2.217656351628418 2.114634839234476 2.1737376322511848 2.1937743019876033 2.066487526821789 2.1271369332575705 2.111510768906011 2.078260680233514 2.0970517478279644 2.1092970844038987 2.1691382683422997 1.9827969131867316 2.0476696545368602 1.9784832561585466 2.0165258385815146 2.287891632933067 2.197791059346038 2.1334046692552304 2.1450241997097654 1.893652198032812 2.1637074290456235 1.9852835071530541 1.7801226338866458 2.011398433208599 2.252771093880729 2.1863726577646077 2.113563105075394 2.11073618942606 2.1012993674881693 2.2948199501603166 2.030178098608617 2.0183087772943713 2.1026824782586644 2.1243489250939898 2.1790596674523077 2.1012261325721777 2.105948514595637 2.258606602022653 2.1773660358809845 2.0926318107316693 2.07719746707646 2.009189940305748 2.1488308752989935 2.162140042346818 2.2998302848030674 2.0478054774138066 2.147764202754306 2.016500994865781 1.9830644846285639 2.0712193271358226 2.045220868956443 2.091907813007005 2.1017391454699865 2.1192507781241283 2.2267293656314124 2.345316022612702 2.3734931652576137 1.7003313740399462 2.2169284578677377 2.1580933434022818 2.0895206142419407 2.0865869422309413 2.2000326733597495 2.217461237592594 2.1966343566567947 2.0166845683216463 2.0946004135047858 1.966879742755711 2.1500690083671836 1.9113034778219626 2.199269511353295 2.160921538664699 1.9257475754598692 1.7538922682661082 1.9430576188109472 2.1528503547683266 2.122097934467563 1.916300209368792 2.0497392870360174
ArnimBettinavon_DEU022_1 1.365728610245509 0.0 2.1886159950773982 1.8789929025521248 2.1194762779439644 1.9348940064341613 2.0120400160588776 1.9377525111678864 2.1001200238551654 1.7536481819919603 2.0760746749956116 2.203919180247538 2.205527768655158 1.9847204245652308 2.117293120357902 1.9989036664585844 1.9748352130745834 1.74968471764505 2.0258666378700267 1.8715425919339872 2.231288820548403 2.1519608720142993 2.127709860647986 2.1635238193078665 2.1843948178826076 2.090404756067115 2.1341222404597775 2.0491036618287817 1.9739646334196137 2.0286569946231183 2.0452917969314894 2.1057184908014013 1.9438685370731865 2.055254623061707 1.9850254674754695 2.1037905124060408 2.2042024755461735 2.112011045015262 2.132830763195342 2.177109378766559 2.020453868692969 2.1750375435475564 2.0343129797617054 1.7819089538968675 1.9623885149991653 2.206776279921231 2.1275873057343113 2.1042345879206428 2.1461605454439106 2.1683041415830164 2.308793404908809 2.0394878023853398 2.0137660503788015 2.0004280117510618 2.179388191049594 2.2546132858718533 2.201535536143777 2.0797086559642866 2.170590663278409 2.2092635041953566 2.1704671711089443 2.1754187461157066 2.0041599782199038 2.1181159342321463 2.159043280512658 2.2500368884175153 2.0092612028658374 1.9999852527204904 2.0694790016004228 2.0158524050537787 2.0898400084212083 2.020347732742461 2.068040760538537 1.9338640321322254 2.099614199105754 2.2657469352963098 2.3384420229983336 2.3531671473043607 1.7935565592365457 2.2501611940845563 2.103605517394181 2.116327802237469 2.0645210357718713 2.2015963750023846 2.1981346407311406 2.2181457443747976 2.0180911373241583 2.0874907976090333 2.0441549973720017 2.112147742952034 1.865545738269446 2.2115392120863455 2.2174481280301497 1.9392603087428721 1.8068345809528106 2.123585772321698 2.2354370704598505 2.017259069939782 1.9427293636193572 2.0410900538313417
AstonLouise_DEU010_1 2.187702399070213 2.1886159950773982 0.0 1.738572203151224 2.184360183671593 2.2645042382657516 2.1849075132574525 2.148546206854473 2.228848162710071 1.9690895497434908 1.9178165152288633 1.957161425177657 2.1725119092130383 2.1977792234365223 2.2304442039996486 1.9166394383624379 1.9685225283883132 2.087499361614313 1.9387633045994206 2.1056202459401088 1.844800257110138 1.9837245848275122 2.0602366092410422 2.0584806662994635 2.0933488777900626 2.152389587438072 2.262041763708957 2.0891674009593464 2.17931343895491 2.298808952847881 2.0713801495229194 2.0824427430787633 2.331631387308979 2.03618593392722 2.087799431504873 1.9352074562189192 2.1052794114409217 2.0729680154544576 2.170548778223363 2.1019038420593477 2.2301504030696746 2.0555820875546287 1.9441986119175279 1.9417142401023502 2.2202231527161613 2.1002923366049355 2.1058581894992816 2.0416798513286945 2.0357909258777385 2.0507889308687384 2.090838578806217 1.9135197661254095 2.2630048791626924 1.8165948156439722 2.0081853363538413 1.8353348160654315 1.9025953224740368 2.0308608515457838 2.047694959702161 2.0309691703283086 1.9425143060816545 2.0709086049109287 1.8897332371787323 1.8920947730824293 2.054224804236215 2.193164029877993 2.2793031895075457 2.120361158955854 2.0896545399735875 1.9946291617785799 2.1108722745214066 2.3152182953282057 2.2445285197081586 2.255935008007167 2.090757917673376 2.1776012787284427 1.9294307788291107 1.9564983841217436 2.1437126320576643 2.036236777861889 2.088441782433563 1.7480987713897829 1.8650434798217113 2.0819762331363543 2.001620927119186 2.0349089398121336 2.2274379843124663 2.3151170845187545 2.098536088620374 2.198475352894603 2.020168562998784 2.238386393381614 2.3729917712599615 1.9617863452126039 2.051097939671168 1.9998474588429356 2.0012574409556256 2.020630991841373 2.1969994781604663 2.000314115119705
AstonLouise_DEU012_1 1.8924983044109895 1.8789929025521248 1.738572203151224 0.0 2.115960723052382 2.107513602005743 2.108417771729804 2.096990900838025 2.2581948147513002 1.9344005874884713 1.94143103557805 2.0383865543530777 2.096736619245828 2.184626603103868 2.204661315539809 1.9895136424308772 1.7780187361858804 2.052101770520229 1.9781566240517512 2.1771099276145125 1.9628201986593965 1.9962242780942194 1.9011276632344247 2.079255805289112 2.20324550930635 2.185786206545877 2.2588860948827962 2.0931331938482214 2.197225197060786 2.226719634221609 2.0603624461883885 2.14714595639888 2.2665507907277833 2.0626847526784435 2.134980259553068 2.1006989648022474 2.0567395676681306 2.0204025269891166 2.07148194000695 2.221944567245187 2.2920512600985425 2.14259857874794 2.053320578461556 1.6591238873683707 2.074966658818667 2.0753473570483547 2.0528652988819727 2.077068558476873 2.111437829649126 2.0362379793150076 2.1883946505358267 2.1403891539041866 2.211372946343573 1.7924407033117895 2.0469330930783776 1.966015613967539 1.9712630582213206 1.9724920518329405 2.091083758069605 2.0522580267052195 2.0064101737886215 2.1139020776392425 1.6910522825211445 1.9933677229787263 1.951830781651384 2.275899673655203 2.173957854272948 2.028923999349104 2.1653609829724134 2.0771826414087595 2.1268522086811643 2.236258222511006 2.0659745397949933 2.096227690756497 2.1042777481562394 2.1911953905370005 2.063475995749516 2.116567903802812 1.9993256758515088 2.102804135977632 2.113521073828033 1.8973492381571462 2.058087699122214 2.164192366816284 2.253114449129153 2.1325977346837672 2.225603939305928 2.337833091635561 2.0861736625380196 2.164517669981363 1.96052929564682 2.1527876212345256 2.270242622195907 1.835696317803879 1.9851941119815375 2.087737093836591 2.155956749040608 2.0512750319878683 2.1000795816558973 1.9581580300386965
AuerbachBerthold_DEU002_1 2.0681862569171634 2.1194762779439644 2.184360183671593 2.115960723052382 0.0 1.7328816594287932 1.5866594927475242 1.950467593282541 1.9980348873995273 2.136956307341929 2.164550464024889 2.0615365362541387 1.8740832967710364 1.8666392318914617 1.9485425648844452 2.099607605453061 2.0456515909218793 2.1634402208603993 2.107957994948454 2.213808191932111 2.0164203897646584 2.0398263596956134 2.012267806781069 2.151491684154805 2.1524359057379727 2.0375747167630847 2.019310945221312 2.2208100295243742 2.1072469682421056 2.14693145304678 2.1668465734071747 2.2043216148079363 2.094678902005551 2.0887436444574217 2.0084010619445847 1.9366845362298863 1.992841540353506 2.0392534246826046 1.9051784689431155 1.9669388518863045 1.8389530328517274 2.0452255826098042 2.061920690221703 2.238666565134066 2.1346309616906676 2.2435162002508298 2.1631654224461863 2.1779907119670066 2.0749887732107823 2.145841673952602 2.0711003844225226 2.169862182994224 1.8301492850155845 2.073799951369746 2.0543279780435304 2.1640416774637385 2.1221852663293097 2.1190907947039768 2.1650920678204226 2.1316058936095414 2.0572130509372895 2.1574631552643084 2.1477782206125022 2.174928276595555 1.9951435434788802 1.9864102438699793 2.088097134969282 2.1499044442457587 2.1500132106428347 2.1493420051828838 2.1315301671064892 2.0598482998771996 2.1058488803508353 2.2559342994830685 2.2291670587435686 2.1500614056516203 2.1054373288142165 2.0747484954847146 2.234471197661574 2.0748041911689223 2.126463294429019 2.1445557048742008 2.160470762133519 2.091702938557418 2.175380205785496 1.8956345976836664 1.9586112251805106 2.0739521151780114 2.063784256878545 2.2136245666047016 2.192247405011981 1.9376768451520325 1.9949749519351099 2.0511655669564077 2.038668723270762 2.095983767473722 2.0548992094707415 2.0526865908266547 2.1010983775415797 2.048847406660251
AuerbachBerthold_DEU008_1 1.9013791285916892 1.9348940064341613 2.2645042382657516 2.107513602005743 1.7328816594287932 0.0 1.6695412580391344 1.9740195540151309 2.1133008987280153 2.0555248519961786 2.1904528237091228 2.2555456999594363 2.0608709671898953 1.9117373583274304 1.9132378523727367 2.12257170385668 2.216852601129574 2.092336519115497 2.1693075597276685 2.056132512683967 2.213628517043896 2.096090666492545 2.066442291119232 2.1851232394627536 2.1773044066953213 2.060786303072121 1.9752382981796979 2.183206833679726 2.043558875529143 2.065712545762009 2.144138929044358 2.1662534198822287 1.977557271880026 2.125983841571614 2.0317588005247953 2.134937749167339 2.108996977682917 2.1352200884018973 2.0822924969618555 2.185166473245003 2.0322289390171355 2.131296129353187 2.059640326426046 2.0757992746306035 1.987677325922379 2.221113269654085 2.098562039467261 2.012474090938371 2.1205381691288694 2.1639681193993905 2.11208382242462 2.1203812959651125 1.8423507974359101 2.109763176857416 2.2877578982566344 2.326807351166753 2.3256768692015717 2.0866123608002027 2.0979082149225063 2.1645862793723083 2.1548187584733807 2.226199311094899 2.077365617203111 2.12568900584554 2.0871600611599805 1.9459551313479557 1.958306098331935 1.976149532094122 2.069713190974799 2.108894018355768 2.0009111415223315 1.9696870202998897 2.0855756481133954 2.035240580025581 2.1966062155104633 2.122931213471811 2.1612443775728547 2.095749276816513 2.0639492281463996 2.1104341789417846 2.0678579860775814 2.1194894745443285 2.098585164544277 2.1661642507503456 2.1464157333257634 2.1045509405790934 1.9516602773665128 1.938344306365166 2.0662102402123597 1.9958900673616122 1.95177328223502 2.064018462808082 2.0098108864847215 2.017508784577355 1.9051133311921622 2.049474632233135 2.098327339825628 2.048222251977783 2.061665180340945 2.035264445204446
AuerbachBerthold_DEU013_1 2.0106230950567707 2.0120400160588776 2.1849075132574525 2.108417771729804 1.5866594927475242 1.6695412580391344 0.0 2.0138579044251426 1.936605527881497 2.124402981077101 2.052388358668118 2.0684953756984252 1.8730308319621158 1.9176500495548698 1.9890212201265314 2.1312839614037125 2.182872463354655 2.0762108951447478 2.059243025014296 1.9410025384818625 2.1111853937106972 2.1155031609819317 2.082573662125776 2.0892529901809933 2.187717217451916 1.940553919079917 2.024997260932178 2.2419404734967463 2.0774875102392443 2.126922237727565 2.2713390311328507 2.237963346904241 2.0251865687539037 2.1124860741780696 2.017647357279019 2.0971480064759054 2.157935056551286 2.1953383583129362 2.102401700773291 1.9950079261583396 1.839356841377974 2.1281389208482593 2.068486870483345 2.1884274449312526 2.1238380327841804 2.164774498704901 2.0471357724916373 2.1976135452495775 2.017877250504837 2.0199489948241336 2.075525269215874 2.215261521715248 1.815249111265805 2.1217573473625286 2.156580115003788 2.1520417212017273 2.1284376900357342 2.226091669045308 2.2614756634307183 2.2380894866210745 2.225265821955769 2.1367795412025283 2.1662061250494844 2.208376617360124 2.1039808305277794 2.0083519014269253 2.0529628743579127 2.0812965504444114 2.1017850085318273 2.084833989346444 2.116828077632837 1.9199281074047139 1.9532545487212487 2.1800888556146942 2.1731745877254247 2.158564449937808 2.150134140435556 2.1771615385650436 2.0830070903043856 2.1703888642288796 2.1432376364190286 2.0835286448262593 2.0898784704094324 2.147208418974655 2.1262547246026893 1.9915600337682917 1.8324999397227266 2.0491089324353 2.094736846801264 2.1750232252742534 2.1304420388263754 2.1211515214563295 1.898421516089839 2.140249443303988 1.9527682028756586 2.092238956834739 2.1193803186405953 2.144291382277186 2.008041464431226 2.04111081382439
BahrHermann_DEU055_1 1.9360491923272247 1.9377525111678864 2.148546206854473 2.096990900838025 1.950467593282541 1.9740195540151309 2.0138579044251426 0.0 2.074548270873961 1.8973031877419668 2.0344147081501536 2.0574284806153478 2.0037095631740165 1.9549706057806375 2.131028004413922 2.0077095089679653 2.1422416537244358 2.083487454073901 1.9943285947887328 2.1472265271791144 2.158281132876495 1.9869148666346796 2.0311158179056217 1.7964277512922489 2.1361687450772924 2.2481152102215214 1.9818869175338092 2.0788531682805074 1.9976652039294316 1.9789341123926256 2.1341225790643867 2.1454478849575445 1.9578962488238263 2.032168703655093 2.010591067975602 2.002440344568889 2.1073619336881193 2.1117875841253912 2.2055100541522266 2.172729424201502 2.104175044505791 2.113094823415085 2.0900412818737526 1.9342033182388383 2.1075719219053632 2.1086043348674695 2.1434864122600703 2.134618650354382 2.095156554733832 2.108961224213657 1.9965985187356743 2.0471887339522428 1.9784723013107852 1.9438549773910778 2.3081958278667365 2.2696776170975848 2.257429414996831 2.0575969836705514 2.175184648491428 2.215120215353793 2.1590166897846714 2.1127322494813354 2.11984585435571 2.2491371529775193 1.9336644737556055 1.9952147517047223 2.0696956311308154 2.1321744907005096 2.072156710139455 2.1250668747249124 2.1326036543202482 2.103643566717695 1.9181600238449181 1.8826510340966718 2.0984033720919535 2.043751745561713 2.0923737031721017 2.1489164376369345 2.0088103892006455 2.083809831675938 2.023676162672852 2.0855216764881184 2.205428600771212 2.184177665307762 2.0934280871075 2.0676822196299556 1.9970538528350654 2.188805016052044 2.0925317364369973 2.2125358736745344 2.098229615389009 2.217483047348195 1.8843666287039529 2.0737599869622887 2.0335610644700526 2.1730876590935426 2.0613100356860286 2.011498003576984 2.2049633781689906 2.1744046933947043
BallHugo_DEU095_1 2.151345042996446 2.1001200238551654 2.228848162710071 2.2581948147513002 1.9980348873995273 2.1133008987280153 1.936605527881497 2.074548270873961 0.0 2.1180350612592225 2.172127971051151 2.149368643225066 1.915038087964353 1.9846943071582812 1.8571255706842182 2.053648442721928 2.3312294292509543 2.2500463734950857 2.1487823115392377 2.1519145935871524 2.1694259902349082 2.196764407035493 2.2617880580014695 1.8919374834463987 2.095208932165452 2.0746204595872215 1.9371875123734863 2.0945057271023346 2.029052313475191 2.0428879294642828 2.139885541525752 2.0647212542710833 1.8712968968487984 2.1482014484653558 2.187418954658867 2.2116756116446035 1.99131019009954 2.144140232881241 2.13007041694257 2.00756231240491 1.9530242675622125 2.150397053680344 2.072650949180343 2.340543022532707 2.1235227749993 1.9683460426572044 2.104147690400512 1.9423074800279423 2.088602779951402 2.101855486110307 1.9639583684577198 2.075668369716375 1.8695655462837983 2.1574709239039764 1.9844258281267304 2.039776355996569 2.101924688679008 2.1318941401731224 2.100919100233 2.111196617348582 2.0309034865539903 2.01310603201586 2.1270506571073593 2.184519268041405 2.098143953921519 1.8666746598480652 1.97990687266814 1.9828484969405653 2.041999849374606 2.1123497456828213 2.019511633585234 1.9188847819679489 2.002935338856441 2.0598329009047376 2.0341320294898413 2.015464550606786 2.0527999488321993 2.0858525764100375 2.080213786579245 2.126592138481354 2.1991404416898424 2.292321295434568 2.1211301028595404 1.98331769745923 1.8907152932460982 2.011423609618627 1.8718921748097157 1.9963632379693845 2.1245822497674753 2.063420793523884 2.1606600014449175 2.1649243613520444 1.820374575201545 2.215201439513912 2.269177650301148 2.033175215265924 2.0092881680940353 2.003734948091033 2.0244317234431737 2.1010315057151723
BleibtreuKarl_DEU061_1 1.7353469714874254 1.7536481819919603 1.9690895497434908 1.9344005874884713 2.136956307341929 2.0555248519961786 2.124402981077101 1.8973031877419668 2.1180350612592225 0.0 2.1529373487698633 2.1706339671162773 2.2107978804840895 2.1264890637143052 2.146439414839807 1.9706450683906795 2.041060006722752 1.9917463560221642 1.956450167659896 1.9624410792043792 2.1415960154168556 2.069210313349321 2.084512613004633 1.9923109473414926 2.1591063621307973 2.220259033224149 2.0967622033408206 2.068816044929096 2.0985438246924812 1.9904787585172747 2.019025580237665 2.0729956116550152 2.0386651296982237 2.0841853078410124 2.122317002011792 2.131408342972154 2.204605352277672 2.170332535075359 2.1002229046249177 2.2935915743907933 2.243090793915286 2.206163556497137 2.0382633190897876 1.8073275827496718 1.894875698092029 2.1594797013869367 2.185979629295791 1.9965267863505665 2.1564915885636884 2.1135583158028006 2.147764480528707 1.894089247247165 2.033456277230232 1.9205369083278123 2.216608435586751 2.203907225280711 2.171978550050987 1.860050414241561 1.926675276078527 2.002238383306535 2.0942486772800284 2.1315889568120165 1.9976607432646292 2.0875858148552853 1.9731096163227875 2.1344094478923488 2.0725502926104675 2.0927225694780813 2.133265866603987 2.1736962584118564 2.0709309634221245 2.127068413781749 2.1316566703068522 1.9269332737274645 1.9176336719786347 2.050296212260066 2.275718507822501 2.203709187815696 1.9268429958926174 2.096091768548707 2.094241653852843 2.134989639323038 2.1177919980157207 2.051287285179527 2.12320139340098 2.056349295132661 2.2699810606097923 2.1286004133470144 2.0735666659779866 2.0669717287696 2.051953281521785 2.119993728057405 2.064903403098091 1.918249064571405 1.8503352100752384 2.030972728222444 2.084246917442457 2.0108011983764342 1.9830623670062089 2.1856837492616634
