 ArnimBettinavon_DEU015_1 ArnimBettinavon_DEU022_1 AstonLouise_DEU010_1 AstonLouise_DEU012_1 AuerbachBerthold_DEU002_1 AuerbachBerthold_DEU008_1 AuerbachBerthold_DEU013_1 BahrHermann_DEU055_1 BallHugo_DEU095_1 BleibtreuKarl_DEU061_1 BoyEdIda_DEU074_1 BraunLily_DEU082_1 ChristenAda_DEU064_1 ChristLena_DEU093_1 ChristLena_DEU099_1 ConradiHermann_DEU056_1 DahnFelix_DEU044_1 DohmHedwig_DEU057_1 DohmHedwig_DEU063_1 DohmHedwig_DEU073_1 EbnerEschenbachMarievon_DEU027_1 EbnerEschenbachMarievon_DEU058_1 EbnerEschenbachMarievon_DEU100_1 EssigHermann_DEU078_1 FontaneTheodor_DEU035_1 FontaneTheodor_DEU046_1 FontaneTheodor_DEU051_1 FontaneTheodor_DEU053_1 FontaneTheodor_DEU059_1 FontaneTheodor_DEU066_1 FontaneTheodor_DEU070_1 FontaneTheodor_DEU071_1 FontaneTheodor_DEU088_1 FranooisLouisevon_DEU028_1 FranooisLouisevon_DEU033_1 FranooisLouisevon_DEU047_1 FreytagGustav_DEU011_1 FreytagGustav_DEU030_1 FreytagGustav_DEU048_1 GanghoferLudwig_DEU067_1 GanghoferLudwig_DEU085_1 GerstnckerFriedrich_DEU016_1 GutzkowKarl_DEU024_1 HahnHahnIdaGrnfinvon_DEU020_1 HeykingElisabethvon_DEU087_1 JanitschekMaria_DEU060_1 JanitschekMaria_DEU075_1 KellerGottfried_DEU036_1 KeyserlingEduardvon_DEU080_1 KeyserlingEduardvon_DEU097_1 KretzerMax_DEU069_1 KrnbergerFerdinand_DEU025_1 KurzHermann_DEU005_1 LewaldFanny_DEU021_1 MarlittEugenie_DEU037_1 MarlittEugenie_DEU040_1 MarlittEugenie_DEU041_1 MayKarl_DEU054_1 MayKarl_DEU081_1 MayKarl_DEU084_1 MeyerConradFerdinand_DEU032_1 MeyrinkGustav_DEU096_1 MeysenbugMalwidaFreiinvon_DEU086_1 MllhausenBalduin_DEU042_1 OttoLouise_DEU004_1 PolenzWilhelmvon_DEU062_1 RaabeWilhelm_DEU029_1 RaabeWilhelm_DEU031_1 RaabeWilhelm_DEU038_1 RaabeWilhelm_DEU049_1 RaabeWilhelm_DEU050_1 RaabeWilhelm_DEU072_1 ReventlowFranziskaGrnfinzu_DEU077_1 ReventlowFranziskaGrnfinzu_DEU090_1 ReventlowFranziskaGrnfinzu_DEU098_1 RilkeRainerMaria_DEU079_1 RuppiusOtto_DEU003_1 RuppiusOtto_DEU009_1 SackGustav_DEU083_1 SchnitzlerArthur_DEU091_1 SchnitzlerArthur_DEU094_1 SchopenhauerAdele_DEU018_1 SpielhagenFriedrich_DEU039_1 SpielhagenFriedrich_DEU043_1 SpielhagenFriedrich_DEU065_1 SpittelerCarl_DEU068_1 SpyriJohanna_DEU052_1 StifterAdalbert_DEU007_1 StifterAdalbert_DEU017_1 StifterAdalbert_DEU019_1 StifterAdalbert_DEU023_1 StifterAdalbert_DEU045_1 SudermannHermann_DEU092_1 TieckLudwig_DEU014_1 VischerFriedrichTheodor_DEU026_1 VischerFriedrichTheodor_DEU034_1 WassermannJakob_DEU076_1 WeerthGeorg_DEU006_1 WilleBruno_DEU089_1 WillkommErnstAdolf_DEU001_1
ArnimBettinavon_DEU015_1 -3.5824721704960005 -4.139371139250192 -1.944411945736877 -2.7339269632540253 -2.381755842931619 -2.835159517614883 -2.5979383635280184 -2.971058640828439 -1.889724385698897 -3.399303572640739 -2.1633602045089697 -2.1424611991207145 -2.0774795395665495 -2.1854726996741314 -2.407711747317309 -2.4389006644903786 -2.4943030934685972 -3.006434412926801 -2.4965641599153328 -2.949866652944228 -1.6079992399224017 -1.83615139954908 -2.162044761252546 -2.1007212266925315 -1.722350601957594 -2.3620199688881915 -2.166409955158214 -2.0501779923770695 -2.308123309567313 -2.1983158624598897 -1.9962733190711839 -1.7941053580291746 -2.6408454482004426 -2.1041566125489086 -2.3279931217523107 -2.3411400295524443 -1.6057131864924385 -1.7488144674651163 -1.9849089894986904 -1.9508394610991113 -2.6019460732442017 -1.7724070678467612 -2.4108994086391533 -3.0946253184789807 -2.3510840553140255 -1.7216182431356721 -1.9613446156174212 -2.029761848299816 -2.136722579072865 -2.2200122060718672 -1.4618939562339381 -2.282829008334128 -2.4192407136332035 -2.2804607889336257 -2.0250456988828938 -1.8060855215145255 -1.9574904732599334 -2.271095947172336 -1.8922620475639094 -2.0708836778612354 -1.87266541073743 -2.1837080084743565 -2.5386335155222226 -1.7890763053249494 -1.9694408013158626 -1.5541911681493559 -2.345853054414178 -1.9266279411636846 -2.2626272251174164 -2.454837213471837 -2.1177065635244614 -2.176472357700478 -2.339104625512386 -2.3312507450263174 -2.2170657894738093 -2.0611366562900995 -1.369988884273923 -1.266727422817908 -3.4614162308686667 -1.741473091597347 -2.000147929767586 -2.0701251053622722 -2.2222264663015 -1.9563824293581622 -1.8664585178399784 -1.8675209851370318 -2.4703126578626846 -2.2866740986737857 -2.4881432282422384 -2.084329172828824 -2.737428913608466 -1.85272295479069 -2.196602679947469 -2.717884458391159 -3.2819097298535573 -2.497606080722485 -2.04437496104312 -2.055978589080042 -2.7885178930831387 -2.1732002168265008
ArnimBettinavon_DEU022_1 -4.139371139250192 -3.5824721704960005 -1.8292322023509697 -2.717165337921995 -2.3105560196445967 -2.9074919214154717 -2.5758459065261463 -3.0098645094621257 -2.022735609329498 -3.248025394713946 -2.2234889085807246 -1.6829300012654977 -1.9669094468003305 -2.380677631126536 -2.0740080813541213 -2.5266406249283926 -2.341661133351337 -3.264766645248122 -2.481871429196795 -2.945090274369343 -1.6836233167131558 -1.9703650072907877 -2.0105138745972315 -2.1462711496102336 -1.7577372236497228 -2.2729368430791066 -1.9918468863343743 -2.2753025805940643 -2.6653560345610927 -2.431814523206739 -2.2970367762909345 -2.065179513672491 -2.7861649225298457 -2.071811214388649 -2.354069076387771 -1.8983097024064175 -1.815177420404275 -2.0657965303149153 -2.0170967888362084 -1.7915196728376974 -2.1962269418389058 -1.697778268466553 -2.1784423339934613 -3.132941253384038 -2.551265260326934 -1.879651876648226 -2.191362148386197 -2.1496940979942085 -1.9402460335519485 -1.9611488362733605 -1.5076074357720952 -2.267494245158204 -2.38597603094016 -2.556058414582258 -1.7864504667634031 -1.546188857858275 -1.656899751278361 -2.3495920431909463 -2.0761360477552384 -1.9501571944322056 -1.6414177618693737 -1.8273966009004554 -2.514489782657817 -1.9715982270688317 -2.1428053657051014 -1.7477538477752292 -2.4084569250964396 -2.3626699905597826 -2.216496464438974 -2.239319468312177 -2.0898147691612206 -2.268543221353235 -2.430199448124221 -2.786632312839619 -2.322077927425568 -1.9889233298288806 -1.4090121639241493 -1.338362445883723 -3.14703067479905 -1.6219846356600733 -2.1451783745514197 -1.9977465148905813 -2.3772254987206396 -2.0103905578885857 -2.040797962618082 -1.7084733409731665 -2.5101956524146636 -2.2699192994321984 -2.3321846088428866 -2.1432340122117166 -2.8400459528915256 -1.7604324886102234 -2.0244513839271607 -2.700546613310956 -2.996851638347734 -2.033038181732318 -1.790844881491861 -2.5063626626351967 -2.5703894541177084 -2.1641875976104927
AstonLouise_DEU010_1 -1.944411945736877 -1.8292322023509697 -3.5824721704960005 -3.295480651636389 -1.7581461360422568 -1.5981507166398305 -1.7312681852602083 -2.0100235348522526 -1.702553904782312 -2.5072921309009573 -2.8652488889903047 -2.7106430445193763 -1.9261064297634247 -1.6466607576422612 -1.590850003778169 -2.7943108977553 -2.563268130433269 -2.1100158817206083 -2.7528259725931834 -2.1098860977537153 -3.042831788602669 -2.704413429200449 -2.4034561608068916 -2.277488692749828 -2.155124461705152 -1.7852725147274227 -1.4615121118591734 -2.0767949914789097 -1.730227670128699 -1.3711124357243063 -2.212984536102101 -2.1822970155673356 -1.2769679814264816 -2.344792984282641 -2.101426016522923 -2.7010531430837146 -2.265084888169839 -2.300776402301741 -2.0314617522947844 -2.1982577864954167 -1.7330161446855208 -2.3752039261748887 -2.533387956589914 -2.768467083724349 -1.8584763701373106 -2.2975925263950985 -2.218648094530282 -2.51413322332859 -2.4134306366803306 -2.2740948386371134 -2.23568164621188 -2.579052860202668 -1.8023612384902834 -3.1450466061522646 -2.425689505645821 -2.9181513436847046 -2.6459696408821216 -2.503856010328684 -2.410601224409426 -2.3798217759509406 -2.7404120339537315 -2.3553618951942523 -2.960671429785632 -2.9893285410189216 -2.3819563439193647 -1.8645318778812627 -1.4770586825424985 -2.090777741570221 -2.1822184115775394 -2.4201149928098524 -2.058829174590118 -1.5074356198411996 -1.7097527418372154 -1.6519239324819535 -2.2028175650883437 -1.938564418021816 -2.799029354946364 -2.692790746567326 -2.0002250537883643 -2.4926093847999335 -2.3647697705908164 -3.2531533395526515 -2.838743884799019 -2.2752354842477978 -2.5351582297269397 -2.476535970365727 -1.6752979395811436 -1.5147951386980116 -2.0972694005977193 -1.9461992992300174 -2.3459743444100214 -1.6981227835655877 -1.0777046484362733 -2.6075572368903264 -2.3112067396185685 -2.404594256063928 -2.6197319478432353 -2.453065581243836 -1.8903973712801274 -2.479325958422896
AstonLouise_DEU012_1 -2.7339269632540253 -2.717165337921995 -3.295480651636389 -3.5824721704960005 -1.9695663103805516 -1.8923273159143128 -1.702577265206892 -2.181017790616558 -1.643590891549029 -2.825521613358813 -2.7390297314802265 -2.587666522574676 -2.106247174801485 -1.6877295238890364 -1.7143171164995992 -2.520114532772305 -3.2729778271706715 -2.4344434608158716 -2.613551016134212 -2.0505068516507454 -2.655801942151667 -2.521706751406242 -2.939272391923461 -2.052511087267393 -1.829503382738486 -1.6857675587544654 -1.2694444638842013 -1.977009110539428 -1.473673514612405 -1.3802741054269423 -2.159099336793839 -1.9259252888210183 -1.09563177775916 -2.4367442940236876 -2.1271277957208907 -2.3250807981828103 -2.3398326656412345 -2.5370184043153365 -2.4007309570783613 -1.8731227736541225 -1.8871401890106254 -1.8696957971923778 -2.4325324707922205 -3.575502592610276 -2.374417111862529 -2.192100003355829 -2.1144963298437167 -2.4686998928526527 -2.104152743781618 -2.192651366609278 -2.1130014800140575 -2.300239290953164 -1.5137199308716482 -3.2466552096985644 -2.3242852243329 -2.675832553081793 -2.6725293325838377 -2.356056375823364 -1.97712919529272 -2.0815680153565332 -2.6805862188844407 -2.0593620869144633 -3.5638535748242846 -2.701954243422339 -2.6478497839267883 -1.6611630325528528 -1.6885091062031752 -2.429441554498092 -2.095582468246269 -2.3796369235891137 -2.138222223551336 -1.7106643613580637 -1.908551982187164 -1.9470005461916906 -1.899264912702533 -1.755372304355417 -2.348122029376645 -2.073279869059568 -2.6119163445966116 -2.138532055416984 -1.9317273243117399 -3.019979287086711 -2.495810759333449 -2.0361605743776257 -1.7382864020573046 -1.9187227002477882 -1.3004822029145806 -1.5117575001970835 -2.207749709376741 -2.0014189592611795 -2.751173778493854 -2.0626286462490437 -1.2945011094051286 -3.087525778986077 -2.60112983126769 -2.2559900914774578 -1.98571397980314 -2.3563708893881943 -2.1657272705545916 -2.7757041209734625
AuerbachBerthold_DEU002_1 -2.381755842931619 -2.3105560196445967 -1.7581461360422568 -1.9695663103805516 -3.5824721704960005 -3.3283866955665053 -3.6088861539842116 -2.5268232624987754 -2.3944230220337475 -1.9984099969901206 -1.8726667419837555 -2.086304190085088 -2.7983910582196168 -2.928376044567134 -2.7241294746410865 -1.896610313562267 -2.3626329132491004 -1.8451763943215254 -2.0162522214443803 -1.8143112525716465 -2.4817679526462393 -2.3445186663428244 -2.493114144254774 -2.1457815816093846 -2.040007566552466 -2.4451050922280606 -2.381159864631231 -1.8365543738662349 -2.139400506808397 -1.9718619403231652 -1.9159971171468373 -1.7378604571947533 -2.2623242237854493 -2.1076232507088184 -2.5035146626978784 -2.5712560124806854 -2.4907822584983976 -2.298601362949403 -2.71289792059541 -2.4356591891875974 -2.788255415905893 -2.355590154964014 -2.237832477924512 -1.8453567855604847 -2.0020943140014795 -1.7316805040895462 -1.9543108479623783 -2.0263083524513705 -2.228675028200384 -2.1505725769095436 -2.224346508270816 -1.9894457028386971 -3.077839048006534 -2.316152580561904 -2.2203483200938194 -1.9265852944591328 -2.075691409404886 -2.2316020014683673 -2.0189340702464675 -2.144959068091135 -2.2259250920211877 -2.042168548391775 -2.0589241411493133 -1.9080777361572114 -2.659858694184268 -2.5459751856563004 -2.2756820494730086 -2.097009246432791 -1.9982624551955237 -2.03091770248016 -2.045829034257791 -2.155920909631164 -2.2810414577914857 -1.9026051501091128 -1.8460605139565858 -2.0462315786408496 -2.316653623670877 -2.2523391541934794 -1.8560194205967306 -2.0918764565158345 -2.0634868432288727 -2.059125793536828 -1.963149711037723 -2.2119968357848743 -1.9528478868270827 -2.7462767939143284 -2.7090987184816093 -2.301693661611688 -2.382097920816456 -1.9661190852152999 -2.0349944547906174 -2.613011315965982 -2.578120355767898 -2.354483630870227 -2.3812523390308007 -2.180487559355948 -2.326309003793123 -2.333546911275533 -2.2038505337018646 -2.2927943907525394
AuerbachBerthold_DEU008_1 -2.835159517614883 -2.9074919214154717 -1.5981507166398305 -1.8923273159143128 -3.3283866955665053 -3.5824721704960005 -3.483006721966029 -2.628086509633207 -2.1907425550257447 -2.263298378793151 -1.913044229135807 -1.4568009395865635 -2.3067720352101984 -2.945171958838429 -2.8183694977683387 -2.0671680011557965 -1.709383347178774 -2.25453837483458 -1.9022467499434426 -2.322408340166984 -1.680777136539025 -2.0923454149563634 -2.190214679670064 -2.1041353699176426 -1.868997598560749 -2.281143037989898 -2.6240863537716885 -1.9174464484107512 -2.4702932235459043 -2.4117681976007193 -1.9276971166292274 -1.9350038016553095 -2.7117276565838004 -1.955833881446744 -2.3630012937649703 -1.9348086650922596 -2.0987992217912805 -2.0781425594550513 -2.2352096268778117 -1.6936260693384015 -2.2446836503414436 -2.0298427832007584 -2.216597503930284 -2.234613378490726 -2.453536221770786 -1.9221063330072825 -2.312773003617419 -2.365974978040519 -2.229802993917234 -2.158512685341465 -2.151266149410534 -2.0494149705581326 -2.9333615848749557 -2.0959298867000933 -1.5109175585991468 -1.4066361367408127 -1.3912409093539602 -2.3947422140948826 -2.3560280720226765 -2.0948614902241887 -1.68042735103385 -1.7448331549073455 -2.1763188384252854 -1.8904856388474076 -2.1488236660960625 -2.573218319675582 -2.720237437070696 -2.4945706324656376 -2.191073066445742 -2.042782806706279 -2.4172145837799475 -2.498988356266026 -2.3251364424864818 -2.641379229599899 -2.1495879100929938 -2.2111963071249567 -2.007238384229661 -2.1281756334436848 -2.0523352383807194 -2.0021141082601663 -2.178623415064977 -1.8994845565892011 -2.1027890935851508 -1.9933469094128442 -2.058751563698772 -2.10356344607826 -2.7156617859920464 -2.7755187458176236 -2.2292408448458128 -2.5498533128001863 -2.708637368761216 -2.1569399893247865 -2.545178571719735 -2.3849963936310026 -2.8756488038248635 -2.3331367785378556 -2.1829476648184407 -2.5140849326229024 -2.3125926105668273 -2.2697464426472136
AuerbachBerthold_DEU013_1 -2.5979383635280184 -2.5758459065261463 -1.7312681852602083 -1.702577265206892 -3.6088861539842116 -3.483006721966029 -3.5824721704960005 -2.5432948559045467 -2.547806733715287 -1.7979490074577142 -2.075677494757807 -2.0196223874861845 -2.8201962778170078 -2.901063512473344 -2.7007310163072407 -1.971922782877317 -1.818911971366764 -2.2369397660913313 -2.3024219650899402 -2.486262437814441 -2.120462220864155 -2.061438631987569 -2.129322978648121 -2.3508475217825553 -1.7632128326695664 -2.6513179822941755 -2.5135940139408577 -1.9328607389311996 -2.2951928731633706 -2.271624739535048 -1.6878036249987083 -1.711053457555957 -2.3983048022506126 -1.7960055266594541 -2.3133941134781586 -1.9140342771212169 -1.8829842281993117 -1.7477810020269904 -2.071352720488985 -2.366151614328744 -2.887374408077426 -2.1768367172239396 -2.096160173916631 -1.8827267276343154 -2.0816258848916656 -1.9971943245606687 -2.4736546400161865 -1.815712249370482 -2.541605030539763 -2.543597904754719 -2.1683683051852074 -1.6435839333659494 -3.164755154574315 -2.070266523910439 -1.9115873322941122 -1.8152098816920126 -1.85394777167219 -2.156657610668839 -1.8742904165360514 -1.9539297201222143 -1.3645327692264217 -2.1726806487983197 -1.8093011822284333 -1.6673254179208246 -2.339776469499472 -2.448001693315621 -2.4873204335647423 -2.2227818087952884 -1.927472595674811 -1.9684331172881764 -1.9178897231250436 -2.707959298592816 -2.7236580799602246 -2.2317323269875553 -2.2561854634075633 -2.188832843703836 -2.0951109796265066 -1.9719252248990806 -2.1248576272143027 -1.7372709177691397 -2.0630188874457716 -2.058191014887626 -2.0945207289765344 -2.067336791459718 -2.0736525881153125 -2.487266091361328 -3.0135764636088416 -2.4442863379166355 -2.281831829655786 -2.029710840648001 -2.1631309580065357 -2.134927777922153 -2.942286158301248 -2.01007685690882 -2.6150614480881584 -2.0398095092581694 -2.0812564786164907 -2.0228813772748016 -2.60736320155343 -2.1785393137451443
BahrHermann_DEU055_1 -2.971058640828439 -3.0098645094621257 -2.0100235348522526 -2.181017790616558 -2.5268232624987754 -2.628086509633207 -2.5432948559045467 -3.5824721704960005 -2.0372794690080953 -2.761486013978692 -2.2352478171436676 -2.1559119986414252 -2.398807171329229 -2.6596784228345447 -2.1585820864018883 -2.4491566946407977 -1.768016947367932 -2.4793647087874477 -2.4208713167278217 -2.250941419540051 -1.7316311645368458 -2.479065101376396 -2.2646228426714203 -2.8819128696597285 -1.9191917126416822 -1.88401360555347 -2.6841142977572217 -2.419883805655418 -2.6732545295334957 -2.6476859686497125 -2.1612848630889925 -2.1880762391096344 -2.723217585102554 -2.2740723574909296 -2.3288343449757107 -2.40857175858122 -1.827780149552977 -1.8645727509652645 -1.6472739828642846 -1.7278769925070592 -1.9934546014278733 -2.043963694483901 -2.0829468131742233 -2.7264695306987 -2.362281966634888 -2.1105058694805257 -1.967978986930493 -2.1832874930219477 -2.024777040555618 -2.071140320494668 -2.1866946534901492 -2.3178073696839654 -2.619332116059365 -2.6389405164713144 -1.3189954948114633 -1.4200231534899157 -1.5302336986583513 -2.4157915920103092 -2.059428492516945 -1.9738335892418624 -1.6446314322290605 -2.1263443293683304 -2.0468081272835827 -1.8230000222363931 -2.698155001150282 -2.288205907545274 -2.467525043941687 -2.1162494557739806 -2.0747809814198837 -1.904360648617604 -2.0171249822343063 -2.2499353664758095 -2.8055450531710378 -3.1114317404303775 -2.3651516925354024 -2.420596669033208 -1.893250458434168 -1.7816018981935104 -2.641853544579665 -2.1588961458723888 -2.469342543656139 -2.1874596560019035 -1.9267009583704713 -1.9599834524876731 -2.0152578851823435 -2.4575554113834723 -2.4268827734969114 -1.9741291525180487 -2.23199679665226 -1.8840075106556506 -2.485588985672835 -1.4260596203772289 -2.9341746188842235 -2.323141711948 -2.5246707676528692 -1.8691089376406824 -2.1519609857086204 -2.4805705275200043 -1.8249131211690726 -1.775217496874578
BallHugo_DEU095_1 -1.889724385698897 -2.022735609329498 -1.702553904782312 -1.643590891549029 -2.3944230220337475 -2.1907425550257447 -2.547806733715287 -2.0372794690080953 -3.5824721704960005 -2.2087267473105516 -2.0491140821094675 -2.2147393813199048 -2.8522356938733724 -2.6983322462364767 -2.945370986666014 -2.2741793587592785 -1.728647691065982 -1.913091463590869 -2.2475430870169255 -1.9991854469149741 -2.213057109272393 -1.9385305870413272 -1.9522303530823306 -2.828999609954964 -2.2972493100734845 -2.5134159388631576 -2.911391029861708 -2.070697429800091 -2.584847817898667 -2.4103635029398043 -2.0624292146984717 -2.3902196437968213 -3.004159773103464 -1.9394855278519707 -1.9008175578772677 -1.8739763448056683 -2.6551305084658243 -2.102910375202808 -2.075991496932613 -2.518219663478051 -2.6217232545256235 -2.119364796304039 -2.2674638503306075 -1.3984486998058425 -1.7566542428946292 -2.6375459601165154 -2.2846893482894863 -2.325422595618626 -2.3109716127240785 -2.3202668037774217 -2.400838813535623 -2.248950667797622 -2.7093982571267277 -1.838279241354416 -2.6041157213721187 -2.2210931407140007 -2.1334622637352347 -1.82136458374549 -2.0465708225018733 -2.04936620103234 -2.361592799057432 -2.402708341306335 -1.9484415441194927 -1.5586470014270313 -1.9000892749218312 -2.8782114882072776 -2.4920106720701343 -2.4915819688398995 -2.301460312034058 -2.1779373657106147 -2.3810525503690667 -2.7273103883111944 -2.354246044057818 -2.1550720102935332 -2.2920509802500155 -2.4110827048894854 -2.322795473858476 -2.193845518783406 -2.203980260662856 -1.9930428330766905 -1.9005859014739235 -1.5456065817163576 -1.9570341725103813 -2.2440103953985937 -2.675109776197288 -2.678769401507023 -2.8271810156845354 -2.256387240511648 -1.930016977228855 -2.0294571909496475 -1.672524133678968 -2.128151264095889 -3.0568894469501076 -1.6468388642409302 -1.8337907685279495 -2.5146297254457646 -2.5390917036533294 -2.2082801992310945 -2.5052185606839346 -2.161033291111467
BleibtreuKarl_DEU061_1 -3.399303572640739 -3.248025394713946 -2.5072921309009573 -2.825521613358813 -1.9984099969901206 -2.263298378793151 -1.7979490074577142 -2.761486013978692 -2.2087267473105516 -3.5824721704960005 -2.077201290375362 -2.068241645197473 -1.64351727350934 -2.120288056994034 -1.9627279880899062 -2.5594681251702447 -2.35462251416723 -2.580164696624883 -2.6171205355872074 -2.608916277334859 -1.9369594630150622 -2.228816940207384 -2.2648929013724857 -2.5059522024343557 -1.9715160190591212 -1.6542269061162398 -2.1381077127836616 -2.2420529967314193 -2.2020163121680087 -2.4289260153176375 -2.3333157031759697 -2.279773411093853 -2.2043651946949927 -2.4051179728280507 -2.2381447613746364 -2.2530874921962853 -1.8681115007191647 -1.9585285796901872 -2.19366349260178 -1.67674511856655 -1.8628261439609934 -1.79578514872731 -2.536650822320936 -3.006172857785611 -2.7510966607032414 -1.9920126637832412 -1.9438805349117563 -2.5093290772074326 -2.097807740825374 -2.0563080581341753 -1.955688587509782 -2.774972089131679 -2.1739640778475344 -2.636962217710293 -1.8830400520543447 -1.9414178585420976 -2.1144339314494087 -2.5971524272448896 -2.4362645004994574 -2.256538750166962 -2.3448730313680124 -2.1063928293757987 -2.5805415899296382 -2.2269414244896093 -2.5142284680032274 -2.035367730839132 -2.2574731385129647 -2.2659055787188294 -2.2243803831785542 -2.116842179758182 -2.3656280390119115 -2.22378977068299 -1.861826760795463 -2.7482399832581255 -2.660858552453092 -2.113669296063004 -1.6108455001950999 -1.7266163134166896 -2.8685530217294493 -2.123841015111898 -2.1836960390686815 -2.1976278448778843 -2.1611578729839347 -2.1202016602227753 -1.9457958304829301 -2.343843078489769 -1.4389471426298444 -1.7929212541121786 -2.294527030210037 -1.9652514063771003 -2.373991867158758 -1.8665353231219333 -2.022891246894218 -2.7671715388906835 -2.9714564997211443 -2.3823568822336214 -2.3089272822203326 -2.4938477367222407 -2.5343058925091477 -2.0534615346747844
