 AguilarGrace_ENG18470Aguilar_1 AinsworthWilliamHarrison_ENG18500Ainsworth_1 AnsteyF_ENG18820Anstey_1 ArlenMichael_ENG19201Arlen_1 BaringGouldSabine_ENG18980BaringGould_1 BarryWilliamFrancis_ENG18870Barry_1 BellocLowndesMarie_ENG19121Belloc_1 BensonEdwardFrederic_ENG18930Benson_1 BensonStella_ENG19190Benson_1 BlackmoreRichardDoddridge_ENG18640Blackmore_1 BraddonMaryElizabeth_ENG18621Braddon_1 BronteCharlotte_ENG18570Bronte_1 BronteEmily_ENG18471Bronte_1 BroughtonRhoda_ENG18830Broughton_1 BroughtonRhoda_ENG18871Broughton_1 BroughtonRhoda_ENG18901Broughton_1 BuchanJohn_ENG19150Buchan_1 CairdMona_ENG18941Caird_1 CarrollLewis_ENG18652Carroll_1 ChestertonGilbertKeith_ENG19080Chesterton_1 CholmondeleyMary_ENG18973Cholmondeley_1 CliveCarolineWigley_ENG18600Clive_1 CollinsWilkie_ENG18760Collins_1 ConradJoseph_ENG19170Conrad_1 CraikDinahMarie_ENG18630Craik_1 CrossVictoria_ENG18950Cross_1 DickensCharles_ENG18481Dickens_1 DickensCharles_ENG18530Dickens_1 DickensCharles_ENG18540Dickens_1 DisraeliBenjamin_ENG18440Disraeli_1 DisraeliBenjamin_ENG18450Disraeli_1 DisraeliBenjamin_ENG18800Disraeli_1 DixonEllaHepworth_ENG18940Dixon_1 DoyleArthurConan_ENG18900Doyle_1 EliotGeorge_ENG18610Eliot_1 EliotGeorge_ENG18660Eliot_1 EliotGeorge_ENG18721Eliot_1 ForsterEdwardMorgan_ENG19100Forster_1 FowlerEllenThorneycroft_ENG19004Fowler_1 GaskellElizabethCleghorn_ENG18482Gaskell_1 GissingGeorge_ENG18911Gissing_1 GlynElinor_ENG19001Glyn_1 GriffithsMajorArthurGeorgeFrederick_ENG18961Griffiths_1 GrossmithGeorge_ENG18920Grossmith_1 HamiltonCicely_ENG19191Hamilton_1 HardyThomas_ENG18860Hardy_1 HarradenBeatrice_ENG18931Harraden_1 HornungErnestWilliam_ENG19111Hornung_1 JenkinsJohnEdward_ENG18702Jenkins_1 JeromeJeromeK_ENG19011Jerome_1 KavanaghJulia_ENG18552Kavanagh_1 KingsleyCharles_ENG18510Kingsley_1 LawrenceDavidHerbert_ENG19200Lawrence_1 LeeVernon_ENG18840Lee_1 LewisPercyWyndham_ENG19180Lewis_1 LintonElizabethLynn_ENG18720Lynn_1 LyallEdna_ENG18872Lyall_1 LyttonEdwardBulwer_ENG18741Bulwer_1 MacDonaldGeorge_ENG18953Macdonald_1 MachenArthur_ENG19070Machen_1 MaletLucas_ENG18960Malet_1 MallockWilliamHurrell_ENG18770Mallock_1 MasonAlfredEdwardWoodley_ENG19010Mason_1 MorrisWilliam_ENG18972Morris_1 NesbitEdith_ENG18890Nesbit_1 NesbitEdith_ENG19020Nesbit_1 NesbitEdith_ENG19060Nesbit_1 OliphantLaurence_ENG18700Oliphant_1 OliphantMargaret_ENG18661Oliphant_1 Ouida_ENG18670Ouida_1 Ouida_ENG18740Ouida_1 Ouida_ENG18831Ouida_1 PhillpottsEden_ENG18970Phillpots_1 ReadeCharles_ENG18632Reade_1 ReynoldsGeorgeWilliamMcArthur_ENG18460Reynolds_1 SharpEvelyn_ENG18954Sharp_1 SilberradUnaLucy_ENG19071Silberrad_1 SinclairCatherine_ENG18410Sinclair_1 SkeneFelicia_ENG18490Skene_1 SteelFloraAnnie_ENG19005Steel_1 StrettonHesba_ENG18641Stretton_1 ThackerayWilliamMakepeace_ENG18480Thackeray_1 TrollopeAnthony_ENG18551Trollope_1 TrollopeAnthony_ENG18650Trollope_1 TrollopeAnthony_ENG18742Trollope_1 TrollopeFrancesMilton_ENG18400Trollope_1 TupperMartinFarquhar_ENG18411Tupper_1 WardHumphryMrs_ENG18880Ward_1 WardHumphryMrs_ENG18951Ward_1 WardHumphryMrs_ENG19091Ward_1 WellsHerbertGeorge_ENG18952Wells_1 WellsHerbertGeorge_ENG19090Wells_1 WellsHerbertGeorge_ENG19120Wells_1 WestRebecca_ENG19181West_1 WhiteWilliamHale_ENG18850Rutherford_1 WoolfVirginia_ENG19192Woolf_1 YeatsWilliamButler_ENG18910Yeats_1 YongeCharlotteMary_ENG18531Yonge_1 YongeCharlotteMary_ENG18560Yonge_1 YongeCharlotteMary_ENG18651Yonge_1
AguilarGrace_ENG18470Aguilar_1 -12.571073720140001 -12.855278943686002 -16.452269970285407 -17.357555814780135 -12.586623593560553 -13.926318759503054 -14.173039286994747 -15.317077079826833 -12.391916133681647 -16.52274170355426 -13.571738349102867 -13.366901908736226 -15.463734714753514 -14.266737328662538 -14.130632587167103 -14.782035870810514 -12.636779865379522 -13.825412012481575 -14.532813400283882 -12.048782557712505 -13.434545444465003 -14.693374254941133 -12.969485218617823 -11.232533406708754 -16.644881520991483 -12.623834552928637 -15.486841921334857 -16.397124425296944 -14.991714380690686 -14.523377155478302 -12.866765801678447 -14.929975045564875 -13.551625632653687 -13.319606040071333 -16.155898782063375 -14.895593872147112 -14.878127467699603 -14.282913227798831 -16.711302730235484 -16.51762052945981 -14.722945638206062 -16.736330225689247 -13.579974747021156 -15.142098205005272 -12.932603757689577 -13.855969577214978 -14.14488666126229 -13.802174756433217 -14.645378846595893 -12.59729496699411 -15.390045185978378 -14.996053413838448 -11.782173716780644 -14.404020236844941 -11.806740626401597 -14.845263755886718 -13.693214987639939 -13.501304372473431 -13.396262842083262 -12.839655653822977 -14.673903631494735 -16.03737367314742 -12.168476039900424 -15.96556720302119 -15.260108604166224 -14.645137906496375 -12.56702642194124 -16.227745966549207 -16.974761390484662 -12.866063330825133 -13.1790049080916 -11.86042043172018 -13.058766134850817 -14.168098394919834 -14.468548257719855 -15.185403007662723 -14.350269540766163 -16.832255765432407 -15.223285339545653 -12.934638393205585 -15.821218708201362 -13.624135631621785 -16.88813176815279 -16.29613600181782 -15.048398128647024 -17.03578844475521 -15.955471132885384 -13.932688211284157 -13.748980531742944 -14.669930213619816 -12.704418156221116 -11.821306827434768 -12.82656099895081 -12.395845632049651 -14.282427019819833 -12.997401803862362 -11.352849038066228 -16.45495336900048 -16.477066409967353 -14.597694244654583
AinsworthWilliamHarrison_ENG18500Ainsworth_1 -12.855278943686002 -12.571073720140001 -14.648547697246954 -10.745394875299557 -15.938796533467155 -14.052791114967844 -14.134124170306665 -14.641730939991042 -16.34925182889252 -13.324787460099719 -14.108044469923266 -14.163160569504553 -14.87449544768219 -15.406608887345286 -15.487497789066568 -13.253923828999985 -12.326023211585172 -14.358770562622261 -16.357849373191435 -15.44041067919683 -14.269468981428133 -16.98723548826057 -14.477684700193112 -12.907596067846093 -14.037322293576171 -12.791932855883031 -14.622880550724613 -15.73121916845431 -14.988631290968865 -15.024033408958022 -17.3630068531294 -14.762159187278323 -14.866702088529902 -14.167086641231945 -13.840774356701127 -13.382146221325767 -13.603034382247182 -16.05892519831496 -12.174430699500068 -13.281615861821406 -13.97621557628947 -11.33568211377383 -17.10193693806674 -13.963283446359481 -12.38238686610791 -14.785548944934817 -13.979228461464603 -13.882506594165912 -14.718984906942824 -16.134414914945488 -16.413778748217343 -14.087426720519112 -15.698806570062697 -15.254492937237025 -14.254081795504653 -12.961233836293419 -13.843830852246372 -14.28936357215372 -14.481194498937517 -13.675957006626719 -13.32679710483158 -13.950491353027584 -14.254662507755116 -11.713730742969956 -13.624423130161826 -14.750194433728193 -17.830739761951516 -13.013372723223146 -12.391479896417657 -14.32275095317835 -13.187023768197669 -14.13694580852529 -14.176308921270403 -16.36837088470781 -16.468045113299894 -13.380046829172692 -11.831178326654749 -14.110220137152941 -11.558272228094946 -15.436117562994012 -14.3233127120921 -14.97161776213083 -14.393520592301435 -14.218465706264647 -14.524583472468375 -14.500229120784203 -14.360651862105517 -14.414444459517215 -15.81355269369952 -15.529288738198986 -12.949770504866668 -13.078900031029272 -14.051953485234483 -12.720457841888706 -11.338967750802622 -14.15719749662732 -14.019534962005611 -15.447499352203348 -16.49736467931621 -15.052623258935538
AnsteyF_ENG18820Anstey_1 -16.452269970285407 -14.648547697246954 -12.571073720140001 -15.286023883224932 -12.506283225748328 -14.646390859665086 -15.89638541921114 -16.3208509520823 -13.775821247769512 -13.617828328164448 -14.144652562625293 -14.391849835604802 -16.56570682960191 -17.819863655289943 -16.925093956594925 -17.483212358061046 -12.949197730299517 -14.861826128956826 -14.93815577348372 -13.885076091785168 -13.549663111464321 -16.722121063545337 -14.640822243253064 -14.80113180591429 -15.100930517987033 -13.117274571535754 -12.939850968836332 -15.946947940228869 -13.572519202758563 -11.66781239450999 -13.075502685279853 -12.143380634864311 -12.648237329682578 -15.603762777725533 -14.813636523502044 -14.572842644396397 -15.260042149428854 -14.314629793564125 -15.114986843038851 -14.860297134256303 -15.504517959458662 -13.905318263763599 -15.834285724325222 -15.180144925572066 -12.171149711632523 -14.143403923512851 -16.755501562414608 -14.215554957304606 -13.099982369658527 -14.325298368760647 -14.350895739445892 -13.503607065575482 -14.927633539538382 -14.477088869513468 -14.536510232147224 -13.347351179340095 -13.583021465952058 -12.631875457300945 -14.890254261463511 -11.350209404260958 -15.68992504843777 -13.54907082483211 -13.239194385517624 -13.911081384711657 -15.723375324779152 -15.371982808294293 -15.25874036017169 -16.203989511919946 -15.088547161871594 -12.88347401796376 -14.022479628304596 -12.123260855593454 -12.037469367349416 -13.666808202622574 -14.351072854332374 -16.112939348504593 -16.477833565085938 -14.104114909334823 -14.313027828123941 -13.678279821172609 -14.483148886956839 -11.657193932669623 -13.289291791959304 -15.827218694909744 -13.002678308046644 -15.379838036516917 -14.037446634058082 -13.59835633722446 -14.164180291776784 -13.981953317436782 -12.799401477832625 -13.95984130582222 -14.173245292454062 -14.147831342731452 -12.80284726216638 -14.22934471150086 -13.265246112611322 -16.652168516783544 -16.249342060776094 -15.752365395642705
ArlenMichael_ENG19201Arlen_1 -17.357555814780135 -10.745394875299557 -15.286023883224932 -12.571073720140001 -11.888073014642035 -14.573918688107208 -14.252804106205538 -13.737690626369485 -11.356789826694342 -15.425255270784506 -13.800511129307651 -14.326292097278369 -14.138796247761867 -13.92405700817168 -13.133022141721556 -16.156402221176698 -14.564388744358578 -12.755294329912113 -13.006419856863117 -14.013753867607528 -15.36126449686994 -14.034509992095169 -14.407470667340913 -14.57582626732279 -15.693298512793774 -14.669975448465282 -14.181419937515056 -13.65203871608336 -13.980499678112627 -13.535535801980732 -12.588795620501568 -14.640228537079587 -13.181516660695802 -15.330131273386915 -15.114190241850592 -15.484953823291615 -15.606996113613432 -11.402766469380007 -16.012317204173304 -15.693549241333283 -14.018407149078206 -16.311569324249824 -12.386023854873478 -13.711395377201045 -15.34087835851662 -13.554649016064152 -14.838799360994358 -14.926901912723517 -13.573268131422907 -13.291504400734762 -12.23558218007684 -15.198683914763372 -12.562585082999677 -14.603047222494746 -12.592628735584782 -17.76536596316306 -16.196745677172643 -14.221964073522479 -14.363754033060044 -14.46179336151548 -13.6919336752352 -14.422052069161778 -12.512330143740721 -17.586331872658178 -14.66081743860758 -13.093267900652014 -12.056960527641191 -17.525439463832488 -17.36252934987051 -14.783305118864462 -15.442030126435837 -14.266064489606977 -11.864602407928343 -11.649234097333823 -13.752550492681495 -15.489300050423532 -15.807389257802297 -15.448792905870837 -18.479030487576953 -12.270138562461094 -15.520600580287788 -13.392406134494951 -15.732759292883681 -16.48533526474574 -14.378188007533586 -16.008676454095447 -14.141956071859154 -14.006776207935799 -11.345538203872811 -12.2811231585051 -14.980172335812274 -13.77355696196614 -13.590640727201206 -14.978546953037695 -17.782467345406275 -14.348656594007677 -12.508928784657012 -15.2316755524281 -14.29516374429369 -15.607352709181862
BaringGouldSabine_ENG18980BaringGould_1 -12.586623593560553 -15.938796533467155 -12.506283225748328 -11.888073014642035 -12.571073720140001 -16.104680638810002 -11.96392190301977 -12.989195738120733 -15.328702301694927 -14.350432597679676 -13.46113453309811 -15.260664134360455 -14.291387263795707 -12.41892988089476 -12.602015725655557 -11.281977088865478 -15.86062200185996 -14.755430485777115 -13.683516659621647 -13.950087084536728 -13.847228654045624 -13.830552664077786 -14.344670615532543 -13.695490291249344 -12.266249521247506 -13.89247894512961 -14.065223934273057 -13.426551042903501 -13.65551588200339 -16.200645750408995 -16.380974315052867 -15.680660991792323 -14.268840146298517 -13.21888427197902 -14.306126322390165 -14.466624658430018 -13.51545727790128 -16.481197708193463 -11.902858560186031 -13.938463028526328 -15.399112211468534 -12.534271818902287 -15.67520804332726 -13.815626570890089 -16.752770062141085 -15.476093562160372 -12.185952815363425 -13.9517910877067 -16.69259261058449 -15.05014265351964 -14.653038380364091 -14.879311401176881 -14.402057307372123 -14.107783188263259 -15.366062141951579 -14.684118281074362 -12.89280776660324 -16.0419102287768 -14.632114771521593 -16.35472662374872 -12.415588368013033 -12.797864433774995 -16.579469529966264 -12.882824528735634 -13.078364392628467 -14.121040763020638 -15.6787178205994 -12.420928997036127 -12.176585265358405 -15.405853972811943 -13.482552084325581 -15.624265157006594 -15.449635096808628 -15.447335611981993 -15.291079911664175 -11.834883249378318 -12.461754716465068 -14.155172194981798 -12.751313667697747 -15.151045063238964 -14.001450592463527 -16.181649300126278 -14.568222984030983 -13.434738445581754 -15.92417382398406 -12.678259829847635 -14.26003169740243 -14.08636881318346 -15.720303136508267 -15.009271851176305 -15.362879140830687 -14.819384749458251 -14.766597242692054 -13.788345398877611 -14.529720676732715 -15.572991639891983 -16.443802910703972 -13.942207802471389 -14.409514030605978 -13.829478849688215
BarryWilliamFrancis_ENG18870Barry_1 -13.926318759503054 -14.052791114967844 -14.646390859665086 -14.573918688107208 -16.104680638810002 -12.571073720140001 -13.139609258052525 -14.686948870250127 -14.343757653147337 -13.973921335666015 -15.264259517644872 -14.049323579854102 -15.452645611672288 -13.458466058988416 -13.916214780015379 -13.13928388222399 -15.601158653481903 -14.971211842095984 -12.587562151979908 -12.939141805267019 -14.445454627580343 -14.154625024879765 -14.66830299760237 -13.422603491356737 -13.696108046325689 -13.813452586437663 -14.118087797824987 -13.99293128445549 -13.384084681802383 -14.923688272318165 -14.963197287924244 -15.067006355391019 -14.859144359168008 -13.903167948705564 -15.90941996656649 -16.105208300897356 -15.271106562371648 -15.734300252954787 -14.527656067102964 -14.870021878917816 -16.305711951721957 -14.463060792622253 -14.063391229339706 -14.86549511509336 -15.288025614017812 -14.3080331524753 -14.158757621048988 -13.306750323381912 -15.534731738845807 -13.720616237153461 -14.332495705757065 -13.64228502842114 -13.64806034212871 -14.588918919801156 -13.86525517565743 -14.809740337274146 -13.504946384122904 -15.153688721796499 -14.584614903150566 -14.350001345588211 -13.220847834529014 -13.470697472833745 -14.775807844670583 -13.490958302133686 -15.086173536193549 -14.996967716161222 -12.997687082175572 -15.142841434900749 -15.570798661516324 -13.82422229540668 -13.065779462362531 -13.883057164285152 -14.034677969039127 -14.254335391973795 -14.515300603644725 -13.98197817612558 -14.550015344313739 -14.303077554161884 -14.16931858809237 -14.240726224658356 -14.471438711586986 -14.111739874965554 -15.111642301068235 -15.723202499956777 -14.492626503135828 -15.21671078643048 -13.328019492245188 -13.619866859988498 -14.841153604236572 -14.12184025621977 -13.07527831680294 -14.542494966214171 -14.742892830165653 -15.125038130356632 -14.680431177848803 -14.669538818839632 -14.595721079585415 -14.943132469723013 -14.858624116885311 -13.265350199986436
BellocLowndesMarie_ENG19121Belloc_1 -14.173039286994747 -14.134124170306665 -15.89638541921114 -14.252804106205538 -11.96392190301977 -13.139609258052525 -12.571073720140001 -16.178512725007234 -15.083746682440013 -12.54652945186052 -15.17958773896433 -12.791961006116518 -13.908697758551627 -14.453539278112062 -16.22273483621791 -14.816566319580135 -12.930565068969306 -14.804948553214249 -16.174774580757216 -14.74104088329323 -13.51256434444735 -14.318135425237354 -12.182371582578199 -15.15142101056228 -16.162747943510855 -13.495968998691138 -14.136709070094863 -15.023875850055315 -15.07998495426763 -14.207208736855424 -13.700543132262146 -13.9566202457163 -16.191993402322407 -14.87960510202929 -13.40384182265443 -13.332879959772095 -14.839148084110414 -16.66578924531055 -14.887153256372885 -14.430316974258842 -14.124253637070014 -15.846608808372867 -15.238843489728614 -16.269447374394026 -11.618896077466148 -14.66377834508114 -15.821560352640116 -13.8758563410935 -11.692752304356926 -14.425029888034674 -16.6241263731903 -13.165880750458665 -16.45235710889325 -15.828492662500015 -14.825486725704685 -11.289103002437857 -16.79009491866553 -13.112076230636088 -11.62306144615544 -11.935223047382419 -16.38413688705767 -15.403201726449486 -13.959234272865256 -12.486599825850105 -15.317208578517706 -15.40324159677232 -16.017287845226676 -13.624825912519498 -15.172184797079357 -11.909949134193136 -12.603607756481033 -10.518844651395192 -14.472125318532257 -14.24182707592114 -13.66954310730112 -15.164481773504043 -15.281034197103194 -13.588814942693972 -13.653301575671122 -15.360860489049378 -14.90006930765432 -14.408951316624515 -14.463500924929166 -15.52773848682248 -15.915416623843543 -14.302815258150307 -15.306672141801725 -14.292908579655368 -15.10874825935512 -15.004246147079195 -12.902862277891014 -13.719171512634986 -14.30155422867044 -14.280324664357936 -12.009827029765122 -14.566584787448807 -13.399771303586569 -15.785206852313358 -16.2468872408937 -15.63567539100422
BensonEdwardFrederic_ENG18930Benson_1 -15.317077079826833 -14.641730939991042 -16.3208509520823 -13.737690626369485 -12.989195738120733 -14.686948870250127 -16.178512725007234 -12.571073720140001 -13.12784837455458 -13.133112642584095 -13.652421994822085 -12.844700519261417 -17.742798130896347 -15.351950723857302 -14.29449121404337 -16.120244159794808 -14.274615623578132 -14.456384181671634 -15.051825075813701 -13.482147007852229 -14.70123229894825 -17.967188231812703 -13.638383342103495 -14.133863660297088 -14.075267321892492 -12.693422662734614 -12.479031868027308 -15.330106532112515 -14.166081553439653 -11.972435586951425 -13.264505964757799 -14.583176279160424 -11.128694259957642 -15.229674654457233 -14.474720501706322 -13.925157467211124 -15.784028124350934 -16.471029874457656 -16.97619948628662 -14.979051024103303 -16.03178099070018 -16.7156145113826 -15.805298448905642 -17.7537321737114 -10.636857700383414 -13.569923905618099 -18.244443537168074 -14.06218234109943 -10.630553694770212 -16.43678242546669 -14.916169716760002 -12.038511463087273 -16.513205536453977 -14.886904989766572 -13.94551177041189 -12.415489783777144 -14.725493608242044 -12.190839300910033 -15.462271429651297 -9.698850758915473 -14.984496077332645 -12.753477642200108 -14.93099079754197 -14.888963459888592 -16.806360561751994 -16.028547602768874 -15.7397425497082 -15.466024550393414 -15.634666166890774 -10.631586413585485 -14.546168476783194 -10.859934754348084 -12.067418881373394 -14.226463091649485 -12.978622777040998 -16.013000161079127 -17.431551647535144 -11.731239325772595 -12.568526334793109 -11.576457252529217 -14.883119121690891 -11.448650818537839 -13.695358907720296 -17.147076747217046 -15.446416316937666 -13.957266579517027 -11.912797641816798 -11.549529987596749 -15.030449170250641 -13.484685436214985 -11.130961221913614 -13.201989759367928 -13.128130726733326 -14.402683016363927 -14.016248456239094 -14.439897726075369 -13.2884329469574 -17.82264732688833 -18.029059554981753 -17.768094023668382
BensonStella_ENG19190Benson_1 -12.391916133681647 -16.34925182889252 -13.775821247769512 -11.356789826694342 -15.328702301694927 -14.343757653147337 -15.083746682440013 -13.12784837455458 -12.571073720140001 -13.719764869093803 -14.636995447259553 -15.60128997027127 -13.000434834666011 -14.396261597042447 -14.846170566614326 -13.807105710481988 -14.689026217737847 -15.573351489247466 -14.689523181098837 -16.631975810272625 -13.886157283890801 -12.79006564373485 -13.65808255733482 -15.887285135193896 -13.244780436460292 -13.690177978587432 -13.935100094685831 -13.57833011959419 -14.246714974243616 -16.47341293525139 -16.5323246608966 -15.075130001663632 -15.627307286504514 -13.91194931390287 -13.285611119638315 -14.685763836626377 -14.743989064015894 -14.330756848056378 -12.327423397725964 -13.388807600528166 -13.62196070649063 -12.701477834678682 -14.64091021562265 -14.527728365127624 -14.925908924748947 -14.574205765070037 -13.255035450608275 -14.338540481727938 -16.285939292031355 -14.205764870450256 -14.10332348034268 -13.778737096790186 -14.89636568846755 -13.755185325710956 -15.242641554202628 -13.25783320634751 -15.160148014294217 -15.226756917635782 -13.880765107111891 -16.29874832365945 -15.807419811627923 -15.397062897993075 -15.822388007099091 -11.63241539003826 -13.5329671151109 -13.591285787261643 -15.842516698369085 -12.781811810205458 -13.013088185234945 -15.5111367530424 -13.829970086205284 -15.125464390630848 -17.25957504018555 -15.384637880971503 -15.771589273697643 -12.397684791815239 -14.169161820327984 -14.386736360171396 -12.88851795377934 -15.964486359665637 -12.73921219263627 -15.974060743069332 -14.43775347077567 -11.696417426706576 -14.510407623897219 -13.131225559956487 -14.999200451584969 -15.08677930836604 -14.286521472818617 -13.635257397661961 -16.089398678740658 -15.893611448486515 -15.706427545979794 -14.409847276166003 -13.740213213318638 -13.9982138975577 -16.57016417060578 -12.593452464089507 -12.69854306756284 -13.73908045111234
BlackmoreRichardDoddridge_ENG18640Blackmore_1 -16.52274170355426 -13.324787460099719 -13.617828328164448 -15.425255270784506 -14.350432597679676 -13.973921335666015 -12.54652945186052 -13.133112642584095 -13.719764869093803 -12.571073720140001 -12.814247455694392 -15.075110931769208 -15.622321407877664 -14.331515772783963 -13.238363454583707 -13.890815858022572 -14.72081036610865 -13.348176578778727 -13.818868993560299 -13.333612960325718 -13.628905618715482 -13.829868297993709 -14.36750424779825 -13.525120302942522 -16.04274546591761 -13.906924112279066 -15.720155667279183 -15.192700514242947 -15.028320713873603 -13.466079935868484 -12.785015524047248 -14.396177905585134 -14.48865694267506 -13.916350628964004 -14.164846658439052 -13.083125190339175 -12.470930027754346 -13.183401009658763 -13.539841538644763 -16.020479307196283 -13.447205562469005 -15.162241651063145 -14.84578309052855 -13.218187865305685 -14.31863990135386 -14.485588657367122 -14.315982239706988 -13.793044670170943 -14.523639082940644 -13.60553347961649 -14.739755607170048 -16.8846021211496 -14.15771576901264 -13.585809260453132 -14.06507153768964 -15.971655197331728 -13.65472948318409 -13.798876583343018 -14.799417530178701 -15.378529544680072 -14.316918711392683 -14.681209303856946 -12.756604710510064 -17.34903217183798 -13.19264354212213 -13.941571360866721 -12.909683193055768 -14.347947128024066 -14.391072476369546 -14.99976163132667 -15.587223527873057 -15.964304089552387 -14.181287730534144 -14.605741133494107 -13.584724659407238 -14.511596782479465 -14.429043939042595 -15.79165089459626 -15.028031900143011 -15.38354213023433 -14.581436491261789 -14.209052269969877 -14.281090287606675 -13.828678904566711 -13.655619788670442 -15.130783987215072 -16.018455745406328 -14.861202354138209 -15.374033044040583 -15.358963096046848 -15.407286971193972 -13.53238974359142 -13.169946209259324 -12.791199797817127 -15.156420135189705 -13.605825824659613 -14.737428279631496 -13.739976830148333 -14.138256562743289 -12.820920223791259
