 AchardAmedee_FRA04301Achard_1 AdamJuliette_FRA00101Adam_1 AdamJuliette_FRA00102Adam_1 AimardGustave_FRA00301Aimard_1 AimardGustave_FRA00302Aimard_1 AllaisAlphonse_FRA00401Allais_1 AudouxMarguerite_FRA00201Audoux_1 BalzacHonorede_FRA00501Balzac_1 BalzacHonorede_FRA00502Balzac_1 BalzacHonorede_FRA00503Balzac_1 BarbusseHenri_FRA04401Barbusse_1 BarresMaurice_FRA04501Barres_1 BazinRene_FRA04601Bazin_1 BlandyStella_FRA03201Blandy_1 BlondelAdele_FRA07101Blondel_1 BoisgobeyFortunedu_FRA00601Boisgobey_1 BoisgobeyFortunedu_FRA00602Boisgobey_1 BourgetPaul_FRA04701Bourget_1 CarraudZulma_FRA00701Carraud_1 ChandeneuxClairede_FRA06401Chandeneux_1 CordayMichel_FRA04801Corday_1 DarienGeorges_FRA07501Darien_1 DashComtesse_FRA00801Dash_1 DaudetAlphonse_FRA00901Daudet_1 DelarueMardrusLucie_FRA01002DelarueMardrus_1 deMontepinXavier_FRA06301Montepin_1 DombreRoger_FRA01101Dombre_1 DombreRoger_FRA01102Dombre_1 DumasAlexandre_FRA04901Dumas_1 EekhoudGeorges_FRA05101Eekhoud_1 ErckmannEmile_FRA04102Erckmann_1 FeuilletOctave_FRA05201Feuillet_1 FevalPaulHenriCorentin_FRA01201Feval_1 FevalPaulHenriCorentin_FRA01202Feval_1 FevalPaulHenriCorentin_FRA01203Feval_1 FlaubertGustave_FRA01301Flaubert_1 FlaubertGustave_FRA01302Flaubert_1 FlaubertGustave_FRA01303Flaubert_1 FleuriotZenaide_FRA01401Fleuriot_1 FleuriotZenaide_FRA01402Fleuriot_1 FleuriotZenaide_FRA01403Fleuriot_1 FranceAnatole_FRA01501France_1 GaboriauEmile_FRA01902Gaboriau_1 GalopinArnould_FRA05301Galopin_1 GautierJudith_FRA01601GautierJ_1 GautierJudith_FRA01602GautierJ_1 GautierJudith_FRA01603GautierJ_1 GautierTheophile_FRA01701GautierT_1 GayMarieFrancoiseSophie_FRA01801Gay_1 GilbertJehan_FRA02001Gilbert_1 GirardinDelphinede_FRA02101Girardin_1 GouraudJulie_FRA02201Gouraud_1 GouraudJulie_FRA02202Gouraud_1 GouraudJulie_FRA02203Gouraud_1 GrevilleHenry_FRA02301Greville_1 GrevilleHenry_FRA02302Greville_1 GrevilleHenry_FRA02303Greville_1 Gyp_FRA06501Gyp_1 KockPaulde_FRA05401Kock_1 LeblancMaurice_FRA07401Leblanc_1 LerminaJules_FRA05501Lermina_1 LeRougeGustave_FRA02401LeRouge_1 LerouxGaston_FRA07601Leroux_1 LesueurDaniel_FRA05602Lesueur_1 LotiPierre_FRA02501Loti_1 MalotHector_FRA02601Malot_1 MalotHector_FRA02602Malot_1 MalotHector_FRA02603Malot_1 MaquetAuguste_FRA05702Maquet_1 MaupassantGuyde_FRA02701Maupassant_1 MaupassantGuyde_FRA02702Maupassant_1 MendesCatulle_FRA07001Mendes_1 MillePierre_FRA05801Mille_1 MirbeauOctave_FRA02802Mirbeau_1 MontagneEdouard_FRA07201Montagne_1 MosellyEmile_FRA05901Moselly_1 NoaillesAnnade_FRA02901Noailles_1 OhnetGeorges_FRA03001Ohnet_1 OhnetGeorges_FRA03002Ohnet_1 OhnetGeorges_FRA03003Ohnet_1 PeladanJosephin_FRA06601Peladan_1 PonsonduTerrailPierreAlexis_FRA03101Ponson_1 ProustMarcel_FRA03601Proust_1 RattazziMarie_FRA03302Rattazzi_1 RebellHugues_FRA06001Rebell_1 ReybaudFanny_FRA03401Reybaud_1 RollandRomain_FRA04202Rolland_1 SandeauJules_FRA06101Sandeau_1 SandGeorge_FRA03701Sand_1 SandGeorge_FRA03702Sand_1 SandGeorge_FRA03704Sand_1 SternDaniel_FRA03802Stern_1 StolzMadamede_FRA03903Stolz_1 UchardMario_FRA06701Uchard_1 VaillantVictor_FRA06801Vaillant_1 ValgandCecilede_FRA07301Valgand_1 VerneJules_FRA04001Verne_1 VerneJules_FRA04002Verne_1 VielCastelHoracede_FRA06201Viel-Castel_1 VignonClaude_FRA06901Vignon_1
AchardAmedee_FRA04301Achard_1 0.0 2.1916187380866097 2.222762066614954 2.0039989189071292 2.0065953309340676 2.2860645685227645 2.1005410077155893 2.423858455074727 2.3639477145014194 2.34075621230072 1.9934617987103072 2.2295268592606954 2.209985553276454 2.1871371189316853 2.4372559346608957 2.308021484483021 2.261437009876528 2.228597155348799 2.411315570412366 2.116070355545237 2.1744145427256223 2.2763693853571185 2.400286274166273 2.0158045791343215 2.221810124371629 2.295133562640222 2.303085897534575 2.2210232881257257 2.10414218510377 2.2017533493137886 2.0437430427148024 2.136085181994983 2.150555102782814 2.110484445877762 2.088353895525917 2.1208373859733953 2.039040795707894 1.9962221278227537 2.1458751764623596 2.1801745845603415 2.329174004354326 2.120076217666611 2.0329618750201317 2.0778404217071724 2.1217052706563715 2.017481991306326 1.9711602888722404 2.122257725743574 2.4134068667694564 2.3430900866181674 2.357779005309481 2.4558249577619335 2.338733330895928 2.5446583130939704 2.2553477639749477 2.3333875800554553 2.2746351953967276 2.341829908684589 2.3263780272576127 2.1225424733341507 2.1278804622986254 2.1782528416946496 2.0047091000293777 2.19548466518852 1.992982352047697 2.1618769378878575 2.2142600725845516 2.2702465274491095 2.1490184795293636 2.0251943508502004 2.009920250901498 1.978098053981396 2.165817930774002 2.0784803614549703 2.1538692591626574 2.0119872973255224 2.2556053858588743 2.1291957420341627 2.0478946232831485 2.260861637860587 2.308737765695297 2.124871765606408 2.4104993144014433 2.3641339942115014 2.163552664316438 2.1910011015512922 2.120633138643884 2.1626565254006964 2.2915098487092425 2.2913080092981426 2.279842778805176 2.184970667716661 2.289786339661684 2.1401836380184154 2.242131762724851 2.349316875367972 2.1612026740780275 2.153629443490538 2.223947628243849 2.2279935974890512
AdamJuliette_FRA00101Adam_1 2.1916187380866097 0.0 2.2087463423987757 2.424111352904727 2.39384067264303 1.997013929339258 2.1071260222154873 2.1679640687268646 2.0433162284396715 1.9681680247383722 2.0410147627025883 1.9357744296669708 2.142476146106134 1.9984930700727186 2.072055186395497 2.1017558358568404 2.1854118918066545 2.2113271204776463 1.6847075946601655 2.4427358902600127 2.313305871368446 2.051509442906291 2.2659194453785574 2.083382231059336 2.352360061225218 2.2042493165977755 2.2878384699467342 2.054851110702679 2.386482175845252 2.056087197000129 2.0099535126838073 2.265185111643068 2.2765274741944794 2.0662434158674508 2.211233580583863 2.3172611240614076 2.380720758143399 2.369223452395201 2.305663837612804 1.866793449808919 2.2998889095330077 2.2055510647175307 2.266137923860644 2.2964975349385166 2.462223465401401 2.587285528238681 2.4097456975663842 2.1456037760312845 2.040228565470028 2.1206608070849158 2.147169212591014 2.0887470575886984 1.9200678909102584 2.077398106737297 2.403642901814341 2.311420971977414 2.2908152808829296 2.1316470611954657 2.047502446310542 2.3505328183709517 2.324363223024007 2.2723972961492174 2.2479499355060777 2.395221350871736 2.0841106700018788 2.099379153850849 2.0601403373962093 2.1476015199350216 2.339585555823711 2.1967306065030447 2.2995120469258152 2.2702146193000416 1.9489558001193634 2.180544521098431 2.3221001991879944 2.1145410247989718 2.301432677458704 2.3259572450736767 2.4537890381568803 2.2087748207590665 2.210775795401162 2.4434564816882762 2.0987126384757664 2.2418800865460686 2.473259928027962 2.172734866399404 2.236298353354294 2.2692784527249996 1.8950334393034325 2.06454764666577 2.0494164736944045 2.321876474861075 2.1129986167221757 2.248766963869001 2.1857140396836967 2.2949340725953467 2.3416967710999614 2.2966925927512998 2.1480751083802736 2.3926417052249205
AdamJuliette_FRA00102Adam_1 2.222762066614954 2.2087463423987757 0.0 2.2286593361949785 2.1866277365802347 2.08243294485522 2.457096558244081 2.087622964081109 2.310871242444029 2.244353543575503 2.3697844806338786 2.2643146767561637 2.315579198472337 2.3437734955139167 2.304236492182084 2.274723659690852 2.3503047501281866 2.311656307378887 2.2227954695145615 2.0842319486894523 2.0260250851587767 2.14225758297474 2.0311129572193525 2.3421441789547908 2.1304633290528843 2.1190461835622076 2.0305211730721595 2.2552714969089136 2.189493069387605 2.2139700644864275 2.3019893292824283 1.9701748041147247 2.2736904579686943 2.249192825581992 2.043993251909076 2.424459879806945 2.3562014290902065 2.313736807381416 2.239861729778068 2.188077851883902 2.060644229941465 2.24838480715073 2.3271144775637103 2.311170783449531 1.9991245724643218 1.955914666725231 2.0511387682225197 2.3385091569352445 2.1533717819005838 2.323154248882939 2.016634121324517 2.0999326675745573 2.286209060170105 2.077326126982367 2.1266502217099092 2.1127157135367938 2.1890866220582756 2.2676820888846416 2.153289217505793 2.227835758005904 2.2670956685306742 2.2839476837338974 2.3283224601215506 2.049302309611141 2.449358505842852 2.3152748083364414 2.3173691837327337 2.440177700861742 2.10297498993643 2.411977503231795 2.296646047206188 2.3388736476600602 2.5792079450917194 2.2993489005085794 2.1806809952839705 2.3824553802558266 2.1152494522624217 2.2974858661350774 2.092843588298459 2.3199943746049136 1.5145988485941677 2.0556202465601943 2.229166689459645 2.322349815466348 1.9189142615667096 2.3805495073586656 2.2715589556571247 2.119233106436952 2.211508860610414 1.8356292652266764 2.1207896506023998 2.0246686378203584 2.235478656171927 2.291664206060374 2.214044354972831 1.9186033840909547 2.142399165998424 2.2196445176200736 1.9984953493139634 2.0415184963250415
AimardGustave_FRA00301Aimard_1 2.0039989189071292 2.424111352904727 2.2286593361949785 0.0 1.6333145402882256 2.1867492678124583 2.2871926686472825 2.2632441153012675 2.4062482105411886 2.2312191776179615 2.2371769994409214 2.245025350250933 2.26288538938042 2.2653696210498824 2.3946831084332514 2.3848684446870254 2.4085895736841945 2.1311067858634143 2.416696386850599 2.203033106523777 2.311064132149544 2.3397768026505563 2.133039944071901 2.2924989294080125 2.4515693849547797 2.0972169750766234 2.3542522866012003 2.314977118788873 2.0185586415345296 2.2080048873143334 2.1510486242198668 2.1598797441146744 2.3302852502341587 2.141184543785036 1.9023161329314264 2.109441360828053 2.207976506255034 1.8765495938043069 2.166040798983432 2.2619165008376645 2.193784605652203 2.1532265760520883 2.0915146007331624 2.0156825286004567 2.0022546938655688 1.9288399188594327 2.050731891122674 2.171187139673086 2.1989307285079533 2.2604468063503513 2.284889125562536 2.363683785975299 2.3309042130184294 2.364131290938246 2.22485988880431 2.2835930132968096 2.3478175022594177 2.3121853762324065 2.207337362345878 2.0909429314868753 2.124913397742744 2.2759269463780223 2.094877722987305 2.0812618999214827 2.150034150122326 2.27829297321481 2.0792334211837633 2.304089721570127 2.1324087526493014 2.149159184261532 2.2070906655366493 2.3043410660652395 2.254248135729254 2.297959481527422 1.9194198459818508 2.3374274171997746 2.258111731599969 2.0770479133539563 1.9946115254758738 2.2512188900196772 2.2006543146912216 2.062181658078061 2.4079105684165145 2.479983882190599 2.153832385498621 2.3393016229210413 2.0916284866672235 2.1438343568620235 2.398351343892714 2.197861362449067 2.1340200885268885 2.1806690654092264 2.3507920648592386 2.165062680197406 2.1401437203381732 2.219182621767969 1.8264156989498201 2.0002670767462503 1.8296994397010813 2.3510848311120602
AimardGustave_FRA00302Aimard_1 2.0065953309340676 2.39384067264303 2.1866277365802347 1.6333145402882256 0.0 2.0987887784963704 2.308564027522463 2.1811971278802105 2.26350336894758 2.148830377777796 2.293832834056433 2.1627876260770376 2.2143013126822275 2.1588115994933768 2.357458650568448 2.240826225293885 2.2507601142305274 2.1513193874553376 2.445640382542459 2.2050093864613 2.3239220987435063 2.242672520824914 2.0536714259542066 2.390817787344513 2.555422720312203 2.0776888190543805 2.361348208760732 2.3858041489036323 2.0572752949549775 2.087052769744061 2.139988446637619 2.0389332318729516 2.248042123107806 2.102140240574774 1.9244165474770223 2.190794605246909 2.347193627810754 2.037279437115782 2.261875670898218 2.205299266123805 2.2104982898871226 2.204990549119488 2.1033016026499243 1.9716963422641478 2.0846512081481414 2.0786847126712664 2.1625446527288417 2.0932531025351757 2.1418988137936825 2.007937609665705 2.3614195344076787 2.3131263704766942 2.2554067811134693 2.2262527416439766 2.3538292277490376 2.342976365928548 2.3611724423377067 2.4037648314079814 2.170520340979097 2.0828890832819655 1.96531561601129 2.312275870655839 2.11666089041186 2.1457820913613586 2.265198339749624 2.2532035029775916 2.100520507584243 2.3329472101484288 2.125396454456707 2.194808112462879 2.2243333613547316 2.3554454778202274 2.2498566961436444 2.3837448714124063 1.8544973694354931 2.3533646423296957 2.368689699518393 2.1074828774447703 2.1217042303190286 2.2578251529646245 2.1263587696249617 2.100280886096342 2.376295200810279 2.383544445326068 2.2384876897509867 2.2683266383382326 2.1923325947628105 2.1372906757747874 2.3267905996775817 2.2042760446325693 2.115670249753177 2.1661506442682983 2.430728083026623 2.286857208832102 2.089162143001984 2.2857503210012964 1.868242579859822 2.00460288467933 1.6931751001842454 2.309748081060766
AllaisAlphonse_FRA00401Allais_1 2.2860645685227645 1.997013929339258 2.08243294485522 2.1867492678124583 2.0987887784963704 0.0 2.3101937676451674 2.0911057727156543 2.009416861081745 2.089058888347089 2.093123236750694 2.109971718496473 2.3511140068976353 2.08654472801746 2.2345528665000987 1.9652085113392643 1.9882927141264086 2.322807892747565 2.205176882038703 2.320571855569867 2.279192269382219 1.931480076343176 2.1725515669138393 2.350922630793124 2.6616792173411614 2.180098740137343 2.295370457243849 2.441220479610562 2.295410002305974 1.8020988069751156 2.300871223834416 2.053493736205884 2.171574285120165 2.2433080990753114 2.3124151211796184 2.287337461045378 2.399517624447715 2.344657989401163 2.3499639309165596 2.0072198413353286 2.1804766707143877 2.1556556183881685 2.1458180078077382 1.9112936335827508 2.3051952989666 2.3767969314567146 2.327092605713351 2.2234451354360196 2.037765580481645 1.9297428735117361 2.244395638606414 2.1484262155442524 2.1424885069402837 2.1619448059035755 2.363582801608541 2.3719458445022723 2.3541891733704636 2.1743752441316264 2.1917653157357186 1.9955182524550856 1.851090544261646 2.2704980071261343 2.3540533706144675 2.3133641410887558 2.410935400790239 2.0618322645352447 2.0432673342253276 2.0348980528337255 2.227523803899503 2.3129972892818826 2.5201924366133968 2.437717016077663 2.026080615813645 2.262981368229591 2.1242401979853067 2.338481973010278 2.3909181323654844 2.357885222583005 2.365140751387019 2.03431194568423 2.113837588363666 2.272306229942929 2.004982714599099 2.1704688968666526 2.205989878698789 2.2368122245450834 2.2521140206081767 2.120617560293305 1.962092269789566 1.949934288580522 1.9646232133081414 2.2823457472863065 2.1822952860698646 2.332777364958156 2.088032391700186 2.266132963237519 2.0093967495029745 2.0833319886600847 2.1843996054620747 2.2621463574782834
AudouxMarguerite_FRA00201Audoux_1 2.1005410077155893 2.1071260222154873 2.457096558244081 2.2871926686472825 2.308564027522463 2.3101937676451674 0.0 2.4360744564483654 2.4597738680168257 2.258249533639529 1.924926770896092 2.305758501482727 1.8343304991430038 2.3994004344556457 2.403721872659733 2.5037050007477974 2.513067570753016 2.120622369970333 2.279876168430337 2.2618219204796866 2.221261993008848 2.5212129581661995 2.3783506226114612 1.7758311472369237 1.5912358828414574 2.280014978317698 2.3812421607853196 2.0774814275627844 2.133824694346706 2.312788630280316 1.8020262486079845 2.4069923587452418 2.1786118846036393 2.0459569330756096 2.0605619605182914 1.9381887040749128 1.892709169780857 1.8424896847380794 1.947996757714333 2.128056401356041 2.2851809927454765 2.249974543691769 2.2903237891625454 2.079323550190674 2.032073903378265 2.0015216912409435 2.011668922505076 2.0459927240321605 2.6618728255538233 2.442517933078514 2.435995588803073 2.502618318055697 2.2035030573708747 2.3447331983236506 2.3231813427460892 2.291324543941133 2.162205216592268 2.1377916768090772 2.3302998771077323 2.1858880616206338 2.2931093554891575 1.9455477506174912 1.9563503987640132 2.3334128561495784 1.8200468245594403 1.9542178933467875 1.935595369391331 2.4315790088803224 2.1809309936511263 1.9314447015438545 1.630722227653622 1.9261849044791128 2.231166381988464 2.073241910353115 2.3935925753122973 1.7059408675452152 1.9874447500238757 2.1187697064182287 2.1365690301291225 2.4507309166119997 2.4223462092623325 2.1027976467171716 2.2801154091183484 2.280065433738387 2.1820091197578595 2.070969809075918 2.2908445112709277 2.4345661172051125 2.426215408641936 2.6487439626612455 2.689828020097578 2.255973949271185 2.3739970900038077 2.2737519851524937 2.6020331562749157 2.1646474383117056 2.251704433668732 2.2709716475829147 2.244585427142604 2.4355173063631765
BalzacHonorede_FRA00501Balzac_1 2.423858455074727 2.1679640687268646 2.087622964081109 2.2632441153012675 2.1811971278802105 2.0911057727156543 2.4360744564483654 0.0 1.7451800093655376 1.7216905808927636 2.263158824879168 2.1459230589032736 2.1891552887604124 2.2623447357225372 2.0453911021822844 2.146963068201561 2.1211472780191354 2.2361493837258473 2.1022083633792574 2.119989936025699 2.120533632952889 1.940788626422271 2.223470786643268 2.1871405215872555 2.306102964259611 2.1380665121471742 2.1801669402532067 2.3706600348728664 2.3151442800265682 2.2735843092513663 2.4860797684818174 2.108383210548348 2.3653346956718346 2.3814385792611676 2.410405103340581 2.1740535638938008 2.304274701757285 2.3885581703404597 2.3626057098932813 2.400867072139854 2.1693515291214975 2.160592216444189 2.131203607328162 2.2508809903766283 2.393540293083815 2.270564338692582 2.0812433968953132 2.4431174842412835 2.153407109600484 2.180902632906299 2.05849348637657 2.1399067888111634 2.3510217105581175 2.239236778149598 2.0889527771195673 2.176195199881928 2.1713357862027554 2.2317460319485827 2.1471853456707657 2.2119245249408204 2.2293043157458623 2.3341665462064687 2.4346254285538533 2.1519335123402925 2.276306918219442 2.218794076158824 2.2527520604964093 2.1143410815767227 2.2731620321612533 2.1666409705918093 2.245784430829451 2.2412311779025362 2.1252966169829697 2.0746178534246322 2.1806155872312414 2.383449298867513 2.169874199563237 2.175568736595168 2.1249367972689996 1.9940799647602159 1.920996140593354 2.2735988221843773 2.1633593174078096 2.129360766761738 2.1947824064203205 2.289401844983262 2.090234217986113 2.222317127608732 2.0261373085338086 1.970061811215905 2.0612079118696993 2.092392241058275 2.011322480051657 2.0839361843836324 2.093770294432466 2.0037501399800055 2.269641129152089 2.135415062948794 2.362120716736432 1.9738654735471375
BalzacHonorede_FRA00502Balzac_1 2.3639477145014194 2.0433162284396715 2.310871242444029 2.4062482105411886 2.26350336894758 2.009416861081745 2.4597738680168257 1.7451800093655376 0.0 1.882275607534453 2.264049384489363 2.142950154698632 2.2827348140481463 2.1687923335316253 2.0310149345031796 1.93760121662993 1.9405346896508733 2.3401724386204457 1.8631662538091804 2.26677489612272 2.2658994107575503 1.8798777261919342 2.22193262025434 2.1699824064052065 2.5147011313060705 2.0395017860305895 2.1439851896841806 2.268798729773581 2.231972598158125 2.109463850406957 2.4422015023609354 2.2306138213886335 2.2686793413577253 2.3801333404512053 2.4125054686624576 2.196635444531481 2.323419341984341 2.4115007480446087 2.2578945824593704 2.247764935640678 2.1282403650908 2.0818690292749666 2.1886586154529466 2.2199837200708536 2.533533042931135 2.5067480403612694 2.3648710980079652 2.260328022562904 2.0442898856376877 1.9811462810612437 2.089344863231718 2.146179481830675 2.159749035609587 2.178098511212911 2.181567741710668 2.226316879457923 2.295525146488622 2.209012491519804 1.9727301411656786 2.215665466618069 2.250229506316567 2.227024819729351 2.3575149980511094 2.2360419688378794 2.2701712361738706 2.185448542854503 2.1381936548020235 1.9177083059838462 2.168833790563718 2.1323800263213237 2.417273893692945 2.297185479696642 2.053445211576755 2.1969852618579804 2.291441804074503 2.4901532055799285 2.281430824363865 2.2602515598277533 2.2478007751970273 1.7917205416531712 2.138693246721738 2.3251079887342265 2.187329466525136 2.06111748244258 2.2916050861691883 2.3086634402570843 2.105229276034191 2.19081929508813 1.9135136773447883 2.007775178498788 2.0505496864605504 2.262355843465255 2.0468792824871898 2.1056587841838272 2.0547188486864396 2.049932127468224 2.254382011373658 2.205573606077778 2.3986124648792875 2.1442492841015746
BalzacHonorede_FRA00503Balzac_1 2.34075621230072 1.9681680247383722 2.244353543575503 2.2312191776179615 2.148830377777796 2.089058888347089 2.258249533639529 1.7216905808927636 1.882275607534453 0.0 2.155041918834597 2.124873391216934 2.0087298962894904 2.2979787727092114 2.136372432228441 2.2408294403418028 2.242802264842727 2.171463372833025 2.0089905913335286 2.2298099917958663 2.2209121811033414 2.092185758935261 2.1425485395029824 2.3706331011933077 2.3435139296368166 2.1487271780570305 2.2017581933993986 2.2180710811059616 2.2652768713443523 2.1801536685236957 2.410137837720826 2.1144138753313815 2.375041505507121 2.3051150237952736 2.211113432707295 2.1749800186545727 2.1395900440508577 2.187898425499568 2.293827711142054 2.367180057922963 2.234298006633555 2.1284242948627443 2.2058388509017193 2.1790196491658387 2.3182765698968177 2.2362909788543055 2.1544267164823268 2.3307494126904484 2.1492499932808427 2.2599322860548874 2.1745890524407794 2.2123957313366756 2.308044614490245 2.258189737950632 2.187541761743633 2.260659398786919 2.3774033515754343 2.2964050988218014 2.1738269178233924 2.2649960552765256 2.2861388347557887 2.311867018078555 2.3336326941952907 2.148404770220292 2.163216339079111 2.1688453868806064 2.127669916669527 2.1231784326122565 2.268472726088375 2.2576919452582103 2.219719394597132 2.200463126505904 2.1158431087535146 2.257097203314441 2.177820990161799 2.288910379009901 2.193972512423126 2.2627143094902156 2.094140549219332 2.0388983275783126 2.0681754371093097 2.3311891791250914 2.120925657853875 2.2440022663273727 2.201073284888664 2.1510391144779613 2.1019910664220856 2.232772094919429 2.08748790040066 2.0733241507047566 2.1084458903063754 2.177624166740762 2.163111974894468 2.2313154241036903 2.156470218280844 2.1207427340745024 2.095469509421151 2.1828640831086674 2.136873106013166 2.0746514498002995
