 AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 CxipikoIvo_SRP19090IvoCPauci-L2_1 CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 DinicxSreten_SRP19091SretenDPreporodjaj-L2_1 DomanovicxRadojeM_SRP19025RadojeDStradija-L2_1 DxordxevicxVladan_SRP18631VladanDjKocinaKrajna-L2_1 DxordxevicxVladan_SRP18690GmundenskoJezero-L2_1 DxordxevicxVladan_SRP19131VladanDjUFront-L2_1 DxoricxNikolaV_SRP18821NikolaVDjKavaljerLaza-L2_1 DxuricxDusxan_SRP18962DusanDjKonacDelo-L2_1 DxuricyicxMladenSt_SRP19141MladenDjKadSumeTalasi-L2_1 GavrilovicxAndra_SRP18930AndraGPrveZrtve-L2_1 GavrilovicxAndra_SRP18964AndraGDespotovaVlastela-L2_1 GavrilovicxDraga_SRP18840DraginjaGIzUcitZivota-L2_1 GavrilovicxDraga_SRP18870DraginjaGBabadevojka-L2_1 GavrilovicxDraga_SRP18890DraginjaGDevRoman-L2_1 GlisxicxMilovan_SRP18751MilivanGGlavaSecera-L2_1 IgnxatovicxKakov_SRP18590JakovIDjuradjB-L2_1 IgnxatovicxKakov_SRP18620JednaZenidba-L2_1 IgnxatovicxKakov_SRP18630JakovIMilanN-L2_1 IgnxatovicxKakov_SRP18750JakovIVasaRespekt-L2_1 IlicxDragutinK_SRP19040DragutinIDjera-L2_1 IlicxDragutinK_SRP19061DragutinIHadziDisa-L2_1 KaksxicxDxura_SRP18740DjuraJSeljaci-L2_1 KaksxicxDxura_SRP18760DjuraJCicaTima-L2_1 KankovicxMilica_SRP19180MilicaJPreSrece-L2_1 KanxicxVelislav_SRP18992VelislavJLutajuceDuse-L2_1 KaraRadovanovicxPavle_SRP19002KrvaviZlocin-L2_1 KevticxaStevanaK_SRP18911StevanJJDanica-L2_1 KezdicxKostaD_SRP19062KostaJZlocinSvekrve-L2_1 KomarcyicxLazar_SRP18800DragocenaOgrlica-L2_1 KomarcyicxLazar_SRP18871LazarKMojKocijas-L2_1 KomarcyicxLazar_SRP18934LazarK1RazorenUm-L2_1 KosticxTadijaP_SRP18960TadijaKGospodaSeljaci-L2_1 KosticxTadijaP_SRP19030PrvoVeselje-L2_1 KovicyicxZxivojin_SRP18935RobinjicaZlata-L2_1 LazarevicxLazaK_SRP18980LazaLSvabica-L2_1 MamuzicxStevan_SRP18961StevanMNejednakaBracacorr20201221-L2_1 MarkovicxAdamovPavle_SRP18881PavleMADuhVremena-L2_1 MatavulxSimo_SRP18922SimoMBakonja-L2_1 MatijasxicxStevanM_SRP18970StevanMatGroficaAgnesa-L2_1 MihajlovicBranko_SRP18780BrankoMPredZoru-L2_1 MijatovicxCyedomilx_SRP18910CyedomirMIkonija-L2_1 MijatovicxCyedomilx_SRP18920RajkoOdRasine-L2_1 MijatovicxCyedomilx_SRP18990MijatovicCyKnezGradoje-L2_1 MilicxevicxMilanDx_SRP18790MilanDjMJurmusaFatima-L2_1 MilicxevicxMilanDx_SRP18810MilanDjMDesetPara-L2_1 MilicxevicxMilanDx_SRP18860MilanDjMOmerCelebija-L2_1 MilicxevicxVelxkoM_SRP19121VeljkoMBespuce-L2_1 MiodragovicxKovan_SRP19102JovanMRadisa-L2_1 Nepoznat_SRP18923NNBeogradskeTajne-L2_1 NovakovicxStojan_SRP19130StojanNKaludjerHajduk-L2_1 NusxicxBranislav_SRP19021BranislavNOpstinskoDet-L2_1 NusxicxBranislav_SRP19201BranislavN1915-L2_1 PetrovicxBosxkoSt_SRP19080ModernoRoblje-L2_1 PetrovicxKosta_SRP18965KostaPNeimarisaKrajem-L2_1 PopovicxPanta_SRP18691PantaPKakavJeKo-L2_1 PopovicxStevanV_SRP18882StevanVPSumarevaCerka-L2_1 PopovicxSxapcyaninMilorad_SRP18880SapcaninSanjalo-L2_1 PopovicxTodorLx_SRP19010TodorPGila-L2_1 RadovicxDimitrije_SRP18942DimitijeR-Sinovac-L2_1 RadulovicxPera_SRP18752PeraRBezOcaMajke-L2_1 RankovicxDragutinaK_SRP19023DragutinRSlavko-L2_1 RankovicxSvetolik_SRP18971SvetolikRGorskiCar-L2_1 RankovicxSvetolik_SRP18993SvetolikRSeoskaUciteljica-L2_1 RankovicxSvetolik_SRP19000SvetolikRPoruseniIdeali-L2_1 RogicxDusxan_SRP18921DusanRSrbinHrvatica-L2_1 SavicxBozxa_SRP19031BozaSDveSestre-L2_1 SekulicxIsidora_SRP19190IsidoraSDjakon-L2_1 SremacStevan_SRP18941StevanSPopViraPopSpira-L2_1 SremacStevan_SRP18950StevanSIvakovaSlava-L2_1 SremacStevan_SRP19071StevanSZonaZ-L2_1 SretenovicxMihailo_SRP18940MihailoSRadeticaMara-L2_1 StankovicxBorisav_SRP18991BorisavSUvelaRuza-L2_1 StankovicxBorisav_SRP19022BorisavSPokojnikovaZena-L2_1 StankovicxBorisav_SRP19101BorisavSNecistaKrv-L2_1 SuboticxKamenko_SRP19203KamenkoSLegijaSmrti-L2_1 SuboticxKovan_SRP18730JovanSKaludjer-L2_1 SvetolikVladimir_SRP18951VladimirSKaznjenoNeverstvo-L2_1 SxisxkovicxDragomir_SRP19200DragomirSJedanOd-L2_1 TaletovPeraS_SRP19060PeraTNovac-L2_1 TasicxDimitrijeS_SRP19024MickoHarambasa-L2_1 TodorovicxPera_SRP18892PeraTodSilazakSPrestola-L2_1 TodorovicxPera_SRP18933PeraTodSmrtKaradjordja-L2_1 TomicxKasxa_SRP18966JasaTNazareni-L2_1 TutunovicxRadojicaV_SRP19001MilanovoSkolovanje-L2_1 UskokovicxMilutin_SRP19100MilutinUDosljaci-L2_1 UskokovicxMilutin_SRP19110MilutinUPotroseneReci-L2_1 UskokovicxMilutin_SRP19140MilutinUCedomirIlic-L2_1 VeselinovicxKankoM_SRP18891JankoVBorci-L2_1 VeselinovicxKankoM_SRP18932JankoVSeljanka-L2_1 VeselinovicxKankoM_SRP18963HajdukStanko-L2_1 VuleticxVukasovicxVid_SRP19011VidVVCarDubrovnik-L2_1
AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 0.0 3.4082799848816987 4.282379866621905 4.210054704581422 4.234018473687016 4.365212959846172 4.354824028920918 4.248738638688354 4.231295089435465 3.925106114891168 4.056234442610808 4.120508164985113 3.5657788420979655 3.6531695100528574 3.7609746590453947 3.9382913997625795 3.703417576535832 4.015264328345921 3.903464296022923 3.979602427467288 3.749542885354018 3.824204678370891 3.811698839166727 4.200603856319567 3.7445437620929414 3.8778148868378937 3.734897714405587 3.804962845922585 4.167272440860162 3.958049444002202 3.920092562437228 3.741037978524127 3.7241849746594493 3.824639078620626 3.7080241404303695 3.8232567601119167 3.9280061221273987 3.499375371599704 3.5584392620732896 3.6127839708960074 4.198976675774665 4.189427350500333 3.6826027769724727 3.6794209498930797 3.9601785485558487 4.17669390034818 4.208725986312142 3.7182430941564624 4.006855652816931 3.905391847593944 3.8191655747133755 3.923092410679115 4.033090926964622 3.738160507022772 3.9550062857274844 4.026899890428976 4.108309821860202 3.9476143991748294 3.822593715819285 4.175956972688741 4.091618709332371 4.020419687013191 4.151134959136903 3.577083843109613 3.932440986149376 4.279972147598544 4.334920603513925 3.696007843301958 3.6243345806458755 3.8610459403798543 4.28224847739766 4.352929776372738 4.431634568269445 3.5980300929521905 4.17167100622479 4.057449018733878 4.229250449780089 4.310084864471441 4.244181986680921 3.84935358696272 4.170491947067914 4.176567217621191 4.27068888011361 3.8876956751807503 3.7013796629342557 3.868046260927841 4.21087606245609 3.9164644375734006 3.8781553586117585 3.8837536724718422 4.007557607071226 4.026147407698164 3.891044508295408 3.810569464362432 3.910934314475491 4.07261751660197 3.923566160343574 3.9860794871356493 3.8482370984199994 4.01267819801727
BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 3.4082799848816987 0.0 4.201618768956383 4.137814005057068 4.496588434885427 4.454024599498257 4.429012238486591 4.150651504350897 4.230957142116242 4.508749203317754 4.0003875998119325 3.4964887713481496 3.7848380453809076 3.548836654846984 3.5781353594584266 4.119917111405374 3.454812299629853 3.6698452252858305 3.3859641255395543 3.507066695482898 3.782468133073764 4.085099147282943 3.9399932729123304 4.528143971158854 3.119245477119683 4.189761949677063 3.961355020518302 3.5866080587632085 3.989653576055228 3.830945564696034 4.253658864829601 4.017453875224748 4.4025229359614055 3.677655350151931 4.083048823699982 3.5171815341192385 3.1438731951429846 3.3789087543593643 3.77266947061176 4.190148104164869 4.199323151673721 4.515074412239816 3.7619675002867976 4.367849518804953 4.418249220518172 4.07409921844094 4.22069303405081 3.693923290513106 3.8152674669716493 3.654036251766683 3.9594002946651483 3.6667613723480477 3.6757775553555154 4.112009578007689 3.594385405414051 3.9426714741693614 3.9381999547850723 3.35859160807805 3.236829583279837 4.216869753078042 3.5697848799131235 3.429819347382331 3.830218958288735 3.5070673581331056 3.8395732141285333 4.1303871617372 4.641490307754092 3.9653388963147616 3.8318746591896344 4.387595381315284 4.537195176413527 4.674295529914087 4.348353897850529 3.8929963626876143 4.106755778517522 3.806401113314444 4.397293074579885 4.448656251728258 4.232117733635947 4.202520714206251 4.41584945672146 4.376620420395079 4.147549278564668 3.3626895855730607 3.3241683497410346 3.547601505005005 4.223998450010442 4.182353875697299 3.6580917202761585 3.7409635903867935 3.367792594509841 4.098004187006279 4.304263392103486 3.8233192315212245 3.8600645855019784 3.855213944885101 4.3983406803317 4.506688958260357 4.397376129419617 3.5668731368308704
CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 4.282379866621905 4.201618768956383 0.0 2.8067351885629455 3.288663603595202 3.287149461513608 3.142351530481618 3.643635618835259 3.751298507552142 3.9654556576983717 4.107323383010619 4.072313041609581 4.0103674894124035 4.135108928941238 4.27466071023374 4.239762682778926 4.064676338639275 4.067436375312914 3.8760932413508504 3.869044418614684 4.079669357655768 4.205565081166236 4.226714553063709 3.6952748720477597 4.0773989406401885 4.085356237011336 4.145513804066287 4.185433838280435 3.7307324850638235 3.995729089040023 3.837816575021926 4.195819879226897 4.350803709778967 4.126129085553739 4.411400512244619 4.293913567188374 4.23222084151581 4.2476903885319555 4.202672593638791 4.1594700763130135 3.5568825001428523 3.7014633154602 4.107858065114978 4.016245516220539 4.1078595848146335 4.059894676986622 3.619735243420262 4.3125178578094525 4.228585736800447 3.821288257172235 3.8713469371433185 3.8712442438597243 3.998200245501185 4.027593322128785 3.822521523686289 3.3805622260619264 4.251058936763759 4.215020114560404 4.213921959096979 4.035236190562438 3.8134774595563377 3.922888550177598 3.366304249791107 4.182991428315712 3.958807719869201 3.795038161627428 3.866806610047817 3.731014417975847 4.208690260834252 4.144993082061395 3.7304669334746343 3.760091432581597 3.697735079869088 4.024362923299158 4.263604065189152 4.0223777490918105 3.9321750851725676 3.9641875152425143 3.8494515745674613 3.906179758387178 3.832853760799675 3.9550187475107204 4.020858083909357 4.14805301721841 3.9152846102637047 4.10619105105927 4.138629755987752 4.02263170547505 4.101734243705806 4.176359275022658 4.313469416073358 4.102329798514168 3.9022186241499384 4.113500643758556 4.012230434293419 3.8420535144182812 3.7895609985046703 3.7844160234440114 3.715244696156561 3.786548374812847
CxipikoIvo_SRP19090IvoCPauci-L2_1 4.210054704581422 4.137814005057068 2.8067351885629455 0.0 3.4410106214994967 3.433753796175167 3.2332146158934307 3.4601113674107884 3.506033968687488 3.9132583224089847 3.8941857131791933 4.134265031271665 4.145203782689726 4.258341085650808 4.3566274332900035 4.380615451001689 4.14229270668936 4.269326721496623 3.8864025769541413 3.962916738061636 4.200130243829775 4.153027507777512 4.078292473830095 3.540464419645465 3.820011887499435 4.076997369440163 4.059322117853829 3.845162555861452 3.828367586109696 3.928816861531421 3.7178090782105855 4.153861010423677 4.547965626114569 3.974030284312235 4.204816862974712 4.1617975072235724 3.9218946004441912 4.31879823320075 4.146496145959897 4.1178328313532075 3.5177844166777743 3.6424836065761363 4.086593599798801 4.137413074000717 3.9879358218579517 3.741217021668082 3.605060078427231 4.4798352160145445 4.376518687834194 3.7089802900174953 3.8217563981101326 3.781441245411094 3.6965850464475705 3.852849586501245 3.592305065201179 3.6524467457838705 4.305063111259764 4.436739389649667 4.211587925815324 3.9717163620903557 4.055166086354274 4.09627381197277 3.4463973704907023 3.9920025503302154 4.025037127351474 3.790755484817838 3.7945586978403374 3.902006857616781 4.239293211847726 4.277964713139941 3.703475335969906 3.9073805251078113 3.786137138051169 4.026498040022943 4.2519738570911345 4.014284318865692 3.979812390616463 3.6495955127167754 3.838882848865692 3.8875799830132225 3.708182737019027 3.7277753018615263 3.8863175010554514 4.193477144987941 3.923466987683962 4.336606379806134 4.076417971340529 4.167097759845838 4.36309598577021 4.3991212633587295 4.35195201532338 3.927400973185348 3.9897109627033926 4.353601849792035 4.235295213870797 4.02357030018776 3.7764949225326974 3.833049110675192 3.7909985116627283 3.8604218024852264
CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 4.234018473687016 4.496588434885427 3.288663603595202 3.4410106214994967 0.0 2.6027536669823386 2.418711328327056 3.7714958480963654 3.9687641695904468 3.949702660761436 3.8659014146753563 4.3045018838232565 4.360429014901501 4.424933609109086 4.28949945851534 4.185190950208905 4.372602129027957 4.40451249968678 4.245334119212668 4.267792112217078 4.103407581336289 4.140939982546112 4.259466213672706 3.337460167686828 4.230218297913455 3.883340352375307 4.151292454409383 4.302710959755038 3.803843635034297 4.060910243467166 3.82408433615038 4.10489959084247 4.181638189074007 4.056400563405835 4.0731854167972 4.435424173413446 4.494281921850388 4.238101710266955 4.100280524844852 3.9219656851965548 3.409308778055845 3.509882247731685 4.105474994047379 3.700621734985443 3.7610773647207867 3.9641551315929773 3.5941766701565943 4.292033820625516 4.132774296235752 4.049296966884459 3.8932746054945975 3.8929983095660576 4.118594305733651 4.108024007121029 4.001364857249417 3.8530247568637463 4.202434143798508 4.448802355454215 4.420434458109867 3.984027168391494 4.187726198363764 4.105806382962407 3.540221873800234 4.30093705445061 4.271293430902661 3.9155311636393555 3.9397298707094057 3.5383388219958922 4.206606720746294 3.728145279989091 3.624006568579303 3.6224393946979454 3.730971619834296 3.557328063367781 4.029176726866997 4.4676149698179675 3.6109217880942244 3.594997134423256 3.751145637981189 3.7563524636424663 3.6587428066658356 3.9928923805357566 4.0383034191771685 4.268167193184416 3.949634154569826 4.345518459078674 4.104961469350509 3.850777491056692 4.283241080205663 4.198387654429029 4.241836645899452 4.000668374581856 3.720087253340803 4.296038716834908 4.203212518475013 4.223186896743325 3.4413003712865193 3.3309564039160993 3.4318961301032846 4.098429550449825
CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 4.365212959846172 4.454024599498257 3.287149461513608 3.433753796175167 2.6027536669823386 0.0 2.129534925290546 3.72763044672575 3.797548842339763 3.8915159942189534 4.201346399300597 4.219295518540784 4.246889005819458 4.236012132488041 4.438142684428174 4.1715692194665515 4.346147553184607 4.305343156963049 4.319740396714245 4.076048936568143 4.209897382395317 4.06811003465333 4.231156838623373 3.6103313828558927 4.387972060324644 4.174735147430178 4.2004769699185145 4.295410615249822 3.866434284399453 4.000998018327426 4.019187362352948 4.28805352861174 3.9994432524713055 4.172316210579546 4.343547748190986 4.440425170353262 4.36765637125775 4.402659772895791 4.229007561734202 3.9247417148698984 3.746756430060872 3.524269228601829 4.168999432807103 3.5930384580748154 4.123354531699095 4.1820412459253475 3.7632380895481345 4.5055575764138975 4.2157221148939685 3.915093289894771 3.7643396940111176 3.9621680418326246 4.108249093732385 4.0356815895298634 3.905003641061884 3.486053912769612 4.115864503233109 4.289495075846029 4.289752912933168 4.051726665215958 3.9010562320404443 4.040125771852756 3.6259937041969357 4.369650434748225 4.3155945501439845 3.939587047374974 3.5295039998887523 3.5907370252961153 4.075703469264354 3.8051570520934694 3.6046892380647204 3.5768481274857233 3.633898342528771 3.897508085226164 3.96806641563495 4.163437201377212 3.92591799199132 3.8099192645899995 3.6768900294413647 4.0229870640319705 3.1997536646587514 3.446705915155312 3.628289225605665 4.363925333306215 4.192865144810437 4.204787296749183 3.913628306557954 3.733679319978919 4.110350483504279 4.107474893629375 4.1578688937283514 4.175112558587558 3.75807160373611 4.25057783725417 4.156817535204649 4.048199162663414 3.932192999972126 3.775255787974845 3.6383066872881953 4.135637585685883
CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 4.354824028920918 4.429012238486591 3.142351530481618 3.2332146158934307 2.418711328327056 2.129534925290546 0.0 3.5658622672798255 3.714117941091292 3.9853872925520286 4.045126617107234 4.13567278088952 4.192102294465609 4.278918131198958 4.466165700455755 4.261310100663293 4.233526424976729 4.194177126524848 4.065439466794164 3.961390111151987 4.323730414647503 4.322118848617326 4.352636795412219 3.3568117449944066 4.1839827424118585 4.137000531629528 4.364622649464337 4.331926203035363 3.6311689506965306 4.034612447607168 3.9699282776601192 4.24257658653328 4.355643512532132 4.206214152634468 4.371670440876408 4.405651247960304 4.456217843839971 4.331880917957694 4.194954837182569 4.133011549228309 3.5534277871420548 3.5565701317436664 4.1724976718969815 3.847054332204277 4.198852286920177 4.027684074719074 3.642150737823925 4.486394976944321 4.293446375022573 3.7249305336428487 3.674023780005049 3.785803638425059 4.009557269736632 4.1952532051871545 3.955465083393691 3.54901186654134 4.249842097896877 4.348411639294525 4.300381443601608 4.016418836234571 3.9402315886377863 3.963719601296891 3.3618032590902933 4.441753929674893 4.260783825954329 3.7788632067928094 3.734438200604897 3.567683708774517 4.306232643903508 3.9014892185681402 3.5423024017146845 3.532828231878304 3.454059995294301 3.799287223531552 4.0906140134555375 4.182801810712816 3.940429450902588 3.7959478828778694 3.777771143715167 4.039291937143872 3.4605811840558935 3.8619988093713964 3.8319101699217177 4.239403202903266 4.116461544827344 4.1781597448893795 4.115383189225962 3.82411302114975 4.102976007142217 4.157223909559454 4.264356968596345 4.1579195253224785 3.869271898313348 4.26589150120289 4.1481117436201185 4.033161802711875 3.757650417001111 3.7603717968481387 3.5491459401725454 3.942491485187233
DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 4.248738638688354 4.150651504350897 3.643635618835259 3.4601113674107884 3.7714958480963654 3.72763044672575 3.5658622672798255 0.0 3.0512212995832555 3.5792356820838584 3.819438664993944 4.215685608318654 4.212334146626891 4.3659390317225855 4.237197005257069 4.471393131855803 4.321926551874423 4.426841751644984 4.126419398016537 4.090561804210606 4.218532664482994 3.9479478603255442 4.145621810844316 3.3427562005943967 3.804370683181369 3.860685219608338 3.765688806966806 3.8292443448089264 4.218820902483358 4.152984585786074 3.5899229555289276 3.8407215846619414 4.226955668126179 3.970847163180843 3.977239394895938 4.365779254608543 4.172113023800966 4.096733304061253 3.9465267480521793 3.999871047255771 3.243341355859731 3.6572540600016885 4.129887361609771 3.9930155883276495 3.8490942968218054 3.8714857460536445 3.404532499799788 4.349770129943947 4.418768377468734 3.7363296719981784 3.917377502258896 3.935241186586847 3.639658920065493 3.6005558052019806 3.6120513298492503 4.189428023921906 4.171082844441546 4.471996120715443 4.175687126935168 3.987038389821331 4.259584128127748 4.338402224966499 3.621494923916927 3.9248331277976263 4.226058547887076 3.6369792007675077 3.9960419509848615 4.332354386955632 4.076236760907397 4.242595447670359 3.8769520505327777 3.970850051622942 3.9249475298042773 3.8596717636812112 4.284092294531167 4.045054532919604 3.702851482992715 2.8754848940660898 3.3905661189049074 3.706256462465938 3.710446210707892 3.989328492451043 3.9651531353759033 4.126357639775083 3.9536374831646883 4.36056154579032 4.1274653567335635 4.213105897396164 4.308044365314842 4.268521453904778 4.303824124813973 4.138777310451442 3.901100206760695 4.251590537651052 4.106012257196044 4.042561574370483 3.6640825818428358 3.501271489278772 3.7819539546125487 3.7060189469971334
DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 4.231295089435465 4.230957142116242 3.751298507552142 3.506033968687488 3.9687641695904468 3.797548842339763 3.714117941091292 3.0512212995832555 0.0 2.987170342034196 4.260052499467278 3.949083540067204 4.054235481068466 4.0625529219905 4.257934814357083 4.178650885518051 4.136746590469176 3.857154071745793 3.8734852491149385 3.9202367365993784 4.407174477989196 4.1079325838199505 4.168471138735609 3.724848769624436 3.9529143180530792 4.151826630580084 4.209545932043732 3.7155513683925845 3.863116519703956 4.052827236898131 3.761342714461417 3.8976172209756235 4.412308724014848 4.018297637116536 4.385346542105164 4.188371093060888 3.8212547205037612 4.222335990241228 4.25519587221041 4.229574330025988 3.600842985730105 3.9773816107247173 3.982664714414014 4.173037680784358 4.1095379113798725 3.934228042196801 3.5402714399836794 4.368692800674426 4.6334172939103215 3.5980943573603463 3.8893644948751884 3.8127451085169293 3.533980526748157 4.065189250929565 3.697774364514829 3.6969632301251356 4.1742301465220955 4.151152600120911 4.017712938873632 4.052641317838884 3.963927011731352 4.193513760403055 3.5606634462438906 3.908499940857646 4.0375931311025965 3.5311991698391054 4.057163469550411 4.022089863248055 4.242143187979338 4.335642281927454 3.967674734382995 3.8542068756452323 3.626660498483508 4.119310511028353 4.0394984421295215 3.6851929264192425 4.061894983590817 3.596814664360614 3.706112192776368 3.9914975021731136 3.6224114078756102 3.6136380904858925 3.710790365563814 4.107170142956391 4.121216349318551 4.409986886680951 4.163665041865243 3.824127961951122 4.276028275816221 4.086213403660173 4.2282114564124855 4.03624940940331 4.269791069877729 4.028755922719966 3.794888957806692 3.765136149845879 4.12397623710393 3.8454468418539154 3.9528546352643232 3.635521348149509
DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 3.925106114891168 4.508749203317754 3.9654556576983717 3.9132583224089847 3.949702660761436 3.8915159942189534 3.9853872925520286 3.5792356820838584 2.987170342034196 0.0 4.097221178138553 4.228764236570326 3.996528027613169 4.252681806742099 4.052829279493365 3.988763474318267 4.347143553598293 4.118782923225009 4.2706622669617875 4.227883227969948 4.0890326715739365 3.7006957544108214 3.8114384242798423 3.959720495154742 4.232886513628387 3.96870162587384 3.947070688945338 3.9095314653444455 4.171247587192297 4.126460833970565 4.028046014487431 3.858246419924452 3.3492227125100733 3.9149810981891924 3.823202788924311 4.195927926053021 4.092018018670853 4.150775945520143 4.152451022040999 3.9175573600974616 3.9192310147268694 3.818053883151594 3.9557409680480333 3.4938544793145003 3.9924670474581534 4.01056512321188 3.865988185693138 3.9864242498116784 4.271766121382737 4.007672287580209 4.0890378691155576 4.205101651860191 3.915381691857424 3.8165836501511237 3.963266940642157 3.8259768461810264 4.0464934193487325 4.240436612947908 4.14199859205792 4.004161064717704 4.203019802783455 4.377707474713348 4.050401666340381 3.986971217008402 4.178146923993399 3.835560001171462 3.82598609020506 4.000977248449605 3.9847774906052438 3.7751041006882793 3.950343771413464 3.7978305986233782 3.9175271501054363 3.9243113444979585 3.805111983772716 3.817366511253122 4.122780986352184 3.7845260638445777 3.942473238303216 3.9029928264625573 3.5590747071567757 3.3831975588113306 3.6463058070599206 4.233117440781129 4.228604320929197 4.4073047311184546 3.8079318590778914 3.6673784967921312 4.374456108209759 4.190108405883414 4.275138387033184 3.8138399219959194 3.964801298951799 3.706083707890408 3.8149743647329353 3.7288874392421603 3.8773571644344456 3.7080835641755123 3.805054899590175 4.09633991134311
