 AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 CxipikoIvo_SRP19090IvoCPauci-L2_1 CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 DinicxSreten_SRP19091SretenDPreporodjaj-L2_1 DomanovicxRadojeM_SRP19025RadojeDStradija-L2_1 DxordxevicxVladan_SRP18631VladanDjKocinaKrajna-L2_1 DxordxevicxVladan_SRP18690GmundenskoJezero-L2_1 DxordxevicxVladan_SRP19131VladanDjUFront-L2_1 DxoricxNikolaV_SRP18821NikolaVDjKavaljerLaza-L2_1 DxuricxDusxan_SRP18962DusanDjKonacDelo-L2_1 DxuricyicxMladenSt_SRP19141MladenDjKadSumeTalasi-L2_1 GavrilovicxAndra_SRP18930AndraGPrveZrtve-L2_1 GavrilovicxAndra_SRP18964AndraGDespotovaVlastela-L2_1 GavrilovicxDraga_SRP18840DraginjaGIzUcitZivota-L2_1 GavrilovicxDraga_SRP18870DraginjaGBabadevojka-L2_1 GavrilovicxDraga_SRP18890DraginjaGDevRoman-L2_1 GlisxicxMilovan_SRP18751MilivanGGlavaSecera-L2_1 IgnxatovicxKakov_SRP18590JakovIDjuradjB-L2_1 IgnxatovicxKakov_SRP18620JednaZenidba-L2_1 IgnxatovicxKakov_SRP18630JakovIMilanN-L2_1 IgnxatovicxKakov_SRP18750JakovIVasaRespekt-L2_1 IlicxDragutinK_SRP19040DragutinIDjera-L2_1 IlicxDragutinK_SRP19061DragutinIHadziDisa-L2_1 KaksxicxDxura_SRP18740DjuraJSeljaci-L2_1 KaksxicxDxura_SRP18760DjuraJCicaTima-L2_1 KankovicxMilica_SRP19180MilicaJPreSrece-L2_1 KanxicxVelislav_SRP18992VelislavJLutajuceDuse-L2_1 KaraRadovanovicxPavle_SRP19002KrvaviZlocin-L2_1 KevticxaStevanaK_SRP18911StevanJJDanica-L2_1 KezdicxKostaD_SRP19062KostaJZlocinSvekrve-L2_1 KomarcyicxLazar_SRP18800DragocenaOgrlica-L2_1 KomarcyicxLazar_SRP18871LazarKMojKocijas-L2_1 KomarcyicxLazar_SRP18934LazarK1RazorenUm-L2_1 KosticxTadijaP_SRP18960TadijaKGospodaSeljaci-L2_1 KosticxTadijaP_SRP19030PrvoVeselje-L2_1 KovicyicxZxivojin_SRP18935RobinjicaZlata-L2_1 LazarevicxLazaK_SRP18980LazaLSvabica-L2_1 MamuzicxStevan_SRP18961StevanMNejednakaBracacorr20201221-L2_1 MarkovicxAdamovPavle_SRP18881PavleMADuhVremena-L2_1 MatavulxSimo_SRP18922SimoMBakonja-L2_1 MatijasxicxStevanM_SRP18970StevanMatGroficaAgnesa-L2_1 MihajlovicBranko_SRP18780BrankoMPredZoru-L2_1 MijatovicxCyedomilx_SRP18910CyedomirMIkonija-L2_1 MijatovicxCyedomilx_SRP18920RajkoOdRasine-L2_1 MijatovicxCyedomilx_SRP18990MijatovicCyKnezGradoje-L2_1 MilicxevicxMilanDx_SRP18790MilanDjMJurmusaFatima-L2_1 MilicxevicxMilanDx_SRP18810MilanDjMDesetPara-L2_1 MilicxevicxMilanDx_SRP18860MilanDjMOmerCelebija-L2_1 MilicxevicxVelxkoM_SRP19121VeljkoMBespuce-L2_1 MiodragovicxKovan_SRP19102JovanMRadisa-L2_1 Nepoznat_SRP18923NNBeogradskeTajne-L2_1 NovakovicxStojan_SRP19130StojanNKaludjerHajduk-L2_1 NusxicxBranislav_SRP19021BranislavNOpstinskoDet-L2_1 NusxicxBranislav_SRP19201BranislavN1915-L2_1 PetrovicxBosxkoSt_SRP19080ModernoRoblje-L2_1 PetrovicxKosta_SRP18965KostaPNeimarisaKrajem-L2_1 PopovicxPanta_SRP18691PantaPKakavJeKo-L2_1 PopovicxStevanV_SRP18882StevanVPSumarevaCerka-L2_1 PopovicxSxapcyaninMilorad_SRP18880SapcaninSanjalo-L2_1 PopovicxTodorLx_SRP19010TodorPGila-L2_1 RadovicxDimitrije_SRP18942DimitijeR-Sinovac-L2_1 RadulovicxPera_SRP18752PeraRBezOcaMajke-L2_1 RankovicxDragutinaK_SRP19023DragutinRSlavko-L2_1 RankovicxSvetolik_SRP18971SvetolikRGorskiCar-L2_1 RankovicxSvetolik_SRP18993SvetolikRSeoskaUciteljica-L2_1 RankovicxSvetolik_SRP19000SvetolikRPoruseniIdeali-L2_1 RogicxDusxan_SRP18921DusanRSrbinHrvatica-L2_1 SavicxBozxa_SRP19031BozaSDveSestre-L2_1 SekulicxIsidora_SRP19190IsidoraSDjakon-L2_1 SremacStevan_SRP18941StevanSPopViraPopSpira-L2_1 SremacStevan_SRP18950StevanSIvakovaSlava-L2_1 SremacStevan_SRP19071StevanSZonaZ-L2_1 SretenovicxMihailo_SRP18940MihailoSRadeticaMara-L2_1 StankovicxBorisav_SRP18991BorisavSUvelaRuza-L2_1 StankovicxBorisav_SRP19022BorisavSPokojnikovaZena-L2_1 StankovicxBorisav_SRP19101BorisavSNecistaKrv-L2_1 SuboticxKamenko_SRP19203KamenkoSLegijaSmrti-L2_1 SuboticxKovan_SRP18730JovanSKaludjer-L2_1 SvetolikVladimir_SRP18951VladimirSKaznjenoNeverstvo-L2_1 SxisxkovicxDragomir_SRP19200DragomirSJedanOd-L2_1 TaletovPeraS_SRP19060PeraTNovac-L2_1 TasicxDimitrijeS_SRP19024MickoHarambasa-L2_1 TodorovicxPera_SRP18892PeraTodSilazakSPrestola-L2_1 TodorovicxPera_SRP18933PeraTodSmrtKaradjordja-L2_1 TomicxKasxa_SRP18966JasaTNazareni-L2_1 TutunovicxRadojicaV_SRP19001MilanovoSkolovanje-L2_1 UskokovicxMilutin_SRP19100MilutinUDosljaci-L2_1 UskokovicxMilutin_SRP19110MilutinUPotroseneReci-L2_1 UskokovicxMilutin_SRP19140MilutinUCedomirIlic-L2_1 VeselinovicxKankoM_SRP18891JankoVBorci-L2_1 VeselinovicxKankoM_SRP18932JankoVSeljanka-L2_1 VeselinovicxKankoM_SRP18963HajdukStanko-L2_1 VuleticxVukasovicxVid_SRP19011VidVVCarDubrovnik-L2_1
AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 1.2152845400399999 7.816026824677078 10.755861029708862 10.459394693480146 10.5693994420967 11.07647107600704 11.008419537803226 10.632108827174774 10.50245613821485 9.460311933944434 9.953331557422324 10.191006269507763 8.297362211604069 8.579854602463591 8.948776809196561 9.539637686360187 8.748115591065316 9.798714674025062 9.398610347363103 9.669164481387096 8.90669535478739 9.143718139147778 9.119757064794912 10.42885438453513 8.886240735674503 9.343121371691078 8.85323458812862 9.066226948937627 10.335921806466914 9.612374501102481 9.454949177728455 8.881180192369698 8.801917372589843 9.138118826773663 8.76957896650101 9.1508725395893 9.508773166071345 8.098483251335127 8.286090245787031 8.461456362501425 10.446168849065101 10.43489439825174 8.688811464308118 8.649100700048427 9.58447720009131 10.343612126666086 10.476206297641607 8.801734652244013 9.787715984714007 9.401177842781262 9.119679756388955 9.459286508234602 9.801712847003685 8.842559999675766 9.561092343396377 9.813009430965765 10.145352525007334 9.579258957832096 9.145901448544176 10.374330464762645 10.071427989955351 9.83272859059215 10.247126455157723 8.327131800454842 9.490253581643975 10.698773690408162 10.946889987421105 8.709100030467383 8.482385164564581 9.280638003623027 10.749517022139914 11.019237403894493 11.296867384042486 8.38484882366939 10.364459030540575 9.919078094019024 10.566858691888433 10.830773295654758 10.594225867671286 9.226220905483805 10.359235844472815 10.364161302058799 10.72930419135517 9.368846284032255 8.750784244084103 9.313026449207761 10.483968780846773 9.45093895786925 9.331565488405118 9.353474118900282 9.785153118403246 9.81240677651741 9.390199658336856 9.095612814372878 9.419824127764889 10.000459098679425 9.495684565488538 9.715510735888088 9.228830750829939 9.783681709790216
BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 7.816026824677078 1.2152845400399999 10.443454013753856 10.218041507366294 11.543884746892491 11.399813448212837 11.317450908457028 10.22302914698049 10.579059723826445 11.611696920228537 9.70281803250213 8.076717409446369 9.025548551830942 8.256463566994013 8.347427612113407 10.169524617012438 7.958749269211939 8.647155777151239 7.743281372501475 8.118356541001324 9.014964257668147 10.057810653215979 9.551329627184279 11.67049672784064 6.919134831442197 10.422752809973295 9.606598812201705 8.33676344759186 9.698679496196648 9.176455263514258 10.655467050794439 9.827040852265654 11.213016689330855 8.651080964074984 10.049809390787594 8.153555732192082 7.023678826305293 7.725265281281436 8.982732900440908 10.465628029255821 10.443131242916737 11.6311733802458 8.949718388007815 11.075382267492886 11.258309976236426 9.973532419232356 10.506174920467087 8.709150305860554 9.071356759884567 8.595782709306683 9.632781359087799 8.63396565473968 8.583659802525418 10.122372511318867 8.290412861176936 9.532665637125156 9.526010088814049 7.650799340358289 7.2817522764208915 10.530434041298196 8.319336669709577 7.857129677508117 9.111341806855252 8.118522323234222 9.210702177330854 10.19877027698752 12.137970130403131 9.643766367932248 9.187807204216245 11.14816674815059 11.68472749217995 12.240864611819442 11.006786544949485 9.369506456486885 10.128426706402433 9.089893441635686 11.197295594278785 11.345826675297692 10.551229025199307 10.48855549243344 11.274404600727488 11.084958108197547 10.254992970342606 7.66298865434573 7.559930122479991 8.251386769857447 10.499024036174257 10.397538122624397 8.592084769504769 8.875873469924047 7.629874327277183 10.06682799185691 10.856517392960146 9.146119557740933 9.26084441447637 9.239386551739365 11.178039438079772 11.624754298080886 11.170860545526502 8.304214711698359
CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 10.755861029708862 10.443454013753856 1.2152845400399999 6.087494685680384 7.453716658074356 7.451343594767273 7.026541016237066 8.548070293300455 8.91063657246798 9.617742248787678 10.137080901745476 10.029941900203339 9.767522789232759 10.211392513574214 10.748133156955454 10.567954389116181 9.972258413326035 9.979998721699264 9.291006637068245 9.283592804255386 10.036586598730178 10.504673658035111 10.55269592990153 8.730385871008984 10.012064116437896 10.066294082555743 10.272378175523563 10.432940295612944 8.814127098473188 9.687875459442443 9.181941403764178 10.433815585614306 11.009269583912054 10.201320628517019 11.224029598382053 10.788829862117142 10.55173981604353 10.615327178170519 10.441714975933303 10.271637264945989 8.267934396527613 8.746081583818867 10.131736512865698 9.813581548263883 10.132371437690473 9.961574488622782 8.466744136609613 10.85249971619899 10.570165858559267 9.138860217369837 9.299046473279716 9.298259592712055 9.742058113869534 9.860222275538662 9.095569199612072 7.6551505501010055 10.627911469870003 10.481730714011533 10.484195138552943 9.889505901275575 9.095462597962047 9.381716312104437 7.687863163495512 10.385843563581595 9.56972771462571 9.03774977412771 9.295760299244607 8.840393238443635 10.463066958122347 10.262861294501116 8.831584707815862 8.931065854501398 8.724317459513927 9.836931061555834 10.689655754838652 9.81860005117168 9.525193891634025 9.626799854235465 9.234119833331441 9.419429174830789 9.193341827015423 9.590558270844694 9.81749805660022 10.246399311051997 9.43680750382823 10.079607828172328 10.251963290075526 9.789776307312332 10.089959165707372 10.379803986630042 10.85371791561321 10.113630047006556 9.431629228913215 10.13505374829367 9.794442767170597 9.19885007775025 9.040659609945097 9.024885218274527 8.793074252721235 8.966023139379612
CxipikoIvo_SRP19090IvoCPauci-L2_1 10.459394693480146 10.218041507366294 6.087494685680384 1.2152845400399999 7.914803268348728 7.8948295813950695 7.290854563228291 7.973858146671359 8.120156992939087 9.460333396045165 9.34111915016605 10.23071912662203 10.19988377707575 10.658029494279308 11.044472002047595 11.113446854767972 10.22649035213926 10.688947992083342 9.337867292386063 9.593870305096646 10.460600611819869 10.310422075800613 10.023460644990612 8.227414384110588 9.119202239948972 10.036921445743438 9.973416704737982 9.226611009937889 9.149071573675714 9.467668284161563 8.793653076168923 10.302326947134212 11.778432047744237 9.624690621286701 10.419134515512388 10.289144121684902 9.427753002379118 10.845575126142116 10.221966494686148 10.129842704934452 8.150230457970984 8.547033737824027 10.037736599927115 10.251483600102514 9.702952241519203 8.87425355397331 8.431174256918371 11.480683310236042 11.11536588276531 8.763299530473708 9.141475510590132 9.006182175018658 8.727463665609475 9.249384680326068 8.369144966263967 8.520251555413001 10.838004899465515 11.298394401907258 10.484490858152418 9.654694296035736 9.923339765551733 9.979844743100104 7.93481532100289 9.698234249194117 9.77676623764169 9.04251429814192 9.05464971937533 9.401985173402908 10.578936560716285 10.754517147790107 8.74596768777576 9.441869103579219 9.028697757136046 9.85903530472778 10.649766658406847 9.78973122571053 9.69574543840728 8.576354940863268 9.190675931138099 9.368523994531072 8.773392554495336 8.828649098208642 9.362892498982225 10.44332937999497 9.476001758008533 10.934598724778407 10.018427261450007 10.312052511926614 11.025793255036255 11.196259149748123 10.955866270040715 9.49330631329644 9.726688870484953 11.008656846292638 10.60055322113832 9.826921333987832 8.996804848262302 9.186364556974446 9.03983141359215 9.229794627599338
CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 10.5693994420967 11.543884746892491 7.453716658074356 7.914803268348728 1.2152845400399999 5.549770289585589 5.120210798828752 8.969159568144535 9.63994958098558 9.579320304837223 9.291880437887334 10.854584964194501 11.037729324163475 11.243403043480239 10.71946037160018 10.395056033223018 11.07936246084003 11.180525789453494 10.636256710233678 10.695911055322064 10.118332565956297 10.256213615669015 10.693830414522937 7.599682226493875 10.547318271040307 9.355260616288723 10.300717212886626 10.828518731255883 9.074035757973693 9.941462943772917 9.150520941185047 10.111105539389769 10.4091374467585 9.936992773733984 10.019404080171407 11.299667801879023 11.535686111786069 10.597440493401553 10.076279744737432 9.43832226020119 7.811698365144111 8.13177267311073 10.113651234040265 8.73820080602002 8.929679722276406 9.618954136069206 8.37117490703735 10.78339989754348 10.244375325688104 9.892618086501868 9.361597440996663 9.338976512367331 10.182831734492796 10.143319462762816 9.735916515823497 9.207208989158161 10.479712050939865 11.338715045411147 11.240003377776242 9.695576104804475 10.406303871129259 10.012552870594078 8.225439097501063 10.778687058904806 10.687063205806702 9.448001836375132 9.550634220545698 8.208581270468922 10.464707966274187 8.83857598578481 8.49665457020617 8.484422517576279 8.83772773569912 8.279730057477126 9.84086304345187 11.47085213452152 8.451387982116783 8.398935674961491 8.90795086294694 8.91592760420224 8.609443278709186 9.722890860538008 9.858766723588976 10.710574579067217 9.528011792547117 11.00561390324621 10.13145591635853 9.206777974241305 10.770871898680497 10.427070783875749 10.56222640742332 9.771771411266057 8.813711829585392 10.803851645489923 10.472085140564001 10.557084832448469 7.910671634442318 7.581611676813286 7.8843480210308226 10.008221211235297
CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 11.07647107600704 11.399813448212837 7.451343594767273 7.8948295813950695 5.549770289585589 1.2152845400399999 4.442829164966637 8.819686993882176 9.034915607103633 9.371994600120791 10.474881783930217 10.525396405366992 10.607483031121738 10.541815998038045 11.287802962829693 10.359711618541455 11.007228089581359 10.813820492724004 10.878619875862203 10.008319459686708 10.521736741617207 9.993580379660301 10.58640338812136 8.453808616791155 11.153785503875104 10.396799353233014 10.495610096692507 10.834715639161855 9.251886771807865 9.698583304157491 9.813288988062144 10.804850382685297 9.738266637924584 10.377905830112176 10.994175853781888 11.328564687044587 11.051675260681709 11.196024389216078 10.517513793011249 9.418674575752451 8.899319686988642 8.178761857339797 10.325111649440355 8.388445376190859 10.20823685926612 10.39162244509756 8.912383766055422 11.618282421345842 10.54215988819537 9.40649877911544 8.908035446350732 9.58930748185502 10.116749517565445 9.870194682282674 9.390512750179179 8.024303152579183 10.180484721042953 10.759569020386394 10.747679332259686 9.949598583881992 9.40230369805616 9.789334942205882 8.496618774208562 11.055458791627919 10.88450253059232 9.535118765341286 8.191631832640855 8.378806767212227 9.949317506455273 9.097383957103059 8.427846927962442 8.345066934613223 8.519442585799181 9.408040085792829 9.627832918355425 10.326263770454352 9.514269485667759 9.110088946578774 8.658254558810242 9.838385242602012 7.1887515452273245 7.933961354060877 8.496555441814644 11.047576834139484 10.394035669203298 10.446944574441678 9.4645685538671 8.8067834995958 10.110722006121135 10.09381952684193 10.26760439676272 10.403886119053912 8.93926461482726 10.641174234807755 10.295472935734535 9.912505574475697 9.52501615268381 8.998126516555324 8.536973126298731 10.13535978897045
CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 11.008419537803226 11.317450908457028 7.026541016237066 7.290854563228291 5.120210798828752 4.442829164966637 1.2152845400399999 8.29518458782842 8.759643940238178 9.685009312487846 9.915658324572616 10.239565770785367 10.403017812184256 10.706807111642254 11.441277758393912 10.66479638031417 10.575192659435714 10.420720317191117 9.977402713698046 9.604701467110141 10.953307992139306 10.923255575914165 11.028245061464315 7.657484239597202 10.3741375233853 10.255648725143743 11.098757939499375 10.959101168890728 8.455559049737982 9.804923403613738 9.656768312324255 10.617414180855304 11.05723411082891 10.4829005993274 11.093462055459709 11.189155227819056 11.41004016526714 10.957416320877016 10.420849395961595 10.191480690842393 8.267381136178633 8.27899865908027 10.349473877243032 9.219727617668163 10.481621951687842 9.829653454823157 8.522494536880085 11.545849318705592 10.8448819471465 8.764707101998184 8.603203767029795 8.992345557755394 9.791106164605592 10.468757022557451 9.574745912716226 8.207828770319173 10.646944214392352 10.970383969225937 10.778557270878986 9.810177103802767 9.537985231439007 9.550428939042693 7.674986716391197 11.315535608701953 10.666554546634082 8.991962736299683 8.852364741432698 8.292616383029522 10.81023786765902 9.42009342984942 8.228183606105345 8.197276439753644 7.93176755353826 9.077824728760199 10.055526047061452 10.372431941342558 9.563259343540672 9.057112090398366 8.997901525779145 9.902151056900141 7.978862823215261 9.277395798804328 9.149748765836234 10.590820385216807 10.123434853876212 10.365785024178368 10.170888014426094 9.098037449596355 10.103597159705737 10.287589943855702 10.675736302390213 10.328283190122074 9.315380773012162 10.696436184324511 10.270058581767193 9.863398402217035 8.927738046337103 8.94673946445255 8.256986350894195 9.469158490406649
DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 10.632108827174774 10.22302914698049 8.548070293300455 7.973858146671359 8.969159568144535 8.819686993882176 8.29518458782842 1.2152845400399999 6.770036118307492 8.352908984144667 9.108455511675622 10.497488357783542 10.434033588849257 11.044726846857252 10.569047100823907 11.476726667269606 10.860631957919383 11.302627737928564 10.17989039594754 10.025368870562057 10.48452122635425 9.530760225556472 10.25063235478812 7.61437100721134 9.07524637744893 9.284846971029772 8.94113226311765 9.181065348211106 10.520969502521899 10.229473066303514 8.387286305497453 9.199203070206805 10.548903177471901 9.618183048526788 9.65582858155358 11.061488048832384 10.384368198501617 10.07779536532223 9.549489408012457 9.731737321560775 7.319568592911126 8.585174985600688 10.182346092048162 9.72072628034539 9.246251747085578 9.317650610370142 7.7958224379259216 10.998171934182906 11.272410346312975 8.79897072095726 9.428417880615962 9.50989576266494 8.547650506607225 8.400781287703145 8.44761371231549 10.422486437805347 10.365807745413118 11.448287486795122 10.37543327115241 9.714567294766736 10.6470446465296 10.909098606349879 8.46375169625088 9.476856144390908 10.54358641535639 8.524982031464306 9.742696947701067 10.941819403178213 9.921549495964673 10.637362223480363 9.319622924039944 9.649947349922273 9.493827099229797 9.270590717146163 10.758027543065905 9.915104423143246 8.72897781912542 6.256546550946263 7.700994813337642 8.763126909213943 8.765835871113685 9.73525765001873 9.649479189325978 10.185882394695298 9.568021752550601 10.999291476586178 10.224517772733027 10.51825037397269 10.823844096451795 10.700523445721707 10.803595210406566 10.251394173271143 9.379620873675538 10.626963282281743 10.138376548315765 9.899092925993022 8.628068474140093 8.096010622840883 9.01612180626161 8.721758849618148
DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 10.50245613821485 10.579059723826445 8.91063657246798 8.120156992939087 9.63994958098558 9.034915607103633 8.759643940238178 6.770036118307492 1.2152845400399999 6.534273900263959 10.6828238307677 9.56200897378237 9.835974715922992 9.921144337106648 10.666978489356772 10.292619152534089 10.176046787106367 9.254721631082191 9.309862182058394 9.457356302056095 11.21593851194859 10.145404901791736 10.346864004531291 8.795834985063976 9.599849750567673 10.281860251252072 10.51393138133517 8.794852387314386 9.256502705468455 9.890493042808396 8.950335275783393 9.38720592707568 11.241040877214601 9.820735510933778 11.141063039370177 10.435358502719021 9.15144371512111 10.510011484490056 10.64953490788752 10.548841200802107 8.41520208423882 9.671769421213476 9.635779561229882 10.33478892983896 10.154546366705947 9.529261046339917 8.222872042797016 11.079669104992503 12.147026824027327 8.371514932845553 9.28484727829568 9.086350613352419 8.207419277314234 10.008686738366778 8.7384277134598 8.704597768932185 10.368375730655089 10.281440386222542 9.827538968230861 9.941577036792058 9.603621984388507 10.419635257678255 8.288724340992662 9.427230612811261 9.841846327253425 8.200062171378349 9.953386714688843 9.73757332904557 10.539601244198728 10.887608355194718 9.6268201245704 9.240267453441032 8.501715874148287 10.166799166643164 9.87497095836969 8.69546356489947 9.961401197161793 8.39560405076924 8.745817066985945 9.72694665691264 8.452895257394003 8.45644952201794 8.779364313503025 10.133294767437324 10.19254089011462 11.23016881631222 10.342035935186088 9.094919364035082 10.670623951014177 10.05716285024571 10.546891180990729 9.866351829943808 10.696970157437738 9.830025830763814 9.055187076160108 8.960349207448665 10.175330424078481 9.192541490585837 9.545010380772519 8.529439199556613
DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 9.460311933944434 11.611696920228537 9.617742248787678 9.460333396045165 9.579320304837223 9.371994600120791 9.685009312487846 8.352908984144667 6.534273900263959 1.2152845400399999 10.10694492303702 10.559209318191531 9.68980348705178 10.647287009756699 9.898714166080637 9.669869776562454 10.969053017518675 10.133130700160448 10.692852953745506 10.533141439272482 10.009705275985853 8.728658039728234 9.089734656153267 9.606813613373912 10.608676933199561 9.641788134694535 9.579162160750027 9.452949900863983 10.370090119540585 10.193797259273039 9.8622451774449 9.252144176613948 7.6253558998090085 9.470255854904478 9.14169442961 10.436321812745204 10.068313876568995 10.274446844982778 10.308675968010863 9.467402534270281 9.485923515744396 9.141047308991 9.574308755197432 8.071143813967995 9.742370027228375 9.802025351598287 9.301327370858386 9.676336079426951 10.731150968419426 9.728112106031043 10.015251085042795 10.455274271784997 9.463968388225506 9.125140198272916 9.636154133635713 9.161871964338397 9.924857211981308 10.599769394861557 10.268087162376265 9.755395206859092 10.446103715246396 11.108573085336007 9.94843155507623 9.694483598785414 10.351044236093433 9.174775543978688 9.156773857544325 9.716026913059135 9.663784050943596 8.967143244466845 9.584935036431082 9.055285679876196 9.465756665247582 9.46709224323547 9.069137185335775 9.105367730826025 10.189092339125144 9.022431912602604 9.552682384610954 9.421371194239931 8.259294882001893 7.720542917183836 8.55238941535514 10.580535030861604 10.572194344493484 11.214714286630594 9.10057254731463 8.611420064021088 11.060940266905178 10.428372209962086 10.752142563829436 9.112830069215892 9.61810044826566 8.72826820692351 9.123245033221137 8.823973684984654 9.332318071377006 8.754088547124121 9.083211265899738 10.090810862912608
