 BartelAnton_SLV00094-L2_1 BedenekJakob_SLV00024-L2_1 CankarIvan_SLV00398-L2_1 CankarIvan_SLV00401-L2_1 CankarIvan_SLV00410-L2_1 CankarIvan_SLV10001-L2_1 CankarIzidor_SLV30001-L2_1 CarliLukovicAlojz_SLV10002-L2_1 CiglerJanez_SLV10003-L2_1 DetelaFran_SLV00111-L2_1 DetelaFran_SLV00112-L2_1 DetelaFran_SLV00278-L2_1 DetelaFran_SLV00363-L2_1 DetelaFran_SLV00364-L2_1 FajdigaIvan_SLV10004-L2_1 FaturLea_SLV00352-L2_1 FaturLea_SLV00502-L2_1 FaturLea_SLV00506-L2_1 FinzgarFranSaleski_SLV00273-L2_1 FinzgarFranSaleski_SLV00496-L2_1 FinzgarFranSaleski_SLV00497-L2_1 FinzgarFranSaleski_SLV00498-L2_1 FinzgarFranSaleski_SLV10005-L2_1 GovekarFran_SLV00048-L2_1 GovekarFran_SLV10030-L2_1 GrudenJosip_SLV00425-L2_1 JaklicFran_SLV00126-L2_1 JaklicFran_SLV00373-L2_1 JanezicKraljevIvan_SLV00135-L2_1 JelencVitomirFeodor_SLV10006-L2_1 JurcicJosip_SLV00216-L2_1 JurcicJosip_SLV00217-L2_1 JurcicJosip_SLV00279-L2_1 JurcicJosip_SLV10007-L2_1 JurcicJosip_SLV10008-L2_1 JurcicJosip_SLV10009-L2_1 JurcicJosip_SLV10010-L2_1 JurcicJosip_SLV10011-L2_1 KersnikJanko_SLV00058-L2_1 KersnikJanko_SLV00187-L2_1 KersnikJanko_SLV00194-L2_1 KersnikJanko_SLV10029-L2_1 KocevarFerdo_SLV20001-L2_1 KoderAnton_SLV00098-L2_1 KoderAnton_SLV00099-L2_1 KoderAnton_SLV00103-L2_1 KoderAnton_SLV10012-L2_1 KovacicIvo_SLV10013-L2_1 KraigherAlojz_SLV00355-L2_1 KvederZofka_SLV10014-L2_1 KvederZofka_SLV10015-L2_1 LahIvan_SLV10031-L2_1 LevstikVladimir_SLV00345-L2_1 LevstikVladimir_SLV00478-L2_1 LevstikVladimir_SLV00483-L2_1 MahnicAnton_SLV10016-L2_1 MalovrhMiroslav_SLV00455-L2_1 MalovrhMiroslav_SLV00456-L2_1 MalovrhMiroslav_SLV00458-L2_1 MalovrhMiroslav_SLV00459-L2_1 MalovrhMiroslav_SLV00460-L2_1 MalovrhMiroslav_SLV00461-L2_1 MalovrhMiroslav_SLV10017-L2_1 MaseljPodlimbarskiFran_SLV00132-L2_1 MaseljPodlimbarskiFran_SLV00310-L2_1 MaseljPodlimbarskiFran_SLV10018-L2_1 MencingerJanez_SLV00174-L2_1 MeskoKsaver_SLV00072-L2_1 MilcinskiFran_SLV10019-L2_1 MurnikRado_SLV00473-L2_1 MurnikRado_SLV00476-L2_1 MurnikRado_SLV00526-L2_1 NadlisekMarica_SLV10020-L2_1 PajkPavlina_SLV00231-L2_1 PajkPavlina_SLV00234-L2_1 PajkPavlina_SLV00240-L2_1 PajkPavlina_SLV10021-L2_1 PesjakLuiza_SLV00227-L2_1 PodmilsakJosip_SLV00122-L2_1 PregeljIvan_SLV00417-L2_1 PrelesnikMatija_SLV00452-L2_1 PrelesnikMatija_SLV00454-L2_1 PrepeluhAlbin_SLV10022-L2_1 SketJakob_SLV00172-L2_1 SketJakob_SLV20002-L2_1 SorliIvo_SLV00325-L2_1 StritarJosip_SLV10023-L2_1 StritarJosip_SLV10024-L2_1 StritarJosip_SLV10025-L2_1 StrukeljIvan_SLV00090-L2_1 StrukeljIvan_SLV00092-L2_1 TavcarIvan_SLV00136-L2_1 TavcarIvan_SLV00324-L2_1 TavcarIvan_SLV00406-L2_1 TavcarIvan_SLV10026-L2_1 TrostIvo_SLV00421-L2_1 VodebEmil_SLV10027-L2_1 VosnjakJosip_SLV10028-L2_1 ZbasnikFran_SLV00391-L2_1 ZbasnikFran_SLV10032-L2_1
BartelAnton_SLV00094-L2_1 0.0 4.5215367593045555 5.127775120405756 5.054066351386505 5.080076665013374 5.19982235117297 5.0452837277052796 4.432345328217932 4.619458209770538 4.402829950129516 4.5379639219122705 4.579763294384634 4.716246056332755 4.700322615630298 4.612924182953921 4.734837675370776 4.581329892227506 4.755655454854107 5.062697794447849 5.031026476630685 5.316598498016359 5.200909316855874 4.951650841852738 4.871074736499396 4.587568107383852 4.445491297343822 4.379784495082832 5.0456366381219 4.215538082605974 4.785132753342858 4.609666059170825 4.790656446125538 5.1295862857817855 5.099464447501099 5.169220812596181 4.907955742071469 4.755845568091902 4.997045680850564 4.684894940594063 4.714998877787213 4.637073108609359 4.712425235153218 4.76206385032428 4.423132634449364 4.950415667222652 4.682849548569523 4.226728097524512 4.617681989042409 5.115784635977199 5.1831319029040746 5.133804771085557 4.230740648220926 5.159545496264796 5.018310351372184 4.576555008803206 4.593432827870566 4.700744807708673 4.402262531995001 4.627639903370122 4.732908432985842 5.043989494303464 4.936948212275997 4.693493576451563 4.888735853187976 4.711946737038787 4.743756067246069 4.6718273587229415 4.998057856262786 5.057857789143834 4.658946260372044 5.1108646539028 4.938875620685937 4.642133894832922 4.783722063376206 4.831847294489896 4.826282311693252 4.788582784280223 4.901324906735603 4.154408758021241 5.039322228938703 4.6351643183535165 4.628040750759693 4.922710243351595 4.399401716166472 4.302084277613587 4.853092448860105 4.640279150932672 4.718378237797434 4.717852050244165 4.630877984683279 4.650612192053483 4.608148398201388 5.038796842574103 4.966292917119559 4.905265994546827 4.583935193179775 4.887228016412722 4.690980724590669 4.860205605452025 4.884050452283221
BedenekJakob_SLV00024-L2_1 4.5215367593045555 0.0 5.322563522359378 5.249711731330029 5.27397882267643 5.408887314680232 5.076863392937114 5.038641067561981 4.215629295897591 4.544542217110919 4.57417758529661 4.622026999466267 4.581711738172864 4.482972748105919 4.7010972314344555 5.088031744897842 5.284248294584716 5.064192375097959 4.915025428104172 4.993988670881554 5.251138562097631 4.832466665252188 5.102444044669127 4.775889788695735 4.557588848934985 4.994451354617126 4.640291842501872 4.827263837844237 4.266676019206318 5.291155884777348 4.455089340449193 4.510480656195455 4.624782387409081 4.485195083439741 4.795426269355669 4.566508919696784 4.438213460194732 4.866174047390611 4.714882063871337 4.600848507958335 4.948816038620132 4.665349161741139 4.618618521350711 4.666175264052831 4.615137836806602 4.745898116930444 4.6000383042795185 4.55445178439367 5.2570356047375295 5.054868997341564 4.844534661221684 4.75599474438598 5.338941905400837 5.180118292476652 4.937021277688673 4.490664237107126 4.906619548380604 4.622639846196741 4.319658839456024 4.592247460967561 4.900261878350737 4.662213005104194 4.853063762161208 4.4521147274227 4.697298098957935 4.616168981259322 4.370009158598602 5.382462631356702 4.4624169021185525 4.581578827651719 4.95702268875033 4.891297869176965 4.608679917645985 5.114309357824632 4.821908175980049 4.639330518290786 4.836438277502437 4.843505897515496 4.486539630303922 4.823266122769164 4.619209098161081 4.851351798392303 5.483677773468455 4.81034286362185 4.717441306305043 4.7438192812048054 4.951076008858411 4.445421616613234 4.919601925740963 4.01131460222023 4.110781294868966 4.325459492886262 4.41904215526753 4.3267435396089375 4.371511557436465 4.5038612333080605 5.209365758327127 5.014105159615173 4.792915913949737 4.769632364004169
CankarIvan_SLV00398-L2_1 5.127775120405756 5.322563522359378 0.0 3.1139779241066288 3.3856962412879685 3.1926181846476065 4.273530063042156 5.017239065557626 5.01033312347856 5.262663939737633 5.269572388762288 5.089184841279787 4.818486884296258 4.794325011337632 5.004657573716263 4.72983593020844 4.538829797201352 4.811342299006456 4.709390196229096 4.41188081314681 4.164237716067598 4.06264631512665 4.475745803243205 5.142232786959748 4.69697733635224 4.9195874322354705 4.958326272541861 4.6515977242467255 5.4995255748013285 4.625712979560698 4.9612650026549545 5.020543161795441 4.904332177160975 4.744921122457567 4.976816144554511 4.9965147252574695 5.243764021493439 4.862799911218864 4.991154648376645 5.314217222582251 5.050821105506838 4.968976809757252 4.776900726364385 5.18809489338234 4.8463148482293255 5.22626131660124 5.428371804730812 4.856505655249855 4.309632756953791 4.522041023792848 4.587731466271081 5.045680958496064 4.054476807517489 4.020455301845793 4.756425683613332 5.095127703314333 4.983290309521445 5.1902393320810685 5.251416193702777 5.232738621858575 4.927452818781432 5.197924922417359 5.00908410118695 4.547165315982543 4.499031312542216 4.589048677119427 4.8879206427373205 4.574681735473119 4.585224396019785 4.850150379166086 4.506080629347887 4.473723041965027 5.156669979649585 4.976526573144375 4.972337404673751 5.1760482276350155 4.741217651387797 5.080843622576252 5.370062134702246 4.319306241609447 4.90167781286249 4.718735743797371 4.194361730735125 5.293706604496192 5.050776529825411 3.9633171848011832 4.817702737268973 4.977397761861596 4.904186280354046 4.879981984241869 5.074883466623694 4.868996766245484 4.774679880912333 4.9720977422322985 5.011079892192522 5.075010778155072 4.558730934481211 4.746858945911423 4.842770206035767 4.848828055268264
CankarIvan_SLV00401-L2_1 5.054066351386505 5.249711731330029 3.1139779241066288 0.0 2.8976306805010514 2.485028051817173 4.37392510064292 4.811582376256208 5.121848846593965 5.326403886315158 5.300555347052785 5.1954185599993465 4.681094935948103 4.8405742131062635 5.218925756056576 4.571886432254041 4.0680618604902 4.671342370923969 4.617306877973518 4.301853907031895 3.786264500736614 4.112275719648023 4.118799273394639 4.9955294290451695 4.590710433163788 4.938835789404731 5.129015759907298 5.078910263489767 5.639159619681031 4.635470548447583 4.849499173340758 5.15366561912532 5.086087560438386 5.244083138138891 5.114352508178408 5.270783997297278 5.289417180232573 4.852337388394839 4.988527556212378 5.231596781995075 4.832135365637701 4.979730873878267 4.843207822266365 5.1398824758844235 4.820783667210345 5.454218568182979 5.527112195065765 4.929302268321917 4.526878822032577 4.335617799807434 4.365190924820037 4.973450037519952 4.161522207783483 3.6460417833624357 4.725761898212352 5.062928514099447 4.98573591064138 5.172983689397386 5.263496608327232 5.3204846580878415 5.065330545192465 5.55746804630764 4.881612435354213 4.812454925025305 4.412618413853428 4.684031681088698 5.191755966513246 4.515658810999421 4.453772415491248 4.764963456662098 4.510679756502657 4.2646486453324375 5.189454535326258 5.053313726093042 5.189194096298691 5.295807042990267 4.878006106246771 4.933296565873176 5.237878214319185 4.373753397940333 5.2778052265994475 5.041427007497301 4.114673775085793 5.362643678151221 5.079069468183667 4.351155220494411 4.879792606820552 5.2073396757119985 5.044920196102599 4.94732616115426 5.25174696329807 4.904473990140724 4.610996151053507 5.005309993975151 4.781256762795704 5.1924289475795335 4.4409953345896405 4.778832509361213 5.0150329010024315 4.976720122007876
CankarIvan_SLV00410-L2_1 5.080076665013374 5.27397882267643 3.3856962412879685 2.8976306805010514 0.0 3.2756487297268904 4.179530109456112 4.985963421995473 5.380347656331177 5.139997707464294 5.29527955789987 5.095273535109695 4.975715943480469 5.072286331340318 4.850654969665835 4.8003913943256835 4.571837593047179 4.746806090087409 4.496716995838487 4.4431574526152415 4.1038586689463585 4.411072997155603 4.474889998987218 5.0739282325434605 4.737405600408262 4.928037895398505 5.257915466950494 5.038180475139806 5.291418874930198 4.120665422216884 5.329070153536401 5.105933203564941 5.06072178611217 5.182149119086484 5.1210984789969896 5.111682030578731 5.148930379226858 5.070207695196509 5.017784809138102 5.204692704634386 4.92432816230914 5.0816146624110505 5.031967720458875 5.088596811514939 4.9095977563692665 4.973774530556674 5.165489834303423 5.2927328105784355 4.230869969617835 4.195551203958091 4.340908680964816 4.648433726878268 4.0213694266788735 4.26858633089222 4.796502916856074 5.279511830114238 4.9929314454760965 5.076733626659576 5.069976342907253 5.189520691131479 4.683713984711488 4.994302306559125 5.022216471740034 4.803477932192048 4.810975476030306 4.591175120871624 4.8607488684436895 4.383005060726872 4.847627191138246 4.830822385510662 4.7119438774391105 4.75901361840766 4.984891316927972 4.906008315633502 4.645934792181913 4.89134074259578 4.755588645043986 4.691636747698569 5.1434652491560975 4.583401485708129 5.005890255645582 5.132077523935823 4.1471321891798505 5.02306425838578 5.075353179670101 4.520733419099794 4.496583193042124 5.063022734997966 4.7392286532375305 5.037492642744135 5.002392151652382 4.896199747601429 4.774805555388442 4.968497011402227 5.136748266063262 4.782269346350812 4.805368302155102 4.626096030292657 4.959786204381101 4.8146641797950025
CankarIvan_SLV10001-L2_1 5.19982235117297 5.408887314680232 3.1926181846476065 2.485028051817173 3.2756487297268904 0.0 4.56392787415038 4.62347163250268 5.293620857340899 5.250380519143439 5.287601371208818 5.338400901184175 4.959657754693637 5.153244513827925 4.974905216844334 4.4945262376951565 4.118929047891615 4.483228775496364 4.586240820898761 4.269877821028783 3.7469235897496294 4.160445113523604 3.9575924290281446 4.744760027302169 4.69214149329271 4.724236853935935 5.045808568865446 4.9935804169261875 5.701724692494836 4.326667846949466 5.013293712522824 5.132524577168391 5.307792234836047 5.373200118539305 5.225157378366962 5.410236447952052 5.339033563462659 4.6543481945669205 5.142330882695348 5.292521592785541 4.9667953534229285 4.984582983518223 4.848635422245913 5.150815900077057 4.755946604284334 5.410642478376236 5.473178121406688 5.042219718799294 4.341056227110053 4.372085121533066 4.592524454730654 5.122313789329359 3.9328054522457494 3.4923782320143077 4.584951160772186 5.205389119437934 5.011997613026792 5.1536345347300445 5.475532747534078 5.3380057663818565 4.957813903019216 5.450313277337812 4.764384501301594 4.708717322707327 4.50007976746617 4.793426343489818 5.194914988919174 4.1716357940351525 4.6991464803842415 4.655026366681879 4.358921175666366 4.144027941179641 5.274954854935591 4.779605869051416 5.156140136785402 5.305964651984329 4.777607480405789 4.774321120627796 5.202929117958229 4.2876554282147215 5.110610639459375 4.9294927056924935 3.948072416443909 5.274150586418265 4.713868767157292 4.754018499248514 4.7719235414704375 5.443920509118902 5.086613437318076 5.422777475539816 5.616624694460305 4.714582705442812 4.73036922370834 4.999128771679156 4.820659340523205 5.285020578488089 4.306326700723413 4.849296070016489 5.098605613460741 4.955794799681966
CankarIzidor_SLV30001-L2_1 5.0452837277052796 5.076863392937114 4.273530063042156 4.37392510064292 4.179530109456112 4.56392787415038 0.0 5.308411533716479 4.9869844356359705 5.118746220725245 5.285080817364155 4.669943284208777 5.069338085377465 4.897733838413933 4.602241792851127 4.85271304784885 4.736899219296166 4.8779278448838195 4.586632088229678 4.529781589825958 4.50095649421889 4.566584576642488 4.883185147357672 4.807093262939967 4.615688416739056 5.098507514172241 5.352466463456291 4.956633494913862 5.251593765313291 4.277781667610469 4.958697132650752 5.095489517998456 4.558354453409276 4.450821997349515 4.590235668132298 4.717650318028545 5.16575182738898 4.889854863025841 4.7366534278817545 4.840992384289606 4.779350078378212 4.752289498047285 5.263188161664707 4.970079094161242 4.814630379828627 4.711901410326236 4.96740410799969 4.887258233264933 4.543438890460477 4.141188726509179 4.298227396933241 4.453641166573929 4.0931773270565435 4.558036745956997 4.793394418962394 4.790159288984612 4.984916956425375 4.925148531085649 4.764870836511124 5.079610278140469 4.637013311513806 4.812467662941666 4.987890619299739 4.80692647586319 4.996168828204773 4.784120320116648 4.622153858474138 4.797594781795844 4.962149651414603 4.707629444277404 4.345159234075309 4.749223710426525 4.571546363364427 4.822859479117078 4.864932745891268 4.935101975207548 4.665111838013488 4.508141375366639 4.989733433408626 4.789849633862847 4.956598038696844 4.637030308476303 4.305785378064783 4.792993567302833 5.091863798007837 4.432624677794208 4.5275195497654535 4.889781776113021 4.654965590004486 4.906370566441614 4.838086301863777 4.9024186219362855 4.6992100971289945 4.7999932270992485 5.0890835227818085 4.609671388966779 5.018685667138424 4.503032355479238 4.763966198218938 4.842978008885719
CarliLukovicAlojz_SLV10002-L2_1 4.432345328217932 5.038641067561981 5.017239065557626 4.811582376256208 4.985963421995473 4.62347163250268 5.308411533716479 0.0 4.814631187039318 4.323675659741897 3.9676549463427246 5.186547225668361 5.081595039205423 5.239212311151404 4.674861754786454 4.400992564486471 4.2848821502324945 3.902441767083167 4.818213428263875 4.721411190798014 4.704397745526961 5.148163180905969 3.991087632823474 4.70912685858476 4.4804499107174784 3.6183434136964228 4.828764749753264 5.177852203700127 4.163394847649117 4.7377764784419165 4.890912359354887 4.175768506617629 5.451304821463513 5.394731252963424 5.25258745549172 5.325198898019163 4.5910737071297145 4.91919482624704 4.875304145280554 4.912632727387378 4.884895628950608 5.019710202339068 4.3326737694419535 4.6826557445614245 5.095736099770013 5.047626688761856 4.272621013209856 4.931889467055192 5.09700954606708 4.9943288097744105 4.915074024044105 4.368506346513298 5.050509074544318 4.576556237548812 4.371258310628899 4.421316241601742 4.224535204743389 4.484217531115275 4.75485287681256 4.201530428904603 5.070489318414499 4.930938892940875 4.531948172534783 5.100038346805492 4.8216979027081255 4.882003710376397 4.82787882449393 4.560808489006807 5.055218537582007 4.714132979776541 4.861180958788694 4.379570862274696 5.108011826102311 4.994283271275741 5.185490324263087 5.174159214007592 4.995836516456253 4.568329220063992 4.208627568754373 4.770383665208712 4.422063629311822 4.4369003707396555 4.666221155181609 4.7972648578936345 4.240355189822482 5.053748956531178 4.651369482014431 5.380621456641995 5.076738419653868 5.4352315236921065 5.4874190635505204 4.604348064210392 4.880809431850097 4.902996158979865 4.526042620232687 5.198507578963544 4.492702289695261 4.826194311089161 5.096350585390788 5.071788211329272
CiglerJanez_SLV10003-L2_1 4.619458209770538 4.215629295897591 5.01033312347856 5.121848846593965 5.380347656331177 5.293620857340899 4.9869844356359705 4.814631187039318 0.0 4.557991855012123 4.563003774178708 4.258296115654101 4.166504016936724 4.028231996417955 4.9720498745395165 4.555073265133871 4.766300942496527 4.7573373911169305 5.219861716099241 5.264264309362423 5.274996286763836 5.06803256131535 5.369825007722491 4.832776639006081 4.846897828350209 4.896157718307343 4.34104706892636 4.218221369689577 4.3218923681087436 5.292095505611585 4.797299143774485 4.710704492790724 4.441185076304326 4.175452206996979 4.791995686402479 4.804016151081498 4.721350881835989 4.457527353803482 5.2906546903408405 5.232220811419824 4.986479497578575 4.988030417825507 4.769417501583924 4.992021230287175 4.866272648442999 4.840504582969884 5.069287341517393 4.440450788653253 5.375914852069889 4.945967956436506 4.494530971271075 4.872088719241704 5.243122594824349 4.689555843890459 4.9655000337178645 4.479767482383325 4.711402104216312 4.702872500375069 4.643339118984814 4.70551535455525 4.961588860992549 4.718594773232353 5.228669808964477 4.637036824882532 4.5908285037699805 4.748289618930249 4.721983054773546 5.4931022911958465 4.509581011499178 4.788898220025437 4.793094787251647 5.033356781129649 4.731944858144495 4.973619527775579 5.230363003776404 4.951195025716746 4.887812400533536 4.9195058028689855 4.335500122351277 4.967477813043712 4.453996482052967 4.617849811293191 5.404644261632566 4.736795473738788 4.640212684559183 4.605712164103072 4.32412894000654 4.243663863176037 4.2607746899963015 4.185120100498786 4.457278149486762 4.998967100561718 4.930342157748727 5.069457953326657 4.445215599938513 4.6445524640329765 5.11703349555149 4.791313695940423 4.817916649159532 4.678833622456848
DetelaFran_SLV00111-L2_1 4.402829950129516 4.544542217110919 5.262663939737633 5.326403886315158 5.139997707464294 5.250380519143439 5.118746220725245 4.323675659741897 4.557991855012123 0.0 3.5014020929618894 3.9135324716602744 4.440234549970516 4.3000346420629825 4.7922819755854125 4.484209469290817 5.0543147357901725 4.437191892838498 4.852491310842328 5.095758474626444 5.228752433221953 5.000355568572281 4.738055509347828 4.837054522932594 4.709021274001401 4.561515041889771 4.5793253103222735 4.891614982831158 4.080826966634993 4.8976841671863625 4.94767738648455 4.630997216630484 4.926155736341126 4.833644459831138 5.047597925231425 4.970733503678637 4.450241130190395 4.960528725332004 5.044167599014056 4.630633042791671 4.926996656785257 4.755255494138892 4.521382401449028 4.593460071750123 4.732953905081054 4.709349232821242 4.562143150120115 4.969679122113169 4.958607853528461 5.192332283998939 4.892122364531264 4.440959012244208 5.075549640243832 4.9504023078476775 4.734773916407282 4.817988578356919 4.388832766632602 4.428717726595031 4.529456379260741 4.505289572598321 4.818316639158291 4.673081201627463 4.7777011289394355 4.834301472447338 4.832104834272835 4.766617983398082 4.910193945943708 5.013385861503961 4.785005494185716 4.682147700192531 4.810291049920349 4.684203179927244 4.884519644136109 4.977660525221118 4.8149162687361855 4.7178355123219555 5.154591310291005 4.800907940654636 4.665601125786358 4.746314691216871 4.710238761712816 4.694430996474699 5.0279223021216 4.688594654735441 4.677742323971034 4.984823466084372 4.9513926696163715 4.668163137847297 4.785237770381574 4.727233655749496 4.780059511758199 5.060596229137131 5.237195424289203 4.904454597924141 5.129017075942443 4.946142897801871 4.637867342932755 4.680986601212994 4.751389448002594 4.775779901052367
