 ArnimBettinavon_DEU015_1 ArnimBettinavon_DEU022_1 AstonLouise_DEU010_1 AstonLouise_DEU012_1 AuerbachBerthold_DEU002_1 AuerbachBerthold_DEU008_1 AuerbachBerthold_DEU013_1 BahrHermann_DEU055_1 BallHugo_DEU095_1 BleibtreuKarl_DEU061_1 BoyEdIda_DEU074_1 BraunLily_DEU082_1 ChristenAda_DEU064_1 ChristLena_DEU093_1 ChristLena_DEU099_1 ConradiHermann_DEU056_1 DahnFelix_DEU044_1 DohmHedwig_DEU057_1 DohmHedwig_DEU063_1 DohmHedwig_DEU073_1 EbnerEschenbachMarievon_DEU027_1 EbnerEschenbachMarievon_DEU058_1 EbnerEschenbachMarievon_DEU100_1 EssigHermann_DEU078_1 FontaneTheodor_DEU035_1 FontaneTheodor_DEU046_1 FontaneTheodor_DEU051_1 FontaneTheodor_DEU053_1 FontaneTheodor_DEU059_1 FontaneTheodor_DEU066_1 FontaneTheodor_DEU070_1 FontaneTheodor_DEU071_1 FontaneTheodor_DEU088_1 FranooisLouisevon_DEU028_1 FranooisLouisevon_DEU033_1 FranooisLouisevon_DEU047_1 FreytagGustav_DEU011_1 FreytagGustav_DEU030_1 FreytagGustav_DEU048_1 GanghoferLudwig_DEU067_1 GanghoferLudwig_DEU085_1 GerstnckerFriedrich_DEU016_1 GutzkowKarl_DEU024_1 HahnHahnIdaGrnfinvon_DEU020_1 HeykingElisabethvon_DEU087_1 JanitschekMaria_DEU060_1 JanitschekMaria_DEU075_1 KellerGottfried_DEU036_1 KeyserlingEduardvon_DEU080_1 KeyserlingEduardvon_DEU097_1 KretzerMax_DEU069_1 KrnbergerFerdinand_DEU025_1 KurzHermann_DEU005_1 LewaldFanny_DEU021_1 MarlittEugenie_DEU037_1 MarlittEugenie_DEU040_1 MarlittEugenie_DEU041_1 MayKarl_DEU054_1 MayKarl_DEU081_1 MayKarl_DEU084_1 MeyerConradFerdinand_DEU032_1 MeyrinkGustav_DEU096_1 MeysenbugMalwidaFreiinvon_DEU086_1 MllhausenBalduin_DEU042_1 OttoLouise_DEU004_1 PolenzWilhelmvon_DEU062_1 RaabeWilhelm_DEU029_1 RaabeWilhelm_DEU031_1 RaabeWilhelm_DEU038_1 RaabeWilhelm_DEU049_1 RaabeWilhelm_DEU050_1 RaabeWilhelm_DEU072_1 ReventlowFranziskaGrnfinzu_DEU077_1 ReventlowFranziskaGrnfinzu_DEU090_1 ReventlowFranziskaGrnfinzu_DEU098_1 RilkeRainerMaria_DEU079_1 RuppiusOtto_DEU003_1 RuppiusOtto_DEU009_1 SackGustav_DEU083_1 SchnitzlerArthur_DEU091_1 SchnitzlerArthur_DEU094_1 SchopenhauerAdele_DEU018_1 SpielhagenFriedrich_DEU039_1 SpielhagenFriedrich_DEU043_1 SpielhagenFriedrich_DEU065_1 SpittelerCarl_DEU068_1 SpyriJohanna_DEU052_1 StifterAdalbert_DEU007_1 StifterAdalbert_DEU017_1 StifterAdalbert_DEU019_1 StifterAdalbert_DEU023_1 StifterAdalbert_DEU045_1 SudermannHermann_DEU092_1 TieckLudwig_DEU014_1 VischerFriedrichTheodor_DEU026_1 VischerFriedrichTheodor_DEU034_1 WassermannJakob_DEU076_1 WeerthGeorg_DEU006_1 WilleBruno_DEU089_1 WillkommErnstAdolf_DEU001_1
ArnimBettinavon_DEU015_1 0.0 27.041009675322464 53.96723715152809 54.250822548749944 48.633579460262204 45.601261974355005 42.5418931688463 44.03740754832871 56.035479157533416 51.28677624706878 54.740955290172806 57.40165336749851 52.73356023705524 54.53190955521619 52.11483324170315 52.49841747587793 54.474059935101586 47.5768723883513 50.36465216463297 46.25516996142037 57.01559559295265 53.60756495305655 52.16173017428968 49.64772176870247 56.93432968326588 47.83118581824268 53.09608571804901 53.05391560839266 49.79311325871587 50.67564973263675 54.52452071682132 55.94284095814179 43.8444400850474 57.77634114129143 56.99974721209337 55.53002127776611 54.008482739094724 54.74584470462941 52.38631922343261 54.735319811981384 55.160338613154316 57.469241414919864 56.264791820998944 43.89982090935241 51.350773324931296 52.58282544937933 51.064077420680974 53.82288134467412 52.77769232042922 51.585714471093915 56.673053768521314 53.99516383995706 46.52475437742235 48.51342092575023 55.76313302261742 57.55509293980358 58.008755873227884 43.461394409147246 46.761964926785055 47.18476811900428 59.287031588719586 49.63141852033992 50.42042632777375 55.892990111780996 50.51416763745429 55.3645377438386 51.306878059485165 54.76544593779261 55.88614487055259 56.587038771623426 55.23510844140166 55.041764165101235 43.64364901748783 45.404977775296985 47.2989144297115 43.493898256036495 56.51949148703036 56.317783959865565 46.87520981484438 56.53675593100899 53.32340732278076 55.39147276715669 52.27773609611824 51.58168630188168 53.20423056293372 54.5795678070782 47.890742321743744 49.583708080849775 50.3754601660813 49.9468903666714 46.57807814442231 54.0639291730628 45.383387548734106 50.6421870617439 47.4382882099471 53.79054262377824 51.666432844096484 53.95978104408373 48.0212803731872 56.841479453345976
ArnimBettinavon_DEU022_1 27.041009675322464 0.0 54.51719825611591 54.083433743541065 48.080574744437385 45.12979855954053 43.40920781771828 45.07072201642274 57.45618755436251 52.206736115941325 54.316749320821216 59.92946237765726 53.632777802121325 54.73214981703961 54.118643933114306 51.671865931800255 55.87131804273348 46.238136126310714 50.61391277643397 46.494927259278604 56.985864324856166 52.861662209848745 53.36238329248177 50.490471188774976 56.918305897919375 50.78432225362062 54.60206408531392 52.07930090425284 49.48488933979677 49.6214889816413 52.92565815414443 55.0988147932153 44.20277953281608 56.84399468473815 56.24404485729679 58.10556845983192 54.241566590333086 53.45352314121967 54.07920186967771 57.72163123299792 58.86826037341488 57.72312648185202 56.04070034964096 44.29047263642727 48.073129466556225 52.57994815716618 50.74992237536057 52.561628662375384 55.66506053328997 53.56499616780413 55.19210890848336 53.48177688567411 46.564849541696006 45.74108981911538 56.24520419878087 57.30966832546209 58.054711649859094 43.340652386919494 45.747542354767326 47.48545022876006 59.617588655305624 52.30161670146552 49.72670592892174 54.15722431492598 48.92258137926351 54.28052676492685 49.05714423853071 51.75109577279016 54.92785700889922 55.79341903873805 53.92486597799924 53.65096764896372 43.466177604549216 41.54192179555386 46.30812434552812 44.17791153891466 55.7679544411646 55.14694109946342 48.161731911807124 56.8515278504499 53.39040769623044 53.581555711944105 49.934491651906015 49.9416659417156 49.956896756261806 57.09720046101511 48.717657142298556 48.75606899790005 50.540576780282024 48.58049252688312 45.67893510177467 55.64231750529499 48.25768326526751 49.74972545223589 48.4629350366536 54.60505462046348 54.06864421351242 50.66941748214552 50.55552028104575 55.762751704756084
AstonLouise_DEU010_1 53.96723715152809 54.51719825611591 0.0 43.9472311893563 56.14661648962235 56.333147174279766 57.53464493670508 54.54946326587342 55.446685830401115 50.66832627356719 47.30076989003579 45.54147413589042 53.866532372581695 58.21608892475198 58.27219856885572 51.013077481936 49.73573113404608 54.58835113932693 46.53313391437616 54.44809468616559 45.80345862180252 44.93937006925247 49.52972230757553 52.13142352824217 53.39778596984557 56.3276844804413 57.44749287982385 54.74502302356666 57.021259266951894 58.986366302574346 53.63333934603994 54.55095645681703 58.990324839733475 49.4087167203905 54.95340352184743 50.12666360431456 48.84677681194877 49.84014381363228 51.030295495964694 50.3491792514154 54.196530800440584 48.97605005605585 51.21087940841638 46.65991823596205 53.88419534233421 49.22408377790916 48.65895538069307 49.62776805532364 51.32147540050551 52.70087199140973 48.174011175462475 52.58357235737383 49.987226204357086 44.02123863556432 48.88323029464955 45.405056784086376 47.27373578315144 47.706369793828586 48.90928860546162 50.09945125399524 46.32842546486148 47.45546152432148 44.86316780573395 41.7808050627508 48.573157757432455 54.47694137368549 57.62943931291753 54.29255485880179 54.02780852354366 52.82802142643874 55.04580724533747 56.589555061978636 55.44672279868 56.59176811496057 53.23139831567057 54.54733657621549 43.89935364461181 43.70369711874121 56.320594740303406 44.51599876601432 47.240775310704116 46.41841496126537 48.89555560378727 47.88401243598314 50.27623347107358 48.45087605632654 57.284799103382 54.94112351127274 55.29659897715965 51.66073865989608 53.65138692878547 53.894246593000894 60.11166067264786 49.37178703059376 54.120525759630766 52.48916029859348 47.424787140036734 49.15974751515148 54.21571062044179 45.790472358791774
AstonLouise_DEU012_1 54.250822548749944 54.083433743541065 43.9472311893563 0.0 56.8558189695414 57.55632806058338 63.135948511795505 52.63602264510052 55.301743205973764 43.15920244681805 45.137951837197754 42.905868982891725 54.16128731464214 58.6416277361022 56.43550742256804 51.910939610645954 44.130309946540365 49.206428191871375 49.13996433124264 48.46890516412626 46.01256637858019 49.03937199163324 46.02817636861176 54.902918455669194 52.790196881123485 57.97759529738986 61.49069291949068 57.31935592682405 62.2850180838776 61.89907589403326 53.11011327448889 55.580481942395025 64.79807065871425 42.2378656513201 46.507723943131836 44.96690920749024 49.10822533436392 46.43137929243745 46.58318986308772 50.384217753522194 46.875858891823924 55.85110895406655 45.41878133656134 44.54724395005848 47.82853617997837 51.91870125430667 53.55803790746591 46.32192321347244 54.686897545488804 55.719648355304265 47.50215830359706 43.86405234413772 58.55958462034746 42.86865353876243 49.48577849758238 44.71768086980747 43.12524449596099 56.937185626424814 57.821534462909376 57.56777582797548 41.40868462659974 54.87077370979981 41.756191790729176 45.544740499455976 51.31596440826931 52.21148853603331 58.999440259621245 51.71399054333723 47.282770600514304 45.23576240908778 50.722329721971946 55.409747005333706 59.4407291701176 59.489786782035786 60.32699540011754 55.8094812227015 52.95842851840455 53.98733102628087 45.66499354911568 49.954932063071524 57.82925654752517 41.74533224507177 47.3257712409931 51.89541003534606 51.62605724437401 53.48179621841547 62.667744799528116 55.93271736643749 51.56906338766479 54.88796543130192 49.60124339021884 51.87358530025556 61.1849320969802 44.07678308765775 48.85708073415882 47.337821626767635 51.625000080633534 48.77035822421337 50.989496155762474 42.91391394944749
AuerbachBerthold_DEU002_1 48.633579460262204 48.080574744437385 56.14661648962235 56.8558189695414 0.0 40.82906394227243 37.12275504219669 51.98696027320096 53.43666441782493 54.71675475584568 52.85382737298799 57.11511586112784 48.199354876064845 46.71168812358941 46.73372375267832 55.908004926798206 53.41935700864814 54.811482961082135 53.542329352101724 54.758434926966636 52.426398686683655 54.39543822285606 52.194137726170766 47.46234156156996 53.99677284189608 51.75891766552469 51.15547090137448 53.11606495722339 52.82170006299437 53.21667457591177 55.33131484529905 55.660035737269894 49.94768419452444 55.006525190251395 50.44678951861657 52.80812720459414 49.96637833031844 49.78328232430525 48.5681090139086 52.557052480361634 52.206012110435324 51.24383199701551 50.023162395506986 52.83481204228111 53.918097599443556 55.17404260737569 54.51187141713805 51.407465450562064 54.0891276536624 50.24570735089862 49.32046724268795 52.711053722338804 45.283661669624635 50.741615121783354 53.170688798713755 53.78830894632194 53.737924638458004 50.55114800690398 52.266888767117486 52.01109207003729 53.716781320624456 54.1474209227493 53.0877876289656 55.33385912893852 46.367185163202684 46.53076561165902 50.01660314445727 51.46996901992894 51.05557174802762 53.20928460065336 52.37163515372812 52.99350558089588 49.119360390766474 50.756837896789385 51.13946623919227 52.16148973192902 50.123689402485105 51.7618516908948 52.7355670900677 55.552201502209364 54.242018309437405 51.016949397116676 53.79736192410702 53.21397211531169 53.517160745309674 52.262159258302674 46.350996821077615 48.144022305871054 50.20354458229896 50.7413406779612 52.31555352424524 50.18404529735986 47.46329005944988 52.43589043920066 52.32644417536076 51.38258850712225 49.894992451944574 49.14938045704776 50.84827495096522 53.204473655149954
AuerbachBerthold_DEU008_1 45.601261974355005 45.12979855954053 56.333147174279766 57.55632806058338 40.82906394227243 0.0 37.270228607442704 50.413912847690234 51.158223713769125 53.13681319709576 54.69176239885997 59.121188151683434 47.297854948401564 47.627279100568884 48.35498216709181 50.709631509252205 55.156178175379665 52.592000878042654 54.34139891472921 52.562803589760136 54.965435293149994 53.28463048546941 53.86713359374312 48.61779936151751 54.18707241362038 52.676631484691555 48.66485580524092 52.967005845016985 49.55126899317083 46.753798849880155 55.40022705694509 53.146658020104674 45.042652296240234 57.535321055333426 52.81768668540432 56.99466975493791 52.69071815233433 51.71594071767677 52.90137838290346 54.764512127005574 53.45816855722805 48.13049122686328 54.04462929389092 54.67744087376839 52.71352324428145 50.195411488534496 49.545587518725455 54.36319776951748 49.56356182446134 49.41536215840476 51.04545469621104 52.63478400454912 43.91799372394501 54.28802154780371 56.42851000079122 56.80642557703746 57.32590187360616 46.74180803318259 47.81923555597674 49.52377457312965 59.1740271476378 54.734342905750744 53.99632703072012 56.64924601943168 51.853396837026075 47.968816402882815 49.31510419644951 53.41050284136356 54.20716624060178 55.17395910898781 54.30964657332698 52.916619941149285 48.391898533309906 44.84946673712982 47.085787767945156 51.30628642240341 52.317171898935946 52.217282068427934 57.808836411573196 56.839338948133616 51.66157390076956 55.07736954777093 54.432061225601274 53.54437181979573 51.9018045381058 50.527303891167 45.09859821358853 48.645842901171676 52.73146308529977 49.63781679229542 51.456571399520364 51.89081714967534 46.42618522372318 52.55838167575209 47.47192150356542 51.875495165266635 51.91849525540414 48.89063319165669 50.72467644640917 54.983747676487965
AuerbachBerthold_DEU013_1 42.5418931688463 43.40920781771828 57.53464493670508 63.135948511795505 37.12275504219669 37.270228607442704 0.0 47.636427750969304 51.55409494144855 58.53723290473858 56.22120131529542 59.714786856148635 43.878122909166485 44.14743378642403 46.059408349668075 52.914948899352865 57.06677826538717 54.147740151125795 53.177804057117996 53.72265244894483 56.39103705740859 54.898005227451755 55.374199125291 48.78401771396586 55.9407321700398 43.311546197663496 45.84493893921602 48.67737206959725 43.80813270454523 45.119511862182804 54.3999483508722 53.64023686691286 40.09757021175075 61.5332291775074 56.88921505982912 59.84030978294329 55.04257414410574 56.05773828626731 54.130886687335334 54.137803734155575 55.01642142204655 49.96160118312037 58.35912216606491 54.25353840422815 55.29109593807851 52.58468046232991 49.66700766590239 56.13905566156708 49.77370469065408 46.46380892394311 54.78699430522137 59.39174218680042 43.19613748867494 54.38074496100432 54.87148402309192 57.341043495908124 58.63417074693403 46.48032785547913 48.7934005693683 48.35879574382815 62.87335466897968 51.48171800824159 55.35193181095109 57.891827507739876 49.45415992196772 53.82958926461304 47.50457580971377 51.78723959623232 57.318381431681864 59.1841513836151 56.01456220456075 51.1019950940585 40.51506226998936 44.93105076675309 43.217241614661575 47.41326846519261 51.711270500803685 52.57595157808053 55.39218695734984 58.40170242689862 50.888860021640355 57.54128653481038 55.419279539505354 53.26529888735772 55.41967750540189 50.37960810545295 38.262294150492586 47.761257110290416 48.20328470086561 49.942956919739274 49.30137998639978 51.09527581349883 39.253650588982985 53.78354431606776 52.13213037576351 56.862868714079205 54.38823245673211 53.294853661807565 51.40824197614185 58.476508866230674
BahrHermann_DEU055_1 44.03740754832871 45.07072201642274 54.54946326587342 52.63602264510052 51.98696027320096 50.413912847690234 47.636427750969304 0.0 56.683538693303525 49.60135011030376 54.96235610572124 54.813845907874324 51.15436866249212 52.19718808986056 53.25382673862526 45.117211029561254 59.62667863833151 45.383326887857606 48.76825168913802 46.29050896607197 57.185847609166395 50.14733799802104 54.851759805587164 50.21801262077487 55.19288578147632 50.76923849767572 49.2572640485708 48.49039727326516 44.965121961596694 45.20809457258286 52.391403500599964 50.017714534272606 43.07576509289086 54.26064694539036 52.858906036123535 53.8340211404875 59.651442975005395 60.01273085538301 59.26730539207129 59.14854221049721 58.23191533832405 55.42613275073261 55.76903799756955 48.689920944539274 47.73134929158394 54.171594964745445 53.363951482654336 49.33923473738814 55.68829563310039 54.59479831914836 56.2616278104236 52.64659106023856 52.248731980448675 48.44623833020302 58.68331054763974 58.70109947667365 58.52849979254757 48.35992053809679 47.97863734421384 49.21218513032312 59.87453738699351 53.54146874516384 53.54110818857224 52.378127470248884 49.649741089364525 53.75443529250975 48.996598715988064 52.722046634035884 55.866552951311824 57.51126277598867 55.208729717795364 51.70357004878863 42.559982867430996 37.154937364333954 45.80145954670063 41.577465881909326 58.68150435569444 58.18545204962526 47.62189393392146 51.119867575604594 48.791641404954504 52.728024144715285 50.89864157315368 51.30681600477287 49.32669725394804 48.63730381197954 51.29387224407681 50.9558799818723 49.817146753976374 52.359635897657775 44.83544834494729 61.48489215637017 45.57027861098368 50.41591717429086 46.821411325427576 53.987182809394625 54.69775131783282 49.002549012640245 56.00365187887137 56.546909377410195
BallHugo_DEU095_1 56.035479157533416 57.45618755436251 55.446685830401115 55.301743205973764 53.43666441782493 51.158223713769125 51.55409494144855 56.683538693303525 0.0 47.80080625645193 49.966306502316044 47.19262692596203 47.06732601895958 41.643774286166774 45.97803833467728 47.833688336054365 43.66828762121555 50.151507873561634 48.565584555558495 53.01934232345731 45.876332593766506 49.76531317596743 47.303044738889234 47.2474670806929 48.57322323304177 48.74219985167922 45.39872169844358 54.43731208962482 48.155317566883525 50.01421041552148 52.6536187833091 49.69907667010451 48.49628274726715 54.55899182527467 52.095115940824414 48.30125719898316 47.046049866397325 49.926682013471996 50.417110184180665 40.75210766695447 42.14024559437176 49.511658425056474 51.05028996632827 56.02023689744994 60.92060654734721 44.99840190572689 45.93947451999142 59.617684551762956 38.981321027095106 44.08548715571948 54.58891664413483 50.931135637772705 53.12093069874797 59.533397012637096 48.658414017319416 56.453404049385554 53.317544832522884 57.805979776790664 56.37697735108557 55.68092667724418 51.41205331898924 48.18171252690098 55.431497571451416 60.928028034071986 58.61184363558763 46.336332812268566 54.063734049588646 53.5860706158758 52.208462677594945 49.54774471029456 51.59110330924845 49.666176006177956 55.06947155148057 56.86477730641437 52.435551491397185 55.909249406968264 54.01807234499974 54.11153686373604 53.70228552096062 54.04942075626984 50.133124421750495 55.46175827932722 58.1808566267063 59.44270067150031 55.34882119914459 42.90280236412736 47.59915550159732 60.398941405526394 56.592818941072075 60.546678021217346 60.29787009672419 48.59719888360358 49.00627698967245 57.491451924487194 49.143749292387476 49.50961859974863 47.26106603141642 58.34517875210567 46.64261897362228 52.569113434013964
BleibtreuKarl_DEU061_1 51.28677624706878 52.206736115941325 50.66832627356719 43.15920244681805 54.71675475584568 53.13681319709576 58.53723290473858 49.60135011030376 47.80080625645193 0.0 49.26092895180568 46.14451456798154 56.098581517061234 50.50419375925173 51.59975612833534 47.57322591067749 45.398769620162696 46.28912947458587 49.0284333145361 47.44632719070427 50.91714945185464 51.467759354192495 50.23601582997074 49.88879540889048 51.997048853689826 58.41498897881605 54.520340959660444 55.044449077008466 54.3766414061913 51.71384422346128 52.70259130771033 50.944966946918306 55.87997694233512 46.627037470066064 47.23092240040095 46.825259076578526 54.04835165585217 52.41944523837889 51.43176218464239 51.46385405401197 47.59604458259469 53.15945367660019 44.605111812308806 46.52406929803504 47.710579394554166 51.61953704163318 52.19910268761895 48.41433971946728 51.25847046103708 53.12641588969621 52.087127100254584 42.24063631966989 57.279105745216796 53.94142037892168 52.21446102783908 51.490784855912615 48.732700229767815 56.28891083929517 56.88850404788744 57.173031251240346 44.016682272371554 52.661641731378836 49.81939761613672 49.876097260499215 53.15617740222248 50.85809073781396 54.08525947532654 51.286813506125945 50.136971534703434 46.41728292004299 49.59202870269036 51.140030746167604 57.89814407256513 51.98717691442483 52.506107385559176 59.09203173191682 56.7401577976827 57.427948027041616 45.0288392058637 51.97419487104202 53.7756424936285 46.25184318421132 53.247467379511804 57.57071118703811 55.29150642943274 47.19466585792952 59.32324503332572 60.76992093909055 54.90142429017457 60.709823055185076 53.46475860438797 56.1752401155521 57.0843455017277 49.10480081815228 41.698438376406145 46.00568488431899 50.78862946296811 50.268622605675 46.986663387496776 45.62528942469811
