 ArnimBettinavon_DEU015_1 ArnimBettinavon_DEU022_1 AstonLouise_DEU010_1 AstonLouise_DEU012_1 AuerbachBerthold_DEU002_1 AuerbachBerthold_DEU008_1 AuerbachBerthold_DEU013_1 BahrHermann_DEU055_1 BallHugo_DEU095_1 BleibtreuKarl_DEU061_1 BoyEdIda_DEU074_1 BraunLily_DEU082_1 ChristenAda_DEU064_1 ChristLena_DEU093_1 ChristLena_DEU099_1 ConradiHermann_DEU056_1 DahnFelix_DEU044_1 DohmHedwig_DEU057_1 DohmHedwig_DEU063_1 DohmHedwig_DEU073_1 EbnerEschenbachMarievon_DEU027_1 EbnerEschenbachMarievon_DEU058_1 EbnerEschenbachMarievon_DEU100_1 EssigHermann_DEU078_1 FontaneTheodor_DEU035_1 FontaneTheodor_DEU046_1 FontaneTheodor_DEU051_1 FontaneTheodor_DEU053_1 FontaneTheodor_DEU059_1 FontaneTheodor_DEU066_1 FontaneTheodor_DEU070_1 FontaneTheodor_DEU071_1 FontaneTheodor_DEU088_1 FranooisLouisevon_DEU028_1 FranooisLouisevon_DEU033_1 FranooisLouisevon_DEU047_1 FreytagGustav_DEU011_1 FreytagGustav_DEU030_1 FreytagGustav_DEU048_1 GanghoferLudwig_DEU067_1 GanghoferLudwig_DEU085_1 GerstnckerFriedrich_DEU016_1 GutzkowKarl_DEU024_1 HahnHahnIdaGrnfinvon_DEU020_1 HeykingElisabethvon_DEU087_1 JanitschekMaria_DEU060_1 JanitschekMaria_DEU075_1 KellerGottfried_DEU036_1 KeyserlingEduardvon_DEU080_1 KeyserlingEduardvon_DEU097_1 KretzerMax_DEU069_1 KrnbergerFerdinand_DEU025_1 KurzHermann_DEU005_1 LewaldFanny_DEU021_1 MarlittEugenie_DEU037_1 MarlittEugenie_DEU040_1 MarlittEugenie_DEU041_1 MayKarl_DEU054_1 MayKarl_DEU081_1 MayKarl_DEU084_1 MeyerConradFerdinand_DEU032_1 MeyrinkGustav_DEU096_1 MeysenbugMalwidaFreiinvon_DEU086_1 MllhausenBalduin_DEU042_1 OttoLouise_DEU004_1 PolenzWilhelmvon_DEU062_1 RaabeWilhelm_DEU029_1 RaabeWilhelm_DEU031_1 RaabeWilhelm_DEU038_1 RaabeWilhelm_DEU049_1 RaabeWilhelm_DEU050_1 RaabeWilhelm_DEU072_1 ReventlowFranziskaGrnfinzu_DEU077_1 ReventlowFranziskaGrnfinzu_DEU090_1 ReventlowFranziskaGrnfinzu_DEU098_1 RilkeRainerMaria_DEU079_1 RuppiusOtto_DEU003_1 RuppiusOtto_DEU009_1 SackGustav_DEU083_1 SchnitzlerArthur_DEU091_1 SchnitzlerArthur_DEU094_1 SchopenhauerAdele_DEU018_1 SpielhagenFriedrich_DEU039_1 SpielhagenFriedrich_DEU043_1 SpielhagenFriedrich_DEU065_1 SpittelerCarl_DEU068_1 SpyriJohanna_DEU052_1 StifterAdalbert_DEU007_1 StifterAdalbert_DEU017_1 StifterAdalbert_DEU019_1 StifterAdalbert_DEU023_1 StifterAdalbert_DEU045_1 SudermannHermann_DEU092_1 TieckLudwig_DEU014_1 VischerFriedrichTheodor_DEU026_1 VischerFriedrichTheodor_DEU034_1 WassermannJakob_DEU076_1 WeerthGeorg_DEU006_1 WilleBruno_DEU089_1 WillkommErnstAdolf_DEU001_1
ArnimBettinavon_DEU015_1 0.9272573978759999 8.630570553133323 17.79434857352996 16.692370830187716 15.87313338640062 14.443976836155601 14.107956154303414 14.508484999771484 18.04518981452436 15.501326805118405 17.423148410570175 18.50869805463241 17.377575960468114 17.350650907570238 16.57420365001382 16.8810274735023 17.024758489224187 14.638199496540015 16.174309235363637 14.408859568378126 18.90667230553781 17.708140120661117 16.954788096743385 16.553396218820605 18.409492805682852 15.58309518900808 17.39505054174115 16.977653536264278 16.16927700997686 16.3892332609537 17.33525304096607 17.960485404341355 14.301818708404527 18.116629072326383 17.631209769617588 17.52391705006456 17.98564024290114 17.702231435977946 16.815193985319535 17.65725900978419 16.751739331413017 18.42191686845848 17.613319033680657 13.484126161756555 16.139672401613257 17.409846960596543 16.82292685569373 17.21181305243232 17.068139658734257 16.764446460211246 18.698188017599 17.019315780132324 14.915414792763604 15.938688795377145 17.988046375536864 18.70175588105199 18.418526971555348 14.50739278175286 15.94676488270982 15.756407426267524 18.608842684002667 15.856392297091732 16.19309050907526 17.72075966716678 16.434797792723774 18.490545511897295 16.442709078622617 17.638500548164913 17.483063875498424 17.78932231134679 17.481318536252562 17.289803138937547 14.573341416836264 15.122852645336192 15.59188322900771 15.077135672053785 18.931177895716196 18.855856488386067 14.12470106784276 18.551112050565767 17.40554164506464 17.610257490953714 16.857726502945745 17.11455533123962 17.6354410876794 17.922271295141545 15.382985620276672 16.206865869344696 15.71731285566479 16.397698916530683 14.624009276671456 17.72747140928298 15.345655067131442 15.855706956415306 14.440007088870296 16.57138060817316 16.894099791695357 17.40068582773816 15.14339123279859 17.953831095716147
ArnimBettinavon_DEU022_1 8.630570553133323 0.9272573978759999 17.72616933699108 16.488392121033655 16.013645029654526 14.692636015487258 14.305672806165926 14.852264560228562 18.35302913607392 15.699577477914731 17.440989006457237 19.608180128014176 17.904151748186244 17.033116086407404 17.448882734299566 16.46514991156832 17.23930008636354 14.074703125580031 16.293713262173636 14.617874709826944 18.73016759981287 17.119658906665766 17.147936433941958 16.828549105807202 18.393980321772332 16.51688187278154 17.59688119594506 16.55706070404823 15.835225228214833 15.921955444718462 16.839171071520177 17.656730028506836 14.330004100658552 17.78549909564924 17.489111007107265 18.340740006572982 17.749693143511866 17.152048794821912 17.459149331105863 18.709082463639778 18.43929901641148 18.449526625283088 17.530912412076816 13.646216897934378 15.129134968248673 17.34276302700334 16.67687580394798 16.962815219796635 17.977157022031047 17.499811974727763 18.391930747339376 16.906008776546873 14.826787857089338 14.801681799133696 18.159820412701425 18.74584410840719 18.758390561040734 14.41515332910676 15.283788120132021 15.863163721227227 18.998962137049343 16.816860498491177 15.895752815207326 17.23767099654561 16.280817725241757 18.062775808370166 15.542411727724142 16.184314256776805 17.571675757928034 17.395827048227833 17.15175142787976 16.784246610461118 14.503831679624053 13.585062425151575 15.344376872884 15.447166131631715 18.662933512376583 18.368952277002673 14.750755253295118 18.7198020335341 17.224153549735753 17.083375363394584 16.226886967962283 16.706763039711166 16.746976336826947 18.696455238839988 15.708618239069922 15.85822423660939 16.14438386100451 15.760552627561772 14.193946635178259 18.203655998647175 16.34250853309445 15.678912160720706 14.71284947754165 17.587731473758936 17.943157338674318 16.28050534555405 15.714188098331647 17.470279732369356
AstonLouise_DEU010_1 17.79434857352996 17.72616933699108 0.9272573978759999 13.464539898827926 18.103771831926796 18.607888939274613 18.568504708456558 17.76279069540393 18.163719941613596 15.859663572099578 15.079886965194598 14.665372986173377 17.565402871633736 18.754254901408636 18.98652767418486 16.018057998025228 15.681117274469937 17.400218520523218 14.856336595689502 17.528167630681047 14.374277577021973 14.703518301052535 16.115887538511338 16.664367082354666 17.15016591936087 17.9073729252934 18.64700691347449 17.396814254976054 18.309623964574563 19.438343478101913 17.143331527699296 17.495150674765647 19.54157444288993 15.755632058200176 17.510272427290058 15.755608933082454 16.03185353258545 16.12217743322374 16.821347509190378 16.330134913348672 17.791811539114782 15.853838653361697 15.853840133224441 14.940227333368286 17.8869228889055 16.168312640331205 15.885735965714526 16.191105547399058 16.47143682829993 16.770209728207163 15.64400163693965 16.083692931874882 16.813852350131185 13.852376255219268 15.51511436978345 14.012893930397949 14.587295789197073 15.510503647675499 15.833470203209693 15.98654539820658 14.810286716391888 15.498160877946951 14.353393881380972 13.63623359680309 15.735066562271465 17.84298722603576 18.955737367725305 17.576157293134376 17.385837213373257 16.586920119118005 17.674846797609778 19.015310145349346 18.345889618446773 18.758642269328444 17.17139495625737 17.887127367383233 14.161198679092484 14.148310968800688 18.330607549487805 14.644336853882931 15.6022965692425 14.09282621450355 15.050361935517625 15.561267578720638 16.07680990164304 15.711680506389207 18.78413740233554 18.38167276667635 17.72663275066233 17.103025939651424 16.94103846254856 17.67657646193843 19.908875766329157 15.596849214690062 17.31745924228103 16.496736742490054 15.388759476943646 15.754862122430488 17.849250033884932 14.677551917567685
AstonLouise_DEU012_1 16.692370830187716 16.488392121033655 13.464539898827926 0.9272573978759999 18.17201308109685 18.160069138731835 19.907753504204862 16.986116301275672 18.263318205652414 14.051125016865718 14.480677395997969 14.398195820557966 17.335141545965662 18.88648164993792 18.313909570885112 16.443450187347043 13.767398794727141 16.005927317650336 15.67874723955431 16.103433392769656 14.745707135137684 15.637655588241765 14.71660443086353 17.299775048942113 17.26083835080713 18.632795632229264 19.75344447520882 18.124930273128737 19.965167379230152 19.879396482781885 16.751048299214503 17.92281161022342 20.83708665646412 14.151989340623496 15.309287528118855 14.979908058827789 15.834714647944956 15.120914906772523 15.337461634311051 16.727441816431416 16.26995891410985 17.84030888169424 14.919546850859284 13.385987220273435 15.67845245026394 16.573944196868556 16.73053466556774 15.434728804472194 17.65545934098631 17.469515554907787 16.03918963500881 14.95001095226753 18.679962827779033 13.528640225188731 15.832033066760271 14.458288409511677 14.079908030325786 17.60869398413027 18.289268373415542 18.037089042841554 13.92379402419977 17.64454638053853 12.936982396151844 14.93988642693202 16.16040875461163 17.353388596099848 18.91372573732026 16.563843740402348 15.733919961444913 14.96536443091802 16.54909726964053 18.247844616943787 18.470308023226245 18.904019154647532 19.204281646684613 18.042155186122415 17.12235663657958 17.394968951109654 14.868887718949182 16.089093409914465 18.41889364047214 13.70895593042033 15.614612975793218 17.059361212940708 17.11946848746886 17.023128295327638 19.970494661620425 19.010075682641038 16.594176452774626 18.023165635445864 15.902347907575807 17.002780989648006 19.83008817819692 13.928030682662504 15.633864456521186 15.41211716593978 16.777675839631975 15.718752233119643 16.447842099488927 14.091084006049865
AuerbachBerthold_DEU002_1 15.87313338640062 16.013645029654526 18.103771831926796 18.17201308109685 0.9272573978759999 12.73352490977236 11.29606212547111 16.131701372076893 16.762427158985947 17.680429536984562 17.009217865626344 17.978623084488234 14.865731383808392 14.611423583177261 14.942336353341183 17.48998568791501 17.13651662803795 17.616973688312186 17.031542091468783 18.032999212143306 16.776490734768792 17.370118783887317 16.686465030042626 15.772811851681038 17.674367208534576 16.68636999263835 16.209352578750696 17.56561188766821 17.05554501807065 17.19567012267694 18.008752581968995 18.078415000765684 16.27129833473097 17.55166556804052 16.129281941495258 16.344571963798746 15.82534602240055 15.803260805344232 15.078331912429741 16.280907583799188 15.692764688448277 16.418927207049258 15.952820861913425 17.664068062592527 17.38675589061251 18.28803716444633 17.76681345141645 17.004845927131075 17.36415939841015 16.59639462475698 15.792455041130758 17.2847091765001 14.178698306972056 16.44036326184695 16.844685081325064 17.45544886906883 17.369171787550687 16.618934373121277 17.154443844224758 17.02778028132049 17.064015682165373 17.781572877412994 17.356699645296217 18.07303132713991 15.110206748062433 14.88703199536972 16.26091768392441 16.91712118541033 16.563343571368428 17.350876744145232 16.9302806690581 16.701180749947234 16.152233139411752 17.244518446580965 16.985026406889833 17.03681206260456 16.531639372639145 16.643604998740866 17.612957541776904 17.56963953494542 17.557747281649416 16.635965032539453 17.508629840804886 17.1938565825189 17.533388724488105 16.128346503796077 14.893527735277564 15.621499837801824 16.312801844205318 16.983370693259378 17.467456333794605 15.63853788178006 15.274741450969614 16.850412889443213 16.753310953528423 16.567212488680468 16.02999044225569 15.79945373472442 16.492312036130794 16.95473675486684
AuerbachBerthold_DEU008_1 14.443976836155601 14.692636015487258 18.607888939274613 18.160069138731835 12.73352490977236 0.9272573978759999 11.715547382671746 16.046326809000647 16.675853476210502 16.93435811769285 18.008607048064473 19.246003541270937 15.273324637304873 15.246519744626887 15.260625778611342 16.35176764097916 17.948251468600844 17.0816221948936 17.645262227415067 16.873216829544855 17.77061998200421 17.00156205087171 17.126309213806657 16.337310941916474 17.590851600733988 16.869624348892017 15.534682609736992 17.336042489610616 16.103056791807827 15.358766653135605 17.83153929622752 17.27389253462489 14.694553597140153 18.49563647737207 16.811745627109772 18.337433070681733 16.940198666886246 16.819401848869415 17.04960041195338 17.438952085357407 16.78278318548009 15.548424834026202 17.17697870512934 17.5850686431587 16.552219601919337 16.77158511221256 16.282204440644303 17.143365904425025 16.316711720719248 16.5132150921391 16.545008019693498 16.920226338126675 13.71482002434602 17.482526863275826 18.66023240477845 18.948605389113272 19.10550995464588 15.498540441528222 15.837051948827122 16.418065509534433 18.752092647074452 17.978545242208064 17.24451554601384 18.008749279396298 16.569965087745526 15.003310127828787 15.747097925588532 16.747331048356283 17.27394362924376 17.664194679007533 17.118740149386547 16.540102317179407 15.841617131134765 14.98362887141228 16.060372954664977 16.855233359288505 17.108296554887744 16.7235338121277 18.17809093995717 18.184780389203976 16.394226925278105 17.402057317030106 17.438440496122894 17.545510840835185 16.94343602387436 16.208869109113312 14.512235939779641 15.479648896282715 16.83068737726745 15.862695439092636 16.309742453781716 16.38579631898058 15.047312187249483 16.641174444866262 15.041165992270106 16.61248719020242 16.767281464231623 16.025425277737547 16.318864990321895 17.37178041555728
AuerbachBerthold_DEU013_1 14.107956154303414 14.305672806165926 18.568504708456558 19.907753504204862 11.29606212547111 11.715547382671746 0.9272573978759999 15.419124122608768 15.917306078959035 18.47614370282094 17.54537949555408 18.864103082749775 13.76214557579083 14.29210079890196 15.044173073636301 16.942322074449446 18.586657657442856 17.413068830932637 17.062920279271108 16.509342124446064 18.295129546118403 17.674559395004678 17.666835940860548 16.04178615400488 18.07465412753045 13.859112574256237 14.953696397532077 16.494075419369775 14.419476200853847 15.135479547011519 18.174685230747173 17.61326495847946 13.269494771826912 19.52623735136068 17.948279842977232 18.971383752476182 17.73576324204167 18.158742814443023 17.30237857845935 16.905477334764452 16.718752399201417 16.400427379224126 18.526719631864548 17.758652578948176 17.9411750493311 17.21013537371488 16.175694663171797 18.382122048941998 16.078431429706942 15.137949347930398 17.47916706574915 19.412142747678697 13.665271645963228 17.575009558302195 17.729004414012056 18.356830857604592 18.69502793918716 16.147671892772948 16.57627964433325 16.404597362900702 20.248679290625795 16.960399784004007 17.751842489113994 18.7957874623824 16.355107731906283 17.090824603194175 15.607934921901702 16.650814291238238 18.096925202246208 18.7157546758037 17.753180977926338 15.924817266470392 13.381211568953503 15.445825260996555 14.952705807724607 15.908499153266462 16.994978215597804 17.268933133995084 17.667603367527903 18.764625695853283 16.590750886041697 18.29437299498105 17.67798390774737 17.430681341863924 17.99341045848023 15.931359606921148 12.434361828751799 15.5707086376742 15.779131555686021 16.50502038463941 16.18563518072888 16.60957364728979 13.014291940910596 17.413262668230146 16.359280656674112 18.093979209585203 17.578741913108495 17.313234041224366 16.612318435168625 18.46935104955636
BahrHermann_DEU055_1 14.508484999771484 14.852264560228562 17.76279069540393 16.986116301275672 16.131701372076893 16.046326809000647 15.419124122608768 0.9272573978759999 17.844194664096023 15.387177645965775 17.28400347820849 17.28583620845669 16.104567918222596 16.479199209250417 17.469295548389507 14.500401124177975 19.01872370079834 15.240753889269115 15.354574231640472 15.601981124125436 18.15340840117861 15.806014834770272 17.276597897204386 14.926047892146356 17.656935958789987 17.13063111552408 15.868133702737342 15.995006713210572 14.769212870012055 14.64340672164824 17.21303486815097 16.598563944187603 14.047439617399565 17.108152499749384 16.561530920355494 16.960078477911992 18.797987159756026 19.078143363054856 19.262291274670066 19.060965171416804 18.61714117993716 17.797767874083224 17.77707333725332 15.375543868620472 15.905977034126037 17.463164761826537 17.203749401788176 16.276871942104584 17.668144864029458 17.52596201977532 17.25540041756188 16.80835101826641 16.632548129744297 15.236060130912149 19.263919191810036 19.126739562404413 19.22643180319379 15.765322591395755 15.954175248517245 16.51320190109335 18.983717212522265 17.322035828099775 17.214852907812617 17.552123675298066 15.59835710048508 16.624033333753214 16.15747982601598 17.208839140993337 17.615301148698553 18.355148105038232 17.854338366072355 16.886167132134453 13.748582332993537 12.652028823246424 15.271693468599265 13.810599638770743 18.425360492917374 18.561976716979835 15.546157053968358 16.326144462554126 15.702667351684298 16.92237678259693 16.86801491880771 16.879810382325406 15.542755406481072 16.013154317156445 16.142703877416125 16.839115857354063 16.149812530516158 17.33285924897455 15.218571040904457 19.721852570341767 14.456801613442966 16.35199821352125 15.317159400645881 17.47832718984104 17.27526995886272 15.68143566441676 18.43023482778732 18.19269551944663
BallHugo_DEU095_1 18.04518981452436 18.35302913607392 18.163719941613596 18.263318205652414 16.762427158985947 16.675853476210502 15.917306078959035 17.844194664096023 0.9272573978759999 15.713498391484933 16.528754893075806 15.815094289758962 14.972685822249705 13.848693934759051 14.369584372083752 15.302399680174686 15.259540487144152 17.0083222634458 16.29394102445484 17.23896374030561 15.593698503976972 16.442303208607104 16.28034899764983 14.799562722462223 15.92490522393616 16.207650105530817 14.7883965952915 17.32929028568357 15.77116085206901 16.124419710334454 17.141282157791633 16.181547720608187 15.251616771062483 17.59992279267432 17.038568695367736 15.962588671027838 15.260598090925235 16.377494283598416 16.34658354704072 13.50437703156459 13.612218114221319 16.338256961749575 16.428947860202122 18.757292131400316 19.301521981338993 14.486835158995012 15.204337640340748 18.187857868338256 13.311612100315099 14.73725926813322 16.831744337334268 16.38083570508951 16.09476273506173 19.322797595243976 15.574959585986583 17.820497540516612 17.15820680188151 18.335562709441984 18.02156197172515 17.88164460475367 16.354504198900774 15.309757253343582 17.719495008489567 19.473027661853237 18.47652428452389 14.434315458527209 16.987624209943167 16.859467937898028 16.58653912761307 16.131386068121742 16.346285982837287 15.52859599673917 17.264579656259272 18.02391470524354 16.567772294659434 17.784078648628977 17.322832065020478 17.40251528685548 17.231509777780204 17.332856813242653 16.495733085993088 18.424859729690326 18.691034377837045 18.371008052014687 16.920022096616595 14.339868668388704 14.731592847648036 18.887340185664886 18.07107287212369 19.153580442887264 19.246970708087165 16.201081412177658 15.061000516349672 18.658747141647364 16.667109810289602 16.082270253114206 15.26661151051003 18.10436972799172 15.156324801575925 16.959431695207645
BleibtreuKarl_DEU061_1 15.501326805118405 15.699577477914731 15.859663572099578 14.051125016865718 17.680429536984562 16.93435811769285 18.47614370282094 15.387177645965775 15.713498391484933 0.9272573978759999 16.191683060321008 15.383161972451626 18.0666541131227 16.437622681690712 16.62696884498582 15.071615084185694 14.669363392196889 14.923973196082946 15.4692663279275 15.056028545674923 16.29945575366128 16.450322261287194 16.275274902122018 15.82585694388239 16.898937120826993 19.09947498002457 17.52843889849163 17.659265743687452 17.633279385824807 16.217462594799127 16.59809788126285 16.423887464120405 17.573813194850263 15.464489537384047 15.6406269484706 15.628609664764681 17.81232935426713 17.118925791014405 16.649767844042724 17.304211193210854 15.999098275915552 17.336246603009407 14.762038175037565 14.218656477515244 14.821799657006398 16.823445759260938 17.16065888456668 15.435876261415977 16.910750731433307 17.03528843364297 16.784705879465612 13.445403097233546 17.948032644493782 16.674612189330333 17.319956096954147 17.08640559392843 16.277339815666142 16.794104036697004 17.309953116225213 17.776282358869445 14.703681941290046 17.16150617656509 15.987630767515396 16.113547622312886 16.675888025696683 16.43791501556095 17.399619976814815 16.683778138430853 16.600933997997306 15.592579438784856 16.155883728878173 16.865473546837308 18.4673221815318 16.322464213520032 16.245328329951647 18.649916020112208 18.922902066925534 18.716601349391578 14.54340151002599 16.638115946195782 17.347382175537767 15.380164659311856 17.345799553629607 18.11471827144015 17.624832401649037 15.277680923619531 19.444884305579087 19.388546720107602 17.76488060062826 19.10600300008008 17.233171039650895 17.71969288933341 17.857490852105016 15.429650324556517 13.289020190501578 14.806242451878825 16.53499462604137 16.078219600921813 14.96504006429679 15.328253669253774
