 AguilarGrace_ENG18470Aguilar_1 AinsworthWilliamHarrison_ENG18500Ainsworth_1 AnsteyF_ENG18820Anstey_1 ArlenMichael_ENG19201Arlen_1 BaringGouldSabine_ENG18980BaringGould_1 BarryWilliamFrancis_ENG18870Barry_1 BellocLowndesMarie_ENG19121Belloc_1 BensonEdwardFrederic_ENG18930Benson_1 BensonStella_ENG19190Benson_1 BlackmoreRichardDoddridge_ENG18640Blackmore_1 BraddonMaryElizabeth_ENG18621Braddon_1 BronteCharlotte_ENG18570Bronte_1 BronteEmily_ENG18471Bronte_1 BroughtonRhoda_ENG18830Broughton_1 BroughtonRhoda_ENG18871Broughton_1 BroughtonRhoda_ENG18901Broughton_1 BuchanJohn_ENG19150Buchan_1 CairdMona_ENG18941Caird_1 CarrollLewis_ENG18652Carroll_1 ChestertonGilbertKeith_ENG19080Chesterton_1 CholmondeleyMary_ENG18973Cholmondeley_1 CliveCarolineWigley_ENG18600Clive_1 CollinsWilkie_ENG18760Collins_1 ConradJoseph_ENG19170Conrad_1 CraikDinahMarie_ENG18630Craik_1 CrossVictoria_ENG18950Cross_1 DickensCharles_ENG18481Dickens_1 DickensCharles_ENG18530Dickens_1 DickensCharles_ENG18540Dickens_1 DisraeliBenjamin_ENG18440Disraeli_1 DisraeliBenjamin_ENG18450Disraeli_1 DisraeliBenjamin_ENG18800Disraeli_1 DixonEllaHepworth_ENG18940Dixon_1 DoyleArthurConan_ENG18900Doyle_1 EliotGeorge_ENG18610Eliot_1 EliotGeorge_ENG18660Eliot_1 EliotGeorge_ENG18721Eliot_1 ForsterEdwardMorgan_ENG19100Forster_1 FowlerEllenThorneycroft_ENG19004Fowler_1 GaskellElizabethCleghorn_ENG18482Gaskell_1 GissingGeorge_ENG18911Gissing_1 GlynElinor_ENG19001Glyn_1 GriffithsMajorArthurGeorgeFrederick_ENG18961Griffiths_1 GrossmithGeorge_ENG18920Grossmith_1 HamiltonCicely_ENG19191Hamilton_1 HardyThomas_ENG18860Hardy_1 HarradenBeatrice_ENG18931Harraden_1 HornungErnestWilliam_ENG19111Hornung_1 JenkinsJohnEdward_ENG18702Jenkins_1 JeromeJeromeK_ENG19011Jerome_1 KavanaghJulia_ENG18552Kavanagh_1 KingsleyCharles_ENG18510Kingsley_1 LawrenceDavidHerbert_ENG19200Lawrence_1 LeeVernon_ENG18840Lee_1 LewisPercyWyndham_ENG19180Lewis_1 LintonElizabethLynn_ENG18720Lynn_1 LyallEdna_ENG18872Lyall_1 LyttonEdwardBulwer_ENG18741Bulwer_1 MacDonaldGeorge_ENG18953Macdonald_1 MachenArthur_ENG19070Machen_1 MaletLucas_ENG18960Malet_1 MallockWilliamHurrell_ENG18770Mallock_1 MasonAlfredEdwardWoodley_ENG19010Mason_1 MorrisWilliam_ENG18972Morris_1 NesbitEdith_ENG18890Nesbit_1 NesbitEdith_ENG19020Nesbit_1 NesbitEdith_ENG19060Nesbit_1 OliphantLaurence_ENG18700Oliphant_1 OliphantMargaret_ENG18661Oliphant_1 Ouida_ENG18670Ouida_1 Ouida_ENG18740Ouida_1 Ouida_ENG18831Ouida_1 PhillpottsEden_ENG18970Phillpots_1 ReadeCharles_ENG18632Reade_1 ReynoldsGeorgeWilliamMcArthur_ENG18460Reynolds_1 SharpEvelyn_ENG18954Sharp_1 SilberradUnaLucy_ENG19071Silberrad_1 SinclairCatherine_ENG18410Sinclair_1 SkeneFelicia_ENG18490Skene_1 SteelFloraAnnie_ENG19005Steel_1 StrettonHesba_ENG18641Stretton_1 ThackerayWilliamMakepeace_ENG18480Thackeray_1 TrollopeAnthony_ENG18551Trollope_1 TrollopeAnthony_ENG18650Trollope_1 TrollopeAnthony_ENG18742Trollope_1 TrollopeFrancesMilton_ENG18400Trollope_1 TupperMartinFarquhar_ENG18411Tupper_1 WardHumphryMrs_ENG18880Ward_1 WardHumphryMrs_ENG18951Ward_1 WardHumphryMrs_ENG19091Ward_1 WellsHerbertGeorge_ENG18952Wells_1 WellsHerbertGeorge_ENG19090Wells_1 WellsHerbertGeorge_ENG19120Wells_1 WestRebecca_ENG19181West_1 WhiteWilliamHale_ENG18850Rutherford_1 WoolfVirginia_ENG19192Woolf_1 YeatsWilliamButler_ENG18910Yeats_1 YongeCharlotteMary_ENG18531Yonge_1 YongeCharlotteMary_ENG18560Yonge_1 YongeCharlotteMary_ENG18651Yonge_1
AguilarGrace_ENG18470Aguilar_1 0.0 8.111569034294686 6.837985779294084 6.354032737226125 8.109876356539825 7.269271946539845 7.331314421650068 7.271996137186176 8.420486096804161 6.305825952990263 7.6784660220153995 7.457947201077108 6.778159862432413 7.150990906420516 7.573057125896665 6.826706684716823 8.743534471692389 7.193574765306859 7.608239478121784 8.740090651491615 7.22248641663394 6.775531120213799 7.913374312601217 8.66027663917149 5.81261294607945 8.286238361051721 6.798941117509701 6.74824904175329 7.101724214196003 7.0086991247908506 7.7289904090533685 6.681969532327698 8.119524250489684 8.17520867005477 6.917187200896035 7.11467247949468 6.828933474629361 7.471494565080214 6.197095207528471 6.058659115191109 7.035982683596963 6.720057269857412 7.6807040910442375 7.112595839569524 8.129187612391727 7.595144874022014 7.050422801225407 7.700761131527019 7.339839242566598 8.4053551387778 6.719195200245402 7.034625555214777 8.670189710031345 6.926642773650858 8.517739580069538 6.929769349676563 7.176002147372548 7.203756914465782 7.950091486073249 8.124124105656106 7.292017349789182 6.638314920011181 8.539086242562071 6.725696352743982 7.08496329859131 7.819351540148496 8.515584759650782 6.396592712793776 5.855058345140383 7.886505168696196 7.6306163023204965 8.337562090469522 7.920459780917016 7.562738886183611 7.0494863466263915 7.148834472921682 7.12725320934771 5.48478796763015 5.890659371707225 8.253279780666741 6.941136254765184 7.487722718575789 5.9456244692071145 6.27840091922622 7.205342034037244 5.677135253102485 6.0969804855666325 7.66772574647824 8.090360579275123 7.463866696453775 8.3934680559047 8.787776068065543 8.214740818780278 8.545373308873291 6.958212980679757 7.624378420162338 8.625386950423934 5.708498342498153 5.9651181131224975 6.222318745148501
AinsworthWilliamHarrison_ENG18500Ainsworth_1 8.111569034294686 0.0 7.220754187670203 9.278144982639219 5.800589503336746 7.480883745642257 7.597742186700325 7.987263356189196 6.740848394510284 7.646519947685531 7.01513761992019 6.798468251552573 6.621195172897264 6.652043919945934 6.651805699197866 7.613171016757645 7.880159578115484 7.487218437820006 6.215752935524791 6.388598593680759 7.417362238410224 6.390340572189461 6.794012496005741 7.677152856934981 7.9514914010213875 7.811312273149219 7.0810431696300515 6.630583887627194 6.617734269038099 6.709213030441463 5.59056325991407 7.153001638582095 7.24532344581536 6.896662559822407 7.718126237477122 7.881689863418452 8.040112489579924 7.069143980480517 8.935267064361494 7.815047511609351 7.762694116228076 9.024996972467312 6.040322974507701 7.486200521148501 7.938268137534807 6.979842914162228 7.975614576268301 7.693046953514818 6.6962183449297665 6.4458113008772635 6.600288820588874 7.08263529184555 6.625494665096818 7.085207037919251 7.1641550239203315 8.217451630491942 7.709387984146372 6.835240109366094 6.877306183183697 7.524304363360232 7.3304220655565455 7.391401975649766 6.541420952097359 8.068796142370445 7.96425936298833 7.4797565454258095 5.571029027785119 7.9684096627418395 8.533684098198915 7.203564678147142 8.090253768846189 7.235391599321254 7.00256247395516 6.183381187727569 5.3141561203011385 8.223077375299727 9.006494658803453 6.969007372496028 8.356016072386074 6.9584827559124545 7.210223273664856 6.721389697274144 7.45518061687882 8.005116193041511 7.200265878169976 7.041382318832746 7.2425917348973 7.218771430472758 6.791516554587806 7.041965432408173 7.54688309878194 7.967437657802449 7.898687130371087 8.221947571726743 8.76070474135153 7.274542465373575 7.3884618145902135 7.447259779663757 7.0298880711723335 7.323523248853093
AnsteyF_ENG18820Anstey_1 6.837985779294084 7.220754187670203 0.0 6.9951824780655585 8.467444301961399 7.5374915739672215 6.890813319560386 5.8292123155112385 7.472128907849624 7.473566883788877 7.438850252822846 7.684256791822689 6.242137844082991 6.333252049720369 6.332238852446682 6.36090318307438 7.569988221964039 7.202482625335827 7.005589756508062 7.565899650324571 7.867414971905113 6.601653095587673 7.408618885455829 7.017887730361474 7.054125474048668 7.913791440955958 7.710906098653942 6.456404634230043 7.6047406959145345 8.51955677059541 8.108622028365396 8.30924333897805 7.837442962002104 6.805894180191282 6.645521311958524 7.075520286562296 6.817223687819937 6.9333483195276076 6.642086759905916 7.056996439918135 6.250768204653894 7.196803788050345 6.447603112411206 6.730167531020568 8.25804183729036 7.364295074007186 6.251108199137558 6.486001794669053 7.710987764311067 7.0801511759245965 7.393268719261961 7.834803189552504 7.379480738349994 7.678229725820305 7.302568361769968 7.93264169926088 7.748883000427632 8.303907817059619 7.608391349585126 8.58032151771945 6.665119046904605 7.850865374660868 8.042891092607478 8.019676157051899 6.333295648334598 6.204154626325981 6.939477809898778 6.377484325451857 6.958041969144066 8.316089974594368 8.131953517094622 8.929057846734011 8.395870562933704 7.325369928511576 7.456659029152254 5.846929078350252 6.245091068687942 7.759893512696321 7.86548827095031 7.497076488587933 7.087261774054506 8.569591368186178 7.52613371325838 6.240044042649158 7.812796688836347 6.505100169350058 7.602863978442302 7.801270428226191 7.127224990198204 7.503349834183255 8.137925287685727 7.308865957268239 7.151697486990465 7.581799292790746 8.207496202986809 7.642499429163177 8.105813422360399 6.140683125723819 6.090183944623446 6.854037292112966
ArlenMichael_ENG19201Arlen_1 6.354032737226125 9.278144982639219 6.9951824780655585 0.0 8.748905765835428 7.477383181440749 7.377198591456047 7.074713354815671 8.09641910855701 6.656606619827799 7.427942447725215 7.520993625504032 7.47654589058353 7.578848163912122 7.6831888064057985 6.706951888680495 6.535829296929716 8.013315348768051 8.16189219560119 7.49545407090964 6.904659145495103 7.6773245248683635 7.410409440394063 7.239993230833014 6.808875016383478 7.127031348239958 7.5655002917899825 7.435869625802379 7.857045929223107 7.898603008754361 8.361982684364513 7.350124712236771 7.568648931222252 7.112866822890959 7.038956536329028 7.032307203722707 7.0051806562811105 8.061596541563334 5.626682166936076 7.073055784802401 7.038575404457424 6.000015886499313 8.431779115811839 7.456723618013514 7.111405941834222 7.730516454405983 6.851118963488519 6.949751467593308 8.077034612224116 7.588640598479957 8.12157432051266 7.007208432916452 8.25718543468529 7.191509946474832 8.15631081844745 6.000986625043871 6.464518342477447 7.444270522313419 7.469583351778843 7.296099078738411 7.5823537220378725 7.151117895201414 8.24866396203429 6.43353549320201 6.944455521706716 7.266143287054973 8.41317543973697 5.94590106414588 6.267957970683575 7.300152726194804 6.777778010360102 7.368471331018719 8.43968252805671 8.649635051629907 7.798735828718936 6.383480326878424 6.739233422479191 7.055966918177614 6.238995166590467 8.113997015082887 7.071157937172658 7.926462464914064 6.937030372293073 6.291323242582495 7.507386884275353 6.80321822446037 7.4941850771652865 7.483375011746176 8.462095917674567 7.97991831259295 7.042030359039253 6.884437987093528 7.161312021869405 6.4679047678988475 5.982242020291792 7.650912688994304 7.833297011001109 7.234391988121622 7.523756640778924 7.146176993201879
BaringGouldSabine_ENG18980BaringGould_1 8.109876356539825 5.800589503336746 8.467444301961399 8.748905765835428 0.0 6.3891494253615795 8.501121108562776 8.524264247469896 7.057439616323371 7.218334952073007 7.596767136960934 6.623379738495589 7.128861750253203 7.761263348621761 7.764539148277782 8.412413195640871 7.101177272453787 7.122457631205605 7.938062092826675 7.335555748488411 7.515861420236872 7.359274373823262 7.040918846100012 7.666425307871748 8.22625893551759 7.377357203943655 7.377832266121105 7.829034156954407 7.453615990207441 6.199080714997267 5.90602299207883 6.701906198681188 7.420919971373391 7.592153543134184 7.536350600921205 7.301126692196851 7.825231313406055 6.817723593683972 8.76909161133402 7.4962097980837115 7.629547149877946 8.488661569263815 6.585602442281181 7.910135343861046 6.190661573649416 6.850476929053289 8.451583716699735 7.9080278519420055 5.892829966333482 7.535598642135936 7.157159873161051 6.827150445779539 7.1723392471831175 7.654922385832211 6.698114280548257 7.002100408931186 8.134171209828201 6.016705593175915 6.555259260530909 6.549697126774857 8.006403008512976 7.857536228496979 5.8656097210725635 7.055055352549404 8.089423567883912 7.717624301051772 6.943559655138607 8.160762166958596 8.581303623004338 6.40574485568451 7.257205972004472 5.968706337636708 6.348574853936408 6.4403848003330655 6.392831065102897 8.6630388121993 8.421600923480735 7.0662410300047735 7.522415986494644 6.702724897171179 7.380593658956668 6.407448180198651 7.290914895203243 8.063884268318086 6.777298492080305 8.03364800678 7.111331306097326 7.218649118358572 6.794789927160411 7.0600345844603645 6.862311387734414 7.408089669021612 7.502545726898135 7.516857764688457 7.229653576132874 7.073634734223919 6.450739726874653 7.940385277913848 7.755155286008439 7.731802156988354
BarryWilliamFrancis_ENG18870Barry_1 7.269271946539845 7.480883745642257 7.5374915739672215 7.477383181440749 6.3891494253615795 0.0 7.6607359646624325 7.486576573673934 7.667677571555439 7.5202380725926385 7.041920826683739 7.178601949921653 6.829395455715496 7.541272176109368 7.685599895880204 7.5740483450397695 7.166125559289534 6.930819793035355 8.21562014663504 7.9212400588367355 6.977211141062506 7.097040282209638 7.05558480093322 7.5970867053926 7.598928536711213 7.665899985166903 7.488336579649868 7.638677242483856 7.757112365956976 6.921313966466673 6.931962152641721 6.874470654563292 7.361331095250037 7.518352845080562 6.874189623182181 6.577979154231158 6.825117187944528 6.9128422077970715 7.447324040864082 7.031612344934977 6.819564228928666 7.590566514325644 7.3077714626963 7.23863993128972 6.796005725235775 7.238741928954568 7.329198236559755 7.689934499919624 6.829412140127559 7.875399591194521 7.3038687560133395 7.4143720876399275 7.61267049896458 7.249803627139721 7.380260454376659 6.923075447293358 7.792940177902523 6.650330053764992 6.979133954495956 7.215097749310726 7.905870753671316 7.696327870554988 6.818239356895688 7.519038763760511 7.091247314962012 7.639527671971719 8.074051635555925 7.06922234950091 6.940101630230042 7.361134589681343 7.646242567658962 7.140722503096978 7.440087481896437 7.499333368774111 7.294338928331168 7.637940772899811 7.044113832323088 7.166538592403389 6.917112936480944 7.315075274720771 7.258781864250201 7.463754398479379 6.9550643122249785 6.885490721075242 7.382003376387417 7.203199151411979 7.7720808204543905 7.507610597861025 7.285800329539626 7.399323505691699 7.794022508825939 7.627095418393043 7.4709771746854985 7.131889189724297 6.855740771263653 7.08687145291975 7.082170699681484 6.848648775231693 7.107670122793147 7.606626124301458
BellocLowndesMarie_ENG19121Belloc_1 7.331314421650068 7.597742186700325 6.890813319560386 7.377198591456047 8.501121108562776 7.6607359646624325 0.0 6.306988735516834 7.097719791436091 8.149611380559332 6.9248818426358945 7.8769526901155995 7.731583119499035 7.0001681795559705 6.70171367309468 6.832323566102412 7.894135657248874 7.297907257651041 6.238184403573451 7.146546757998582 7.459775908136821 7.103512365716983 8.123034472250328 7.138932524463463 6.589370004390489 7.541384057867499 7.457994452223916 7.227381476330689 7.127945973557389 7.625514812485226 7.752095916638182 7.417797323756143 6.410430496176615 7.2035879244720595 7.952959605567824 7.819144947332004 7.182448389707822 6.460881910440162 7.181196246526778 7.445075750043981 7.379187418719146 6.301914917841264 6.630323733591423 6.108131642524997 8.409752180271195 7.186544617396431 6.369652418682781 7.659733063448825 8.760876439911229 7.335148575114075 6.445342700435111 8.108340499468886 6.439900945326002 6.543041403914542 6.793079905871159 8.708943288948179 6.440069703018089 7.808287527020507 8.493588332926299 8.442600528520256 6.616086568897349 7.090640718100442 7.2959674843793545 7.994373468822707 6.751515931703454 6.92438181184087 6.633512445523808 7.664302693547521 6.904329404378791 8.523417661977435 7.80686338705335 9.006436959927989 7.648810417609303 7.50941582900693 7.652003925981054 6.819329755487324 6.501662396356407 7.65549971157623 7.888197854740284 7.0707344289274445 7.1885991580838855 7.223148244490221 7.473891787998269 6.715067406620516 6.94226342022676 7.580497010844037 7.284881750771723 7.49704141175206 7.037300788827046 6.752418106109692 7.925431950196677 7.739878547123798 7.415675855240304 7.317078067837945 8.413414262688526 7.074005779299506 7.419581023952258 6.707519864198331 6.61184626888597 6.764763196716245
BensonEdwardFrederic_ENG18930Benson_1 7.271996137186176 7.987263356189196 5.8292123155112385 7.074713354815671 8.524264247469896 7.486576573673934 6.306988735516834 0.0 7.398060272592284 7.964999795631093 7.714099242153813 8.338728859314282 5.866396727796913 7.180102342221088 7.249395539188291 6.899189440695615 7.298723217811912 7.113465937582522 6.736971444026207 8.063944719230767 7.336001089328169 5.968340552909163 8.043634531722027 7.820387876457504 7.4125922329369285 7.838897817452756 8.193458814174642 6.748139595203759 7.74508132182406 8.659641537470115 8.092979474983085 7.43916923580684 8.284369060382405 7.2702278578545245 7.025753416316661 7.460097369536023 6.4912482853086555 5.368575812039163 5.003103579976842 7.206752317648654 5.714823586110346 5.196608956983747 6.9350358807278925 5.27458742211713 9.185535736520473 7.687932277607171 4.959833980827374 7.267238573462055 9.052963206104463 6.2346773901559995 7.079986575059909 8.713106079867138 6.457226534152985 6.999034005033532 7.602042469629657 8.367213230505284 7.271186933676551 8.703807881133205 7.4891333516654415 9.638944118632743 6.8357560731699705 8.021597618008752 7.679234559067627 7.646759117743951 5.781578817431465 5.4923383135016 6.747809884950502 6.475518111728169 6.29448131775312 9.311035342433692 7.5296481768387045 9.476272211052056 8.726458024711722 7.454480666087204 8.301349772781155 5.061582977299916 5.509250537412575 8.934061139691746 8.650808361759056 8.448140262238008 7.235129982697669 8.719795477592537 7.756407184912447 5.3449470140879285 7.172299660343328 7.458010444973013 8.711135241387378 8.663092710735189 7.196715992610877 7.318223145000502 9.04383471743578 7.456314574723736 7.344116131492092 7.161065521410256 7.820568771179327 7.318237419161106 7.966239936535029 5.503065058649221 5.235862816694481 5.986353431276992
BensonStella_ENG19190Benson_1 8.420486096804161 6.740848394510284 7.472128907849624 8.09641910855701 7.057439616323371 7.667677571555439 7.097719791436091 7.398060272592284 0.0 7.6859821671832735 7.238933119970104 7.060424957110384 7.885630348721359 7.265207898629306 7.0317095824790625 7.592963719037605 6.977380092316617 6.694864068348354 6.837758840488844 6.186465404886028 7.669637533575434 8.268206488502392 7.760592856220429 6.808927853465813 7.781229220461382 7.286951564287684 7.659498093043854 7.663362720652465 7.673358827451295 6.628704220632636 6.455164407269125 7.198558980468095 6.40430149945484 7.559357433701465 7.806079981765135 7.497810039355338 7.450165673823099 6.958916331432752 7.846845284841765 7.854067105004354 7.468436689590931 7.725780521010346 7.3206070284007785 7.120108178163848 7.065282696598648 7.334807372214093 7.687254765973813 7.241381652482626 6.597780674890342 7.268860000747183 7.165130446605196 7.735217403702648 6.9777512389725045 7.484334757567483 6.99507086846351 8.047096671797108 7.057520444588407 7.372138488634846 7.428597541055328 6.445801100084604 6.361677605563665 6.859098618454512 6.952871447073531 8.594759811960506 7.522497886907183 6.990114510260855 6.283487999641539 8.086081534437668 7.956783998570904 7.027931225489281 7.324652321842084 6.974146748901115 6.019763248775688 6.878837396667156 6.968812286479061 7.817612983996234 7.4888662907358565 7.446713036282554 8.197792094001636 6.5929962245043034 7.904714001547162 7.074087249304317 7.687840866443381 8.59763245892398 7.638734804746093 7.970331619445531 7.23668759117148 7.027485236575968 7.152486346185151 7.422868883986322 6.4875577846748 6.239189343814196 6.31596417159854 7.049830561300837 7.91687400981536 7.490467857439112 6.2961854522661795 8.32613724903664 8.028938284521608 7.881228549078933
BlackmoreRichardDoddridge_ENG18640Blackmore_1 6.305825952990263 7.646519947685531 7.473566883788877 6.656606619827799 7.218334952073007 7.5202380725926385 8.149611380559332 7.964999795631093 7.6859821671832735 0.0 7.873003536713954 6.902723953511851 6.551761491235271 7.348378510902414 7.540644105095261 7.534141097361617 6.954317971415585 7.87465430120769 7.594896791342444 7.9644984943856825 7.71181226447086 7.546059184488807 7.3152463762200455 7.614698965785944 6.660974428333458 7.385237762547199 6.7952820693264915 6.75623692096458 6.804404571754272 7.811751881592731 8.068396527090117 7.685144376115524 7.4171680765201495 7.306253339870437 7.435345399285598 7.980378325680837 8.281107366083544 7.840608598151539 7.49344253873169 6.292460629936998 7.639277161946688 6.705803188410558 7.143412147669522 7.580266376216092 7.515927687483827 7.457007821299575 7.443789464645082 7.547843100984591 7.308094907851111 7.697653088819789 6.9817987785631415 6.248418311225973 7.685034003012467 7.788821637682161 7.835875559911791 6.783405992566186 7.754174741013852 7.505752782706286 6.538314979018982 7.15221732809486 7.177555874858096 7.389557674518036 7.838662722883133 5.962076539587713 7.776161415377184 7.218785652217084 7.9741560322229 7.341909017795947 7.404575452909922 6.959611087415709 6.645380078608462 6.635498991133673 7.201519597475331 6.778742500197277 7.545350961970949 7.279466095003896 7.369066234528219 6.723934950220633 7.170360418977936 7.13185681945712 7.0234520086114385 7.464452795658536 7.400413333719195 7.601649807563504 7.79440101868145 6.996795044367055 6.104894336109273 7.300428634957457 7.005732919277472 7.152854439734488 6.619285669549015 7.515794436069336 7.97428465773328 7.819695408555372 7.0598901817860895 8.078423218325188 7.310394328430252 7.596666967110026 7.414248658056948 7.779518203215063
