 AguilarGrace_ENG18470Aguilar_1 AinsworthWilliamHarrison_ENG18500Ainsworth_1 AnsteyF_ENG18820Anstey_1 ArlenMichael_ENG19201Arlen_1 BaringGouldSabine_ENG18980BaringGould_1 BarryWilliamFrancis_ENG18870Barry_1 BellocLowndesMarie_ENG19121Belloc_1 BensonEdwardFrederic_ENG18930Benson_1 BensonStella_ENG19190Benson_1 BlackmoreRichardDoddridge_ENG18640Blackmore_1 BraddonMaryElizabeth_ENG18621Braddon_1 BronteCharlotte_ENG18570Bronte_1 BronteEmily_ENG18471Bronte_1 BroughtonRhoda_ENG18830Broughton_1 BroughtonRhoda_ENG18871Broughton_1 BroughtonRhoda_ENG18901Broughton_1 BuchanJohn_ENG19150Buchan_1 CairdMona_ENG18941Caird_1 CarrollLewis_ENG18652Carroll_1 ChestertonGilbertKeith_ENG19080Chesterton_1 CholmondeleyMary_ENG18973Cholmondeley_1 CliveCarolineWigley_ENG18600Clive_1 CollinsWilkie_ENG18760Collins_1 ConradJoseph_ENG19170Conrad_1 CraikDinahMarie_ENG18630Craik_1 CrossVictoria_ENG18950Cross_1 DickensCharles_ENG18481Dickens_1 DickensCharles_ENG18530Dickens_1 DickensCharles_ENG18540Dickens_1 DisraeliBenjamin_ENG18440Disraeli_1 DisraeliBenjamin_ENG18450Disraeli_1 DisraeliBenjamin_ENG18800Disraeli_1 DixonEllaHepworth_ENG18940Dixon_1 DoyleArthurConan_ENG18900Doyle_1 EliotGeorge_ENG18610Eliot_1 EliotGeorge_ENG18660Eliot_1 EliotGeorge_ENG18721Eliot_1 ForsterEdwardMorgan_ENG19100Forster_1 FowlerEllenThorneycroft_ENG19004Fowler_1 GaskellElizabethCleghorn_ENG18482Gaskell_1 GissingGeorge_ENG18911Gissing_1 GlynElinor_ENG19001Glyn_1 GriffithsMajorArthurGeorgeFrederick_ENG18961Griffiths_1 GrossmithGeorge_ENG18920Grossmith_1 HamiltonCicely_ENG19191Hamilton_1 HardyThomas_ENG18860Hardy_1 HarradenBeatrice_ENG18931Harraden_1 HornungErnestWilliam_ENG19111Hornung_1 JenkinsJohnEdward_ENG18702Jenkins_1 JeromeJeromeK_ENG19011Jerome_1 KavanaghJulia_ENG18552Kavanagh_1 KingsleyCharles_ENG18510Kingsley_1 LawrenceDavidHerbert_ENG19200Lawrence_1 LeeVernon_ENG18840Lee_1 LewisPercyWyndham_ENG19180Lewis_1 LintonElizabethLynn_ENG18720Lynn_1 LyallEdna_ENG18872Lyall_1 LyttonEdwardBulwer_ENG18741Bulwer_1 MacDonaldGeorge_ENG18953Macdonald_1 MachenArthur_ENG19070Machen_1 MaletLucas_ENG18960Malet_1 MallockWilliamHurrell_ENG18770Mallock_1 MasonAlfredEdwardWoodley_ENG19010Mason_1 MorrisWilliam_ENG18972Morris_1 NesbitEdith_ENG18890Nesbit_1 NesbitEdith_ENG19020Nesbit_1 NesbitEdith_ENG19060Nesbit_1 OliphantLaurence_ENG18700Oliphant_1 OliphantMargaret_ENG18661Oliphant_1 Ouida_ENG18670Ouida_1 Ouida_ENG18740Ouida_1 Ouida_ENG18831Ouida_1 PhillpottsEden_ENG18970Phillpots_1 ReadeCharles_ENG18632Reade_1 ReynoldsGeorgeWilliamMcArthur_ENG18460Reynolds_1 SharpEvelyn_ENG18954Sharp_1 SilberradUnaLucy_ENG19071Silberrad_1 SinclairCatherine_ENG18410Sinclair_1 SkeneFelicia_ENG18490Skene_1 SteelFloraAnnie_ENG19005Steel_1 StrettonHesba_ENG18641Stretton_1 ThackerayWilliamMakepeace_ENG18480Thackeray_1 TrollopeAnthony_ENG18551Trollope_1 TrollopeAnthony_ENG18650Trollope_1 TrollopeAnthony_ENG18742Trollope_1 TrollopeFrancesMilton_ENG18400Trollope_1 TupperMartinFarquhar_ENG18411Tupper_1 WardHumphryMrs_ENG18880Ward_1 WardHumphryMrs_ENG18951Ward_1 WardHumphryMrs_ENG19091Ward_1 WellsHerbertGeorge_ENG18952Wells_1 WellsHerbertGeorge_ENG19090Wells_1 WellsHerbertGeorge_ENG19120Wells_1 WestRebecca_ENG19181West_1 WhiteWilliamHale_ENG18850Rutherford_1 WoolfVirginia_ENG19192Woolf_1 YeatsWilliamButler_ENG18910Yeats_1 YongeCharlotteMary_ENG18531Yonge_1 YongeCharlotteMary_ENG18560Yonge_1 YongeCharlotteMary_ENG18651Yonge_1
AguilarGrace_ENG18470Aguilar_1 -5.193757420138 16.547468970946202 14.661920042096462 14.474781978633505 16.03381627120351 13.910082036627815 15.077761165505523 15.388633290967432 16.943870233592563 12.985860489538076 15.13754513151904 13.468924192301348 13.530792928475234 13.827999552132026 15.53036739717339 13.068674640252766 20.23119846795608 12.127366479488385 16.966917231012683 18.998356741192662 12.950402899503217 12.314886238986771 15.30237213308631 16.257431748590808 10.680504125943724 17.028273430316982 14.23212082650749 15.380823011081091 15.330543469786923 12.33453609355281 13.769865498539176 12.093355349260506 17.862871465571384 18.348518544426867 15.30827359769507 14.705922738400272 13.084283568289893 14.983115854459912 11.979352863144092 11.534376371242127 12.527146776083756 15.907467866683147 15.690262687000772 14.55297184301321 16.731194961567915 15.833617787354445 12.287151262297808 15.689962644743417 15.031485986037412 17.310182545853323 12.610490995618841 13.948100785947661 17.95875063878453 12.66994126468266 16.995395664859604 13.532554769744811 11.766031968815263 12.219894917372613 17.269346153158207 16.36358449812903 14.57507516738039 13.891823012136474 17.70449996539074 15.118927636118446 15.076999022234752 17.703350141998957 18.502492156419613 12.666485508533222 11.822957842395681 15.22157596853817 15.118926158025534 16.295218993591977 15.448428795463858 15.657333569531684 13.142301517107548 14.231962392997712 13.99058757404449 9.231298490924168 8.584528905474365 17.333193171023424 14.601078983357903 14.049326997021259 11.734785639325347 12.213951963796216 15.421377409127837 10.490174392628914 10.359203276391902 15.710137039149304 18.09753808632043 15.863397692157513 18.175335114226407 18.287273119123647 16.530436144061653 18.45065446850802 12.908478086755473 13.694847222395266 16.735451321741163 9.588119295122343 11.066732500232897 9.18895282930337
AinsworthWilliamHarrison_ENG18500Ainsworth_1 16.547468970946202 -5.193757420138 13.979735851008387 19.266640702178236 10.925041064257593 14.606585118041174 15.817963118808416 18.63620848528461 14.72521168511301 14.45714926228968 12.798347370943508 11.727201352271926 11.324378338551519 13.38374434053686 13.877700372465092 14.764707694484116 12.555188738857824 15.687684084506825 12.976006474980903 12.199725626494551 14.685926386839979 15.169146917779338 12.511626104987288 13.695531067666389 18.375388261293782 13.890559671684672 13.101778544673417 13.582245863036045 12.66837751629835 13.081607232972136 11.98113382955205 14.943055698229465 14.517392281971045 11.040699902279366 15.166507269029449 15.376719703092823 17.25430413462181 16.29618285660092 20.237477712202306 15.409021333753012 16.44873448215542 18.33312769922911 12.832888943884644 14.676550325648622 13.975710512152775 13.163764853663318 17.841993206541723 15.037191477760906 12.564666492901686 13.433745559946107 14.124403774921825 13.983268754310728 13.637866031588157 15.609958426644319 13.301973495780693 17.253770901019 15.881891764552558 12.677909127404238 12.783557399540392 13.528029325806717 12.658107357527323 15.421578288775983 10.542245416953989 13.866724203818341 16.45583790707399 15.994284956965252 12.39742431291679 15.828535316025434 18.05866552947692 13.876535680412386 17.069130935047593 13.603002239878776 13.249313810303509 12.573170914671993 9.041767207811523 17.628178774387244 19.497087109227984 12.709212721463544 15.151298200698443 14.304295848726849 13.291230166294472 13.189303752619542 15.47218438304024 18.20993594898597 14.409007763989134 13.183912230423351 15.06525020555856 14.433726267554627 13.475244134496133 15.2820609022248 12.99468525945332 15.727378145255322 17.113282430442034 15.929592168181657 17.049297982315995 13.82089435155276 14.820655296836955 17.458955663755532 17.173629777130568 16.561398100883544
AnsteyF_ENG18820Anstey_1 14.661920042096462 13.979735851008387 -5.193757420138 15.10391248405798 17.20542233957813 16.106578558350964 14.238500631624666 11.693647500644515 14.845051800499771 13.93666983087956 14.77574656495414 16.097830666251948 13.519376441211863 15.273870281223697 14.704977733863979 14.631347086361615 13.004903407760262 15.0962642583692 13.201944536359479 14.824942446792468 16.110455631623203 14.0641547745376 14.95116345908664 13.01382342561692 14.659135540863746 16.068033977310893 13.910657929023552 13.101493750306746 13.713332805058513 15.90976152545874 16.12630653803656 15.450975905180147 15.054033240422921 13.353406150152706 12.780206406230727 13.310433101918132 13.061418262249688 13.493756140502905 13.695336844177541 14.339954500356756 12.407410411735334 13.37849800429976 12.008915115131261 12.514898152789755 15.949761402489369 14.533268978818235 13.287358492924305 9.853339746082936 14.717830323243335 12.967616730692308 15.565068810791052 15.278309786504048 15.810103151506837 16.107409008581115 13.964767946519384 15.85347723460496 14.846340117108351 16.251819421160164 17.182582706900032 16.222337957278114 14.321077627414043 15.193739649273716 16.232079740505913 17.339019222180124 12.61993505017619 12.502222834777436 13.823827947220034 12.60833362818347 13.504028384237515 17.511308335047744 18.737546750625544 19.981699719450543 16.444514547695814 13.217620870290082 15.285749401680027 11.414182240698466 12.619353409767548 16.026389841035453 17.39348729464558 14.625123161049514 14.226738533344717 16.087836986387988 13.624891912924127 12.436074718053625 14.713843208760341 12.225490073438959 15.548320118751198 15.74933077938614 14.186584707434973 15.226409165334724 15.665822839262532 14.502094864580808 14.244375840348377 16.285142268256433 16.021264454763905 15.859273877639383 16.73628090897296 12.476175676745688 10.904103117413662 13.602963660216911
ArlenMichael_ENG19201Arlen_1 14.474781978633505 19.266640702178236 15.10391248405798 -5.193757420138 18.082758279771838 15.557168757267538 13.716604098346082 12.290802452326519 12.81070337618411 13.338888996762615 14.411609136826227 15.558143609288821 16.074627020516587 15.484110245967006 14.22505489680286 14.874941765713247 12.180037543382179 15.4436094008094 16.130292756412963 14.414820761979895 13.541671074367382 15.948789347920536 15.116098352183458 14.344137232254626 13.490806680106656 14.142370452395287 16.500595367684777 14.925341017373565 17.08498998401479 15.75605955542449 16.805942786107302 14.776755746041841 13.564862826844903 15.89661650991123 15.13336211128205 15.379245392948492 15.250559376484937 12.814747862089131 9.716104737803093 15.793213065112278 13.084840657142605 11.795605029576205 17.34345503475453 14.04389970915315 15.024896221203303 15.62121724118349 12.091232611263273 13.686581856976247 17.680079254624314 12.817663361684989 15.377427085857336 13.831405346830453 15.36789795832 13.415862123288926 15.20535816835747 13.751954314260454 12.334726213756115 14.740339897502182 14.996504089042695 14.40032864469621 15.382682411042962 13.58307335615919 16.185554857089492 15.679568507141463 13.59570800286765 12.464997607485438 15.494705627405882 13.844306377583184 14.057543572939718 14.608130284698742 12.764527972543997 14.047712465205807 16.120926289540826 17.15424593752624 16.653169873645457 12.390517526092212 13.431580634049148 14.958308774426023 15.789707998555127 14.982835888585035 15.72183931161855 15.872556948657573 15.13600764910011 13.334942292576828 15.15112007115029 15.810678108525698 15.079536017794055 14.38861721577853 15.9780799187799 14.52522023809031 14.36514980890074 11.643264325377242 12.600490448826761 11.943690073711583 12.915734900845987 15.927629265155417 12.45443100375164 15.452361982002987 15.724027735732724 16.010167840241223
BaringGouldSabine_ENG18980BaringGould_1 16.03381627120351 10.925041064257593 17.20542233957813 18.082758279771838 -5.193757420138 13.04531713904188 17.11524810421184 18.839551126871136 14.792766355761106 13.738854712947417 14.31109942701195 13.054902957301023 12.689542840234889 13.77390264244899 14.084080997826693 15.316341608983342 15.405121034610419 14.76232149940409 17.513983947806057 14.157739291236823 14.469378509537895 14.411096864762733 13.466924740749295 15.161144495071415 16.565706107775114 13.670531433550897 14.224588868222746 15.50901856444 14.423526713026478 12.589024825880758 12.023156104506349 14.216040986103952 15.012777454569472 13.521708511589033 14.57000771312252 14.423192487558994 16.00977831617466 15.745934531865162 18.08039181874041 14.817472827796575 18.247788372639512 17.332326652134164 13.323775846536611 17.180271606046258 12.470972335883712 13.764070420577113 17.65451562210943 16.837853627616372 11.79785670567714 17.671393672199887 14.17876026190145 13.370849995828204 14.10417081756714 16.44718632148119 13.959321567512589 13.519032152903769 16.984997188218596 11.814561860526988 10.959748879626954 13.562237927695138 14.583287790002933 15.27157116638965 11.341068859508177 10.008683615053904 16.555561603724964 15.915598123768627 15.259606309746806 15.324118002889024 18.30998517808832 11.06773805512045 12.916119033539601 9.850851408789072 11.471389895741474 11.995761490672667 11.100638761566392 17.131025365633683 17.58478743399382 13.712980912062807 11.875744617288126 11.962704399465512 13.57763763755312 13.557347916134422 14.80823135058337 16.593733542193508 14.42856434655112 14.965648796962826 13.355302633335004 13.930303894747073 13.4710984394498 14.40914812111926 13.67494650607146 15.815731308064672 16.23667979715363 13.79730835950835 14.691303151534909 15.805617393670719 14.592074048485863 17.356705937599052 17.16253817434662 16.30520673051564
BarryWilliamFrancis_ENG18870Barry_1 13.910082036627815 14.606585118041174 16.106578558350964 15.557168757267538 13.04531713904188 -5.193757420138 14.582927863675721 15.85010866636106 16.138132659577586 14.981027822809848 14.4249806495849 13.37723010295945 13.451561513783538 13.777667448805337 15.457167048806296 13.764636436894087 16.156190918911296 13.48345738618948 16.533802462194394 15.675946524883843 12.95928582685858 13.028150940908134 13.158421441607532 14.633354184631605 14.961574158098248 15.150867739743207 14.461638814863656 15.465519059942073 15.358129433942395 13.325235735359527 13.707643657068678 13.627707032404443 15.675940170286545 15.084440351537902 14.614194145373252 13.935848799896636 13.930444372434318 14.537397214480894 15.271475251798524 13.677684305684055 15.114324023100568 16.581154588338904 14.320833194921594 15.424751317042155 13.698681990175537 13.997727746678976 14.371598811802889 14.540227850521577 14.261343078745407 16.620919127835602 14.3617730023183 13.800622798152093 15.148689713757113 14.664670676455954 14.500354438444088 13.786239791460336 15.441644312258212 12.442874867065369 12.78251241109985 14.046071423274086 15.332167155298267 14.551219953077803 13.085510469260644 13.92431556903073 14.746791689314481 17.28756294833317 16.454607094868482 14.221355617673481 15.223227728389778 13.506302618759166 14.415529971876841 12.725963734106312 14.076139601058134 14.892760854049097 14.384707655365633 15.16226621705011 14.34820630194975 13.237202921690571 12.49851364361026 14.349891138949227 14.244902519617886 15.133501201158307 14.389898794637853 14.732181334406699 15.585361914413909 14.656999688804865 14.98499642709979 14.164648536276117 15.412138489065907 14.724243519131942 14.903735015494494 16.389378800475956 15.929201025484492 15.114884738816931 13.124605377697144 13.912937026164384 14.372024368358408 13.425244274187614 14.129266225923638 14.262819247947942
BellocLowndesMarie_ENG19121Belloc_1 15.077761165505523 15.817963118808416 14.238500631624666 13.716604098346082 17.11524810421184 14.582927863675721 -5.193757420138 12.07028546412666 14.34648088941188 16.257064360883653 13.81821158644018 14.521267494100982 15.828270803097228 13.275796433598858 14.695453357837449 12.993072025068782 14.2279794289035 15.482160284285078 12.221897830050677 14.135607053582344 14.453623566616416 13.676751038158418 14.710270395205727 15.001682036242366 14.435490018616616 13.64426336761855 15.379641188585053 15.12779367826657 15.223148717598818 16.23182397817843 15.747352725593405 14.77977466037315 12.746872171800366 14.767437940852304 16.285242872807537 15.807897333089649 14.9245224107212 13.581306279534765 15.100175564633108 15.704880500421208 14.306652681751993 11.05207182264204 12.18530747560217 11.455880135420427 15.252848738306866 14.30182938150428 12.25175443553349 15.068399815134555 18.024485166444133 14.248384594295205 14.11111492252537 17.299082650151192 13.843710144787732 13.184825060785782 12.48735999748961 17.321562705904398 14.230289670246336 14.661843437102286 16.42623701757998 16.245585697884657 14.307037054871213 15.559537686968868 13.535519662703527 14.954751224454098 12.592785761151772 13.480392568463651 13.526286068744598 15.474211396385527 14.14529216112865 16.968127570474937 14.40907471560533 17.386737264429044 16.91731556227788 15.174188355434191 15.135132236499032 13.243512774524657 11.86201333803525 15.348700196702774 16.822985221080174 15.082006088384894 15.387682980625714 14.267944702536628 15.485034908678866 13.216634563062387 15.155002965802828 16.144626948574583 16.528231173662807 15.381688063487681 14.19535144298901 12.427526309395743 15.280978622440058 15.457959085277373 14.838876015346253 14.055790350929751 16.61858470547796 13.414141611540938 13.444474400476343 13.989339335165504 14.348179240257117 14.521194966711795
BensonEdwardFrederic_ENG18930Benson_1 15.388633290967432 18.63620848528461 11.693647500644515 12.290802452326519 18.839551126871136 15.85010866636106 12.07028546412666 -5.193757420138 13.36027312971313 15.977607173496958 15.847421173738695 16.90995768530939 13.552721830747195 15.247781868226411 14.050484278743587 14.699337317869565 14.524732379965005 13.881039673730374 11.959183506682946 16.193942456214902 15.21921765742576 13.212897463929988 17.080123472415067 16.259267585746073 14.487762720653814 14.371829587388921 16.11888748440312 13.683189886089258 15.78358857806782 17.112066004707046 16.410390312937427 14.855252579763595 14.053825704273613 15.992430490687305 14.165703865326225 14.451679274758554 12.26253325545623 10.067800691336949 9.844190442979246 15.26076202817241 11.257636701489904 8.789569400792551 14.365040659040364 10.124721773456626 18.394375965343695 15.104400270799433 10.502956070119458 14.020023489663451 16.918157567891072 11.666016634751935 14.844133162611888 17.475429373581925 13.425061142644902 13.167886940939427 14.275891803870593 16.292952831833542 14.207274990398991 18.00544903748783 17.50786888905851 19.342524444613634 13.630706364839686 14.31281875333598 17.3678519100764 17.108509251184405 11.828078634119432 10.088313353892644 13.455225454869764 12.132593814681632 11.564448162417348 19.11139462819495 15.641691671160832 21.011630843176263 18.427900927913683 15.27414516893379 17.64853399413191 8.147361496544264 10.699845160850638 18.685554607257572 18.69694744436974 16.09643625240226 15.738645646383361 16.3791266365829 15.135358615703373 10.640793014779225 14.947288897071385 15.023716822567462 18.07891231059681 16.805819666978778 15.992564568240713 13.546025610076438 18.42269888959953 13.650778182144862 13.058391297903027 14.225553553009275 16.472223217297884 14.161634227372813 15.749595733128864 11.572821438100254 11.113469248086545 12.842969192872431
BensonStella_ENG19190Benson_1 16.943870233592563 14.72521168511301 14.845051800499771 12.81070337618411 14.792766355761106 16.138132659577586 14.34648088941188 13.36027312971313 -5.193757420138 15.055284968637627 14.887192671088762 15.425668601010367 15.520693457549037 14.110112746137254 14.361118522475433 14.689363867603147 13.05812252324805 14.05500592570042 12.433255009149622 12.056562039273217 14.91952233524558 16.94359215948938 15.491038844279531 14.011557197538174 15.163414419042743 13.541585735007292 15.918049220866655 15.23438507219002 16.01117263669839 15.06587652375686 13.938306377322874 15.161667164415334 12.508259812172748 14.743067665560131 15.95176592680749 16.687720037170045 16.312410353384937 13.520172490492556 14.00761235790495 15.953644467518885 14.894595148846545 13.212461915042969 15.286426303180805 13.89540509442359 14.019168823250922 15.091611208534108 14.391041775719541 13.951434260535104 14.370349162959055 13.900048238027882 13.62069182486498 15.398127875043523 13.579883183935603 13.903222854544543 14.187600905136703 16.218401119914734 14.822791070081871 16.617473856204846 13.830136078449303 12.65778288944421 12.895158700948139 13.875262159885065 14.999611225110279 16.18275947656524 14.595432003346241 12.011683107297827 12.133893972113578 15.837783441430993 15.417541927070607 14.654269971461018 12.722804763916914 13.136833764926834 13.03980935421054 14.394436018565274 15.51811047221289 14.22094834274939 14.868477580446035 15.522080940648152 16.775181568507076 13.87870374561768 14.728187561354321 16.22644596913873 16.811532372554957 17.276099883817814 15.938259639044855 16.563300041207487 15.648458984636536 14.720173320190321 13.89452916592885 14.460485021703438 12.772667760150167 12.24853198629364 12.537243754978912 13.115479204921321 15.96969233479327 14.778528223576245 12.47616983841401 16.64942366578133 15.55698635792422 16.434439448208966
BlackmoreRichardDoddridge_ENG18640Blackmore_1 12.985860489538076 14.45714926228968 13.93666983087956 13.338888996762615 13.738854712947417 14.981027822809848 16.257064360883653 15.977607173496958 15.055284968637627 -5.193757420138 14.506049020276226 14.48482925348368 13.371129341059133 14.488736885274191 13.68630852663163 14.79238136556261 13.755936922930669 15.722767040815647 15.125698939996612 16.155393773912152 15.560984157734756 14.869211470082265 14.794942130762758 15.145790857261689 13.712699290339659 14.936718338929634 14.29850993593482 13.817195518229395 13.273490861610172 15.838164347774315 15.775836009513059 16.649473412900267 15.29421081431787 13.482888303676512 14.720670227845451 15.831480497872738 16.54159346678296 15.03007700602069 13.625563082775773 12.37214965500762 15.071684215722627 13.444996289693291 14.410916581503947 14.29476330220452 15.777980484613293 15.573834640483694 15.19007441532612 14.727116610552748 14.939992264301113 15.298623536589302 13.124514770966286 13.153266587755116 15.750189262591139 15.798361017399985 16.874456525301277 14.381387964257733 15.53177089438744 14.834299939406911 11.716585612829087 14.981841162366083 14.21473793296724 15.542354739709959 14.544263059892705 12.346981788030073 14.94990662747726 13.332816249459468 14.973008349945353 15.255493039707817 15.082331302295024 13.01842665954491 12.423045000942452 13.190999561464306 13.020003736867213 11.986218291757401 14.610430882427544 14.54288229886589 14.822400941402849 14.068165175430265 14.759515194270806 15.171100995372138 12.90132260651621 15.217642725217344 14.81099067447927 15.52929294799879 15.561746784882756 13.796333312261941 11.235651081251595 15.401340708960506 14.120426391063054 15.734607818256775 13.52157916089154 14.392052833334034 16.095168666570107 14.425488796968237 14.76037253093863 17.771393604620457 15.214823321554327 14.722518310569598 14.481538713609444 13.826209202060515
