 AchardAmedee_FRA04301Achard_1 AdamJuliette_FRA00101Adam_1 AdamJuliette_FRA00102Adam_1 AimardGustave_FRA00301Aimard_1 AimardGustave_FRA00302Aimard_1 AllaisAlphonse_FRA00401Allais_1 AudouxMarguerite_FRA00201Audoux_1 BalzacHonorede_FRA00501Balzac_1 BalzacHonorede_FRA00502Balzac_1 BalzacHonorede_FRA00503Balzac_1 BarbusseHenri_FRA04401Barbusse_1 BarresMaurice_FRA04501Barres_1 BazinRene_FRA04601Bazin_1 BlandyStella_FRA03201Blandy_1 BlondelAdele_FRA07101Blondel_1 BoisgobeyFortunedu_FRA00601Boisgobey_1 BoisgobeyFortunedu_FRA00602Boisgobey_1 BourgetPaul_FRA04701Bourget_1 CarraudZulma_FRA00701Carraud_1 ChandeneuxClairede_FRA06401Chandeneux_1 CordayMichel_FRA04801Corday_1 DarienGeorges_FRA07501Darien_1 DashComtesse_FRA00801Dash_1 DaudetAlphonse_FRA00901Daudet_1 DelarueMardrusLucie_FRA01002DelarueMardrus_1 deMontepinXavier_FRA06301Montepin_1 DombreRoger_FRA01101Dombre_1 DombreRoger_FRA01102Dombre_1 DumasAlexandre_FRA04901Dumas_1 EekhoudGeorges_FRA05101Eekhoud_1 ErckmannEmile_FRA04102Erckmann_1 FeuilletOctave_FRA05201Feuillet_1 FevalPaulHenriCorentin_FRA01201Feval_1 FevalPaulHenriCorentin_FRA01202Feval_1 FevalPaulHenriCorentin_FRA01203Feval_1 FlaubertGustave_FRA01301Flaubert_1 FlaubertGustave_FRA01302Flaubert_1 FlaubertGustave_FRA01303Flaubert_1 FleuriotZenaide_FRA01401Fleuriot_1 FleuriotZenaide_FRA01402Fleuriot_1 FleuriotZenaide_FRA01403Fleuriot_1 FranceAnatole_FRA01501France_1 GaboriauEmile_FRA01902Gaboriau_1 GalopinArnould_FRA05301Galopin_1 GautierJudith_FRA01601GautierJ_1 GautierJudith_FRA01602GautierJ_1 GautierJudith_FRA01603GautierJ_1 GautierTheophile_FRA01701GautierT_1 GayMarieFrancoiseSophie_FRA01801Gay_1 GilbertJehan_FRA02001Gilbert_1 GirardinDelphinede_FRA02101Girardin_1 GouraudJulie_FRA02201Gouraud_1 GouraudJulie_FRA02202Gouraud_1 GouraudJulie_FRA02203Gouraud_1 GrevilleHenry_FRA02301Greville_1 GrevilleHenry_FRA02302Greville_1 GrevilleHenry_FRA02303Greville_1 Gyp_FRA06501Gyp_1 KockPaulde_FRA05401Kock_1 LeblancMaurice_FRA07401Leblanc_1 LerminaJules_FRA05501Lermina_1 LeRougeGustave_FRA02401LeRouge_1 LerouxGaston_FRA07601Leroux_1 LesueurDaniel_FRA05602Lesueur_1 LotiPierre_FRA02501Loti_1 MalotHector_FRA02601Malot_1 MalotHector_FRA02602Malot_1 MalotHector_FRA02603Malot_1 MaquetAuguste_FRA05702Maquet_1 MaupassantGuyde_FRA02701Maupassant_1 MaupassantGuyde_FRA02702Maupassant_1 MendesCatulle_FRA07001Mendes_1 MillePierre_FRA05801Mille_1 MirbeauOctave_FRA02802Mirbeau_1 MontagneEdouard_FRA07201Montagne_1 MosellyEmile_FRA05901Moselly_1 NoaillesAnnade_FRA02901Noailles_1 OhnetGeorges_FRA03001Ohnet_1 OhnetGeorges_FRA03002Ohnet_1 OhnetGeorges_FRA03003Ohnet_1 PeladanJosephin_FRA06601Peladan_1 PonsonduTerrailPierreAlexis_FRA03101Ponson_1 ProustMarcel_FRA03601Proust_1 RattazziMarie_FRA03302Rattazzi_1 RebellHugues_FRA06001Rebell_1 ReybaudFanny_FRA03401Reybaud_1 RollandRomain_FRA04202Rolland_1 SandeauJules_FRA06101Sandeau_1 SandGeorge_FRA03701Sand_1 SandGeorge_FRA03702Sand_1 SandGeorge_FRA03704Sand_1 SternDaniel_FRA03802Stern_1 StolzMadamede_FRA03903Stolz_1 UchardMario_FRA06701Uchard_1 VaillantVictor_FRA06801Vaillant_1 ValgandCecilede_FRA07301Valgand_1 VerneJules_FRA04001Verne_1 VerneJules_FRA04002Verne_1 VielCastelHoracede_FRA06201Viel-Castel_1 VignonClaude_FRA06901Vignon_1
AchardAmedee_FRA04301Achard_1 0.0 3.0775809390047 3.1951860026293453 2.819193839420438 2.780555173540879 3.2809912735759204 3.080372379868102 2.832765655496286 2.904079740352477 2.94461745715786 3.0244243112838762 3.12117251346781 2.959040208946083 2.979304815506451 3.2001142549053903 3.057506080870802 3.0302567753602108 3.3626379332827403 3.1765467885614904 2.9642953404201102 3.3887107000543804 3.30297090165012 2.572364202207451 3.27981704152995 3.18558360444142 2.6135948754105973 3.19224973191141 3.29369233631419 2.499223131175602 3.1806938321917704 2.7886675594644053 3.119791755782661 2.603333013185897 2.4797433035366607 2.42921630726098 3.046768626839756 2.9254108011630033 2.825636695740855 2.880593438672131 3.11004085508144 2.811487678497428 2.8679791273879918 2.792668980050953 3.1721667484175535 2.5846131218866013 2.870693333442438 3.146937712681009 2.967855301596389 2.9420440691509153 2.971586029974355 3.062855142029874 3.3318353581581004 2.934156322508645 2.9524665077236616 3.1613508343344003 3.1891428454331905 3.0964562747781104 3.17742496511943 3.0320057735626262 2.7304850560430873 3.046646468127855 2.700109899570812 2.8550580859523453 3.226458210304 3.4044052747456 2.9838531843420912 3.1446504783787503 3.2081842387613397 2.6686154486394242 3.238327899392745 3.197340312021317 3.3495803632660444 3.25670643379787 3.096646967123924 3.1269139549228795 3.014584624119416 3.20424318894457 2.8670323214957767 3.0064574118637353 3.1844659282375503 3.17560628804338 2.495821280805275 3.38708204602077 3.0940380723278103 3.025118080152126 2.859538969789168 3.3095523364230397 2.9402577518837 3.3294959071205 3.3378254051133602 3.2804339509140097 3.056201442932214 3.43270932990512 3.3925765626251696 3.08705521491229 2.7395392967220378 3.1520555683842697 3.08538559972835 2.692283241695466 3.06179342677959
AdamJuliette_FRA00101Adam_1 3.0775809390047 0.0 3.21773907501471 3.2005353871173097 2.909762477040495 2.8219656214801407 3.101807568943671 3.202155354138465 2.8937958972248827 3.176549347968173 2.579942991785575 3.1273468329773393 2.772065643664915 3.152100580583124 3.2260203823184392 2.919018354850985 3.084878739886124 3.1578301595244103 2.643227053056564 3.23627751306641 2.850069017565871 2.72390887263695 2.9646529120400533 2.8573804316896787 2.906148641938846 3.011391092228335 3.042188223813412 3.0705825970918044 2.8855356168386233 3.007485932282535 2.73943903679132 3.2080869284627296 2.983381381809914 2.9121007052317154 3.0269885128853504 2.968486409069027 2.951307319638961 3.1317945716353988 2.954699891644948 3.063904142299823 3.0105807032862972 3.17743877318391 3.0730856461697496 3.2197530689025804 3.129810332562486 3.151408778588811 2.900677159894573 3.32056279982349 3.1219373400439947 3.1419729154502365 3.15816520623428 3.169299891091869 3.067543335982648 3.14965977966116 3.114964981863268 3.2273409023077604 3.023041973527053 2.939141843491685 2.872780513721333 2.851606377113976 3.2054508845799097 3.24823798513403 2.9812779845821966 3.1041178400334353 2.991271661159052 2.931842246431594 3.021359026695846 3.039835589568038 2.8155304223543114 3.038056953197369 3.14313785731594 2.9563808865795718 2.636035265627617 2.5804410198067176 3.19691403709931 3.0979931122387203 3.2689613572302196 3.0765429561088102 3.13717580738675 2.921576219474593 3.0603374860723678 3.11824872958839 3.1817347542465004 3.042056323447225 2.962717190152118 3.16647343123197 3.1285483893967903 3.0414450370231814 2.8536447287948885 3.0349853560523856 3.1085043964840375 3.2914687330655497 2.887002588685266 3.0485688901704 3.1651293762088795 2.942110187602148 3.0685651491204613 3.092386214976306 3.09913126182024 2.969413826510749
AdamJuliette_FRA00102Adam_1 3.1951860026293453 3.21773907501471 0.0 2.928467425983253 3.001836365007641 3.1956097310242 2.99014039299991 3.011747455383853 3.23024239929878 2.95583173427152 2.983907042251952 2.899952684674762 3.1464199008750695 3.14395159504004 2.9542310632288933 3.2585314836648904 3.080787462064344 3.025875867150905 3.2553322893035768 3.1184796286395042 2.6679108644114082 2.780989076875845 3.072433816485689 3.067977372644785 3.22107500579233 3.30641306076119 3.12545848700059 3.34718334286711 3.31056037688648 2.642349200607921 3.31793632737061 2.4409974532275482 3.2940721785814304 3.43101704635085 3.3302276124352304 3.27357133677333 3.13387112048754 2.987475369460382 3.41607984481337 2.798006066967286 3.1869177726071722 2.968393055216102 3.21051945271397 2.926668769150508 2.927847731842955 2.77081257571598 2.778478386382827 3.091864883013394 2.760138350530113 3.11818679643898 2.904277082599072 3.1996128716159964 3.27481892220151 3.3072146189200198 3.0886397992234667 3.150798263981966 3.17159791900106 3.26061850105718 3.1930163622951504 3.33464221922375 3.046452550735423 3.1935761003455503 3.2446721282040203 2.960200884747284 3.03036796754198 2.8631325135047376 3.003159271565011 2.998156528000904 3.210879620379398 2.999974292125769 3.032530574495316 3.056243220409683 3.189034419034065 3.3091099617461297 2.83927231468139 2.950523322311491 2.741413360295546 3.001869459617679 2.731977478470912 3.020892277378807 2.464887506200572 3.120860408438036 2.782028560633839 3.2293482903744906 2.719379286741372 3.052343494603034 2.8643693700901514 2.8347384436036034 2.784029282727551 2.403668164302264 2.74487000067351 2.663419103272635 3.04567554656218 2.957790854050465 2.967631836975851 3.073606287111633 3.30632532887431 3.05540929316758 2.95685937601317 2.85703523776654
AimardGustave_FRA00301Aimard_1 2.819193839420438 3.2005353871173097 2.928467425983253 0.0 2.127136251438637 2.9482797382944606 3.19549253498058 2.897028380547259 2.935801813483039 2.583329292754872 2.955820700806769 2.954000346658029 3.16137321104095 3.1265917846683298 3.043419719340635 3.2990977502194 3.2107336188695497 3.2074862756505897 3.48070753186098 2.812165408058807 3.30490367489855 3.3593888326779995 3.03430761539096 3.4315303308971803 3.2230573690687194 2.930289663616914 3.092566996666264 3.2861803524022397 2.8048980784359836 2.7843526073527967 2.956485599549276 2.904356492030867 2.821132102741625 2.918192700829672 2.701194734820659 3.281590238954646 3.0964949408795883 2.77688836444152 3.10344193264261 3.20431369825502 3.1215206608030757 2.900483425457415 2.973488988519028 2.571742162511931 2.397921377805625 2.6407249571113462 2.8959862632159252 2.832722720267864 2.9001780680168148 2.762688690129038 3.37141185288933 3.21847606542664 2.9891053781825327 2.994529301657379 3.07032409604137 3.021056618194208 2.7678440815271053 3.43257845192492 3.4486158221174694 3.096382271438552 2.765210387002921 2.781336390865781 3.20071426547688 3.027056218815848 3.24823190573856 3.1382650252144204 3.2684248302590904 3.15288657924488 2.8850811556049063 3.33406506475542 3.10610312248937 3.1540173063977397 3.52889480998845 3.26595042396917 2.440832439270541 2.8111683431162504 3.2303050320437396 2.87715303839212 2.960328105905769 3.23791510930156 3.006962370948296 2.613222626788564 3.15582656692456 2.849387477088267 3.023385938886818 2.801325421530298 3.3665286089119 2.752364146991831 3.32372025340816 3.2072649871712 3.1875505457796702 2.7529958937751813 3.1844121332666 3.2078670939163403 3.035752177126917 3.16721399401856 2.867384131909127 3.0607218463118486 2.6735749602966887 3.1532037616621
AimardGustave_FRA00302Aimard_1 2.780555173540879 2.909762477040495 3.001836365007641 2.127136251438637 0.0 2.837980392777686 3.3484149621350303 3.0075907172748013 2.9442494481063433 2.91655620654116 3.045296376398497 3.2092830257209295 3.10422771303641 3.20983849509806 2.98278986413679 3.041966544117433 3.0480258663380346 3.1739693536879994 3.27744741032802 2.8535179284915113 3.1995272658593796 3.0599208168760397 2.669280036025861 3.33056953930249 3.2836454825890895 2.703760596590284 2.935519940284992 3.31901028388764 2.623209458156971 2.904303356850893 3.0570594726231217 2.826025731204695 2.892124286257145 2.901536629909725 2.833470629934106 3.2461636528527595 3.1699138747054194 3.090420303233941 3.027917353251087 3.30700823946722 2.875081616731451 3.18766451500867 2.924731544879266 2.75333914517952 2.696356920700075 2.915591232389141 2.930925906414719 3.1390800971254698 2.938248917995809 2.784776872947528 3.18171590806815 3.29007046969693 3.19398391769992 3.105622764569309 3.013198617999433 3.107210363625078 2.825268321640669 3.1153040961967022 3.0859104095711096 2.817507906723722 2.8288416836477097 3.004118218635269 3.131146250646133 2.923805838777656 3.3193483282733602 3.13172116976052 3.15748535712065 3.039183594461397 2.645595286699593 3.18758796727853 3.2361118044572796 3.2520267779181298 3.38487287043928 3.0490476698757827 2.690049639275518 3.2215136878306803 3.29197369472738 3.00727932583954 3.026042697141494 3.0620685145795505 3.120922260670678 2.645353305392046 3.2953750402206596 2.933807940683434 2.932750386273706 2.912415598848074 3.3804718837133603 2.860166129298723 3.1571562928170795 3.06830623099623 3.18252607386533 2.9785046550615015 3.142628507383572 3.1442787439914803 3.098312928304563 2.943835306852878 2.927933905536184 2.9861275142791373 2.808885190417228 3.014915016039975
AllaisAlphonse_FRA00401Allais_1 3.2809912735759204 2.8219656214801407 3.1956097310242 2.9482797382944606 2.837980392777686 0.0 3.55612604281537 2.74231549650568 2.633085159104575 2.638057544975788 2.9262508553701667 2.5641162065955787 3.1324201105845297 2.808556708735719 3.079217450460848 3.2948542284389024 3.2867973083932323 2.879908781526667 3.36210922182339 2.679928060116209 2.926996617252731 3.0591966992518533 3.2176724561121097 2.913528889220708 2.964081464437365 3.0269437288694983 3.13630550886967 3.0843206770620553 3.13013199480754 2.485732326903471 3.12141538125937 2.9532409935909962 3.008592044549843 2.989470822971622 2.9247244747000147 2.880004380385097 3.0425022564862383 2.978159837277495 3.050163592663798 3.0993785219940087 3.01880868989301 2.8956421416467713 3.015664152867773 2.855195110594836 3.188165173788068 3.0199143040441077 2.832757278563052 2.843233617668525 3.061411215475683 2.731304427225941 3.38365141764322 3.1174933675915772 2.973215816124052 2.948015356088874 3.26388828543882 3.2062399565156 3.050901683961431 3.18129469927257 3.19522730270735 2.885610770299433 2.550971655202854 2.813288643094949 3.21084355903245 2.706942394389376 2.8629481684574873 3.42427819200465 3.36422453736158 3.35530448335426 2.922878724183812 3.09807355731004 3.111812805473975 2.816694858664918 3.215648851148618 2.619870352218249 2.718367338046176 2.9512349032165512 3.25197611034405 3.2657678688896805 3.2575325249552005 3.0505666930689275 2.93133498861292 3.0845426921063996 3.1556621758093972 2.859576086800752 3.28826020063557 3.2656523540311397 3.27419826635675 3.0786654700353875 3.334002013389849 3.42111746938512 3.2761532808563962 2.993277459780523 3.007743034388063 2.8384703810921144 3.048736200150282 2.993884533265532 2.511764084661963 2.84705335302641 2.881670936403923 3.080653750417369
AudouxMarguerite_FRA00201Audoux_1 3.080372379868102 3.101807568943671 2.99014039299991 3.19549253498058 3.3484149621350303 3.55612604281537 0.0 3.44104381875914 3.47167618627773 3.34387128777801 2.977907734970035 3.19667827555432 2.952384001394427 3.096415891801933 2.886101321782582 2.791154743258821 2.6653251805620872 3.1642563551591802 2.649042351836685 3.3882248166228397 3.1822718638998 3.102459918204556 3.18963360404509 2.713654156588527 2.971734514547874 3.2750512344089 3.13636934466023 2.826195287384028 3.2734467676333803 3.0786329070691325 2.631303243062496 3.071961756253428 2.977821604540223 3.080127937276392 3.14065462646942 3.016200718548326 2.904602168564591 2.877747094225879 3.0082614838259 2.732602126134819 3.19705771193217 3.244304468441025 3.1967052733134 2.740066956359709 3.0187978568967893 3.168005746717148 3.30888376792457 3.1541132656131374 3.130320451894259 3.25845977571197 2.998428572778888 2.829465680195405 2.916388765957216 3.009386395260555 3.04827455017584 2.991623024058598 3.07766285601078 2.977298476514118 3.0564191333453907 3.262144883408613 3.4509848516710306 3.2365284153684897 2.870758776385134 3.42310939118245 2.802219462011153 2.26472558005912 2.43291230308717 2.874015685153922 3.4057159199828 2.892292516834664 2.7893355386152185 2.9636282168521526 2.758868880304335 3.42234429617743 3.3074889922754402 2.7869569066912137 2.843452017379957 3.0332573367816833 3.0287869852173674 3.150195974020012 3.21001751706752 3.15923585743571 2.7355059588713337 3.25488117077588 2.864455271635546 2.546360893415868 2.806580914115965 3.1728635369665694 2.48699399194274 2.700866066608408 2.8476394174722683 3.082036919258866 3.070605406520667 3.29435370978153 3.203420219898648 3.18850287515343 3.30971517506191 3.1576951724550524 3.24765673730736 3.33430841741152
BalzacHonorede_FRA00501Balzac_1 2.832765655496286 3.202155354138465 3.011747455383853 2.897028380547259 3.0075907172748013 2.74231549650568 3.44104381875914 0.0 2.179421554126443 2.046914802694337 3.289076908546989 2.5975889677753132 3.20509600233835 2.581581740535616 2.728136935000885 3.3020561013814502 3.19950902312668 2.998835396933828 3.2313815608807803 2.774511970333684 3.2681758544171116 3.2955877505316447 2.9600994511322893 3.27840466514626 3.24108530381498 2.8957591811737533 3.20401292844043 3.20664570565415 2.9913675851809325 2.8473302542894583 3.16136679866256 3.021585314028249 2.8929676483257474 2.8304368754447546 2.704375220488637 3.06992005437133 3.2355946106777997 2.994145781718396 3.171551563233953 3.0228585474940473 2.871312908477157 2.796101538622169 3.002260022979997 3.1901062434523624 2.990746617959691 3.0094940447771057 3.1032959635609227 2.7153584662682153 2.6643538410207697 2.76283585239694 3.128714874040911 2.879733710229737 2.741001507608005 2.5984257391635888 3.171754017335381 3.0521258194879337 3.07131631737764 3.47382452618807 3.2890991416870596 3.2355504404166897 2.840512484465013 2.79935521001505 3.193676451221744 3.07607348826851 3.19324079449751 3.3492679641887397 3.32726046835823 3.31992786099716 2.983305846957963 3.29438442352097 3.20625592778458 3.1869341855240236 3.52163718650892 3.141013292738994 2.719327931264616 3.0944065711375996 3.18542513527069 3.063214820146707 3.24222672893005 3.115648191039739 2.976808913171289 2.9885227147991413 3.018712958314871 2.873582613217589 3.3094696982640674 2.905669990978168 3.3254857848611197 2.860625542080479 3.3136784733734403 3.2835167120583 3.1026216681303582 2.730500384411946 3.2174496606560297 3.0761872946156057 2.874894345889121 2.7664185218319237 2.825549807945797 2.860237494354511 2.472106046600806 2.944583232947859
BalzacHonorede_FRA00502Balzac_1 2.904079740352477 2.8937958972248827 3.23024239929878 2.935801813483039 2.9442494481063433 2.633085159104575 3.47167618627773 2.179421554126443 0.0 2.231474357258326 3.103229948571912 2.7431966605526243 3.066291392366334 2.7276213877679147 2.950810859758242 3.138518043938866 3.139344262255074 3.052898837562597 3.0548537788893118 2.827780473745562 3.240327602914538 3.07504073952503 3.0789977757997704 3.19082258176673 3.0634290729804716 2.810392945660937 3.20799621287139 3.18358420473054 2.825812694442395 2.976905799383972 2.9371181104980035 3.078840783186035 2.690325879076043 2.834401831215054 2.7632417412425103 2.9664696300564772 3.1069109646533697 3.051907200741266 3.07272263000853 3.121009178139218 2.940201020321238 2.754268507728247 2.996345009251374 3.193576738204695 3.051964299315145 3.051578279418305 3.0625843008716735 2.8551875081160434 2.837826638461099 2.809081856268638 3.236634977885478 3.070803744954672 2.887084896267809 2.870676639391581 3.16918600001189 3.18415090267362 3.044952641125901 3.3927319767172097 3.179899649667108 3.05333961906918 2.842882573356676 2.907952159186795 3.082455925506795 3.053846614494664 3.1700125673633206 3.3197755620990996 3.31733771184982 3.250195952093753 2.840150842989237 3.129056702201305 3.2027865011208 3.18381440730339 3.32272188381497 2.975745046508171 2.833397535843493 3.0146906393022475 3.39454500104046 2.980945143540053 3.1941709325654903 2.890583699194031 3.068528839035171 2.939856719010176 3.25651629244445 2.74634343437203 3.302945110948364 2.9903976386486892 3.33554539394723 3.0165027467849628 3.332490446334868 3.34224116569324 3.2219996199008296 2.957022324724754 3.1655406151557037 3.0544859438983307 2.908731742745629 2.808607349066084 2.793705398065525 2.890599224907092 2.714984578152457 3.031892379011074
BalzacHonorede_FRA00503Balzac_1 2.94461745715786 3.176549347968173 2.95583173427152 2.583329292754872 2.91655620654116 2.638057544975788 3.34387128777801 2.046914802694337 2.231474357258326 0.0 3.071450354539774 2.3875000482269 3.0445350290299746 2.716581931911533 2.928516355522972 3.6144116480453095 3.41966830600183 3.025231583782829 3.5109801677573897 2.765751370357203 3.246230294780207 3.4759578221405603 3.28023688580349 3.43183940513926 3.049023117486403 3.14575162353437 3.32870368828198 3.19363783945427 3.13577673131177 2.588106732093424 3.023684276114715 2.970695918108039 2.916857463975842 2.807266265012232 2.642092511125636 3.049181443766263 3.0095112332321072 2.667413182104095 3.3305163171172403 3.0263073100841074 3.24641583407326 2.5655269584964797 3.1313178772995602 2.903771958855363 2.7618047256026257 2.721506398595813 2.922176803459034 2.519126264200851 2.783368819665757 2.784295610203969 3.4413262115663104 3.032966824554044 2.748959896340451 2.668040758930121 3.26950879018006 3.1017258330860398 3.038731143349014 3.7728110111647597 3.69685174002083 3.39646286751767 2.710758097666761 2.61687787992307 3.2662263646501906 2.9832104647354782 3.0689391234386303 3.36352259443562 3.42880698141411 3.4341844374357695 3.0472599757301797 3.32328355977637 2.9591402194601066 2.918759372980026 3.6173432116855597 3.24986794747845 2.461562358622383 2.596662207076321 3.130750177689943 2.99675228823495 3.1580256628428405 3.21820388203619 2.838213111786679 2.9435652152123533 3.021688893834896 2.735114838778082 3.337575541174357 2.790169198674858 3.32168468046126 2.813681338893792 3.49931676316589 3.4783445345511397 3.20025380972357 2.6321076064027347 3.32392435456593 3.1226160155811997 2.968864081518842 3.0309490375202492 2.6647527690370447 2.8515950967611783 2.355406227952415 2.969438392567071
