 AchardAmedee_FRA04301Achard_1 AdamJuliette_FRA00101Adam_1 AdamJuliette_FRA00102Adam_1 AimardGustave_FRA00301Aimard_1 AimardGustave_FRA00302Aimard_1 AllaisAlphonse_FRA00401Allais_1 AudouxMarguerite_FRA00201Audoux_1 BalzacHonorede_FRA00501Balzac_1 BalzacHonorede_FRA00502Balzac_1 BalzacHonorede_FRA00503Balzac_1 BarbusseHenri_FRA04401Barbusse_1 BarresMaurice_FRA04501Barres_1 BazinRene_FRA04601Bazin_1 BlandyStella_FRA03201Blandy_1 BlondelAdele_FRA07101Blondel_1 BoisgobeyFortunedu_FRA00601Boisgobey_1 BoisgobeyFortunedu_FRA00602Boisgobey_1 BourgetPaul_FRA04701Bourget_1 CarraudZulma_FRA00701Carraud_1 ChandeneuxClairede_FRA06401Chandeneux_1 CordayMichel_FRA04801Corday_1 DarienGeorges_FRA07501Darien_1 DashComtesse_FRA00801Dash_1 DaudetAlphonse_FRA00901Daudet_1 DelarueMardrusLucie_FRA01002DelarueMardrus_1 deMontepinXavier_FRA06301Montepin_1 DombreRoger_FRA01101Dombre_1 DombreRoger_FRA01102Dombre_1 DumasAlexandre_FRA04901Dumas_1 EekhoudGeorges_FRA05101Eekhoud_1 ErckmannEmile_FRA04102Erckmann_1 FeuilletOctave_FRA05201Feuillet_1 FevalPaulHenriCorentin_FRA01201Feval_1 FevalPaulHenriCorentin_FRA01202Feval_1 FevalPaulHenriCorentin_FRA01203Feval_1 FlaubertGustave_FRA01301Flaubert_1 FlaubertGustave_FRA01302Flaubert_1 FlaubertGustave_FRA01303Flaubert_1 FleuriotZenaide_FRA01401Fleuriot_1 FleuriotZenaide_FRA01402Fleuriot_1 FleuriotZenaide_FRA01403Fleuriot_1 FranceAnatole_FRA01501France_1 GaboriauEmile_FRA01902Gaboriau_1 GalopinArnould_FRA05301Galopin_1 GautierJudith_FRA01601GautierJ_1 GautierJudith_FRA01602GautierJ_1 GautierJudith_FRA01603GautierJ_1 GautierTheophile_FRA01701GautierT_1 GayMarieFrancoiseSophie_FRA01801Gay_1 GilbertJehan_FRA02001Gilbert_1 GirardinDelphinede_FRA02101Girardin_1 GouraudJulie_FRA02201Gouraud_1 GouraudJulie_FRA02202Gouraud_1 GouraudJulie_FRA02203Gouraud_1 GrevilleHenry_FRA02301Greville_1 GrevilleHenry_FRA02302Greville_1 GrevilleHenry_FRA02303Greville_1 Gyp_FRA06501Gyp_1 KockPaulde_FRA05401Kock_1 LeblancMaurice_FRA07401Leblanc_1 LerminaJules_FRA05501Lermina_1 LeRougeGustave_FRA02401LeRouge_1 LerouxGaston_FRA07601Leroux_1 LesueurDaniel_FRA05602Lesueur_1 LotiPierre_FRA02501Loti_1 MalotHector_FRA02601Malot_1 MalotHector_FRA02602Malot_1 MalotHector_FRA02603Malot_1 MaquetAuguste_FRA05702Maquet_1 MaupassantGuyde_FRA02701Maupassant_1 MaupassantGuyde_FRA02702Maupassant_1 MendesCatulle_FRA07001Mendes_1 MillePierre_FRA05801Mille_1 MirbeauOctave_FRA02802Mirbeau_1 MontagneEdouard_FRA07201Montagne_1 MosellyEmile_FRA05901Moselly_1 NoaillesAnnade_FRA02901Noailles_1 OhnetGeorges_FRA03001Ohnet_1 OhnetGeorges_FRA03002Ohnet_1 OhnetGeorges_FRA03003Ohnet_1 PeladanJosephin_FRA06601Peladan_1 PonsonduTerrailPierreAlexis_FRA03101Ponson_1 ProustMarcel_FRA03601Proust_1 RattazziMarie_FRA03302Rattazzi_1 RebellHugues_FRA06001Rebell_1 ReybaudFanny_FRA03401Reybaud_1 RollandRomain_FRA04202Rolland_1 SandeauJules_FRA06101Sandeau_1 SandGeorge_FRA03701Sand_1 SandGeorge_FRA03702Sand_1 SandGeorge_FRA03704Sand_1 SternDaniel_FRA03802Stern_1 StolzMadamede_FRA03903Stolz_1 UchardMario_FRA06701Uchard_1 VaillantVictor_FRA06801Vaillant_1 ValgandCecilede_FRA07301Valgand_1 VerneJules_FRA04001Verne_1 VerneJules_FRA04002Verne_1 VielCastelHoracede_FRA06201Viel-Castel_1 VignonClaude_FRA06901Vignon_1
AchardAmedee_FRA04301Achard_1 0.0 65.28588713344077 69.38594739770122 58.43748122439375 58.77306141976825 70.89082901073543 64.94808970136555 59.74269526659219 62.445517105113304 62.09835166530215 64.10133249918086 66.26904256019824 61.726297067530666 62.189663900188634 68.82311988443027 64.86627298242233 65.03589501906212 71.81248247183915 66.86552320885119 63.18561226289704 72.16979497826942 72.0061158678036 52.518486336366465 70.41293122357976 66.48713678346044 53.428252447462334 67.83371454980627 70.22852864819991 49.858635659623445 67.36739829614035 58.380558979421636 67.81137215544915 53.58098168842273 49.238911403775845 49.814084500875026 64.18516922503508 61.560111120794346 58.86099538919855 60.40548278013357 66.25288118920696 57.136563431786065 61.00185678455597 59.003580355316615 68.5538840337537 52.61819584856338 58.82125966058519 67.35323298425324 62.71376985397596 63.1069773939375 62.78185109168698 65.75501517326528 70.59123650397493 61.281265720150465 61.90631317092033 67.35606848231865 67.94653080541109 65.46805558429519 67.01359350927946 63.966091260137695 55.07906127818535 64.86211718574022 55.73526619176583 58.84269024145678 69.48807265359135 74.22502918137334 63.255057310257314 67.13892898269125 68.69036109035795 54.379905969286796 68.91951966972266 67.89749252530254 71.39553354384215 70.9097810453309 64.49267010073781 66.78980432343562 63.00604142877449 66.71437094113405 59.83067583961329 64.24394960995723 67.73521477946122 67.7752470253051 49.63593639850765 73.55796640334607 65.29372742388908 63.90244208851677 60.3533711354837 71.35443929588537 63.14107487986837 72.34734666692253 73.20153215302108 71.46581183693213 65.35910870832848 75.1081554855297 74.56733372989652 65.71169155137788 56.92078649731781 67.25280900374685 65.5980068702872 54.89040966207448 65.05260773037239
AdamJuliette_FRA00101Adam_1 65.28588713344077 0.0 68.3222692775068 68.3231356720524 60.57977987159069 60.27023242269774 65.47929204061828 69.72260000158306 60.66756091576872 67.43621495984769 57.24501444669553 66.85604027810687 57.30673266825245 68.84367464141529 68.15098302639893 60.619427904015296 64.18090780361493 67.1625141677235 54.276771279401466 69.44422487309814 60.21078268064177 57.371494172570046 61.42842213136897 59.745221259428895 62.29101712043222 63.7566066120388 65.58514418724756 65.04352398467293 60.12950955103793 64.20665906310425 57.02320167932419 69.70983629655228 61.63778481930791 61.02560002455186 63.87282540776245 62.37213796259883 60.230256795993235 65.9303385123334 63.109761462361085 66.23549263235805 64.54307702176638 68.00100843141315 64.61262285391096 69.06052625518261 67.42303316613719 66.9252705133154 61.34856997163027 71.54104331734618 66.37117934416584 66.35501106119898 66.63751881126308 66.5954095008863 64.76402912624856 67.60959551593659 64.26276254344471 69.3884761856449 64.37203931615448 62.362748222730126 61.09039859445021 59.82223955404092 69.15676688463373 69.13197091708679 63.2124268831889 65.9587958881988 63.50287219548255 60.819755666112506 62.68065193515739 62.82412009308233 59.24511549866591 64.99388658472174 67.36374142014252 61.731923416448 56.35068590424889 53.43122707109181 68.69724920082128 66.10672094444942 70.75250659412666 65.90600249637497 65.95126802996182 61.37436818100585 66.7186715762305 65.85872975897178 68.1779940447703 64.06071344319648 62.88871180518713 67.32782082143069 64.82773031346504 63.88414053462571 58.27564476281114 63.911281908424414 64.91677754309423 70.5591003005176 60.64278115225479 64.6734350763335 66.93494390436396 61.30754891666458 64.85613367148039 66.69837447342114 65.86915900504903 61.277725831617246
AdamJuliette_FRA00102Adam_1 69.38594739770122 68.3222692775068 0.0 62.18924241966399 64.2970270794612 68.96214037547152 63.319448761010236 64.49522297506459 70.3430418962594 62.76316141663822 63.119206501866614 60.326824716157525 67.57668592263465 67.07457058609482 62.57940883018371 70.32592344401206 65.97773907468014 62.40358729769661 71.11526088096502 65.66631080754445 54.74633580173601 60.59233110060029 67.28893274841504 66.32996871662645 67.68380458740116 71.60121383330139 67.30900568423827 71.42563656932474 71.881917533288 56.93922840906168 71.565686703055 51.56137033608112 72.1633379250286 74.45413905522885 71.23015741585591 69.63238681397252 65.94888827163447 63.17824984348605 75.60767550780632 61.76061216655147 70.44893322145602 61.465997578453404 68.29995468992571 61.97897204256623 62.494797603962674 56.203734015691296 59.70306691756498 64.67944732823645 57.7945058116574 66.49157644067412 60.087559336473646 67.27651270698219 69.90773353901895 70.24810909929599 64.23425026795516 65.19507874848692 66.60549533581401 69.94531353338347 71.0409087396627 71.511777657124 64.29818204493014 67.99629223626592 68.64084721135423 60.98694660846194 63.878895137549236 60.77146845545354 64.43729946797176 61.18029723183387 70.59187527617985 63.60163851959919 62.329096726304634 62.89443383333558 66.60522191990316 70.0862147972934 58.123352636319616 60.22884439339881 55.148288965801534 62.88055576017258 55.33943773371149 63.5477899470442 50.856825276649104 66.88289025757615 55.52980501966764 67.85906493862389 56.620018517270495 65.71425590768118 56.47689842430643 57.05976170794703 60.102378252772034 50.6418370157898 55.67182356882625 52.48064571542895 64.56468920082044 59.3751954265594 62.963991298891 65.5295883633476 72.05377061262928 64.81812634295878 64.4759004176303 59.71342689672553
AimardGustave_FRA00301Aimard_1 58.43748122439375 68.3231356720524 62.18924241966399 0.0 42.835412787707966 63.520749598214756 66.92241294462222 61.785665155423146 61.425624994809034 53.68735728489804 61.90134558265045 63.23452580931147 66.37523686647923 65.89218456648523 63.975048003401646 70.72974611750953 68.44524924117559 69.33160809902972 74.41181123436616 59.956239087124914 70.131411522722 71.78601111046653 65.61686021672732 74.21738089813967 67.44302319095615 62.93770531585895 65.3270169884351 70.15274538437608 58.36836794307441 58.648135158309124 61.69589790755692 60.80955788569301 57.73696438484382 60.04985084713297 55.45135422543894 71.8476537158136 67.89131403118199 59.02630037814235 65.4482227123762 69.00451445442485 67.76492346721406 61.08180308771754 63.35502879105012 54.176844006866 49.16239032952194 55.50470825595427 62.40306673304606 59.525250722319164 60.518988137211984 58.74264449396347 71.25486425809031 69.69109930399475 63.03074083882036 63.4234609063456 64.87064965753557 65.03957139843082 57.03781444497533 73.94561415801303 75.19713729754626 64.54074275601396 56.86004557705546 57.8453379545239 67.70077875615863 64.27967223559666 70.21986391957394 65.77219778520497 69.31126332219343 65.79530036795121 61.00369282648872 72.2139718410061 66.39191683011407 66.39521871406622 74.78462408252345 69.63780995391251 50.715002697770196 58.18077962894251 69.63099433374921 60.79801056110332 63.315587060385894 68.87037028551671 63.89820293239645 54.7548645645399 66.52359192741804 58.80800603129808 63.64190740975692 57.15346066462979 72.45119473081228 58.9581302826376 70.39999556020594 68.23194757769336 68.57538952525307 59.116691844096664 67.64944716491156 69.01768978017756 64.8599742899749 68.10035031575542 60.2833106087209 64.44393761128981 55.92093614112917 67.67839673779892
AimardGustave_FRA00302Aimard_1 58.77306141976825 60.57977987159069 64.2970270794612 42.835412787707966 0.0 59.39451991405525 71.37209060917937 64.41711760242352 62.968305896962654 62.195381998487605 63.430476395203584 68.7663090882779 65.48261431952214 67.99132944641616 62.994084127413785 63.80981511395381 63.865729126348555 67.98616088456255 69.86163758167484 60.38078398969517 67.27463888132367 64.57296632726776 56.22202746677953 71.66195486787096 69.03128170847745 58.39050718038974 61.427137373103974 70.71368387072731 55.11665838646826 60.92595821889138 64.4504448652295 59.80384785417142 60.49208940054077 61.72339524510029 59.80833557624494 70.25793774818075 68.55278794749857 66.37738320788134 63.44013035525652 71.71667885813852 60.40510892941604 68.33675604612401 61.52034254313402 57.758790501133504 56.49017466397141 62.66572316604718 63.189594929330525 67.19135497473775 61.19622365125971 58.82264758037435 66.8832840964481 70.29711816722217 68.3301988727519 67.02574476742525 63.874396168950625 65.33319687452914 58.612308213648454 65.94502114857292 65.68798951776014 57.23783250185284 59.19058515717272 63.87229596436629 65.93597780887967 62.071450620210186 70.95210348820893 66.12927814172261 67.7358673323755 62.7617441289052 55.648271324380694 68.17584573580167 69.40942709286381 68.51971910763449 70.96288130046828 64.82049470485785 56.769257198783315 68.25423318586458 70.0545334674988 64.40969358520472 64.3932129470607 65.35688449341708 66.97772270403281 56.763667916108325 69.45506402127619 60.928787051312604 60.98928804364648 60.43245926570002 71.72021699552306 61.8965672783209 67.04540095719685 64.91122722934767 67.38389026736257 63.641598910580385 66.29050188039055 67.40139151439892 66.06508892339211 62.9085289795128 60.69886034607098 61.466418437070736 59.73207747088634 64.03969451360179
AllaisAlphonse_FRA00401Allais_1 70.89082901073543 60.27023242269774 68.96214037547152 63.520749598214756 59.39451991405525 0.0 78.69731321875987 57.952882380821094 55.35329739139488 56.030136470492025 63.42619313881243 52.79348600594206 66.6128529029703 58.16487963186798 63.905282627347304 70.7639628248021 70.24175695498263 58.301594213596054 71.78986027493221 55.375643915819055 62.90827524924516 65.00418420371659 69.80574265222502 60.46538997907254 61.315881173246815 65.06435376872206 66.63920235952604 66.17759281508842 66.70140651240311 52.74412382006309 66.20158042824248 62.234173994199324 63.48573955842118 63.2828777173932 61.78289462365442 60.520156381755676 65.37227706447877 64.21198419767708 63.835769274545505 66.51244642015266 63.50283171532129 61.03664136117878 64.16780136387196 61.35715336844434 69.32665897949445 65.39254100896765 59.5558805665119 58.97397517353307 64.52837375876851 56.21325208791141 71.9501255519273 64.99504628148077 63.300191235245755 62.00737962180106 68.20889189598867 66.97911822901733 63.78909338948362 68.11216421447136 68.78437209579788 60.66482499485191 51.99325000559096 57.39705773680214 68.8760921887951 56.61839926255923 59.26353513066669 74.93245523418815 73.08515175058498 71.23261599165765 61.998853018040116 66.29584206858578 66.73511071417167 56.30455010257719 68.44065014527155 54.59871888513137 55.567312158009365 63.32119992299272 71.05089750822434 69.97553674800254 70.4618727734745 64.5031492327675 62.83499223382174 65.52448055918701 66.15957496596862 59.74135206789322 71.38683527870046 69.24944481222285 68.9467928448894 64.38526981264961 73.00679009539097 74.14689016523567 69.2701672642613 62.9724486901995 61.91742103351663 59.01266587365615 64.13190203101796 64.4193692617176 51.47336232089512 59.682390454356835 61.05206550552581 64.35035726263739
AudouxMarguerite_FRA00201Audoux_1 64.94808970136555 65.47929204061828 63.319448761010236 66.92241294462222 71.37209060917937 78.69731321875987 0.0 74.44043075335773 75.3580875266131 72.1811160403587 60.85776653704365 68.24522708518819 60.49301260493242 66.45924819517965 61.119484695929685 56.75299981385046 55.527539147592904 67.59570801347192 52.474688232217275 74.19253562371229 67.73923713031103 64.43403808655725 67.52582243829035 57.19218245602781 62.596127294143464 69.04011219682683 66.55261908182527 58.29201214102852 69.76929079630648 67.075334235403 53.29654204485314 66.13325586786799 62.139000970299705 65.65407786897575 68.12496324802903 64.71487940086263 60.03138208220777 59.88637647778717 61.76749559794836 54.324119248940164 67.39315139006555 70.87123180122431 68.41660753459561 57.32397361297299 63.30885089516675 66.95416916636766 71.05138255478802 68.35996948733487 66.12201825112336 70.51586374999579 63.35035085178369 59.35008658454633 60.26315898921542 64.21716902731755 64.27967740656672 62.632153586520886 64.3104704643923 60.2782394666635 62.13501569749804 71.41296152403204 75.63889271277166 69.655992772855 60.171408316416986 74.53847847750392 59.29285158736305 47.3757976291844 50.27859380989907 60.87075171540976 74.11524770751535 60.372191146052224 58.98644533009432 63.595300594664 56.134105057758475 72.53119187445901 71.394986956042 59.62923162949217 58.58081911003266 63.43730696296246 64.0836479894483 66.08396911574349 69.09387294882563 67.3602363312227 58.87533811597717 68.65977979040963 60.64425979102466 53.08565678557716 58.55844861378772 67.24538484899018 52.06740580437603 57.44523891825964 60.444505519317694 66.43571824719564 63.980622328702324 70.30477273291842 67.72983230536403 67.25094125551641 71.94935744071196 68.4740697922836 69.98876177981093 73.12255264145776
BalzacHonorede_FRA00501Balzac_1 59.74269526659219 69.72260000158306 64.49522297506459 61.785665155423146 64.41711760242352 57.952882380821094 74.44043075335773 0.0 41.805283489389915 39.739870327808354 73.52684523060752 52.91318202115765 68.46806761476357 51.495714615566285 55.749096646991575 69.69289305759132 66.61877240288935 62.59793171667736 68.52567101567055 58.67720683807759 71.63046170394611 70.85013790726734 61.85192010375359 70.24695326109433 69.42712993301502 60.04474261400974 68.8229081547731 68.9253439277844 63.147522530037016 62.291833375893084 68.11881499481237 64.12180359712491 60.16073599404064 58.423863331536225 56.90516877869369 65.30101765817318 69.90716485252929 65.86515106266253 69.15873356429954 65.56331324524602 58.97901263260161 57.87721854067531 63.154923060213605 70.21408895447962 64.08611543735132 65.23915239279238 68.16069964101257 56.2137265063583 54.9154613195397 57.857005543176214 64.43141397355427 59.99501833772079 56.9816679323471 53.5694430207504 67.34141890855908 63.54961828492849 64.46732985427518 75.23605376784111 69.34435280351808 68.48734125829446 58.361249780940156 59.21058460515906 66.58980849924754 65.53837277773167 69.42017407362651 71.92999652091581 71.12156800583294 69.2097436159341 62.89823734802233 70.4295534162468 69.93124880575152 69.69031508807339 75.38348418926533 67.55834328116539 56.49841005850402 66.96341683789922 68.82957882929996 65.46306751187495 69.86632812364417 65.9221004771315 63.657274660243246 63.43630803542799 63.23706098380393 59.581601251055865 73.62950471631015 60.98749893865771 71.07468525012669 59.22810475416832 70.39107611470061 69.55339907273036 64.72199874022866 56.240891462822816 67.3716645855434 64.80925612635231 58.95411785067531 59.10991099655306 59.224855605471674 60.3907916382338 51.24097525443254 61.045286713948755
BalzacHonorede_FRA00502Balzac_1 62.445517105113304 60.66756091576872 70.3430418962594 61.425624994809034 62.968305896962654 55.35329739139488 75.3580875266131 41.805283489389915 0.0 44.90434281886948 67.92819757792714 56.411130971404134 64.45541636983506 55.58581313813672 61.29579783822797 65.96898229164537 67.03397235773987 64.59965182368161 62.796927553844945 60.300275294005885 71.11242339639278 66.04144010140223 65.58903890807689 66.56364872327694 64.44048386206833 57.76500854453999 68.4422691868957 67.87482712037634 59.86201325805236 64.21189508629621 61.4615378951394 66.19993433409572 55.070725011199734 58.152857802281716 57.51754923443826 61.04920093314972 65.3952659557853 65.18525726354108 65.6689333720364 67.66615360913075 61.55312841593445 57.834695040924366 63.16851166827082 69.40272830754401 65.09691327654275 65.82353180339884 65.3713885706144 59.37007450689947 60.30377176157951 58.413175282733526 68.24460361485258 64.50225323106271 60.79436541882111 59.960821616823 67.46305788446942 67.16647185613112 64.27153276483553 72.76906359564218 67.306387769397 64.47832742209596 59.18516895258535 60.78648883666118 64.85250878245564 65.41600937043167 68.57687826967029 70.19701274686905 70.78330614500541 68.22012016622772 59.97828558259473 67.30259247718692 68.59108873070055 68.7526133672909 70.64887572796968 62.45376217036573 60.056305444295425 64.53570296792323 73.84212296704172 63.754903847722574 68.52509114671206 60.13283503583667 65.98935455519805 61.567462520546236 69.17448860216975 57.579348197489225 72.91947415003425 63.06675931307529 72.12211109723863 64.7978107396065 70.38926487550883 72.71313254495462 68.93658175095248 62.75071102766743 66.40615017045418 64.45496625590629 60.98743655984574 58.62947877509269 57.71624890607971 61.068565314761926 57.08293481236493 63.53638438201527
BalzacHonorede_FRA00503Balzac_1 62.09835166530215 67.43621495984769 62.76316141663822 53.68735728489804 62.195381998487605 56.030136470492025 72.1811160403587 39.739870327808354 44.90434281886948 0.0 66.40308744042447 48.20628755306144 63.468665512125675 55.60415581044175 60.49959127441853 77.79241892699832 73.28551684527687 63.51040301189053 73.60377664296263 59.0161699486079 70.85983341769195 74.10355065134388 71.07845090523467 73.17452424767265 65.23274125105176 66.78664890866851 72.22261889787868 69.19898784317496 67.12589349938433 56.24460262133608 64.42401441674726 62.06695192387457 60.95371788346906 58.03903557995467 55.100344562120505 65.03570251184951 65.15295236790759 56.96141771956623 72.1583051903502 65.66864122134642 69.35232153593302 52.573608307909105 66.73161622616477 63.702588488777934 59.388596188162175 58.21907820782363 63.42735550625085 51.82870421234985 58.740234893548354 58.5245425078559 72.70867986436356 64.9300417087221 56.794220519237165 56.16299486211394 68.96686836690176 65.73637991183185 64.6630784620571 81.25441893515737 78.88854973049473 72.49687712391307 55.72398003396246 53.80700130348763 68.91781288741338 63.16127454235719 65.41142528498122 71.62701651940442 73.23750566156906 71.70101927963485 65.53513209595876 72.4075198755192 63.71762603767897 62.923963926238855 76.06170955315714 70.40716711505893 51.08790164474516 54.609549277736406 67.80658442039123 63.71646175794934 67.29290881749908 68.28103169977086 60.06725795737728 62.263507705059766 62.484375252580136 56.87821722527679 73.96573291534175 58.669940012798925 70.33495779565442 59.548843957702246 74.41270289670014 73.75827054606279 67.75764529399022 54.350919411688444 69.73713877004235 66.5158828907984 61.76723607280899 65.82467188410533 55.15601454086892 60.66820564022522 49.19347252731889 62.97459428027613
