 AchardAmedee_FRA04301Achard_1 AdamJuliette_FRA00101Adam_1 AdamJuliette_FRA00102Adam_1 AimardGustave_FRA00301Aimard_1 AimardGustave_FRA00302Aimard_1 AllaisAlphonse_FRA00401Allais_1 AudouxMarguerite_FRA00201Audoux_1 BalzacHonorede_FRA00501Balzac_1 BalzacHonorede_FRA00502Balzac_1 BalzacHonorede_FRA00503Balzac_1 BarbusseHenri_FRA04401Barbusse_1 BarresMaurice_FRA04501Barres_1 BazinRene_FRA04601Bazin_1 BlandyStella_FRA03201Blandy_1 BlondelAdele_FRA07101Blondel_1 BoisgobeyFortunedu_FRA00601Boisgobey_1 BoisgobeyFortunedu_FRA00602Boisgobey_1 BourgetPaul_FRA04701Bourget_1 CarraudZulma_FRA00701Carraud_1 ChandeneuxClairede_FRA06401Chandeneux_1 CordayMichel_FRA04801Corday_1 DarienGeorges_FRA07501Darien_1 DashComtesse_FRA00801Dash_1 DaudetAlphonse_FRA00901Daudet_1 DelarueMardrusLucie_FRA01002DelarueMardrus_1 deMontepinXavier_FRA06301Montepin_1 DombreRoger_FRA01101Dombre_1 DombreRoger_FRA01102Dombre_1 DumasAlexandre_FRA04901Dumas_1 EekhoudGeorges_FRA05101Eekhoud_1 ErckmannEmile_FRA04102Erckmann_1 FeuilletOctave_FRA05201Feuillet_1 FevalPaulHenriCorentin_FRA01201Feval_1 FevalPaulHenriCorentin_FRA01202Feval_1 FevalPaulHenriCorentin_FRA01203Feval_1 FlaubertGustave_FRA01301Flaubert_1 FlaubertGustave_FRA01302Flaubert_1 FlaubertGustave_FRA01303Flaubert_1 FleuriotZenaide_FRA01401Fleuriot_1 FleuriotZenaide_FRA01402Fleuriot_1 FleuriotZenaide_FRA01403Fleuriot_1 FranceAnatole_FRA01501France_1 GaboriauEmile_FRA01902Gaboriau_1 GalopinArnould_FRA05301Galopin_1 GautierJudith_FRA01601GautierJ_1 GautierJudith_FRA01602GautierJ_1 GautierJudith_FRA01603GautierJ_1 GautierTheophile_FRA01701GautierT_1 GayMarieFrancoiseSophie_FRA01801Gay_1 GilbertJehan_FRA02001Gilbert_1 GirardinDelphinede_FRA02101Girardin_1 GouraudJulie_FRA02201Gouraud_1 GouraudJulie_FRA02202Gouraud_1 GouraudJulie_FRA02203Gouraud_1 GrevilleHenry_FRA02301Greville_1 GrevilleHenry_FRA02302Greville_1 GrevilleHenry_FRA02303Greville_1 Gyp_FRA06501Gyp_1 KockPaulde_FRA05401Kock_1 LeblancMaurice_FRA07401Leblanc_1 LerminaJules_FRA05501Lermina_1 LeRougeGustave_FRA02401LeRouge_1 LerouxGaston_FRA07601Leroux_1 LesueurDaniel_FRA05602Lesueur_1 LotiPierre_FRA02501Loti_1 MalotHector_FRA02601Malot_1 MalotHector_FRA02602Malot_1 MalotHector_FRA02603Malot_1 MaquetAuguste_FRA05702Maquet_1 MaupassantGuyde_FRA02701Maupassant_1 MaupassantGuyde_FRA02702Maupassant_1 MendesCatulle_FRA07001Mendes_1 MillePierre_FRA05801Mille_1 MirbeauOctave_FRA02802Mirbeau_1 MontagneEdouard_FRA07201Montagne_1 MosellyEmile_FRA05901Moselly_1 NoaillesAnnade_FRA02901Noailles_1 OhnetGeorges_FRA03001Ohnet_1 OhnetGeorges_FRA03002Ohnet_1 OhnetGeorges_FRA03003Ohnet_1 PeladanJosephin_FRA06601Peladan_1 PonsonduTerrailPierreAlexis_FRA03101Ponson_1 ProustMarcel_FRA03601Proust_1 RattazziMarie_FRA03302Rattazzi_1 RebellHugues_FRA06001Rebell_1 ReybaudFanny_FRA03401Reybaud_1 RollandRomain_FRA04202Rolland_1 SandeauJules_FRA06101Sandeau_1 SandGeorge_FRA03701Sand_1 SandGeorge_FRA03702Sand_1 SandGeorge_FRA03704Sand_1 SternDaniel_FRA03802Stern_1 StolzMadamede_FRA03903Stolz_1 UchardMario_FRA06701Uchard_1 VaillantVictor_FRA06801Vaillant_1 ValgandCecilede_FRA07301Valgand_1 VerneJules_FRA04001Verne_1 VerneJules_FRA04002Verne_1 VielCastelHoracede_FRA06201Viel-Castel_1 VignonClaude_FRA06901Vignon_1
AchardAmedee_FRA04301Achard_1 4.237855166790001 27.41670483656703 28.359348277189884 24.677700146850103 24.366290720987664 29.376332742257222 26.998377047730216 26.754925238123818 26.910323184806252 27.185814549819113 26.025623057141487 27.934812954923657 26.68711975189592 26.720616835611803 29.53723225142007 27.84973617341732 27.360276267945775 29.780222699037722 29.327265842663284 26.181394331695284 29.711774049002756 29.448892783004283 24.871387213894614 27.99118347840003 28.45584751780111 24.66918497660841 28.853325524684603 29.204339854763425 23.042096241079552 28.257658867671125 24.631369100978553 27.345243934345962 23.901116513715042 22.949098558211254 22.448154530348813 26.854864603422563 25.56261646197493 24.67197017287061 25.779210851803 27.585893232379448 26.26928423850653 25.512991688941604 24.579610833107758 27.46975423458332 23.663101026654978 25.135474683140387 26.774656806981298 26.27022543117143 27.44421458181001 27.392036932636064 28.083024901057417 30.767202933137217 27.135507515449852 28.266605115992906 28.358314579155117 28.971769937373807 27.992895519412972 28.970065154437748 27.771656532461062 24.697743399547946 26.850253535932495 24.697585801428037 24.947659830908425 28.502117442496385 28.755249214536086 26.572919127489214 28.011935504362743 28.773145966787855 24.370395925844615 27.760371877326875 27.379776230797578 28.353394362824133 28.526879356065688 27.046782198124685 27.568285258366046 26.09155413086263 28.78496981497298 25.614884211596756 26.139710901972194 28.572106860301048 28.732577980397583 23.121725725602012 30.838288717280918 28.43409680714447 26.89977552018789 25.8253687304306 28.750077299021996 26.205703815946798 29.755353385756795 29.764657753736106 29.293908939865688 27.189416274214718 30.528116412687027 29.39615900761824 27.728696154600428 25.77344230456248 27.800429852260965 27.2741407665476 24.893922674468325 27.474779675411895
AdamJuliette_FRA00101Adam_1 27.41670483656703 4.237855166790001 28.568347004656747 29.513595808192548 27.23509040203201 24.575291325798997 27.187527849554396 28.11999699456987 25.368916727360173 27.008087261933607 22.9830735164223 26.45265284971841 25.029124768496143 26.86713088237533 27.940095668590892 25.86866007438404 27.511317941193568 28.11425754071108 21.945391238496217 29.863976066965897 26.34496426670082 24.199810009826724 27.030327647499675 25.31458492632865 26.88485143650882 26.992895396702007 27.559391338246044 26.67672110307978 27.014538294750288 26.191655670072446 24.14049488721581 28.67076525150927 27.23296828126593 25.61507018756606 27.157112884719005 27.2636490608274 27.55207454139977 28.762548668673073 27.034984308907667 25.5999285299094 27.407670176777355 28.207176085705193 27.7946924407818 28.988870514708015 29.101218882086854 29.974308171885617 27.18084501378795 28.96984268298798 26.969230343243954 27.55697617511768 27.81938071501717 27.616212378831456 25.97693373434671 27.328228792290574 28.88784148738126 29.112376720876107 27.48718252187615 26.092527072820612 25.193921429544712 26.563120943986945 28.98947115565931 29.124572321719274 26.980150672989208 28.636875207225245 26.234278374379283 25.952832793022644 26.40741531105926 27.001258904324768 26.233872006054124 27.11127184975637 28.4149229465049 26.963506787156508 23.07075991321436 23.86787356103264 28.932383591570087 27.15561236656714 29.351609847105934 28.039831697381135 29.23955460103057 26.380927206458438 27.258374207669767 29.017681471196095 27.686343093787112 27.431790953404782 27.941243539987855 27.983597812077004 28.11793404537902 27.574790319987223 24.408390583007076 26.4841264457505 26.976702522061466 29.685860703446625 25.65819630229874 27.485741635387832 28.062219258790908 26.98704927674421 28.119039155426556 27.981130221068085 27.35028629529909 27.711548733922907
AdamJuliette_FRA00102Adam_1 28.359348277189884 28.568347004656747 4.237855166790001 26.488399717813984 26.786845935546168 27.676305146120892 28.082792872678528 26.36845562109516 29.062628548668954 26.767741157231494 27.6111886743335 26.52947724473135 28.510916059443595 28.666945584844214 27.060060088951015 29.147960452647844 28.19503402670193 27.736233028484374 28.79036503220914 27.203653031112676 23.75999112022107 24.904850332720585 26.432522542345282 28.00889159920652 28.227672977605355 28.695959394766703 26.8950426672805 29.802282927333785 29.081288888901724 24.31660385568869 29.759607102171454 21.91610995625251 29.336349106057554 30.35034383973587 28.541701551062957 30.11430295123597 28.714151711410317 27.362633108148206 30.05869335958114 25.179561283343226 27.37943514454631 26.972684559597127 29.113700895901573 26.890006328914446 25.334997356017055 24.149464224542555 24.51063161247947 28.324373216076534 24.959418039236045 28.366482009588367 25.34740556551021 27.901899940828784 29.39045440070949 28.56930059413505 27.23937654355747 27.6502811477219 28.156028831125578 29.15906921908489 27.85419525114702 29.534428803255565 27.58266606342151 28.756443714830326 29.414059737130895 25.924830503855873 28.374202793156773 26.43135034261103 27.434074323771075 28.206953366142205 27.80400373626963 27.930886235845485 27.72176830361049 28.112793037064915 30.31934322616313 29.76718557971292 25.723167173193062 27.55403827463477 24.74442558783168 27.428102039849563 24.554700222899687 27.667419035910147 20.00239577624646 27.008843523188187 25.608715047199368 29.292049600665113 23.561919215227068 28.101185752843513 26.44247888762463 25.425013247061248 25.293111079328742 21.07314792038604 24.778774527147167 23.793174520060077 27.40041515255111 27.198765958306126 26.708679881999213 25.982287221445105 28.78410576688724 27.391125002394375 25.455975554688234 25.107319443054347
AimardGustave_FRA00301Aimard_1 24.677700146850103 29.513595808192548 26.488399717813984 4.237855166790001 18.554878497298898 26.36807511696302 28.858802376691763 26.40869585867777 27.4725037279854 24.1127284732604 26.784927883141467 26.723438755501164 28.459089465542863 28.189454172025158 28.21482558258368 30.072268460221594 29.52220039950066 28.008612003809926 31.732223063970117 25.50463420643007 29.786267333312775 30.337529880309024 26.718841776682776 30.60299212262401 29.92912394439751 25.812113315550363 28.368702508009065 29.629331451716247 24.63889697597453 25.374070422551185 26.372957062306355 26.025445360824158 26.32500867581846 26.085284275380808 23.38807801950982 28.39788774916562 27.4851812144645 23.695131769835537 27.504374067837745 28.672107910989237 27.654337697684497 25.944944750696344 26.12814767690644 22.994070217127952 21.851350177725948 23.054909301991252 25.32612765451308 25.55116026379668 26.19869452807355 25.43424457337323 30.19735093124331 29.270975628250554 27.47173750939383 27.658216652921343 27.54601912051683 27.386225066034193 25.9989253897206 30.738402909797635 30.241354398697535 27.10649698294952 24.90961816619397 25.721577135234135 27.862288009311975 26.481006765820187 28.417037271298454 28.367222669239794 28.287327125923937 28.6291157334771 25.717322452692883 29.067094776671894 27.67795243974825 28.60428673840804 31.296281380397286 29.38725012227951 21.722724763279427 26.25109571297941 28.84915875821252 25.391216619873642 25.53764679337791 28.93708140604676 26.92739218167267 23.50598920767703 29.14078980277931 27.233198133260103 26.850864153541647 26.232929080285917 29.04850615275102 24.78026668915554 30.402500012749886 28.422974458353263 27.894116799106154 24.949385847878286 29.037470907559342 28.20789827056445 26.816868369394648 28.17665684951613 24.09914654182346 26.346208061068563 22.81307597539134 28.745737743290388
AimardGustave_FRA00302Aimard_1 24.366290720987664 27.23509040203201 26.786845935546168 18.554878497298898 4.237855166790001 25.24900116389348 30.098236845268772 26.802705367319973 26.74572231303523 25.99392405512938 27.759056716597357 28.225853124405276 27.755153480253572 28.2586477033202 27.548893706969803 27.440596110320804 27.54049748516463 27.899181610836855 30.243668103183957 25.840490508889953 29.063756512479614 27.562139664761602 23.833585696507104 30.33526049890194 30.93232208205492 24.099518795656277 27.249635406289922 30.269513630329392 23.543041830203798 25.658879313741977 27.025636267439513 24.837619799256554 26.373285910498968 25.665860123985052 24.337975618279337 28.605325545874308 28.815991978905345 26.681318901952128 27.445125594522782 29.142252462955085 26.049347652856948 28.274756707955337 25.87809652228254 24.030912636204867 24.182835035633765 25.612809509074946 26.12040793611937 27.341874943718146 26.199990692625235 24.40420236951094 29.118391092677307 29.64614240481122 28.591160549144547 27.72612444132686 27.74491672828175 28.444372795090665 26.461193969096698 28.784410428153848 27.358658254002293 25.10236264081083 24.530635790584714 27.457658909620086 27.465340042997354 26.048644393055206 29.625635201412024 28.158715366296097 27.507866547394805 27.940544408408982 24.012631686505486 28.232662593015153 28.745175164358912 29.63105229330447 30.152751725898653 28.15336483486138 23.021128381330506 29.354083286601202 29.970177555450206 26.43408639101647 26.668727879779222 27.606660979635155 27.363196159783033 23.827349541621277 30.08326247498635 27.374491511040016 26.644909953878084 26.649719850395783 29.759195278623785 25.47192254677197 28.704833851358554 27.42182426326568 27.82832718741352 26.52366846232183 29.15003692410471 28.358775027642608 27.03203433313407 26.854828796148617 24.763078366870374 25.887493453512295 23.015102460362908 27.530711035463035
AllaisAlphonse_FRA00401Allais_1 29.376332742257222 24.575291325798997 27.676305146120892 26.36807511696302 25.24900116389348 4.237855166790001 31.561354451881733 24.506544357759225 23.383622481938662 23.760082808295884 25.725198323516896 23.441921971378697 28.630130968966807 25.01027124324711 27.728028136464655 27.837375008829902 27.917892738717253 26.752930543036246 29.65279203824249 25.227126963419376 26.672800463441906 25.9546571155641 28.28071890584277 27.0644428051529 28.986785854113958 26.92509821986529 28.381713238318614 28.66460978485904 28.321295190442083 21.425280801063323 28.303294888741178 25.83053132072541 26.821377697193935 27.02470347922386 26.891859046108948 26.45938846265108 28.12966314426997 27.356475387694065 28.06062051517003 26.598163728715974 26.953303773889846 25.918548856119866 26.713080232150208 24.369249520892033 28.715422390272916 27.806098226622442 26.30328882188685 25.92388701255625 26.539146148291255 23.721378492301188 30.051772574856898 27.560428515406052 26.382059908947564 26.33864871939026 29.803034807347036 29.391672858072095 28.091346222359334 28.075111851039093 28.24541367791583 25.065754413984116 22.155142529407083 25.98495793240049 29.212907047189006 25.34592916694793 26.989320781634774 29.256378293431993 28.729141613969023 28.717090515188914 26.44636092242583 28.144600183858316 29.27315235518974 26.883164811503622 27.593399819118634 24.50602025218488 24.591431652449625 27.148497464174515 29.619429540880734 29.670939251738 29.591587379663856 26.431332346562296 25.90911251836762 27.870388297126716 27.085214047368396 25.760188946509633 28.99391892547317 29.092147517900315 29.26902871214249 27.115966486518957 28.030330391757147 28.68306161032904 27.750711508558087 27.271490502012956 26.950458476576866 26.413431165602606 26.708180806784725 27.099686319280092 22.631813512666213 25.23293063680373 25.93955067712045 27.856738116013265
AudouxMarguerite_FRA00201Audoux_1 26.998377047730216 27.187527849554396 28.082792872678528 28.858802376691763 30.098236845268772 31.561354451881733 4.237855166790001 31.43702057971145 31.79264431402843 29.73287822702425 25.435633503701954 28.879570152218214 24.784809139015426 28.548634929469824 27.03725919954395 26.962871466891166 25.99305327192984 27.679780232605363 24.921718414608417 30.02092209202435 28.348772431278547 29.360325554416747 29.235404875829087 22.803286185631165 23.62287658715311 29.41734833294102 28.82316378844197 25.101547893437683 28.59209305038145 27.903715876184954 22.45571485882461 28.38233750255733 26.668004319366 26.67914723905093 27.129127543255382 25.64519987417659 24.729406107131965 24.274720190127262 25.762817177085314 24.76713322279585 28.833941458421272 28.844017528529783 28.788821172516148 24.465383430435846 26.21413283279223 27.133281314370787 28.190242957898256 27.159113128168453 30.20652993176305 29.990861249129967 28.05287195089913 27.128935681566308 26.37095553118002 27.641335411623952 27.88121247847012 27.322373936450838 27.32380225429183 26.54116646266619 28.108748396769172 28.64224532655226 30.68172571721343 27.28652872185025 24.775511162901477 30.710186739841618 23.6049588990207 20.744594728573443 21.757001324204673 27.080612928093487 29.771635206812768 24.814049803211407 22.589674008005243 25.209181246221153 25.407789823144416 29.4539752684733 30.146323403263143 22.916046657764134 24.780913447557154 26.76892947745039 26.785333171186306 29.336060947166985 29.535273689933987 27.558208388342077 25.283211371526352 29.256195598406777 25.805952041829315 23.10864440524958 25.965368687811882 29.38468425396519 24.308821114452314 26.790423893990816 28.097933858728105 27.70242707544053 28.35584506131758 29.480830838983735 30.48998734633367 28.142389587185964 29.390714858023507 28.32330643385172 28.915662564390058 30.477925844044687
BalzacHonorede_FRA00501Balzac_1 26.754925238123818 28.11999699456987 26.36845562109516 26.40869585867777 26.802705367319973 24.506544357759225 31.43702057971145 4.237855166790001 19.39667421560195 18.505810663595565 29.111976407747086 23.864980200064274 28.343245563861664 24.350131351488148 24.27804624429341 28.923362290757876 28.045180737334988 27.111343501091294 28.12425811371879 24.868245572557203 28.346434925836935 27.70997885098714 26.756400814332206 28.885253874928498 29.211414644075063 25.88528112260613 28.263570842234824 29.25394731170351 27.406250107988203 25.979257229584103 29.466608436548746 26.579484942767838 26.974375167900497 26.61471824728209 25.76070193059957 27.2595632165904 29.114507082452235 27.580739093903514 28.859436831732328 27.93726174735897 25.889843431962912 25.284467894593696 26.58327018349724 28.38713446723154 27.720144647066363 27.201957568296017 26.895480865538616 26.054169008847627 24.333135453075307 25.110339873075553 27.21402077075904 25.764326519739544 25.790289053628154 24.27804717663129 27.598012696498238 27.215612161443484 27.307050529076076 30.613078012458132 28.827995029850904 28.735851470571994 25.961272283804536 26.06971889795529 29.623685412608 27.18737982658456 28.609959260197748 29.595083971689323 29.62292400454815 28.933516899286897 27.14279184843053 28.912863541590752 28.537620786904235 28.3517565242167 30.48438969010198 27.240862754445043 24.825501514958482 28.410622048881017 28.04075982256597 27.19766144542171 28.256595135872907 26.70234902458026 25.288907886111225 27.156482951818003 26.88111073122104 25.68210469612685 28.95498801899992 26.66305338320494 28.75326823878539 26.0503491862933 28.347055469012865 27.82912535135826 26.99722578501952 24.50378122303599 27.585666357306643 26.88532755408649 25.544463438768993 24.219967489630893 25.984861672984906 25.558359558457603 23.950565721641603 25.415225772462016
BalzacHonorede_FRA00502Balzac_1 26.910323184806252 25.368916727360173 29.062628548668954 27.4725037279854 26.74572231303523 23.383622481938662 31.79264431402843 19.39667421560195 4.237855166790001 20.288170734718406 27.823072968588082 24.84149271395727 27.827770369479783 24.879334507876912 25.7430741895366 26.599388400748214 26.56944706016884 27.986739568363944 25.656414643966386 25.92156442785811 28.867189334083807 25.7701007386445 27.562899966197566 28.227962569939642 28.964639347231596 24.81124767335684 28.13794458758142 28.59531996515187 25.7662897173743 26.192632928671248 27.657907290225516 27.56358235384509 25.08296630639123 26.657695781466785 26.23976997550492 26.717610222693487 28.33861897290042 28.2905774557839 27.681737538534065 27.92778332964139 26.129833241755474 24.56584244903258 26.819504885664745 28.328972982655486 28.899992908491594 28.705150140049103 28.144186742314414 26.18299092035144 24.93316500797464 24.486580227646122 28.118683032132125 27.172759163928713 25.880190727081324 25.878536177634377 28.044763727576562 28.427518898603893 27.71351932692329 29.894246450066458 27.066953898977964 27.373851018553243 26.04006954459205 26.388221021549683 28.324608438818423 27.419879267224427 28.42634211628201 29.258119479121312 28.950571559867996 27.328540450367214 25.575966873762315 27.444974803061328 29.479822584251085 28.67880185813928 28.558228610520782 26.72477853355119 26.10493508071587 28.379952399525166 30.21388711435096 27.001777859212027 28.54040001125661 24.109251530393827 27.025205233507343 27.10078836816502 28.755302072760358 24.415331898299552 29.449112183773085 27.370748824875623 28.856760526743443 26.90372575513451 27.90799388820937 28.365508482743987 27.748110534737627 26.867596548991845 27.375593567019898 26.829286151515394 25.53203666320064 24.809752332397114 25.728157568764818 26.118240006689803 25.785345741878633 26.8811927651609
BalzacHonorede_FRA00503Balzac_1 27.185814549819113 27.008087261933607 26.767741157231494 24.1127284732604 25.99392405512938 23.760082808295884 29.73287822702425 18.505810663595565 20.288170734718406 4.237855166790001 27.10492951156495 22.371961488813813 26.300745136340197 25.410408670804024 26.12551870041041 31.847468840266984 30.29332929519931 26.96289531552635 29.8421406107178 25.297189294315327 28.714832035903488 29.956683375099153 28.61299171455923 31.099106080250458 27.923657612202273 27.7092793468647 29.290890535446128 28.3351450511737 28.19104047211859 23.754771673142844 28.079565946088692 26.28978225495064 27.182139633041317 26.069807148185586 24.41676225703042 27.098170010507374 26.563729683949926 24.404742235107808 29.792166094028442 27.796358317818243 28.895602426663213 23.549253109332323 27.875692124020027 25.922714476082316 25.653915273422687 25.003663968550637 25.987605942158 24.15590784122718 25.07847390383851 25.62979491991566 30.166532257278742 27.148346290499514 25.663331272374204 24.788556865367187 28.886329957560196 27.9523074610968 28.038598202573922 33.487892165321966 32.205957907829514 30.245544241702913 25.299721616172537 24.75407361923197 29.623590643101178 26.50589963650035 27.189401926323963 29.4834758582921 29.765640016559644 29.875443634451052 27.51333408479762 29.515500365425314 26.6115574227303 26.216572195776255 31.287467515845233 28.969544338246887 23.041110232897246 24.433912805248987 27.736605858314775 27.157160074032664 27.507088257405204 27.691364045256517 25.06568693710305 27.118636295306427 26.72889256396776 25.237317599846563 29.23113152783317 25.14751559591945 28.824617867579587 25.68618884695069 30.128360424431676 29.895403918735962 27.925624246696653 24.21865531368993 29.20291978482709 27.94087877250096 26.50060409239699 26.613542157126 24.04928959624248 25.699002806861262 22.13651944102968 26.031810005005152
