 AbonyiArpad_HU12028_1 AbonyiLajos_HU13802_1 AbrahamErno_HU16529_1 AbraiKaroly_HU18411_1 AbranyiKornel_HU14548_1 AgaiAdolf_HU11795_1 AmbrusZoltan_HU05286_1 AndorMaria_HU11129_1 AsbothJanos_HU19000_1 BabitsMihaly_HU00600_1 BarsonyIstvan_HU12750_1 BartokLajos_HU16124_1 BeksicsGusztavne_HU16243_1 BenedekElek_HU08358_1 BeniczkyneBajzaLenke_HU14745_1 BeniczkyneBajzaLenke_HU14769_1 BeothyLaszlo_HU13445_1 BeothyZsolt_HU07718_1 BorossMihaly_HU16361_1 BrodySandor_HU00628_1 CholnokyLaszlo_HU05964_1 CholnokyViktor_HU07119_1 CsikyGergely_HU14125_1 CzobelMinka_HU17653_1 DegreAlajos_HU07693_1 DonaszyFerenc_HU11968_1 EotvosJozsef_HU00642_1 EotvosJozsef_HU03130_1 EotvosJozsef_HU04774_1 EotvosKaroly_HU16344_1 FayAndras_HU08163_1 GardonyiGeza_HU00662_1 GardonyiGeza_HU06982_1 GardonyiGeza_HU13387_1 GozsduElek_HU18535_1 GyulaiPal_HU00666_1 HermanOttone_HU14564_1 JokaiMor_HU02204_1 JokaiMor_HU05572_1 JokaiMor_HU05573_1 JosikaJulia_HU17873_1 JosikaJulia_HU17910_1 JosikaJulia_HU18964_1 JosikaMiklos_HU10230_1 KabosEde_HU17048_1 KadaElek_HU16355_1 KaffkaMargit_HU02028_1 KanyaEmilia_HU17999_1 KanyaEmilia_HU18993_1 KarinthyFrigyes_HU00719_1 KazinczyFerenc_HU00726_1 KelmenfyLaszlo_HU19006_1 KemenyZsigmond_HU00730_1 KemenyZsigmond_HU00731_1 KemenyZsigmond_HU05620_1 KovacsJozsef_HU16672_1 KoverIlma_HU13462_1 KrudyGyula_HU00763_1 KupaArpad_HU14315_1 KuthyLajos_HU07552_1 LovikKaroly_HU16600_1 LuxTerka_HU17694_1 MalonyayDezso_HU16123_1 MikesKelemen_HU00879_1 MikszathKalman_HU00898_1 MikszathKalman_HU00949_1 MikszathKalman_HU00954_1 MoraFerenc_HU00977_1 MoriczZsigmond_HU05060_1 NagyIgnac_HU07551_1 NagyIgnac_HU18153_1 NagyIgnac_HU19040_1 PalotasFausztin_HU16127_1 PekarGyula_HU14261_1 PetofiSandor_HU01009_1 PodmaniczkyFrigyes_HU07629_1 PremJozsef_HU16359_1 RakosiViktor_HU06784_1 RitookEmma_HU16824_1 SzathmaryKarolyP_HU14197_1 SzemereGyorgy_HU13316_1 SzomahazyIstvan_HU10428_1 TaboriRobert_HU16328_1 TelekiSandorne_HU17606_1 ToldyIstvan_HU07694_1 TolnaiLajos_HU14664_1 TormayCecile_HU17435_1 TorokGyula_HU09105_1 VachottSandorne_HU00011_1 VachottSandorne_HU00012_1 VachottSandorne_HU19018_1 VadnaiKaroly_HU07703_1 VasGereben_HU01115_1 VasGereben_HU01116_1 VasGereben_HU02143_1 VertesiArnold_HU14689_1 ViraghalmiFerenc_HU17960_1 WernerGyula_HU13606_1 WohlStefania_HU07729_1 ZiganyArpad_HU12359_1
AbonyiArpad_HU12028_1 0.0 2.657431318947781 2.614693681297046 3.16859437864456 2.9425119019361747 2.9648308786654187 2.875108495934702 3.107341234347268 2.949642208691229 2.8533837406460307 3.0071722926461506 2.702767362354917 2.744354651108046 2.698823502674536 3.20012157975681 3.1272636520680415 2.6875643211415428 3.013602944119098 3.1187286071880624 2.830893797629109 3.05393772965641 3.061940059915466 3.1439079121297473 2.904556053151539 3.14635796618131 3.17440969965459 3.50952294619901 3.4967932577519605 3.55184387742033 3.00922333438749 3.17842840396417 2.8964418918069783 2.8411692850735895 2.9103483172450018 2.668949339556009 3.23696905910359 2.652827952510229 3.15481989875095 3.2752496386551195 3.104858481568843 3.30389075279479 3.23769108611692 3.2555828403312597 3.3538465798255497 3.028311204224943 2.831075067896206 2.622995309211649 3.0795025405009193 2.954417373791241 2.8400478180492787 3.158034120390212 3.20614497274846 3.3187439830763004 3.4185344607573205 3.3810241092460407 3.131876689593232 2.632397183339532 3.0670977795953402 3.017771248045012 3.32048651318254 2.791713446052471 2.811969004509044 2.724389114119803 3.139621058410107 2.758677364789171 2.81796902726086 2.8569909241377296 2.7835548763229934 2.774171330264438 3.4579798877267103 3.38341530474956 3.38511461473868 2.919607779669766 2.795170306262369 2.944348787811497 3.2781712506606997 2.7355929239853 2.959653085337075 2.8968161117268743 3.1939231621477298 2.7175814344882054 3.164185668260443 2.927986834785854 2.7341924521407 3.274864155650296 2.7728996684484484 3.09321829192048 2.8772680468857086 3.1378071131193197 3.3705789713391496 3.36725375117763 3.070471842477197 3.103844723264005 3.1862243030737103 3.058957410724746 2.933711578845635 3.27853101255741 2.784930758803988 3.1254851386442866 3.1366611981615597
AbonyiLajos_HU13802_1 2.657431318947781 0.0 2.650733546992263 3.58272966014499 2.6804374238357873 3.17530369636225 2.504048110379768 2.5957418143772344 2.740701581312266 2.663492730007071 2.993523676774558 3.04268520440588 2.8613133899071443 3.07951112045001 3.31342894626509 3.1163884474493493 2.821592484159214 3.070333940271285 3.1481335956632397 2.702460380828303 2.8404233848506477 3.1435247785926377 2.9495438874721223 2.7022021323664367 3.2716892527158805 3.4959740844844402 3.32435398840554 3.2989623038328 3.5598133439771598 3.014332853799976 3.5245635342035007 2.8578973430596344 2.8104795095994692 3.0137527605555183 2.7775370352964117 2.983572871162149 2.88927073612792 2.96241176063773 3.0556106027013072 2.8188349292265933 3.29032292110944 3.2255877203449996 3.2411536271975105 3.7421374965293204 2.654122550372309 2.1988172549984206 2.667809830077153 2.5749233684182773 2.5975354677694 2.816367054887557 3.098666780347223 3.71189887980214 3.66250803712843 3.6213586810212997 3.65718820991001 3.2014782272253757 2.818420075916325 3.39157527255571 3.3382152338620097 3.73316518563161 3.00727760308689 3.088210982043095 2.494662528914368 2.9173018076845842 2.999194711741859 2.735432104044273 2.745334938025201 2.582219453127031 2.6581241843726184 3.3725855548639796 3.3406167951550296 3.4396937166340003 3.21060529605905 2.5497118024570726 2.6654013785284496 3.3585685308838 2.589435803784974 3.32637680190195 2.876732729655589 3.47187311770719 2.9354709220550808 3.36183013083033 2.85493976618494 2.621001880736916 3.35525170840207 2.7621935945688287 3.26883545532497 3.043977088659555 3.6689676824655297 3.27346870747267 3.34081318493614 2.979558358871598 2.8753435639913167 2.842933464218812 3.128550803185287 2.44407576632907 3.6091505430931 3.029723606936335 3.14308852519737 3.063781208003202
AbrahamErno_HU16529_1 2.614693681297046 2.650733546992263 0.0 3.277840488584638 3.12106327951277 2.875764243243348 2.9020537184057247 3.0757902347886583 3.1736201666646204 2.607965114277458 2.693191769517313 2.978966044413062 2.89503573734524 2.745512952350204 3.34827250493912 3.3315707092636497 2.4631186332214856 3.1153904661041905 3.3892277837337 2.7573937668703703 2.910289078062016 3.206139994413359 3.13490166079293 2.7015778476700887 3.34997175268269 3.066542101777922 3.52816809857144 3.4956713746667702 3.5775445277946796 3.0024819686898283 3.43150507744632 2.613820492652607 2.567086475130222 2.52828857245641 2.721744166323512 3.0165234823058498 2.777731668528908 3.040831001506112 3.34131923504284 3.1050040307602456 3.33718684145278 3.3104041539161297 3.34772791359282 3.48319469380474 2.625967281211488 2.5833494132446537 2.6094211170482495 3.33883600828299 3.23522012278218 2.742995436595188 3.472419701999 3.5424871676261205 3.41973865516898 3.4945224200048806 3.34690348264801 3.40882922605337 2.943971945584992 2.935779115356582 3.041312744315041 3.4977503237319 2.7625330697138724 2.674493805884907 2.392561833671637 3.1944186301269095 2.6724250296649372 2.590514696996897 2.603462488927403 2.604299428236351 2.449910080368862 3.422624202681963 3.5270113623847994 3.4622563731465004 3.0708378339928792 2.6778220384949467 2.887815328451034 3.4083292195329404 2.8933178023258552 2.5411703789940647 2.695666641832668 3.4251437948954697 2.7262529762860503 3.2135663000658 2.688322871359869 2.704900128620574 3.5880118990618097 2.810167017433255 2.6715028685405278 2.6692635481019527 3.5233238882617104 3.5093677719770398 3.5907505528029002 3.04776111310985 2.8568839693828583 2.872190134645613 3.07751209039819 2.737639836233239 3.415374786891363 2.788691771029245 3.33160536257798 2.763107373732849
AbraiKaroly_HU18411_1 3.16859437864456 3.58272966014499 3.277840488584638 0.0 3.3571579415699206 2.868247242885734 3.5428787800410797 3.28272452392243 3.098489586103174 3.34829957892986 2.927423280711686 3.0732579421949113 3.15339273231111 2.824525354213153 2.911412401971918 3.002546636012118 3.1402386806296 2.775225829416894 3.0326789567056265 3.303468373584241 3.2039204322073997 2.8815388763090457 3.10270775025519 3.167006739699256 3.0095193861780674 2.69049520428705 2.9092017206885292 3.014173099667325 2.6979179255110957 2.683298354468061 2.7143601123204144 3.17316132963475 3.03365150027385 2.9272238042999033 3.1363081780871402 3.0632023640327875 3.036965310523419 3.124461800710687 3.001466708230652 3.08808992061614 3.007694468093733 3.1527224909420903 3.06301881100112 2.49208829269295 3.42274736986562 3.4908008075495798 3.3073531573164203 3.21862515162932 3.2450407036516298 3.368129781783915 3.07763139188938 2.500040805852668 2.754718843109579 2.799925257976156 2.6196665604732 2.765823031485092 3.005290123228757 2.879470901667322 2.47394991568768 2.55837538821078 3.0744951661669386 3.049435030269893 3.3274122397232704 3.30924455218091 2.890354966173292 3.30922969202734 3.31991943788125 3.33784656366282 3.3857415601748198 2.916844741758279 2.904769310303937 2.726861203512909 2.6182667045302197 3.2037147667555397 3.3155596912632497 2.879190440310362 3.2607015498858907 2.624269436448863 3.23386593354585 2.431228155886743 2.8104119281841147 2.880196678889606 3.081662906563571 3.4125328104538397 2.91550512256541 3.1700661436031723 2.541191364077858 3.1629769519399495 2.6161797557695827 2.97219338289643 2.9078828860111536 3.2470774546362 3.18676617875916 3.27342419128846 2.994444382729606 3.3186827157260597 2.592089443659109 2.789816928532743 3.0237105932827757 2.8394625268699265
AbranyiKornel_HU14548_1 2.9425119019361747 2.6804374238357873 3.12106327951277 3.3571579415699206 0.0 3.32212130407131 2.7878619773248263 3.072530519010611 2.872815263036326 3.1986936591008703 3.2823999320629795 2.489708545680894 2.765899377367888 3.4279821247905202 2.871625452132465 2.556130333451928 3.0514119017959898 3.34781719911293 2.8069454522051496 3.020584778758322 3.13221057674053 3.3468911864803 2.952591661548319 2.8791442958059523 2.6921324124369557 3.5018304112323 3.12463610156121 3.1711516128408697 3.1394180165845302 3.32796908699257 3.33180686045948 3.17497035181347 3.09359675197309 3.0342636039760427 2.7193846524153 3.1080504430018974 3.275384794951858 2.9920495634613156 3.11221345327949 3.1257197503572103 3.021190552668476 2.769264531191222 3.014419627262858 3.2351778247881597 2.74030802128605 2.75843455771474 3.3117274058885995 2.840300212040404 2.7213587384231124 3.04495804360437 2.846438485737913 3.27936287395244 3.068153244866367 3.0794813812624398 3.18937691796369 2.962350633067073 2.8693337604292983 3.4910398669581597 3.1659449898527496 3.4086679104835103 2.782121389389034 2.978943169419876 2.9185453926788822 3.0484917157303437 3.2955130602505 2.9847366761769925 3.0948441842870498 3.119464172843709 3.11758838342395 3.0341910893760895 3.094225437407411 3.12002893235607 3.2641365692381843 3.020324212692375 2.715693296211751 3.1415193102110006 2.389897659926448 3.25126963890103 3.046582027645842 3.211999259726154 2.949994881392022 3.2148403831360497 2.827154109734553 2.77473563986908 2.7652631445302402 3.0749857701937104 3.4377086791240297 3.1031708352241796 3.3230222744328692 3.0043018985469425 2.9136405456306926 2.8876455172686573 2.893701341547713 2.754297516109862 2.905930475737919 2.7370863583462373 3.2053656012285794 3.15962122941957 2.937462269038691 3.207339733045229
AgaiAdolf_HU11795_1 2.9648308786654187 3.17530369636225 2.875764243243348 2.868247242885734 3.32212130407131 0.0 3.163634593969781 2.955170452928415 3.31811486105767 3.12561360496678 2.78343691077841 3.02367831131187 3.1938324579051702 2.691508620937809 3.29851328132684 3.4541292705495095 2.746125177817142 2.689471609491987 3.28195545376951 3.207784654882983 2.894469059071019 2.547115157844148 3.06517820481391 3.2267363170800802 3.46074142976135 2.692745781436941 3.34696267791438 3.3573561737639803 3.2271954860096 2.7360881884581207 2.840461896658267 2.887394426748746 3.08808271287952 2.681966761129641 2.978280067249936 3.097218987408281 2.747225244293218 3.0690586722086337 3.0591228457220456 2.735135281784902 3.3986552136971095 3.4051831515230098 3.3711865627308293 3.061107052946872 2.817939164595326 2.807014774787086 3.080339387606891 3.258034865248915 3.1908497565973395 3.1395116407972443 3.26823307404996 3.01637495516498 2.9647091017182428 3.1330475686531805 2.7186984367200333 3.2089405148046697 2.855877120928547 2.8888494377121603 2.926012757166006 2.968753353285908 2.978267969646207 2.943108731577164 2.932658852423936 3.203680141267908 2.6497328344893027 2.764800416114842 2.7687617287708477 2.56499165146383 2.9579542738157745 3.2944292129528203 3.249515610945526 3.188245886057357 2.7967321035225936 2.9636577084896656 3.3914124660518796 3.31343679623596 3.0938104920772798 2.646972258382287 3.0530210967261233 2.7864185721990693 2.738325901372516 2.744487149003638 2.798660290804586 3.1329424585226002 3.3194375235014295 3.064921813675967 2.6925385397947927 2.946573068314942 3.017177181741914 3.45968502582082 3.31101340235963 3.20025858618275 3.01949544217567 2.9951148730704493 3.069497065731694 3.038509335795533 2.903405815048708 2.877875063910616 3.0934487036943903 2.681392997966359
AmbrusZoltan_HU05286_1 2.875108495934702 2.504048110379768 2.9020537184057247 3.5428787800410797 2.7878619773248263 3.163634593969781 0.0 2.403799544247396 2.822929740582682 2.444027655895967 2.9512728484095243 3.23719214995731 3.071061576676533 3.118931518031124 3.3683252834801696 3.2817436252434504 2.852621034447953 3.1725605265526493 3.29654545679442 2.554548290504427 2.578287649140378 2.8853324821261497 2.953905156369412 3.0113187584231147 3.2460506046335698 3.55590979316766 3.0541768628939803 3.049890821631067 3.2283762283644704 3.29154437709298 3.60440851913234 2.95941220855818 2.732359304416908 3.1688360453423052 3.033191745619031 2.906712146358173 3.046801721296506 3.0090574965532992 2.7792260983650685 2.7090003056265823 3.2455759585126702 3.22276638247163 3.2278417966424398 3.5522408100211402 2.500022116984884 2.7186597274480064 2.6523459960097977 2.904221252472439 2.92550895813985 2.448893552845698 2.933108525742394 3.7401475459507596 3.60056208497178 3.30368547304718 3.50272760159043 3.2425050709891803 3.0028090196012487 3.0867254547606704 3.56727870629992 3.62374025790152 2.806114338791366 2.956900885530019 2.646025941563932 2.6735462640639325 3.07179427560999 2.653018068633504 2.742153168182663 2.7069689813432727 2.6593574143581082 3.21270245398716 3.1331331996812395 3.38985619446785 3.33335955811427 2.981513037218418 2.7340750904404914 3.193912977275968 2.8121909896803032 3.3172471812502398 2.621510074806498 3.37381856742072 3.1634450406704997 2.964234914133255 2.745154546738176 2.470510259911984 3.1066770417270355 3.0098870661547066 3.2705252312572997 2.9069449707819097 3.65105014581629 3.2230554179978297 3.36321499723062 2.71196826431134 2.7693589127600227 2.770771471413742 3.126605642897308 2.656920777081315 3.63589517537968 3.4695049719758497 3.0495144468293196 3.210144020684099
AndorMaria_HU11129_1 3.107341234347268 2.5957418143772344 3.0757902347886583 3.28272452392243 3.072530519010611 2.955170452928415 2.403799544247396 0.0 2.686938316523016 2.6948656000947393 2.981570378459713 3.5632130105733095 3.1236408295771696 3.1776200527386402 3.2472476930800003 3.2440961131403396 3.122250076271793 3.054761403569707 3.2387006547228196 2.8279288277624883 2.598582493294224 2.5796216017223683 2.8546879387394197 3.1765729109314123 3.32778392463598 3.14522617799025 2.948694432301499 2.9268830211833983 3.1526010525704597 3.056473212152526 3.39009667743361 2.9954989991181575 2.825663247684021 3.40064743291554 3.3314139610621893 2.881778433685076 3.118728375624871 2.926342439098737 2.717215027513393 2.620141115140654 3.2167042696067902 3.24880096668966 3.0028833848725576 3.3912128722811996 2.7331743312680112 2.7395735849957727 2.727042599513438 2.5989445947801997 2.909587581638503 2.701921815988237 2.901536286930024 3.5393871085775004 3.52980508758057 3.34388399181146 3.2737950485927003 3.10435531011645 3.27117019092185 3.062273102297138 3.42058202722679 3.3636161773683 3.104764160203039 3.120021905690494 2.771028166351743 2.53744443939744 3.247505026069544 2.7883741008135488 2.94276735117935 2.734091419545142 3.0209492088541188 2.962836572997703 2.840516740487675 3.0790285742021437 3.2847521090237 3.18634636923289 2.9645446541520277 2.963806880206099 3.2057029092785294 3.32897494744115 2.963744073924623 3.1209528031665923 3.217593784200778 2.967427893065423 2.8435921514261144 2.637373495253681 3.13524396751818 3.014376546321259 3.23555533657044 3.028437421369573 3.47644182555718 3.034138762380164 3.18044942910847 2.8559499404314987 2.834989009927341 2.824823989331729 3.026290913419963 2.659594197461512 3.3950224994549796 3.50362980506063 3.0635802505750287 3.037556718222699
AsbothJanos_HU19000_1 2.949642208691229 2.740701581312266 3.1736201666646204 3.098489586103174 2.872815263036326 3.31811486105767 2.822929740582682 2.686938316523016 0.0 2.870200609096103 3.15901506028956 3.31106429741026 3.04960062197042 3.33721409383272 2.878514805700667 2.9467302600645313 3.3326458713005493 2.886669619456873 2.925793398183646 2.9998838385910527 2.9812609063340236 2.92519816272016 2.6950700882263847 3.13958508335703 2.9642408676408447 2.966704930061953 3.0519762342468173 2.6841662983957617 2.9912173205918817 3.06183408665537 3.10966381958376 3.2969439487442798 3.19279656098791 3.5287727240389 3.22808216903353 3.021211420940567 3.18012810234778 2.986566674493432 2.912309382829228 3.106519548437106 2.9022918652636975 2.958728632859567 2.8006310619295074 3.1117288415970594 3.1380663954571695 3.0785031012866417 2.928533456651139 2.454284730555917 2.7006055778893283 3.038354499997865 2.6592205264953064 3.069543599350424 3.26601174188648 3.0508580233258833 3.18474653463266 2.8186439216380776 3.1010110652169 3.1558481967889502 3.22184437201025 2.991711457025664 3.40006103502464 3.186605733239467 2.94474221831498 2.822331471002706 3.44529242830707 3.28283693910456 3.38752950243996 3.2804979273843395 3.18757540166406 2.9021993175449756 2.911413634191617 3.030154158428606 3.19544946251077 3.13071025385592 2.939288508449911 2.682251702071017 3.02741499089634 3.41082491758962 2.998821303955373 3.0278582946930293 3.028559220294237 3.19479860214249 3.06044199807845 3.0492365680573803 2.699765823707677 3.060140741377042 3.24751038026779 3.1349109977910494 3.02355362545658 2.629446710381497 2.7688141208526162 2.906612737277328 3.2376121240532103 3.2834850254627597 3.0738790296515837 2.967801770726571 2.971752682018221 3.317247220994714 2.9046689979021196 3.032587208426233
BabitsMihaly_HU00600_1 2.8533837406460307 2.663492730007071 2.607965114277458 3.34829957892986 3.1986936591008703 3.12561360496678 2.444027655895967 2.6948656000947393 2.870200609096103 0.0 2.656267980381652 3.3298574567577797 3.004004192071775 2.801123772109172 3.39284353218621 3.3683180173765903 2.640926025342907 3.045980681381324 3.4103995378700698 2.404485732948913 2.561045304691791 3.037949005953936 3.059406559866808 2.8937650859955233 3.2919757172568698 3.2219411718213697 3.25817619616544 3.12100019637973 3.36424149895985 3.2147054086931206 3.4877018180269603 2.6685132774837355 2.719025114291103 2.998034571493216 2.9841303311843093 2.869841067345109 2.844895764643029 2.958985993390029 2.9108727455357433 2.843042763154137 3.29499141667137 3.4024750046184096 3.2202061182058204 3.4683151244100703 2.717153631838707 2.867242838471511 2.223638948129286 3.10916675524253 3.1492862182839203 2.293483394489047 3.09004700992535 3.62599605811387 3.48187431341788 3.299091224181645 3.58339788457271 3.3981507556071806 3.123818824595554 2.5317661184579103 3.2423381341632305 3.391206517067279 3.0857848511753954 2.990235238964138 2.487326559264139 3.0388886946037728 2.8203899798842613 2.7652591348222417 2.694200920493647 2.7240406790598852 2.369335213434211 3.3794590426055 3.3513136575117297 3.51121868456206 3.11447817251266 2.825982692185844 2.7986598753736813 3.3268336221921198 2.982557928180586 2.926666940617397 2.475627747536108 3.50324469100201 3.1513735440524697 2.951504552138768 2.966895891565677 2.7263882045027996 3.36132120620106 2.8894821592688924 2.678826858619391 2.613376378651311 3.3950647177516 3.2642615585179806 3.4334043599284096 2.9308408160706483 2.98487596103891 3.1326805129236304 3.26473006160243 2.8819656254906745 3.5461504126259706 3.1094595719220806 3.1992883776141197 3.035351201810391
