 AbonyiArpad_HU12028_1 AbonyiLajos_HU13802_1 AbrahamErno_HU16529_1 AbraiKaroly_HU18411_1 AbranyiKornel_HU14548_1 AgaiAdolf_HU11795_1 AmbrusZoltan_HU05286_1 AndorMaria_HU11129_1 AsbothJanos_HU19000_1 BabitsMihaly_HU00600_1 BarsonyIstvan_HU12750_1 BartokLajos_HU16124_1 BeksicsGusztavne_HU16243_1 BenedekElek_HU08358_1 BeniczkyneBajzaLenke_HU14745_1 BeniczkyneBajzaLenke_HU14769_1 BeothyLaszlo_HU13445_1 BeothyZsolt_HU07718_1 BorossMihaly_HU16361_1 BrodySandor_HU00628_1 CholnokyLaszlo_HU05964_1 CholnokyViktor_HU07119_1 CsikyGergely_HU14125_1 CzobelMinka_HU17653_1 DegreAlajos_HU07693_1 DonaszyFerenc_HU11968_1 EotvosJozsef_HU00642_1 EotvosJozsef_HU03130_1 EotvosJozsef_HU04774_1 EotvosKaroly_HU16344_1 FayAndras_HU08163_1 GardonyiGeza_HU00662_1 GardonyiGeza_HU06982_1 GardonyiGeza_HU13387_1 GozsduElek_HU18535_1 GyulaiPal_HU00666_1 HermanOttone_HU14564_1 JokaiMor_HU02204_1 JokaiMor_HU05572_1 JokaiMor_HU05573_1 JosikaJulia_HU17873_1 JosikaJulia_HU17910_1 JosikaJulia_HU18964_1 JosikaMiklos_HU10230_1 KabosEde_HU17048_1 KadaElek_HU16355_1 KaffkaMargit_HU02028_1 KanyaEmilia_HU17999_1 KanyaEmilia_HU18993_1 KarinthyFrigyes_HU00719_1 KazinczyFerenc_HU00726_1 KelmenfyLaszlo_HU19006_1 KemenyZsigmond_HU00730_1 KemenyZsigmond_HU00731_1 KemenyZsigmond_HU05620_1 KovacsJozsef_HU16672_1 KoverIlma_HU13462_1 KrudyGyula_HU00763_1 KupaArpad_HU14315_1 KuthyLajos_HU07552_1 LovikKaroly_HU16600_1 LuxTerka_HU17694_1 MalonyayDezso_HU16123_1 MikesKelemen_HU00879_1 MikszathKalman_HU00898_1 MikszathKalman_HU00949_1 MikszathKalman_HU00954_1 MoraFerenc_HU00977_1 MoriczZsigmond_HU05060_1 NagyIgnac_HU07551_1 NagyIgnac_HU18153_1 NagyIgnac_HU19040_1 PalotasFausztin_HU16127_1 PekarGyula_HU14261_1 PetofiSandor_HU01009_1 PodmaniczkyFrigyes_HU07629_1 PremJozsef_HU16359_1 RakosiViktor_HU06784_1 RitookEmma_HU16824_1 SzathmaryKarolyP_HU14197_1 SzemereGyorgy_HU13316_1 SzomahazyIstvan_HU10428_1 TaboriRobert_HU16328_1 TelekiSandorne_HU17606_1 ToldyIstvan_HU07694_1 TolnaiLajos_HU14664_1 TormayCecile_HU17435_1 TorokGyula_HU09105_1 VachottSandorne_HU00011_1 VachottSandorne_HU00012_1 VachottSandorne_HU19018_1 VadnaiKaroly_HU07703_1 VasGereben_HU01115_1 VasGereben_HU01116_1 VasGereben_HU02143_1 VertesiArnold_HU14689_1 ViraghalmiFerenc_HU17960_1 WernerGyula_HU13606_1 WohlStefania_HU07729_1 ZiganyArpad_HU12359_1
AbonyiArpad_HU12028_1 0.0 53.787234373415515 51.74058692145356 68.32632818572324 62.8805444304377 62.916192343898494 60.657557348956054 65.59298288961263 63.25936298120459 58.95414191829422 62.78551499037584 54.98179103644616 54.711140328007836 55.15480575375673 67.7492468734714 67.52363368150269 53.730013525014364 62.82774023570009 65.60876768502153 57.58868445817833 63.50085149503388 65.41652475705864 67.65986185320465 58.96491466791805 66.9237724986653 67.62423522230033 77.03023961190964 75.89672829557419 77.63768549347711 63.210334278537196 67.24717526323043 60.03579056833157 58.04907316269788 59.618567959860826 53.139740764888934 68.73441666914725 52.78100533257539 66.6743224209991 70.86203585337084 66.9051601388481 71.29175014496597 68.47678669141777 69.94682412323517 72.64298287722846 62.405916371732815 57.68959914773033 50.738268101353405 66.5418849936811 63.22718290161294 58.36244023781182 68.91245248711992 69.07709483866445 71.11259264309761 73.90701352731932 73.51460810559084 69.07978788651852 53.84965787584313 65.13822244340969 62.23426430284469 71.04878738207341 57.66620920587464 56.637984976370085 55.827463090581524 66.95005290333259 56.15514763593606 58.80403297244147 57.267520924997676 55.65764735239498 55.95453133037309 75.7287850785292 74.01852039193588 73.94895015091845 59.84777999680473 58.34823999051841 61.24285549473444 69.82457465977299 55.21019474464021 61.003765879878344 60.245806832542264 68.45054383947486 56.29250016838435 68.02957164916883 61.416963571840554 54.25351839730197 72.52508716128334 56.48389948526347 65.71714133424813 59.19005518107218 65.67311692539403 73.02738923071355 72.98157847232964 64.40724059594935 65.58872116235113 67.4462334119589 65.54002667614569 59.870019327997205 70.11579847718181 57.17320483860294 66.08239127486873 67.25227552044977
AbonyiLajos_HU13802_1 53.787234373415515 0.0 52.38517640825927 78.8887108881389 55.113284681869075 67.69098389831319 49.56939932880866 51.517535044701404 56.96238938594334 52.25000726347533 61.64550970016612 64.16025740151791 58.734676102093154 64.43857870659677 70.5059504892414 66.50500686576518 57.82011441486141 66.06742588539957 67.43757043840684 54.48198683521729 57.37263643881935 66.53564084027728 62.243038761962566 53.662104004479836 68.88322298589843 75.85888095137099 70.63667808153816 69.1464079520178 76.75520151226314 65.07372231203742 75.3259624007127 59.00884444271048 56.694962758146204 63.42248261638525 57.982623322494305 61.724747348881984 59.299904611852554 60.05605094967623 63.66744091734995 58.06341416326549 70.84938182930601 68.75581414683056 68.54873730793902 82.61898591343711 53.47346252349269 43.12241156252442 52.767357238052 52.437990727948446 53.69687472041495 57.35286658727361 65.75956807956581 82.03678358873047 79.46845323114165 78.7872793719915 79.83244315318866 69.56976692624596 60.65240277541394 71.98073009869934 72.10567014187774 81.19624941645674 62.49867988740588 64.91861819024584 48.626927864764724 60.45047340829916 62.45407602407974 53.736453818595905 55.116929931633194 51.048373600258294 52.46951171794537 71.9162489411501 71.24469196965067 74.29625307934056 68.85166220005458 52.15388079325014 52.17097073507961 71.69928217620256 52.301641942984155 70.38584291940974 59.930689440037476 76.59644596546745 62.66053062998065 72.88507976805857 58.13938327739612 51.96314918629673 72.73568148583271 55.48139473215642 70.52480787767234 63.06752521373082 80.2093254478276 70.38488810723697 72.39712111455668 61.93487589832999 58.50370724714503 58.18243436893635 66.33670923380146 47.20025762741573 78.9427260112685 64.2965649679394 66.28455190807321 66.10308760464108
AbrahamErno_HU16529_1 51.74058692145356 52.38517640825927 0.0 72.07889567960282 65.91614560935432 59.283095465990016 60.34137135305497 64.23451250901506 68.2563741445922 50.88198879972337 54.697554882079615 61.77678127753748 59.49693515317049 53.968398419765784 73.36116115432445 72.63169960370593 47.42996138681776 65.89483842876902 74.16462617839403 55.335582961653074 59.538122471166425 67.80357849714254 65.69768442203315 53.91252477432524 73.76560868898706 64.57491841778217 78.5296445914918 76.90936120676645 80.44310515968185 63.936984291683984 75.98981603101308 51.408956255339994 50.24080655936821 49.38152802937137 55.20694309737369 63.510090024520096 56.6967683608663 65.35824486645355 73.11061039151028 65.90111241811772 72.76629342986699 71.20045769307104 73.22120160227962 77.34007942719708 52.26308323167381 50.4167723143473 51.27890126483316 72.19045736624449 69.05554288412868 54.913373398407465 76.76828420530066 78.89286734236667 75.5016399977513 78.40804865860599 72.78657714941392 74.86972475319158 61.22538322105456 62.00366443483616 63.93305889231713 76.87638414484567 55.1902910065443 53.865354383378566 45.22142455523461 67.46020730341465 53.479685456245335 51.658459620826356 51.99086578178779 51.652686549662825 47.77337047640107 76.11333782847089 77.47709222988388 76.66896535169404 64.48109923820222 53.7861378080776 59.90752786199563 74.54678142844669 58.2700061366632 48.9962952901793 54.22484394664665 75.01469402463714 54.18415352544684 68.39021577242075 54.89830537582515 54.75517992841768 80.48632644753054 57.77321951463023 52.892868360501495 54.55182492475765 77.62105143145179 78.12344653798073 80.56828209327892 64.03139458564816 59.75507793960897 57.771968477953294 65.31390404224003 55.246583616735094 75.81598472994789 56.279184995896806 72.22760738482853 56.46895448490269
AbraiKaroly_HU18411_1 68.32632818572324 78.8887108881389 72.07889567960282 0.0 72.41773678559447 58.69641432424933 77.97214996873093 70.54177586571272 65.55566933765188 72.98664736507241 60.87323013863437 64.73587016769996 67.095152504106 60.37127254708739 60.588420035504136 63.8602592918002 67.09711290931065 56.20084798274118 63.91771932060812 72.49726208383349 68.67755979993032 60.09328360795904 65.1288519161302 68.23414174817388 63.07810176872128 54.8177053941357 61.33323040552153 64.54325294324198 53.96541015251274 54.641056256596215 55.653269985413935 67.24828458506936 64.40323062138867 61.83900468210292 66.97901876443365 64.30051234024921 63.8052830215461 67.04493447589431 63.07120380254389 64.71409390718847 64.23200814502303 66.28391494127155 65.75416907665355 49.473284336323694 74.45917077670975 76.74379699370171 72.54111990356436 67.95175644318348 68.66789173251512 74.19920036267972 64.86595868242723 49.117174763678385 56.387666447084385 59.46811183950353 51.94190493466742 55.68555277072416 61.54754977751862 60.25082284021311 47.8264256303112 51.65835351382006 65.57215745034563 62.78812198018148 72.566249581028 72.54073897401678 61.010295451580255 72.04192798811665 72.70978387243964 72.33180318246879 74.4863394957371 61.60589553027893 62.734877604310604 56.39256416369343 52.13136197575645 68.04723779547741 72.90521503652991 59.969565930508736 69.3673116912014 53.39864600355804 68.41555803852233 47.28645318863951 56.56183615835482 60.27491692064815 65.33008569447017 73.94438403184363 60.156490088651815 67.23330380779822 51.483017325061454 67.88419056856716 52.5145927364324 62.28369271240715 60.76555451456777 69.71599147972371 68.70879019245442 71.30762673185993 62.54058055110429 71.12668402416132 50.52704798973775 56.63663453391928 63.385214436471834 57.958769150278556
AbranyiKornel_HU14548_1 62.8805444304377 55.113284681869075 65.91614560935432 72.41773678559447 0.0 72.24007649417064 57.03066419890405 64.26810735250274 60.23769481782444 69.06432649020033 71.39562524880895 47.70580480493209 55.04858351356007 75.2082637558267 58.54036854388388 50.01266491835866 63.937552812385036 73.3579677096465 58.1598505341469 63.864878143734444 66.77407924293128 73.21169574800902 62.55473727735173 59.29149891451129 52.53605987878904 76.25262110252334 65.51674463720869 66.35497315888573 65.64239608296296 72.50995431305363 72.20315108936083 68.05688410127645 65.77929627535417 63.676408253979425 54.46327110587321 64.85805317292292 70.76795198442956 61.55055186051267 65.95574194372925 66.07448833450975 63.0753442630837 56.268452350597194 61.89257055912585 68.80258916689533 56.041630001529725 56.750482185779745 71.59077422658125 59.77573730428272 55.96749450741127 63.84628964688235 58.25437018776091 69.90197821317717 64.1359741255632 63.470146235905915 66.84454228518216 62.9494484882512 59.70308789692067 76.78539101806359 68.08184555604419 73.16514102671727 55.66985992261631 62.49278592038448 60.41014547110324 63.565229395038415 71.08715053233787 61.80455710366153 65.62410366359731 66.45125020818922 65.14138913672211 63.045410697301186 64.63362480235715 65.37835809284789 69.49436380904929 64.32196611689845 53.579558275011536 66.22315604564658 46.15272112394433 70.73443215527145 65.12248179666771 69.21167982469112 62.472817460724634 68.75443979695513 58.02818607679328 56.23313862211905 57.89213350413473 65.22860865069885 74.56790167120305 66.37463829528221 70.90455742795186 62.15784309802504 59.52520100485793 60.17521819636942 59.29091366116508 55.82463060313658 59.7647968860276 56.17501418156234 68.44062235096268 68.03674173818095 60.50633456631611 70.45761428874827
AgaiAdolf_HU11795_1 62.916192343898494 67.69098389831319 59.283095465990016 58.69641432424933 72.24007649417064 0.0 68.25182037584821 62.67376241942456 71.84873262929422 67.16578033058894 56.71406349923943 63.47937174158473 68.70412575750363 55.026830995264966 72.40589409979727 75.90143564183816 55.86996126451241 54.32101074039169 70.69007477315445 69.8909559521312 59.73441792084624 49.81850943941269 64.62892516865094 68.35833378700143 76.7602396358596 54.01762727467774 72.84858988246344 73.5480181867881 69.95141755463352 55.42330956825461 59.35548526473289 58.67572910718033 65.45540478284454 52.50903609490551 62.25967522024868 67.10730338767098 56.46500106434939 65.00411192981753 65.08365272050735 55.89007450687916 74.08679282298681 74.44255262575037 74.46468321380318 65.33752159842766 57.799219068112876 56.341523360912355 65.1801478642655 71.39823194774668 68.13897293904463 66.98421840231401 71.54516746769775 63.56508597359487 62.068396429554525 68.22587956214883 55.625801655384755 68.41875662828674 58.41420503019176 59.867602344636396 60.13682197482243 62.225526289522534 61.45608096702341 61.52343185515371 62.26891193308457 69.2625238653326 52.79549837827724 56.1258853597815 56.06320320019412 50.96883992438763 61.59819431372551 71.20501314577835 70.88177190003671 68.93693358117665 57.29407707576399 60.242383662502135 74.54910500809113 72.1705095609494 65.1619054764059 53.61744873986427 63.747740475807234 57.602845557536085 54.5295689390728 54.52261814562473 57.830460946469294 66.55324364204274 71.20388202342528 64.4640636716861 54.603017498437936 60.963686340838194 63.99881092777293 76.22144420088793 72.02613084449644 68.4211432735296 63.868759848105 62.69632554291248 64.93485833708237 62.71815176523436 60.59894035460577 59.33330913193081 65.01206307750556 52.61986254658715
AmbrusZoltan_HU05286_1 60.657557348956054 49.56939932880866 60.34137135305497 77.97214996873093 57.03066419890405 68.25182037584821 0.0 45.894424067090775 57.33128845001017 47.646491013467134 61.16175909115592 68.46138134202913 63.39480348234917 67.28242490061558 71.88099228627938 69.92263753593728 57.97617679522277 67.45652892715857 71.28261329652884 50.36717839851363 51.031071443941535 60.698532492062036 61.500204989857814 63.867099947901714 68.85178090622523 77.59074231715773 64.38039103666938 62.91904257996758 69.01136769585743 71.23042605076415 78.70618657751619 62.119141715548054 56.07770384110577 68.79530869066467 64.48884404493884 59.72666175318966 65.21816956692432 62.24794466526795 56.218098982594874 54.89581884162456 69.80551539943747 68.40198686477117 67.14643462378194 77.00646040517437 50.13091724413234 54.70071541411455 52.72693752272196 59.98138953239842 59.751471203207885 47.395747785725476 61.57489244799881 83.15472650401358 78.15872338302754 69.67054838447386 76.06581673997904 69.3094434601775 62.811896029416715 65.25773211859745 78.2697329523584 79.27399992619553 59.17397685858947 62.77468786023077 53.73514449308325 53.33608626922055 65.35736035559519 52.359080461333924 54.921809840837774 55.3560240626079 53.91132336722121 67.62304633322337 65.9404747638207 73.09247889449018 72.52559912034985 64.10233518764718 55.10944785235691 66.69890076469557 58.18255354967204 71.3681642136511 53.03899491136585 74.29545881529017 66.90729898016488 62.34197526138295 57.49437152538588 47.99052755008456 64.67961764230203 62.7355228468322 71.09518018602351 60.28780579596025 79.25838170907211 67.95737461480908 71.89032026434263 54.47357980972446 55.599384395049654 56.88241427998936 66.42233845252466 54.20996917864283 79.66167734300868 75.27611784119252 64.40100111949653 70.15201095263282
AndorMaria_HU11129_1 65.59298288961263 51.517535044701404 64.23451250901506 70.54177586571272 64.26810735250274 62.67376241942456 45.894424067090775 0.0 53.11480888179049 54.78510768258427 61.793101192583485 79.32489004122283 66.06564294630674 68.93176291396989 69.02570560302267 69.27872693116727 66.67255601978714 65.28064654150923 68.57129920411992 58.00231028273047 51.74248747041291 51.41229478742525 58.68691542431357 68.88153513763855 71.46217974512973 66.5713808307007 61.19915548261729 60.730772266544435 67.50838826689542 64.09382234206502 72.84886314712564 64.29436260586458 58.8028832477071 74.57195230962846 72.18153685124233 59.67001962784382 67.0977203623893 59.44648068348788 54.93774285133163 52.17341457674114 69.27823053213571 69.8378441179137 63.41797914191315 73.31749815154068 56.58281310162695 56.70846853241767 55.33747261813229 51.909891043119124 58.52565424070073 53.699907380835455 59.35239578396404 77.88875248406806 77.7639200659721 71.71674185108039 70.32584458666493 65.28264797044842 70.82902817064077 65.36421423470941 74.87908071103081 72.64389083528428 67.20810469845702 66.91604063477304 57.85585970161127 49.42500522829171 71.50018850311368 56.738515053166026 61.264008104602276 55.93820178068009 62.28684077859646 61.04101792124592 58.50248103387952 64.60157016581311 71.49977252247224 67.52632613698057 62.016730090680724 61.393668090002144 68.72411140945422 71.60912009954946 62.075037433700295 66.91144104363237 68.43183166211729 62.91223771295305 58.2075417252704 54.16422159623966 65.76609052414464 63.86737331972073 68.6235262751837 64.95900339940394 76.00769144257285 63.50977818961649 67.96772195809206 58.282730398568624 56.96177982798788 58.00109825040148 64.5992615930768 51.942494626010614 73.36457907670923 76.61017344692792 64.17791232994084 65.11917548190067
AsbothJanos_HU19000_1 63.25936298120459 56.96238938594334 68.2563741445922 65.55566933765188 60.23769481782444 71.84873262929422 57.33128845001017 53.11480888179049 0.0 59.55538426001596 66.68763974310043 71.44506514883834 63.68234001946404 71.30974764970074 58.32241013338421 60.95497046497083 72.51404643387225 60.33357282180264 61.95381974869632 62.69911549227721 61.631501896659614 61.5189269732354 54.22821565859261 65.92216278768737 62.176239254479995 62.817431310520625 62.78135455758573 53.38564335233768 62.22272097073497 64.83335473150576 64.80870699068093 71.41750087761439 69.03509264809242 77.8330323525823 69.42377774150164 62.157333274779624 67.91151445446673 63.57510075862358 60.32124662320507 65.26833457019197 60.67172591993251 61.49070378823649 57.504316350651266 66.23006472752049 65.90219154899495 66.46464602256354 60.046236114559136 49.31757424440931 55.3215031086534 63.6474054505726 53.8534837270868 64.35132432838859 70.18181341076917 63.64341516599559 67.78941542035739 58.20650523490825 66.96623701312674 67.28400721621162 69.6649637282032 62.21209888980536 74.97140922814886 67.44810841265277 61.724125872418924 57.58471597581994 76.17982275135218 70.8359844493369 74.21281062016828 70.67404033589926 68.14747144873527 60.58596520257608 59.88101268529102 62.58627423338682 68.49318206078705 67.1431415602275 62.41340732360429 52.4111281885168 63.935986950211785 74.73177382761224 61.93244961755285 63.35351120215472 66.20193830494343 68.46857172914761 64.50304997714316 64.17031844802628 54.5594539506432 64.91443735909765 70.05038560262349 67.21032520921166 62.59876303951667 52.20979916388343 55.706491196536696 59.653300452057266 68.89895129249084 70.57839767879094 65.73808459601487 61.41056839639196 61.69033474706464 72.74316707001759 59.93980040865862 64.27080996951844
BabitsMihaly_HU00600_1 58.95414191829422 52.25000726347533 50.88198879972337 72.98664736507241 69.06432649020033 67.16578033058894 47.646491013467134 54.78510768258427 59.55538426001596 0.0 52.831342387026815 71.80529791728554 63.10449178654881 58.81355959441405 73.6613364847591 72.44433077752898 53.4169555008732 63.356672500562645 74.21677545799008 46.54954196003473 50.25966894669116 65.54789739104851 63.84378983289818 60.03052064919775 71.76061246061042 69.15863824579795 70.20626660786562 65.57253932832626 73.72118928590773 68.64407402096236 76.43991493763664 53.40158384707794 54.482790090255584 63.07113272373512 62.10819036720284 58.13490383208021 59.158371485306326 62.69674380516907 60.714990740180056 57.910608606353435 71.32575241300987 73.57133655327769 70.51499691986926 76.43034965356033 55.795606348286256 59.04066960431251 41.38549323185189 65.78432696558056 65.87320747893911 43.10329876910848 65.59420327624287 80.15613562792471 75.80127947959332 72.17499030097743 79.40182410861155 73.55532340688976 64.69161762174824 52.46640323539691 70.00892947362358 73.3991020362984 66.45254365930843 62.57341422056389 48.998019948307736 64.18985259556901 57.577105472303096 56.85712810286706 54.40743316990964 54.727683467743645 45.39620089792313 74.44241274575761 73.17649101269679 77.51674428637826 66.80414884951908 58.258000583717106 57.58569971071232 71.45735112137908 62.47932405271367 60.564013314376396 46.86398403619621 77.21414854355034 67.92869968275296 62.09900868824391 62.57824313384717 55.5215381443846 72.91246525146532 59.27522415103163 55.06803748040664 52.48954950893292 73.80173939132351 70.3652690084156 74.84990408399628 59.821451286338885 62.142488416548176 65.91033110215213 70.34133164699539 59.11461261989641 79.20062577418588 65.67122036047813 68.61130619672805 64.2010475488575
