 AbonyiArpad_HU12028_1 AbonyiLajos_HU13802_1 AbrahamErno_HU16529_1 AbraiKaroly_HU18411_1 AbranyiKornel_HU14548_1 AgaiAdolf_HU11795_1 AmbrusZoltan_HU05286_1 AndorMaria_HU11129_1 AsbothJanos_HU19000_1 BabitsMihaly_HU00600_1 BarsonyIstvan_HU12750_1 BartokLajos_HU16124_1 BeksicsGusztavne_HU16243_1 BenedekElek_HU08358_1 BeniczkyneBajzaLenke_HU14745_1 BeniczkyneBajzaLenke_HU14769_1 BeothyLaszlo_HU13445_1 BeothyZsolt_HU07718_1 BorossMihaly_HU16361_1 BrodySandor_HU00628_1 CholnokyLaszlo_HU05964_1 CholnokyViktor_HU07119_1 CsikyGergely_HU14125_1 CzobelMinka_HU17653_1 DegreAlajos_HU07693_1 DonaszyFerenc_HU11968_1 EotvosJozsef_HU00642_1 EotvosJozsef_HU03130_1 EotvosJozsef_HU04774_1 EotvosKaroly_HU16344_1 FayAndras_HU08163_1 GardonyiGeza_HU00662_1 GardonyiGeza_HU06982_1 GardonyiGeza_HU13387_1 GozsduElek_HU18535_1 GyulaiPal_HU00666_1 HermanOttone_HU14564_1 JokaiMor_HU02204_1 JokaiMor_HU05572_1 JokaiMor_HU05573_1 JosikaJulia_HU17873_1 JosikaJulia_HU17910_1 JosikaJulia_HU18964_1 JosikaMiklos_HU10230_1 KabosEde_HU17048_1 KadaElek_HU16355_1 KaffkaMargit_HU02028_1 KanyaEmilia_HU17999_1 KanyaEmilia_HU18993_1 KarinthyFrigyes_HU00719_1 KazinczyFerenc_HU00726_1 KelmenfyLaszlo_HU19006_1 KemenyZsigmond_HU00730_1 KemenyZsigmond_HU00731_1 KemenyZsigmond_HU05620_1 KovacsJozsef_HU16672_1 KoverIlma_HU13462_1 KrudyGyula_HU00763_1 KupaArpad_HU14315_1 KuthyLajos_HU07552_1 LovikKaroly_HU16600_1 LuxTerka_HU17694_1 MalonyayDezso_HU16123_1 MikesKelemen_HU00879_1 MikszathKalman_HU00898_1 MikszathKalman_HU00949_1 MikszathKalman_HU00954_1 MoraFerenc_HU00977_1 MoriczZsigmond_HU05060_1 NagyIgnac_HU07551_1 NagyIgnac_HU18153_1 NagyIgnac_HU19040_1 PalotasFausztin_HU16127_1 PekarGyula_HU14261_1 PetofiSandor_HU01009_1 PodmaniczkyFrigyes_HU07629_1 PremJozsef_HU16359_1 RakosiViktor_HU06784_1 RitookEmma_HU16824_1 SzathmaryKarolyP_HU14197_1 SzemereGyorgy_HU13316_1 SzomahazyIstvan_HU10428_1 TaboriRobert_HU16328_1 TelekiSandorne_HU17606_1 ToldyIstvan_HU07694_1 TolnaiLajos_HU14664_1 TormayCecile_HU17435_1 TorokGyula_HU09105_1 VachottSandorne_HU00011_1 VachottSandorne_HU00012_1 VachottSandorne_HU19018_1 VadnaiKaroly_HU07703_1 VasGereben_HU01115_1 VasGereben_HU01116_1 VasGereben_HU02143_1 VertesiArnold_HU14689_1 ViraghalmiFerenc_HU17960_1 WernerGyula_HU13606_1 WohlStefania_HU07729_1 ZiganyArpad_HU12359_1
AbonyiArpad_HU12028_1 7.6729663296 28.12783247387135 28.331047823430552 32.62431112457751 29.976634906041447 30.6140483610997 29.626421944616574 31.59532117666949 30.432473946711625 29.83179775367489 31.045899679204854 29.065663968295876 29.068053221142502 28.607817829027578 32.49313326564569 31.26790508500258 28.345493826528678 31.09096272745723 31.121031340284777 29.846942806365924 31.591160495954387 31.246476314694657 32.1334879505748 30.029585663416952 32.46593369472028 32.202892807685735 35.34379676956082 35.36827025647462 36.061658020638085 31.157612493077824 33.230757779256116 30.533474402215862 30.022989909315815 30.647636588176344 28.47683751029645 33.53749375090736 28.212624886225623 32.64750300889439 33.02994110710825 31.35454931137644 32.78085705660013 32.910225345017956 32.928062882953405 34.13238474777852 30.52796109464616 29.61489785905135 28.491627913800937 31.101428902955817 30.01299902872444 29.510936374250885 32.09062412641368 32.80079821629175 34.20951780824764 34.62304266165836 34.80229111428676 31.774760848801062 27.818278129771375 31.593138204086046 31.421607487635107 34.04188372856216 29.278777396514002 29.230449572234082 28.85874516901716 31.321732262207224 29.53779217968887 29.546051251601032 30.44605039468256 29.40784355340564 29.7976651170825 34.42456131479176 33.666128490162095 33.84232005156868 30.62456367310575 29.495799476223198 31.303509388506114 33.955066013642195 28.81844771583057 30.867027492090855 29.981514529901368 32.488892588705234 29.35095393821088 31.555166971530053 30.617920344644887 29.18728139853019 33.046689773625076 28.679831878584835 32.12758009397516 29.56761452882332 32.771155501665206 34.244269077037664 34.01682786847928 31.006727147286668 31.371848039642966 32.43274873045749 30.663146257104838 30.108508703880418 33.508150215935416 29.497427118446446 31.451698162605904 32.65373826921524
AbonyiLajos_HU13802_1 28.12783247387135 7.6729663296 28.174733078204206 35.666417548522034 28.098271657663098 32.564877483715264 27.447907842559868 28.292949348835936 29.447813897834322 28.770450203877207 31.391487236336538 31.244422341308237 29.799243957031848 31.55742028246877 33.91630068028115 32.08192418421551 29.740078938942077 30.779053158913342 31.409857442741487 28.898217953308805 30.259557822121632 31.783197500611916 31.093192738258153 28.285188210683543 33.4277653504353 34.814852861567346 33.966252724068084 34.23940712483974 36.304169045697456 30.156262329134307 35.75736227389032 30.054269153862293 29.704319511075827 31.104911512492805 28.55589657290557 31.35065536072233 29.74860470288295 31.31367094230737 31.714237586464677 29.66284241709004 33.11073174997726 32.91398034527208 33.77199617516123 37.55519965555165 27.613226857617228 24.077072685495573 28.71140701788938 27.050133679999163 27.60838149938228 30.306254078353867 32.37936720185024 36.92102676340634 36.535413866019134 36.6146912988422 36.88840319551196 33.049193536946305 29.307412701846946 34.09349392022866 33.50644547506983 37.353870232573335 30.563559185000322 31.32871753691356 27.79558900757058 30.165647808169073 30.734662815078405 29.27541373510337 29.055958410514478 27.790070555111633 28.540329983658474 34.54835647283115 33.978089007071524 34.49658442954074 32.94363111988075 26.34626066002953 28.602554706352883 34.97036383948353 27.74705878712647 34.03173691855531 30.17578853846222 34.63746327470553 30.306285285412624 33.396424558117474 30.158729461045986 28.44509202289793 34.38117343240642 28.773988265999236 33.298375100828764 31.48048675245157 37.187881830294444 33.60752583639136 33.91597142944241 30.939646270616713 30.179080565300815 29.849713524433064 31.644444356248105 26.508794695185806 36.800455961539704 30.236095421173733 32.61533430274748 31.515238182329384
AbrahamErno_HU16529_1 28.331047823430552 28.174733078204206 7.6729663296 33.73214970669685 32.44149371268177 28.983075261403012 29.94099921046079 30.968658934933504 32.33362416931242 27.380633062027513 28.328774443582038 31.836696306258208 30.41693089225078 28.591455922777214 34.7324781228237 34.30609855731296 26.717300240750028 31.612458993387477 33.60964308038592 29.622550690813092 29.85362436613338 32.26719376840076 32.37958813958337 27.988281192061038 34.54367153139182 30.447292295766257 35.29142688152456 35.068933207757404 35.83776359281403 30.702849885302598 34.5095646490745 27.70795817396546 28.50210135253805 27.115472248176367 28.482793265248223 31.139888634666796 29.62654501199798 30.75240578156397 33.20752012575242 31.039826186712272 33.64554475759751 33.33905799468648 33.825936906805396 35.371281829553176 27.433230322672223 27.49567617463739 27.345921209836966 33.99094647628615 33.3732773880054 28.997868693413498 34.94873854717172 35.70848407852305 34.85049029391828 34.80100519124355 34.384170497019554 34.7768778488511 31.371624622899578 29.4151619994223 31.733765114066134 35.05428021448597 29.935296798554617 28.978100653545354 26.048871781947796 32.154026482551906 28.410702600625907 28.05712256492708 27.775144311522197 27.023912893592826 26.284592029968906 34.65870466705539 35.40057603461897 34.36442889987662 32.170119788389535 27.89902204854111 30.846690919332882 34.87978038461294 31.035171529449773 27.5199580005029 28.393334471731883 35.09270673442543 30.096958971511494 32.351423990270604 28.43301105738181 28.7210160418674 36.30609789695498 28.657402181550832 28.18515243230475 27.547846840235433 35.967337651298905 35.425401609517046 35.956811668258766 31.44803147744325 29.591510633922805 30.05062482995992 31.724418312259537 29.22913079645233 34.410934520977456 29.100909354576796 33.91399938287025 29.134974413267845
AbraiKaroly_HU18411_1 32.62431112457751 35.666417548522034 33.73214970669685 7.6729663296 33.42394509144324 30.584377891118066 35.00443702855052 32.987355388415516 31.182327229887434 33.94488644276618 30.32878085120066 31.27063232417558 32.80599432129693 29.81475972290757 30.07726646333055 30.061807554543016 32.59203999064404 29.985743205058153 31.928994575957326 32.65331515132064 32.73432274617492 29.938791889272277 31.980741360044878 32.1504747395413 30.773720944608034 29.158538163640987 29.83769670518037 30.70956921532149 27.33702568909295 28.420382369818505 29.38009336517204 32.33556271390049 30.968027841261442 29.78902032712681 32.73303341175326 31.115454879668622 31.96853937756314 31.100713856176736 30.713851723131334 31.639488844169865 30.90562542607834 32.09962901731427 31.181741437448387 26.44033222971715 35.07284573605284 35.44109665886308 33.70145733995462 32.797972075821086 32.67571366072261 33.43922859402586 31.25481016672718 27.51834597068075 29.17226052220411 29.06383050512944 27.88236553538801 28.068567245998196 31.622341668367103 30.81145284077429 26.42448816321765 28.120489300480028 31.537515874905775 32.05342262237163 33.532522440493146 32.95561313120743 30.278571013034508 33.71739624606875 33.884941974672344 34.1962576255973 34.151954294235814 29.851234728361547 29.582541322673 28.6721421682571 28.229202431862298 33.599488487396876 32.900319165893464 29.948061834552536 32.58215361463731 27.50767812946735 33.202382801570565 26.20921104297897 28.94225645474511 30.549683059015013 30.941449127038677 34.29143797453336 30.607019915705955 33.473494031044154 26.89122937026831 32.54480244132752 28.301313528233205 30.679476642664483 30.37376324914838 33.467445682085106 32.14365180868776 32.759974626037234 31.36656454969689 33.714119181876725 27.83580981227957 29.70974649977623 31.614743539453638 29.12005728858244
AbranyiKornel_HU14548_1 29.976634906041447 28.098271657663098 32.44149371268177 33.42394509144324 7.6729663296 33.933638836704304 29.38596982528013 31.909018472125965 29.503792737708384 32.7468852706556 32.540585821212865 26.555941144871746 28.534233950190224 34.260817508729744 29.62037263298961 27.4974406364665 31.58496360619251 33.239558266627796 30.076943781752853 30.88939751819301 32.048759333239694 33.539454372536945 30.18207091289921 30.381629776104113 28.965527882059316 34.49928160639736 32.00138057471718 32.59010072997111 32.42851120994743 33.28578385266284 33.58037344727739 33.457176878909706 32.04552953711213 32.31371571533299 29.343408281551607 32.50220083228682 32.1869286360301 32.09953470536378 32.26803353079154 32.50118579512544 30.735712088584123 29.716507426906237 31.675481247469367 32.91875817788952 28.750909130004242 29.32889613523373 33.69492145185979 28.83906825831254 28.516083720704025 31.338768602182387 30.19755135100143 33.31978943360513 31.921524102260967 31.866392337076366 32.96081463832677 30.42980773695767 28.846745526651624 34.92640596602315 31.981884141891822 34.10750132822985 29.40856280019594 30.33297727939704 30.304849963909103 31.953564029876155 33.955630271298205 31.189676531354504 32.20466593988163 32.751591103400216 32.4526549779395 31.817562673263193 32.58216368696267 32.49979166173107 32.0627131925633 30.30171002860589 29.401159870562687 31.918831841041257 25.690144043604725 33.21101566279496 31.24659378295944 31.83025372768996 30.13460520714414 32.3559724559917 29.385307526393426 29.260274557093755 28.75113898126693 31.660411866198448 34.84179509932734 32.2294759116684 33.49789574397878 31.366569854418927 30.7350323784153 30.234751982259354 30.826245787804403 30.045969830049387 30.231297091116375 28.255208930190353 32.80701706741537 32.03001473515951 30.10117064023212 31.860500889038363
AgaiAdolf_HU11795_1 30.6140483610997 32.564877483715264 28.983075261403012 30.584377891118066 33.933638836704304 7.6729663296 32.32439488881745 29.69189077650576 34.06378902421325 31.482902837832903 28.286712438842596 31.123701756257848 32.185356035028384 28.299160250985814 34.0230260554188 35.48961714397168 29.073669265565737 28.997417855023848 33.35005733900441 31.97695001925078 30.136942167977665 27.16815853042623 32.085676053823555 32.65876441444075 34.56172748738829 27.889977633843444 34.17132007762541 34.06864403636288 32.85615408577119 29.11276648122663 29.67943597679964 29.08110425477328 31.634092435411038 27.920754677359824 30.99741169304112 30.936678285970785 28.895415363442282 30.73686419549942 31.18775607482688 28.624491391392027 34.950436051990145 35.04326963574176 33.92587926400288 31.878749798962613 30.074396945146948 28.98668431292659 31.192312007682883 33.64981940835668 33.05078608559321 31.30142796767961 32.89714443725185 31.345047318844763 30.914064448817204 32.270463264016456 28.696153033859805 33.05209585858723 30.785578924754528 30.18393080172984 30.554529990905593 30.51477644309191 31.196266737755504 31.47428282115205 29.936732086798905 32.01503041406791 27.957000004705115 28.955309810396372 29.071006273825425 26.487327054467766 29.915283668690744 33.198866349064154 32.49050489835685 32.29439326576752 29.30857428996543 31.087703637813544 33.60593632024753 33.94245192630417 31.901684233937903 27.126898256169717 32.17731153663814 29.841677922376928 29.29273666533637 29.24978265241604 28.997399872334828 32.122803359105504 34.2975597656279 31.133821800122078 28.669635415165207 30.259285134339496 31.258158947178583 34.70808318676447 33.76114556743662 33.389305857704905 31.154498909607632 30.726992043387476 31.952155946357102 31.882252888840593 30.337012030500617 29.87881179085778 31.851493430795724 28.448834322272145
AmbrusZoltan_HU05286_1 29.626421944616574 27.447907842559868 29.94099921046079 35.00443702855052 29.38596982528013 32.32439488881745 7.6729663296 26.399756422608657 29.517387981813936 26.61024588110073 31.05589482177065 33.10696577857948 32.00550546762306 31.952605937237564 33.99103712101704 33.77798544538875 29.800162671704157 32.25724476929933 33.47072921010411 27.547784752952605 27.823438236938646 29.396710090058765 30.534901181020192 31.180392000047018 33.14034448328133 35.90554968813331 31.422896306810497 31.48962130171682 32.820822820148436 32.424579285271214 36.23922676005184 31.44364015101144 28.872020068597983 32.97434477805185 31.71380866533673 30.50633147940815 31.301788636797525 32.07526298368382 29.41124229148779 28.745956407865542 33.32969726715992 33.253719560967035 33.427837523971775 35.816249745748365 26.768606337516857 29.49269619746506 27.824511187348197 30.125356792783624 30.662021475135365 27.113211246258047 30.774042062364664 36.826064910633946 35.94264423155076 33.24891863463188 34.92643242774406 32.5616409942611 30.84560654814806 31.61074586870642 36.02347798599317 36.11170603939257 28.528717336454477 29.893821949205016 28.898114329792463 28.518716197377156 31.535556331197398 28.20707195663486 29.034089716471865 29.223004859856132 28.737331568140014 33.040014643060296 31.943288171264193 33.79505911487179 33.30462964258444 30.242690379475484 29.357291412032858 32.41137854767713 29.545316901769446 34.06297774075661 27.861864230574856 33.47725167503022 32.290554522419846 30.09883915698621 29.354733788093135 26.75956562512692 31.628888359149304 31.004303227864167 33.02065521207844 29.89115444525133 36.64522289441786 32.62496593505882 34.028582746883764 28.381168070673777 29.178987242873365 29.28869602152495 31.62586284477715 28.286235459588806 36.97575375438012 34.93553264320409 31.39997529418456 33.45754754542551
AndorMaria_HU11129_1 31.59532117666949 28.292949348835936 30.968658934933504 32.987355388415516 31.909018472125965 29.69189077650576 26.399756422608657 7.6729663296 29.586428994856618 28.597872215596468 30.793893177652752 35.378438577269236 32.03177450317778 31.84586916591185 33.81245736931934 33.721387002359904 31.464053594330142 31.742484374794355 33.52944841659883 29.2616632716762 28.29132584234904 26.82173028339847 30.84011360881479 32.271304747592694 33.880888712754256 31.88393282133716 30.811480187106735 31.380253766015354 32.24244467607392 30.78446242274591 34.091971237655436 30.335762611616 29.426674474058633 34.136875108575154 33.259345193126066 29.55554030050142 31.666209091311526 31.30639613672047 29.786399184583633 28.59406353481056 33.208823345883516 33.47154170586485 31.346920665768863 34.01591338664417 28.835385253742853 29.122261602801544 28.104797461680402 28.59767642139715 30.910179029354 28.615211233202615 31.88041746857704 35.620262632713946 34.94710647282867 33.6625194864047 32.841262374234944 31.64504353876473 33.1280239688388 31.645280795953827 33.9732874107778 34.155444236453526 30.41495347093367 32.02074109927119 29.55093156535657 27.86494730843772 31.938896022479394 28.761843453682562 29.619956013734463 28.758382219621012 31.412653595281203 30.943727801228505 29.361182525847003 31.339550914958213 32.84323525687074 33.04068021648008 31.015621397012463 31.021760863484865 32.577981408728384 33.336182206532676 30.874710909704525 31.930654128295394 32.06030139983185 30.71942376958082 29.982135419626985 27.158204980223132 32.71027526906075 31.192714124530738 32.56904637337135 30.45082656062276 34.95384618490743 31.771948302853282 32.71013703275064 30.14251047813389 29.229019082793982 29.198010877918183 30.699264139923837 28.250668242610026 35.20780029400765 34.5542431790703 31.815278594822676 31.666536499227792
AsbothJanos_HU19000_1 30.432473946711625 29.447813897834322 32.33362416931242 31.182327229887434 29.503792737708384 34.06378902421325 29.517387981813936 29.586428994856618 7.6729663296 29.75583033525457 32.56289007604686 33.080621662628374 32.01052992019815 34.40604257077711 29.17019928233349 30.108447508123998 33.61759699509463 29.971522950025133 30.60693585424013 31.323354772729495 30.999936225360173 30.17253393068728 29.182358953930912 32.46598182788851 30.140600995372505 30.59472445739922 31.669871910018216 27.89404506950415 30.307389520004165 31.716312068254823 32.23010166831019 33.35929015697123 32.82171044425638 35.336078424893486 32.87802094223269 31.944659311325815 32.34164832546932 31.818449739947226 31.338946499438293 32.66114283382777 29.792607163004753 30.43805258265976 29.339473030833524 31.013503828154168 32.50940102424556 32.29986744276976 30.94875672039191 26.474803558858763 28.171793622749995 31.73601454075194 28.267793229764404 31.14836917951779 33.04765891668134 30.69789160293709 32.415330821794235 29.478287695072545 31.0767816028277 32.35057655688705 32.23286413002543 30.647357685000095 33.831314484506066 32.06525151898361 31.03072201218404 30.271142944071208 34.72889574009529 33.93255994047849 34.66369842297119 34.34340888243072 33.169023580771245 30.3012198222424 30.58177472325151 31.883667636659695 32.402724884998555 32.2498198715054 30.699579633257436 28.693130378814242 30.706629001880007 34.072204888830306 29.973242790372865 30.71248655157487 30.44690650808093 32.64846507396089 31.745726035759592 31.395359213142996 27.846827529691534 32.13059540778372 32.60392368469891 32.32504134172769 30.58495767133658 27.268356148569215 28.724115369985523 29.986758371907563 33.01077023219713 33.84858439362629 31.325430245010722 31.388300429340603 30.887559664363586 33.18690796571409 29.94117307316944 31.320036921002032
BabitsMihaly_HU00600_1 29.83179775367489 28.770450203877207 27.380633062027513 33.94488644276618 32.7468852706556 31.482902837832903 26.61024588110073 28.597872215596468 29.75583033525457 7.6729663296 28.818765770117277 34.087140633691504 31.277413470477352 29.046987394795398 34.45506137563954 34.368919775683395 27.36304911988984 31.080616608202547 34.37719970146982 26.3978721344048 27.053309202800694 30.425436252530375 31.780109901390638 29.81039059602869 33.53121128003552 32.40402487466454 33.38885129205214 31.908337753194548 34.2183922488764 32.586767390006784 35.36457011350089 28.32641610153354 29.153204219706918 30.850868234199133 30.4071833028424 30.520278437515266 29.94309918548267 30.929963938480327 30.362978739016146 29.682191861882014 33.978450089669884 34.89824395839007 33.061895947966846 35.002107106530616 27.47322804308832 30.647446841436736 24.430225885932824 32.36810870431214 32.98940063310069 25.45549318432015 32.13974074457286 35.96392926443178 34.690275644142204 32.868999397239506 35.50760203290295 35.25805940924014 32.73171744980265 26.071895230353768 33.22015786773178 34.32893937713968 31.255558134575324 30.276313551882012 27.232364012820298 31.62157225918298 29.40502513911459 28.99183365032254 28.450329996819328 29.031138005963687 26.300674666448025 34.27813527712999 33.7846525741831 35.163450098483736 32.604604734411815 28.99020655585496 29.797047932762172 33.92504178803105 31.127371173357357 30.301532435465344 26.12402555714211 35.228671049312986 32.725197430224654 29.724623431147826 30.9347870203215 28.659571523744635 34.09973626478398 30.20013102903995 27.552114315727312 26.86225227087021 34.312628668903045 33.12154774404171 34.50700679413606 30.061353025766383 31.1652363970356 32.41590682577747 33.52477832448306 30.789985696135687 35.41445364791406 31.9434969526845 32.59449143778442 31.593540689796967
