 AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 AlmeidaFialhode_POR0060FiaAlmRuiva_1 AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 BarataAntonioFrancisco_POR0059AntFBarDuelo_1 BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 BenevidesFranciscodaFonseca_POR0076FraFBenFranceses_1 BettencourtMatildeIsabeldeSantanaeVasconcelosMoniz_POR0070MatBetAljubarrota_1 BotelhoAbel_POR0020AbeBotCrioulo_1 BotelhoAbel_POR0053AbeBotLavos_1 BotelhoAbel_POR0054AbeBotAmanha_1 BragaTeofilo_POR0042TeoBraViriato_1 BrandaoRaul_POR0013RauBraPobres_1 BrandaoRaul_POR0051RauBraHumus_1 BrandaoRaul_POR0052RauBraFarsa_1 BrandaoZeferinoNorbertoGoncalves_POR0031ZNGBCovilha_1 BulhaoPatoRaimundoAntoniode_POR0048BulPatPalida_1 CamaraJoaoMariaEvangelistaGoncalvesZarcoda_POR0080JoaCamCastelMelhor_1 CamposAlfredoLuisde_POR0024AlfCamCabinda_1 CamposClaudiade_POR0068ClaCamEle_1 CamposJuniorAntonio_POR0037AntCamJNamorados_1 CarvalhalAlvarodo_POR0089AlvCarCanibais_1 CarvalhoMariaAmaliaVazde_POR0044MAVCAlice_1 CasteloBrancoCamilo_POR0010CamCBPerdicao_1 CasteloBrancoCamilo_POR0011CamCBMulheres_1 CasteloBrancoCamilo_POR0012CamCBMisterios_1 CastilhoAntonioFelicianode_POR0030FelCasChave_1 CastroeAlmeidaVirginiade_POR0066VirCAInnocente_1 CastroOsorioAnade_POR0002AnaCOSacrificada_1 CastroOsorioAnade_POR0062AnaCODiario_1 CastroOsorioAnade_POR0099AnaCOAmbicoes_1 CordeiroLuciano_POR0100LucCorDuquesa_1 CoutinhoManueldaCruzPereira_POR0096ManCPCouElvenda_1 DiasCarlosMalheiro_POR0074CarMDiaErvas_1 DinisJulio_POR0001JulDinMorgadinha_1 DinisJulio_POR0007JulDinInglesa_1 DinisJulio_POR0015JulDinFidalgos_1 EcadeQueirosJoseMariade_POR0005EcaQueMaias_1 EcadeQueirosJoseMariade_POR0008EcaQueRamires_1 EcadeQueirosJoseMariade_POR0009EcaQueAmaro_1 FicalhoFranciscoManueldeMeloBreynerCondede_POR0021ConFicEleicao_1 FigueiredoCandidode_POR0090CanFigTres_1 FigueiredoMauriciaCde_POR0035MauFigExilado_1 FonsecaFaustinoda_POR0014FauFonMindelo_1 GamaArnaldo_POR0091ArnGamDinheiro_1 GomesFranciscoLuis_POR0084FraLGomBramanes_1 GraveJoaoJose_POR0041JoJoGraMorte_1 HerculanoAlexandre_POR0003AleHerCister_1 HerculanoAlexandre_POR0023AleHerEurico_1 HerculanoAlexandre_POR0038AleHerBobo_1 LealJosedaSilvaMendes_POR0047JosSMLeaEstouro_1 LimaJaimedeMagalhaes_POR0032JayMLimTransviado_1 LimaSebastiaodeMagalhaes_POR0028SMagLimViscondessa_1 LobodeAvilaArtur_POR0072LobAviCaramurus_1 LoboFranciscoBarros_POR0097FraBLobGil_1 LoureiroAugusto_POR0098AugLouBruxa_1 LoureiroUrbano_POR0092UrbLouQuintino_1 LousadaAntonioJoseCoelho_POR0040AJCLTripeiros_1 MacedoDiogode_POR0029DiodMacCristao_1 MachadoJulioCesar_POR0082JulCMacLisboa_1 MagalhaesLuisde_POR0043LuiMagSoares_1 MascarenhasMiguelJT_POR0027MJTMMariaDaFonte_1 MeloTomasde_POR0034TomMelLuiz_1 MendoncaAntonioPedroLopesde_POR0057APLopMenDoido_1 MesquitaAlfredode_POR0095AlfMesRua_1 MesquitaMarcelino_POR0087MarMesImpostores_1 ModernoAlice_POR0056AliModSandoval_1 MoreiraJoaoBaptistadeMatos_POR0073MatMorTempestades_1 NoronhaEduardode_POR0078EduNorAgonizar_1 OliveiraMartinsJoaquimPedrode_POR0067OliMarFebo_1 OliveiraMascarenhasJoaquimAugustode_POR0071OliMasArrabido_1 ONeilMaria_POR0065MarONeiMarquesa_1 PestanaAlice_POR0083AliPesPrejuizo_1 PimentelAlberto_POR0022AlbPimCintra_1 PimentelAlberto_POR0055AlbPimAnel_1 PimentelAlberto_POR0058AlbPimGuerrilha_1 PinheiroBernardinoPereira_POR0094BerPPinArzilla_1 PinheiroChagasManuelJoaquim_POR0017MJPChaMeianoite_1 PinhoMariaBenedictaMousinhodeAlbuquerque_POR0086MBenPinMarina_1 PintoFortunatoCorreia_POR0075ForCPinAgitador_1 PintoJulioLourenco_POR0079JulLPinMargarida_1 RamalhoOrtigaoJoseDuarte_POR0063RamOrtMisterio_1 RodriguesManuelMaria_POR0025ManMRodRosa_1 SaAnaMariaRibeirode_POR0093AnMRSaMathilde_1 SaAntonioManueldaCunhae_POR0081AMCunSaParte_1 SaCarneiroMariode_POR0019MarSCLucio_1 SarmentoAugusto_POR0085AugSarProvidencia_1 SarmentoInacioPizarrodeMorais_POR0039InaPizEngeitado_1 SilvaLuisAugustoRebeloda_POR0016LARSilFantasmas_1 SousaMariaPeregrinade_POR0069MPerSouHenriqueta_1 SouzaLopode_POR0061LopSouLagrimas_1 TeixeiradeQueirosFrancisco_POR0026TeiQueSalustio_1 VarelaAJPereira_POR0088PerVarMiseraveis_1 VasconcelosAntonioAugustoTeixeirade_POR0045AntATVasCastromino_1 VasconcelosMariadoMontedeSantanae_POR0006MMSAVLourenco_1 VieiraJoseAugusto_POR0036JosAVieDivorciada_1
AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 0.0 3.3156426085847297 3.09445921945633 3.56114895118694 2.905283909523778 3.1093102031851303 3.0046382305995394 3.0188129515502893 3.08843852570061 2.739308618828151 3.55900082001106 3.2228912244603096 3.39093584034517 3.42957157107427 3.31776165955831 3.4153871298419602 2.8029306060909858 3.017862517725259 3.07507292117191 3.31473722627896 3.101862015724635 2.959636846918321 2.889181407523568 3.192341371076 2.974035319100799 3.13248568823935 3.07224606209904 2.57595750688705 2.634366942346082 2.639501475762144 3.3816728347572607 3.16533478883993 2.975687005049491 2.818240191255872 2.508514428993042 3.0124021184195042 2.9089729344792943 3.3758391832859003 2.718915541602041 2.698840629820652 2.393490408314224 3.32584313919356 3.39993148746089 3.12502042252863 3.46740303080142 3.5101524790773198 2.657350152838913 2.985017606623258 2.699750114103341 3.2178873733972795 3.09654871177972 3.31065191314603 3.53372952545332 3.3892011997687 3.3173049035352697 3.1170524372276196 3.213536163756055 2.984044250056007 2.445388704192687 2.768954896277649 2.8046357042216132 3.32564361352073 3.21393177545371 2.7799242453470514 3.34441140491063 2.914750168229184 2.714539391845765 3.153224352299975 2.9645613934638932 2.9202819598831713 2.80908989071938 2.8597172125376917 3.2088492156575303 3.013165088916539 3.3347430351100096 2.4660240844672257 3.045881167133902 2.8708404777584073 2.8783622215293403 3.1053307622849404 3.3044316657552 3.19421513393101 2.77414722286895 2.473821526950673 3.41269838863938 3.1518119605917403 2.554284847983469 2.794851663533147 3.0776533530803403 2.9055559458271842 2.994605476605426 3.31013534013612 3.42252749926923 2.551506123343798 2.7071287138322897 3.007752944495291 2.63200703941303 3.0154816467017937 3.07818868887803 3.0034434848706946
AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 3.3156426085847297 0.0 3.103205926193082 2.609897463491646 3.022691882896575 3.06498376447883 3.177977939351888 3.1932598918666995 3.1421829695977297 3.34097799438985 3.001846629202819 3.2661588670421198 2.386572250448016 2.5591152998894064 2.446632460267267 2.881944601459878 2.907494376494008 2.942597763208229 2.8648532616788502 2.991590266667687 2.9844371145524042 3.2049533657779 3.17666338342797 2.782312382343548 3.091760079038022 3.0653013231994697 2.888043610908871 3.5458271925177702 3.41630382838282 3.4821044560536807 2.827304622287991 2.882757428087436 2.9630098975152093 2.986952504740895 3.0313692350849992 3.0852556329478604 3.2710053574797904 2.7356605474312636 3.1806702967877998 3.1447922275062323 3.37490199296625 2.7479036933775918 2.8398435781753983 2.883194811426209 2.696388108358488 2.760748103907079 3.09595061764014 3.06900090087579 3.14430072711213 3.036809168921252 2.8073618042354305 2.997018268663708 2.8531557322222936 2.862464247138699 2.8954999948565288 2.9128705003435353 2.725156479127545 3.095830347946868 3.22724886309053 3.29965934712969 3.11496943649774 3.18631120502878 2.751894678244712 3.158586623266848 2.716589250172847 3.2163727681655403 3.31452746921458 3.138260779036181 3.0433193893008177 3.0742377271901304 3.19523531016238 3.097154859223303 2.8995505253519385 3.09633539587939 2.85848555289772 3.21659285429395 2.936164169413515 3.13679164007981 3.3167241605533597 3.1912676593094798 2.9270658699681134 3.041749256004819 3.032379512226343 3.23440064486988 2.640417951177517 2.9483919218672288 3.19200433917028 3.2196337014933505 3.0942179789623383 2.988592623365506 3.305567397328 3.0745385372583165 2.888519305727034 3.35481190064812 3.15056647824102 2.85306780907936 3.21450742323074 3.1460370940016698 2.9994511347890365 2.738718966083091
AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 3.09445921945633 3.103205926193082 0.0 3.23661533480969 2.9065686264097437 3.044670224980178 2.987310015798216 2.896015841703546 2.84587585009703 2.9095446615391527 2.866303797816799 2.673027757990888 3.147997683823819 3.2589333082364482 3.29602318798165 2.760721212225611 3.095436137746001 3.1629560503567697 3.1850690443413803 2.908594650426207 3.014328649470036 2.920359466938602 3.2372496560722297 3.1158163884058 2.963438333195117 3.0237809395641673 3.1463189618908602 2.8828965686176256 2.9497028666939302 3.0462847168873095 3.187567938878429 3.09589873647546 3.09539067659387 3.19673110709574 3.1071866752965205 2.885599306290388 2.880407445160973 3.13522701025229 3.125412755068908 3.075038380284389 3.1127152510510303 3.17226808720485 3.0173913822914322 3.1920415231678803 3.317097677792 2.9346228133901575 2.782165323832659 3.15343540513447 2.984128759148048 2.716319315943127 3.29275198029281 2.949582889693416 2.8929362002926178 2.81371729146303 2.899303239738734 3.11301926558401 3.155650579333713 2.955608151752817 3.0986909718572297 3.0208802651343607 3.08400766995804 2.8670083112399327 2.7853713995904417 2.946912350771238 3.18564013701072 2.899096400435622 3.037757095568047 2.9115667548225246 3.2212856708520103 3.090176003073209 3.17723126490716 2.8573615987560608 2.778145523797153 2.91070420239705 2.8435898688124412 3.090416146318628 3.2514561198493297 3.20334021553082 2.948962046429282 2.943834392245195 2.792330487557715 3.07323302149693 3.063032324065058 3.0803814909048297 3.1097421612501703 3.1673112237192402 3.1831520914142795 3.042038962741456 2.755420133824411 3.23497760555526 2.890584828078561 2.8316731078834887 2.818905696557011 2.844034760209709 3.11335342145608 3.06084803034731 3.13906205939823 2.921408264514298 2.7774276543620804 3.2181374402291203
AlmeidaFialhode_POR0060FiaAlmRuiva_1 3.56114895118694 2.609897463491646 3.23661533480969 0.0 3.12703500606841 2.988021554123661 3.0879129004275803 3.35429356507725 3.2797192337543795 3.44149734411923 2.9949533925469294 3.34895593067896 2.451775077059161 2.202496351266089 2.479166238292613 2.9949050671484354 2.634820109607246 2.565280316096313 2.3283086289440567 3.2718929384608604 2.987879260348442 3.1619694011050186 3.0736066973770546 2.855295217238373 3.048404142715778 2.8491374285868707 2.812127684060205 3.3999557538492704 3.24810624087241 3.25958330739551 2.786624913453338 2.673484074484936 2.920958730678825 2.957305980182853 3.3104274068323205 3.222823270274547 3.3068347137922904 2.472644754520784 3.3043952766948 3.35066783593971 3.5556112810527605 2.619092124749483 2.681359814011607 2.619382412540811 2.2835244252239297 2.741552539604419 3.536239728065707 2.895419186959173 3.25909346447986 2.9901939786901535 2.6055403686933403 2.975836504886116 2.922439795915557 2.909032841013204 3.045196354470609 2.828063835833035 2.704787675893121 3.4607079405202503 3.24602232998728 3.1039718608378903 3.061950494285187 2.908300914663731 3.050264543886248 3.3940328299372906 2.3619650641246936 3.4138947652084504 3.5307404068450596 3.0739678493776332 3.07140188873206 3.0459725960820387 3.119613072320985 3.33451674346237 3.150161711564861 3.0025313959308217 3.20333612928071 3.3390686931823197 2.845456439903126 3.0382142093792712 3.33190169346158 3.29070127964321 3.1230897250766203 3.005501777741799 3.0331142073347523 3.42944671151318 2.2598381957616933 2.52750736049659 3.33824125758667 3.40128605966115 3.35890258732688 2.865932176004281 3.3848626683147502 3.2025395382563797 2.872937517759976 3.34108990328962 3.3766623681599004 2.855008065799402 3.4457404667539997 3.32978601854516 3.346495699982198 2.652991873841227
AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 2.905283909523778 3.022691882896575 2.9065686264097437 3.12703500606841 0.0 3.120212583844994 3.0331059985532702 3.0755927709900046 2.945035676902217 2.651221847182332 3.15238961419327 3.14323592251479 2.94164186229017 3.094797947782597 3.0381920226474497 3.077598978485681 2.813473095613382 2.9096058613209808 3.0144698990252907 3.13297240679124 2.958703183937246 3.1741636361914303 3.003178014907246 3.12669281854018 3.022616851355971 3.08429870564258 2.8444953892450693 2.8822266139080313 2.8806964812387417 3.06072148501533 2.733123764488057 3.2282341675564004 2.865590644384042 2.817705016588701 2.717797958343445 2.733787944108126 3.0263365321311593 3.30475483396211 2.952382064882086 3.008442385275283 2.874620903396477 3.029292256317872 3.094605948692914 3.1326405485034603 3.27239606701783 2.987245236189328 2.963861199904282 3.1715956862461194 3.0573682819343824 3.013001264416408 3.15796410040845 2.936646757094746 3.1217215240243 3.1113706035448 3.1202505473968642 3.11036180322728 2.955359647111156 3.16540579411612 2.918141052763496 3.008740784659352 3.1042370655179403 3.1689144635288002 2.971854133328018 2.9923946921312954 3.29138787131177 2.9250774594985067 3.2586883070431503 2.901681214000784 2.874068466504257 3.04350690071041 3.2234410417067894 3.06960378999867 3.1698334469778695 2.91790565996638 3.1693164206671898 2.979838031338241 3.14204490090726 3.0941952450287022 3.02259918805337 3.1817820284365 2.801057646491598 3.05557872369228 3.059954601838 2.961302730223868 3.15447824013395 3.1145392477234206 3.0691239907617796 3.0472880509011855 3.1235511008786103 3.0335370027395996 3.1279632281573098 3.005423716179046 3.07722494315603 2.700951896308323 2.934691080237874 3.1505035272286 3.16898665088846 3.0251771446550446 2.894566536454723 3.0550021696729983
AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 3.1093102031851303 3.06498376447883 3.044670224980178 2.988021554123661 3.120212583844994 0.0 2.95998566324504 3.10093176652327 3.0541853187729195 2.872095964284501 2.895065349780957 2.9103235808171526 3.30543464281428 3.270937056886665 3.2111719122163 2.848433808648143 2.97164926455354 2.971241646525189 2.927471178563938 2.954178165428337 3.044689863847334 3.18140067241607 3.030320702187081 3.006814419835946 3.062448754958416 3.0271555153937695 3.0842161007082938 2.941423668202791 3.056021615317139 3.13650362971216 3.038797510117785 3.01231814947663 3.16671774068282 3.0872029846321998 3.1654833376479 3.177544107931773 2.785936315589403 3.0057551323970157 3.0282312688756345 3.014571558421616 3.076268147315888 3.0805345944754796 3.13823210267566 3.0785251879243605 3.13911307587117 3.0064585930893992 3.019541387939301 3.0178887658378493 3.037903592771236 2.9140336051967957 3.0925201642273397 3.06164172443955 2.8656930871902064 2.969606109227397 2.8921851784231967 2.955376124656957 3.061116939080346 2.919601817145227 3.014412100338176 2.9150610302263122 3.0791144520770004 2.730541370910675 3.0623678198134425 3.0324832709939677 3.1285002508164705 3.042945031928328 2.957776476498547 3.1279966786072397 3.027591244631704 2.897686108975476 3.020812024398799 3.111657798752952 2.9864528622748243 3.0577788767639102 3.0776636390643093 3.001976010646275 3.028220009897675 2.902948499183469 2.856386804067567 2.985976695539086 3.1356610400979896 2.977599734567503 3.071134960360731 2.991974107346953 3.17160411363668 2.929699421493768 3.0444688812500806 3.06279139871616 3.02969905980575 3.055184048684767 2.8606958471315758 3.1199657112273704 2.9350472600462503 2.774065663464994 2.998034247993903 2.955589509292794 2.931119632230512 3.0918485287513477 3.026060081414157 3.22085228806914
BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 3.0046382305995394 3.177977939351888 2.987310015798216 3.0879129004275803 3.0331059985532702 2.95998566324504 0.0 2.3138643163168577 2.3136619404272825 3.12193765556934 2.571207276122223 3.011572162595086 2.993792419766343 2.901970453141319 3.0088666362802763 2.937883916880044 3.024760484754568 3.33812356761576 3.3009459724700703 2.7248128003573706 3.30487921989063 2.828453515543635 3.098313228276214 2.9480826709880272 2.919726829217768 3.040872667860559 3.4575201781586804 2.807806096396472 2.934845651359339 3.0167313323534266 2.987241384095496 3.1016981218407063 3.28590000122722 3.35749621375898 3.1592344742530702 2.678380272242538 2.806621839294816 3.19580329721811 2.96254838215134 2.830772162589677 3.05924678428803 2.944647809804369 2.7215978273564527 2.998589824792715 3.0045981755473443 3.0206002587281273 3.07824320718314 2.805701433772473 3.0869348244885555 3.34747934217844 3.21887725357328 2.938864985787489 3.1429739508533894 3.2856961228146804 2.915229647331469 3.18129049254448 3.02405339220232 2.816539461157874 2.861988526138513 2.847668077291866 2.9457465808520182 2.9003425127128244 3.188130018852747 3.1058067949028696 3.23987742437187 2.819751614155485 3.16484964032552 3.3497074870888195 2.882897298628115 2.7302265856598043 3.0976160959900367 3.23610045985163 3.046143099657166 2.967233061287934 2.937625969320086 2.987990744241857 3.071422714853097 2.8479180885849438 2.837789720758785 2.716732191173717 2.977543303408008 3.25008470512425 2.9843532213469657 3.0424878655590977 3.30912893517207 3.2201195099688 3.2671142505727397 3.34873519437124 3.036124020049506 3.16763745230333 3.0361875663007902 3.043478808080733 2.960606265065647 3.11089839164626 3.3441977916931203 3.016649329168117 2.90255187096748 2.930136230352768 3.3227123144135797 3.2130735215348
BarataAntonioFrancisco_POR0059AntFBarDuelo_1 3.0188129515502893 3.1932598918666995 2.896015841703546 3.35429356507725 3.0755927709900046 3.10093176652327 2.3138643163168577 0.0 2.170228864288236 3.2240255503005204 2.5345203346704794 2.869115287052445 3.20619637367808 3.1956917383375667 3.2922733004822198 2.845116831265045 3.3185031118297696 3.48264636715108 3.5176311373381197 2.626988587171192 3.38713650353112 2.42175307432296 3.20941962038322 3.003878842951184 2.782244815611358 3.2562556405019496 3.27254390241641 2.838605301532756 3.006421643723373 2.952133368357595 3.08525197871752 3.169498258715687 3.3900530019751507 3.43514589517042 3.18563267454938 2.373142484616902 3.0860895229100667 3.21438896641705 3.033158042272089 2.9699292936918273 3.04476325174036 2.98362517073686 2.7881747765773213 3.052413862243229 3.17184674364056 3.13117587558264 2.982878594373799 2.940254854638659 2.9850101511927396 3.10464834899597 3.34286253452066 2.868958189786472 2.995244340113386 3.0170284096327284 2.924057922756657 3.2208757093322804 3.2181567256839356 2.670179995592394 2.934223474728264 3.012492643583142 3.08173716784377 2.9266355242333297 3.013604986264204 2.934174265045467 3.2875976476453594 2.803585334086399 2.785037506277895 3.2568628555203505 2.940497768645836 2.7599705912998513 3.010562113503928 3.1066222071720153 2.977459337913653 3.004980607731798 2.802161466326495 3.062767145700474 3.2023789762567403 2.8906979759548808 2.824541037492518 2.539024505949921 2.88969341596628 3.2206960258387394 3.001934261325026 3.1790672582667803 3.42574647547812 3.2637643352537378 3.2575285326028403 2.9539189368979426 2.7950094718685374 3.3209743481347305 2.9716281822993897 2.9561318387008395 2.874295442361413 3.107036086680351 3.14019962736634 3.07722366769634 2.864443535049732 2.634509951912224 3.16725961779417 3.2863446699494094
BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 3.08843852570061 3.1421829695977297 2.84587585009703 3.2797192337543795 2.945035676902217 3.0541853187729195 2.3136619404272825 2.170228864288236 0.0 3.156065213818117 2.4801857649736743 2.747499460201467 3.1223030558158684 3.1486347611438004 3.16169274915173 2.777279338082864 3.26505633950732 3.4196530856560097 3.47346477258683 2.602611783149672 3.3387503197404795 2.7040055362920263 3.25023625390711 2.961008807974561 2.762091984016361 3.1482832120575788 3.3035319001128896 2.8748179401354332 2.98640267450628 3.1351724326495303 3.037632519637921 3.2376004272124206 3.31315839081111 3.3937479543106797 3.1887925475239607 2.428794477975539 3.050602092695623 3.19385080650414 2.981147730434539 2.910319015552306 3.0083640735596324 3.049435126736064 2.7832689278290053 3.09646245499514 3.154208284788464 2.9465334554139098 2.993869001916871 2.9226045289057443 3.091178331615935 3.04276159326139 3.32109364339348 2.825435294743219 2.967261502047954 3.0228272322177014 2.831545446123346 3.1385184186281503 3.1590524553171297 2.707746175314958 3.05558111118156 3.0886249180382896 3.024727336908192 2.8418145617007085 2.804551296542581 3.0082649352052693 3.30603618461069 2.667888515428081 2.9330792802551673 3.28938044270351 2.9877044108702338 2.790007067995764 3.1561400979817598 3.1803999084458576 2.943494979932051 3.0517703171001607 2.673721023564784 3.1495152999998 3.1757484414269896 2.980920111631977 2.794720318647993 2.6486353127207254 2.742537319232535 3.2097542079605503 3.21268884543258 3.1648142763286806 3.3572086324879997 3.31586956090745 3.33230543259899 3.15508543389197 2.8067993193868293 3.39759297387856 2.898222425012655 2.879228504497698 2.7840031129034077 3.239941845281299 3.2222169146560202 3.0828893952257297 3.022788097073409 2.738163185399223 3.1215499967424 3.3281311398646105
BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 2.739308618828151 3.34097799438985 2.9095446615391527 3.44149734411923 2.651221847182332 2.872095964284501 3.12193765556934 3.2240255503005204 3.156065213818117 0.0 3.092581822908403 2.922569405193181 3.4666717696674296 3.61299752711915 3.41682566842019 3.21016314461791 2.8491980816593463 2.888731915040837 3.014217245148088 2.9485188451301427 2.864928658490573 3.3487880054472003 2.981428784699172 3.11210794593485 3.1822061408647997 3.018886687071999 3.00327598145441 2.810951012723069 2.8748164981589692 2.8944877260501283 2.714265128021858 3.4504616801348904 2.902507535562857 2.673992622084681 2.864310391019096 3.0772368496577327 2.3105817385608627 3.3652577850864 2.86673375826668 2.957309557842188 2.724272570523748 3.45555744819887 3.4419171324574105 3.3959667069764095 3.3855150399292104 3.132768437017117 2.8185986407134713 3.12047880547403 2.9010001673942503 3.1050173288546237 3.2442292613046 3.21805976190519 3.2768556059036795 3.2041155006184905 3.152787158325757 3.1141603325559246 3.2082331290184003 2.99608814263324 2.965138108308542 2.912514759968709 3.1817766412651 3.2180712171859502 3.2500358823040045 2.770847472862187 3.37196399445026 2.8902599011436227 2.935221264850048 2.7153399743977498 2.69875741030602 3.178134969308951 3.04253263050322 2.919105565697885 3.1982204019082943 3.13001762557324 3.43721674184058 2.801632771009777 2.9876160204740847 3.0214750165129294 2.9214223288408254 3.13423127760708 2.89631274984111 2.988858675335465 3.04587708139797 2.470346158234992 3.3412541817098997 3.11534550099691 2.829748414754054 2.9085595609036994 3.0945149754655548 2.656844758992273 2.816835300717514 2.719227066972423 3.19385982748017 2.482436372000217 2.736776577516859 3.121076304557625 2.925461554490721 3.035399565217414 2.853599888436319 3.19948817328834
