 AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 AlmeidaFialhode_POR0060FiaAlmRuiva_1 AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 BarataAntonioFrancisco_POR0059AntFBarDuelo_1 BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 BenevidesFranciscodaFonseca_POR0076FraFBenFranceses_1 BettencourtMatildeIsabeldeSantanaeVasconcelosMoniz_POR0070MatBetAljubarrota_1 BotelhoAbel_POR0020AbeBotCrioulo_1 BotelhoAbel_POR0053AbeBotLavos_1 BotelhoAbel_POR0054AbeBotAmanha_1 BragaTeofilo_POR0042TeoBraViriato_1 BrandaoRaul_POR0013RauBraPobres_1 BrandaoRaul_POR0051RauBraHumus_1 BrandaoRaul_POR0052RauBraFarsa_1 BrandaoZeferinoNorbertoGoncalves_POR0031ZNGBCovilha_1 BulhaoPatoRaimundoAntoniode_POR0048BulPatPalida_1 CamaraJoaoMariaEvangelistaGoncalvesZarcoda_POR0080JoaCamCastelMelhor_1 CamposAlfredoLuisde_POR0024AlfCamCabinda_1 CamposClaudiade_POR0068ClaCamEle_1 CamposJuniorAntonio_POR0037AntCamJNamorados_1 CarvalhalAlvarodo_POR0089AlvCarCanibais_1 CarvalhoMariaAmaliaVazde_POR0044MAVCAlice_1 CasteloBrancoCamilo_POR0010CamCBPerdicao_1 CasteloBrancoCamilo_POR0011CamCBMulheres_1 CasteloBrancoCamilo_POR0012CamCBMisterios_1 CastilhoAntonioFelicianode_POR0030FelCasChave_1 CastroeAlmeidaVirginiade_POR0066VirCAInnocente_1 CastroOsorioAnade_POR0002AnaCOSacrificada_1 CastroOsorioAnade_POR0062AnaCODiario_1 CastroOsorioAnade_POR0099AnaCOAmbicoes_1 CordeiroLuciano_POR0100LucCorDuquesa_1 CoutinhoManueldaCruzPereira_POR0096ManCPCouElvenda_1 DiasCarlosMalheiro_POR0074CarMDiaErvas_1 DinisJulio_POR0001JulDinMorgadinha_1 DinisJulio_POR0007JulDinInglesa_1 DinisJulio_POR0015JulDinFidalgos_1 EcadeQueirosJoseMariade_POR0005EcaQueMaias_1 EcadeQueirosJoseMariade_POR0008EcaQueRamires_1 EcadeQueirosJoseMariade_POR0009EcaQueAmaro_1 FicalhoFranciscoManueldeMeloBreynerCondede_POR0021ConFicEleicao_1 FigueiredoCandidode_POR0090CanFigTres_1 FigueiredoMauriciaCde_POR0035MauFigExilado_1 FonsecaFaustinoda_POR0014FauFonMindelo_1 GamaArnaldo_POR0091ArnGamDinheiro_1 GomesFranciscoLuis_POR0084FraLGomBramanes_1 GraveJoaoJose_POR0041JoJoGraMorte_1 HerculanoAlexandre_POR0003AleHerCister_1 HerculanoAlexandre_POR0023AleHerEurico_1 HerculanoAlexandre_POR0038AleHerBobo_1 LealJosedaSilvaMendes_POR0047JosSMLeaEstouro_1 LimaJaimedeMagalhaes_POR0032JayMLimTransviado_1 LimaSebastiaodeMagalhaes_POR0028SMagLimViscondessa_1 LobodeAvilaArtur_POR0072LobAviCaramurus_1 LoboFranciscoBarros_POR0097FraBLobGil_1 LoureiroAugusto_POR0098AugLouBruxa_1 LoureiroUrbano_POR0092UrbLouQuintino_1 LousadaAntonioJoseCoelho_POR0040AJCLTripeiros_1 MacedoDiogode_POR0029DiodMacCristao_1 MachadoJulioCesar_POR0082JulCMacLisboa_1 MagalhaesLuisde_POR0043LuiMagSoares_1 MascarenhasMiguelJT_POR0027MJTMMariaDaFonte_1 MeloTomasde_POR0034TomMelLuiz_1 MendoncaAntonioPedroLopesde_POR0057APLopMenDoido_1 MesquitaAlfredode_POR0095AlfMesRua_1 MesquitaMarcelino_POR0087MarMesImpostores_1 ModernoAlice_POR0056AliModSandoval_1 MoreiraJoaoBaptistadeMatos_POR0073MatMorTempestades_1 NoronhaEduardode_POR0078EduNorAgonizar_1 OliveiraMartinsJoaquimPedrode_POR0067OliMarFebo_1 OliveiraMascarenhasJoaquimAugustode_POR0071OliMasArrabido_1 ONeilMaria_POR0065MarONeiMarquesa_1 PestanaAlice_POR0083AliPesPrejuizo_1 PimentelAlberto_POR0022AlbPimCintra_1 PimentelAlberto_POR0055AlbPimAnel_1 PimentelAlberto_POR0058AlbPimGuerrilha_1 PinheiroBernardinoPereira_POR0094BerPPinArzilla_1 PinheiroChagasManuelJoaquim_POR0017MJPChaMeianoite_1 PinhoMariaBenedictaMousinhodeAlbuquerque_POR0086MBenPinMarina_1 PintoFortunatoCorreia_POR0075ForCPinAgitador_1 PintoJulioLourenco_POR0079JulLPinMargarida_1 RamalhoOrtigaoJoseDuarte_POR0063RamOrtMisterio_1 RodriguesManuelMaria_POR0025ManMRodRosa_1 SaAnaMariaRibeirode_POR0093AnMRSaMathilde_1 SaAntonioManueldaCunhae_POR0081AMCunSaParte_1 SaCarneiroMariode_POR0019MarSCLucio_1 SarmentoAugusto_POR0085AugSarProvidencia_1 SarmentoInacioPizarrodeMorais_POR0039InaPizEngeitado_1 SilvaLuisAugustoRebeloda_POR0016LARSilFantasmas_1 SousaMariaPeregrinade_POR0069MPerSouHenriqueta_1 SouzaLopode_POR0061LopSouLagrimas_1 TeixeiradeQueirosFrancisco_POR0026TeiQueSalustio_1 VarelaAJPereira_POR0088PerVarMiseraveis_1 VasconcelosAntonioAugustoTeixeirade_POR0045AntATVasCastromino_1 VasconcelosMariadoMontedeSantanae_POR0006MMSAVLourenco_1 VieiraJoseAugusto_POR0036JosAVieDivorciada_1
AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 0.0 75.70340937626125 69.29914189430951 82.42368658502859 62.25541306844874 68.46330398452842 66.61121298949584 65.826239906045 69.12457109042678 58.57289157187254 82.59988700956819 73.33788595833744 76.08186470099922 78.15132214899644 75.61115124760575 79.18283040802687 62.63355489608493 68.9853343727951 67.9303481651518 75.14825313182169 71.43712683528781 63.604842506016126 65.19234236028743 72.78676405151927 64.59344754076244 70.20704892048467 69.13762895023436 54.411205275122164 57.47999132058497 56.625818127319775 77.45827520221859 69.51552976150057 64.57377803977835 63.43143583205914 52.572218651801215 65.069555508672 64.54666720969162 77.71438479867301 58.56931234201227 56.992645293606444 50.09426560872688 75.29486571979595 78.22660066367114 70.89018697053494 79.36517339061795 81.59786816074163 56.10349308040061 66.6243719605876 57.280412805379655 73.43227286644697 69.90303629371607 75.92431346823315 81.69675276141396 78.9226963444043 75.10891756830665 69.42312544019029 74.68658092887685 65.2941408939166 48.57017091813787 59.29582847277531 60.930136401839945 76.18272094335397 71.55488523333615 60.320097666755935 76.26402010045328 64.80841804177064 57.47521343355416 72.40335861695966 65.29589815671982 62.962222437992764 63.45541985650047 63.07140027739302 71.4072318824652 65.28508217730315 74.71770795277018 50.95971177471638 66.69900889182506 63.10858212497992 64.3914155690017 69.47222078790533 75.67454250381635 73.07817358260102 58.72178512275345 50.6883380608772 79.3858752248343 71.42170713709939 53.07577895210358 60.86307761648334 69.02245129222997 64.1789317585891 66.39075416490931 75.73353016365297 79.07842008046899 51.153059368290634 59.58895280021309 65.43797220459287 54.96918634488918 66.5387081838169 68.15795984368322 64.99306588496101
AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 75.70340937626125 0.0 70.81095815540702 54.796488249103106 66.52924283106634 68.68038586714242 73.63289791956358 72.99175663262648 71.3420632863245 77.08971950885496 66.90966231646775 74.64082821781773 49.151119063696186 54.11285517182538 51.546397669660024 64.04400799277727 65.14837503307427 62.961695418730365 62.476020359245034 67.48264693182102 66.85465305726562 73.67368215869688 71.53316946182242 59.841339724385584 70.64444920314068 67.51421915396347 60.582118662284586 82.7364537640559 79.45466434535157 80.86154253297774 61.21489020483615 63.24243819660228 65.3528974058064 65.1898337104019 66.35977218066239 68.85333534464573 75.83696578335508 58.75858483512164 72.14042656687913 72.05660611166942 77.70536970842869 58.92509435572109 63.62255809598348 63.6546023020236 57.690247149273034 58.25621724110589 69.5460637752184 70.0365579014094 71.50463892398096 67.04180034389 60.88841773379863 66.31726086946364 62.3456633393303 63.059891718248764 63.992441860449745 63.543150054548406 60.21768037778573 70.98808039209526 73.81644454686884 75.88850226262235 70.00906298359929 72.21175585697885 59.04148156082897 71.03997221392085 57.928771036501374 73.5509891744256 75.31493232925955 70.10570962131621 67.78798148749092 68.90208432424777 70.74516775857093 69.51409645243868 64.875272035919 69.22180871534725 62.71100966942441 72.87583430930398 63.86615743170228 70.01719427905493 77.37886249824773 71.7803712195358 65.7290161694932 67.78148520234329 69.3702433121744 73.76155327048187 57.67745485741471 63.0584411198257 72.31623348887311 72.50951974811798 70.19505753424636 65.40995267948426 75.79297837100125 69.77121304718378 63.48554460831639 78.261532057346 71.23490684920239 62.36878759710213 72.7988083074654 69.80442084277298 67.84321023592354 60.39244180671611
AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 69.29914189430951 70.81095815540702 0.0 73.98789963844511 63.19309199207487 67.05289785673642 69.14930536019774 64.7972804857457 63.54200014952483 64.54650269897499 63.95506015313172 57.612471721359704 72.6552764777414 76.38405407657231 75.69995294734619 60.346599708651524 70.41175690813695 72.03150620426389 72.54599116512723 63.55992257043486 65.13223095434797 64.64568548046583 72.77564479180583 70.39328702826813 65.50527648992882 68.41235051792678 70.44097210187806 62.656042418813534 64.98050986385866 66.952106079847 73.29254381686826 68.84686893762438 68.50867486553507 72.19670652540157 69.7514601842321 64.12250752030084 62.4319364574198 70.46073990416075 71.15677517182446 69.75632463030281 69.40843959925606 72.74748500465633 68.62600634715196 72.50839445755484 77.26031499487979 66.47940166267739 59.851464870987286 71.81578247671258 65.88550553152031 57.44000846136863 75.23787146400434 62.95725172004123 62.009457051712616 60.15879594602076 63.690860352199145 68.5617312159957 72.61324001907691 65.2205779325264 69.48004094083242 66.46299794491757 68.49562306807516 61.89272135330584 61.07948823911029 65.2177516391497 72.40450729210026 63.5861306862639 65.81787990122629 62.9230575055557 73.97838189787197 69.6247346057198 71.84564523360702 62.85606831638973 60.24787346714016 64.36623411984745 62.85595918019949 69.74323602071257 73.7925175211351 72.24999386655801 65.4367226885203 65.44211095412304 61.1647419558231 68.18799692823954 70.57612843385436 68.57217622448263 69.01784316435094 72.18517670833442 72.25485107926428 65.3967957802953 58.93653304830392 74.72620621863523 62.89339272402895 61.90177363884734 60.831856938732074 63.189768780968706 69.02427533599216 68.02574553464355 69.40573864762719 64.3475748932285 58.72439982790669 73.40863803595015
AlmeidaFialhode_POR0060FiaAlmRuiva_1 82.42368658502859 54.796488249103106 73.98789963844511 0.0 70.57479318482939 67.3129654143778 68.06576651049649 77.44472224545284 74.25526072289561 80.18100566381999 68.21256149259273 76.34356492586375 51.67143241047701 42.80174915116622 51.46799182411052 68.26207034066438 56.081650578270214 51.39469237449654 45.91081944909088 74.4019083323424 65.01705684866381 71.2418227212034 68.20622546411148 61.10495456063058 70.1430795980388 60.94346725663855 59.05151424690522 78.35422244040556 72.5380965876208 73.57347514189138 60.25720650687527 57.479412561123624 65.74165792013903 65.15591115022649 74.2276428300348 74.92171958054028 76.326328294887 51.91834141937083 74.89795100101368 77.0229961967691 82.63389908129015 57.04320916023191 59.51183622766895 56.13426268856056 47.59460834714656 58.088782358429036 85.05071166613448 64.65286746828484 73.04776302124772 66.88768665374255 55.908482245097 65.78000764294617 65.39236880764345 65.12718276671553 68.83635279665627 61.952719294553404 55.258269046628314 81.52384678101856 74.33495493470964 70.33323276659586 68.59462440825804 65.16231335223115 68.70205384508509 78.19484530019085 48.786620206477686 78.50784825694167 82.33998259280757 69.73472628263607 69.24259324730806 67.46865297668428 68.48932521940601 75.1609195841155 72.85821058763484 67.54684939723167 72.19562228206365 77.50325353030509 63.03446106515755 68.30528629093577 77.33580465418305 74.76153233022116 70.1002192916502 66.60079928960843 67.72487534965592 78.30515493229997 45.79026946945618 53.112099660822224 77.05037830482493 79.66837770132804 77.18698941297318 62.32891783375521 78.2053413561132 73.12055489706297 62.93862787330027 77.71254452791804 76.55381413322871 62.93028606580308 78.53399600839529 76.64186598542206 78.61054357046791 57.17572796065045
AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 62.25541306844874 66.52924283106634 63.19309199207487 70.57479318482939 0.0 70.84701168527195 67.27745541344319 67.72704114246866 65.363867461898 58.43149844169522 71.32572138754153 70.9617994327849 63.5953213890248 70.21047635932823 68.24820396966474 69.55301926277156 61.40180125703592 65.67511047748364 67.00510675197857 70.36757903172763 64.39815177765303 70.16892792526316 65.4810382430154 69.21975132286165 67.00489023621243 70.93618380085529 62.74743458248432 64.72435389091378 63.2957367505118 68.26334358830286 58.80093915527589 72.83618992705466 62.317826380211486 60.758806406872374 58.5082934577038 58.958474923788245 67.20079467595009 75.22532633582341 66.8186805854508 66.98983270270075 63.95463359688113 67.87075656348452 70.43249418837216 71.0595106355961 74.94318859519595 66.2234889585402 64.66734726292974 71.43797296777682 67.11658208623845 66.74407904780004 71.19787184709531 64.03334020869084 70.3770883728807 70.15065046109694 71.48266310492015 70.33758079871895 67.30573494339247 71.01860907305205 64.62483405068257 67.42721286519534 69.18627884602076 71.79045019936282 66.42129583901368 66.90848059054574 75.73885471028042 63.822460620135224 73.99099437010412 64.6185041339058 61.89224427041803 68.52104184706351 70.35224306963427 68.42638133604001 71.41463834011331 63.86897488387046 71.03495625744941 66.09327794576845 70.67758384470943 70.20763172528822 68.43964777356703 72.38153245782763 59.48827906559857 68.55941391258662 68.13482883871146 65.33115143580616 71.02168262944171 70.95120641105565 68.0767698706181 67.94764597285152 69.1861295703258 67.3611334125764 70.85862148160419 67.1973863587831 68.02031127093049 58.89454234328685 65.05505475920731 70.80051943004445 72.27425652351181 67.32646816631947 63.676629535381906 68.16802733091856
AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 68.46330398452842 68.68038586714242 67.05289785673642 67.3129654143778 70.84701168527195 0.0 65.2583759232898 68.16681193150255 68.54900657907413 62.47908949154422 63.67141190526895 63.672802608649654 76.54164318669112 76.09223253964537 73.06385384515302 62.88055600707766 64.24484589541446 64.55629755984363 65.68547094377848 64.83463219643806 67.88697943494029 71.33994836299402 66.08961308302658 67.33217239683653 69.44626725995175 68.55672878078583 70.1678992957787 64.85818733268901 67.6865335211599 69.22464700900525 67.62492613822106 67.77630250283566 70.7642861862318 69.55898621672682 70.94866831973808 73.04452832917443 60.40692471863724 66.26070118048935 65.76624349963546 66.08026169846137 67.50071832608305 67.8866051720723 70.49904675576954 68.94459954120752 70.76695646393644 68.08063593013884 67.79996605992491 65.9531212237415 67.49761203191522 62.43131597175022 69.52000735309987 68.1327058875389 63.881118420438334 66.75734531421493 64.63572985999977 65.77712818814489 68.30151435422853 64.99387103836511 66.38297052578193 62.70482554137187 68.94442968390953 59.64433393578622 70.89863064766925 68.01639195532967 70.66380566746726 68.43057654061221 64.98165609961269 69.41857483650537 68.37425367754635 64.13461774539859 66.49862032546258 69.1653158735912 66.80074282363233 67.98165951859103 70.40590915555683 65.96600310647983 67.249137554843 63.71753061875956 62.06474593011516 66.19756957693725 70.3172296348338 66.61548495865367 67.67193159777842 66.16613016234379 72.3259328002755 64.91237251303649 69.361613243624 68.75726423866752 67.87682379022385 69.11735120176148 62.07533629545776 70.74399661171712 63.628639545494515 60.4246482104148 66.33698645825103 66.0280860061589 63.81790401977444 69.93421236495041 68.1685821873641 72.98881242898668
BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 66.61121298949584 73.63289791956358 69.14930536019774 68.06576651049649 67.27745541344319 65.2583759232898 0.0 48.39938806316483 47.817058871918015 69.86946810873232 54.731487134668285 67.96538105036191 67.52046961277114 65.11208911101068 67.2217271094837 64.67232047874164 67.96109116429946 75.90671146042676 75.36453249462502 57.78722903878894 76.14472354207471 61.31471912597122 67.79124150556547 65.35060786107591 63.55284227093327 69.69649967190155 80.55100397927876 60.91394597932418 65.68523668500077 67.02767616904653 65.5301446257989 70.81703029290824 74.3537374028483 77.16621589940401 71.2164570012266 58.07160085530739 62.41018885349631 72.03261197128758 65.3091119162286 61.0884435358275 67.9089470846819 64.08634548569374 58.80047438419285 66.2766984372511 67.34045732646562 67.87640917367887 68.27082428128833 61.05892843911983 70.43137230616983 76.33140637095498 72.40140717570499 64.69640410730553 70.5285228247792 75.20428760672124 64.87796738862919 72.50204214176486 68.43105829742076 59.08515857417308 61.5230054123211 62.38577241028002 65.22376629766164 62.36082902144271 73.76997925170856 71.47090125165052 73.50376808334778 60.60408165946252 69.79043021090182 76.45273695648322 62.3888379175732 57.00662145540701 67.46942542019355 73.13299563489325 68.40418562490099 67.67680112872243 67.01536440379759 66.48667829846491 69.25879237833702 61.62038395314884 62.073334498124815 58.519869115865255 66.78380901549676 73.83838662114262 65.7967357810731 68.79762487826211 75.29021498996738 72.34803988402122 74.64519333045344 77.00007272881524 67.98880388827973 71.42040795888738 67.53459830529165 68.62646466030209 64.86396594075161 70.15781735556628 77.35515801173474 66.73931411760478 63.42010315518827 65.02470523746761 76.45433451597276 73.12838806913909
BarataAntonioFrancisco_POR0059AntFBarDuelo_1 65.826239906045 72.99175663262648 64.7972804857457 77.44472224545284 67.72704114246866 68.16681193150255 48.39938806316483 0.0 42.6678499433832 71.96378341500049 53.778179469966474 62.89691600498437 73.58445086865007 74.05106955433163 74.88468592551554 61.3702991501532 76.08483273779558 80.58175959567332 81.99697392184324 55.74047286304886 77.3807681186243 53.82167026769882 71.57829931060951 65.98961166990058 59.88037137712634 74.15960130052113 75.8459903126152 61.35253275813422 66.44336557838717 66.6993757736285 68.8866532270878 72.69548509276804 76.93804117241169 79.47777017496098 69.9474882995229 48.951128287760724 69.13643332910843 73.4164842346642 66.92852018437056 64.69860345754171 67.19773215383607 65.88463207014699 60.86145501765416 67.42299144416991 72.4859643973133 70.58330840152554 65.34798646430697 65.10525778881549 66.86009387705712 69.59612753920169 76.4135244027395 64.40792926141228 67.74190238887563 68.61809654573814 65.03856187126902 71.82223121155864 74.11633012451827 56.33989439507507 63.8591520349589 67.42741108537435 68.67534107463428 63.73146499120564 66.35997261581043 64.67887371383131 74.84349805792755 59.2800814002437 60.013761142023775 73.96545079007056 64.87300501236884 60.471644505290215 67.32801438170155 71.12104044396587 64.65231361798517 67.5870006530079 61.17925638263205 67.39330555101982 72.95423976803053 63.64492842074986 60.11880083626715 52.86995967261507 63.379050434772665 72.25359691501652 69.18289103440738 70.58201391469868 78.26397943206763 75.84748795818868 72.86504999678216 66.18040627001385 60.72475806633627 75.85164200752176 65.88514578947292 65.70489840938056 61.72214987585722 71.2221575026145 69.88661283039177 68.7215542466504 62.68356889408175 53.935686996684076 71.80321534881024 75.13954594166638
BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 69.12457109042678 71.3420632863245 63.54200014952483 74.25526072289561 65.363867461898 68.54900657907413 47.817058871918015 42.6678499433832 0.0 73.20757492618401 51.00461723141377 59.81491240962425 71.21788507071348 70.91453573920326 70.8867932541515 58.76399744693512 75.58939320615791 79.55353818883121 80.8855127758406 54.88528802566351 76.09028887969055 59.30283217105406 73.34478569457698 65.68759685523221 59.382820475489346 72.33523934005505 76.39749102268921 62.72448333572428 66.85111783260153 70.4977609865078 67.45354603284065 73.02127323921552 75.22087599904268 78.94729296842038 71.88376125008661 50.501193980019906 68.78854765497579 72.29107938437302 67.37546460875726 64.48992073519008 67.4037547419053 67.9717136856147 61.04526559157348 68.29768122963158 72.48739434488802 65.3678403753044 66.5606471692691 64.33227473874898 70.32418930209525 67.94994207038965 75.87505295010209 61.59956190416993 64.79038378399628 66.59011053390185 61.17894563807916 70.28341684401634 71.80243321469426 56.6500019332725 67.7775942936737 68.4756452754489 67.55435982206565 61.294761352186036 61.168481268399375 66.50194036100045 75.94640466652936 55.06371409097145 64.30211800997863 74.53006350530428 66.5716573254326 59.679800462330995 70.50441647983249 73.66050265436655 63.75282902497027 68.6005669952252 57.73786434305729 69.80010590084618 72.34325431585789 65.63603035091582 60.82037859815644 55.712224955811045 60.897176247763525 72.56652038224453 73.02873394755841 70.63452954201009 76.32662204453268 76.3875578696069 76.11612384864138 70.03513272455874 60.47338900282653 78.29636186973896 63.881512037882246 62.69124893030807 60.61736303146072 75.2725921513074 73.71324700415087 69.00973604904713 66.8893381159501 57.90210498254715 69.52358128628008 76.42697921721067
BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 58.57289157187254 77.08971950885496 64.54650269897499 80.18100566381999 58.43149844169522 62.47908949154422 69.86946810873232 71.96378341500049 73.20757492618401 0.0 70.0863727974188 63.72607089781017 79.927379150555 84.39326375755691 77.84545449197087 72.3808714411544 62.484973670671955 64.29808656787714 67.03352233407676 64.68025974217528 63.32077545699447 76.25563413947705 65.01748057833731 69.8355390758004 72.71739263195053 68.18787145230382 66.73087676320415 62.43814663773886 63.56329357111103 63.93407181222897 58.00752077215434 78.86821726787662 64.30252247678713 56.71938164950261 63.388133319221105 70.0689234252301 45.4640228506655 78.07111658540495 62.459644314396265 65.33698539082478 58.12967022398689 78.9925891142517 80.03858826703947 78.6036295948369 78.21578108725639 71.78403245702582 61.0993656182571 69.15177817222111 63.871715839662095 69.47462550958954 74.76104758688531 72.55834020509393 73.58151229494358 71.0312370827629 70.89786367725713 70.99654364596483 72.06825289400783 65.81920612025415 65.277727435492 63.391956609505364 71.83276104744674 72.51788393817932 74.69721573695482 60.2495957304162 78.06027197107075 62.84085300159761 64.45101763332983 57.61592831182979 58.1697915513661 71.82461625473587 67.2932457024445 64.18188977222401 73.14936169126794 70.15516243320116 80.79601287976651 60.31667308350049 67.79688825378342 67.44604361283325 64.34993257904125 70.80843627735106 61.8993406760966 64.94584882447487 67.78124053100578 50.227219809872565 76.85885526580942 69.75972424883489 60.17072938802627 63.32565941051242 68.62605406540526 57.664094953968785 61.065100459589075 58.730647206079325 72.0459196671888 51.28540846835351 58.309699839110785 70.0400148561396 63.698829735957446 67.6510173383263 62.293819461602496 72.62294447383795
