 AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 AlmeidaFialhode_POR0060FiaAlmRuiva_1 AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 BarataAntonioFrancisco_POR0059AntFBarDuelo_1 BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 BenevidesFranciscodaFonseca_POR0076FraFBenFranceses_1 BettencourtMatildeIsabeldeSantanaeVasconcelosMoniz_POR0070MatBetAljubarrota_1 BotelhoAbel_POR0020AbeBotCrioulo_1 BotelhoAbel_POR0053AbeBotLavos_1 BotelhoAbel_POR0054AbeBotAmanha_1 BragaTeofilo_POR0042TeoBraViriato_1 BrandaoRaul_POR0013RauBraPobres_1 BrandaoRaul_POR0051RauBraHumus_1 BrandaoRaul_POR0052RauBraFarsa_1 BrandaoZeferinoNorbertoGoncalves_POR0031ZNGBCovilha_1 BulhaoPatoRaimundoAntoniode_POR0048BulPatPalida_1 CamaraJoaoMariaEvangelistaGoncalvesZarcoda_POR0080JoaCamCastelMelhor_1 CamposAlfredoLuisde_POR0024AlfCamCabinda_1 CamposClaudiade_POR0068ClaCamEle_1 CamposJuniorAntonio_POR0037AntCamJNamorados_1 CarvalhalAlvarodo_POR0089AlvCarCanibais_1 CarvalhoMariaAmaliaVazde_POR0044MAVCAlice_1 CasteloBrancoCamilo_POR0010CamCBPerdicao_1 CasteloBrancoCamilo_POR0011CamCBMulheres_1 CasteloBrancoCamilo_POR0012CamCBMisterios_1 CastilhoAntonioFelicianode_POR0030FelCasChave_1 CastroeAlmeidaVirginiade_POR0066VirCAInnocente_1 CastroOsorioAnade_POR0002AnaCOSacrificada_1 CastroOsorioAnade_POR0062AnaCODiario_1 CastroOsorioAnade_POR0099AnaCOAmbicoes_1 CordeiroLuciano_POR0100LucCorDuquesa_1 CoutinhoManueldaCruzPereira_POR0096ManCPCouElvenda_1 DiasCarlosMalheiro_POR0074CarMDiaErvas_1 DinisJulio_POR0001JulDinMorgadinha_1 DinisJulio_POR0007JulDinInglesa_1 DinisJulio_POR0015JulDinFidalgos_1 EcadeQueirosJoseMariade_POR0005EcaQueMaias_1 EcadeQueirosJoseMariade_POR0008EcaQueRamires_1 EcadeQueirosJoseMariade_POR0009EcaQueAmaro_1 FicalhoFranciscoManueldeMeloBreynerCondede_POR0021ConFicEleicao_1 FigueiredoCandidode_POR0090CanFigTres_1 FigueiredoMauriciaCde_POR0035MauFigExilado_1 FonsecaFaustinoda_POR0014FauFonMindelo_1 GamaArnaldo_POR0091ArnGamDinheiro_1 GomesFranciscoLuis_POR0084FraLGomBramanes_1 GraveJoaoJose_POR0041JoJoGraMorte_1 HerculanoAlexandre_POR0003AleHerCister_1 HerculanoAlexandre_POR0023AleHerEurico_1 HerculanoAlexandre_POR0038AleHerBobo_1 LealJosedaSilvaMendes_POR0047JosSMLeaEstouro_1 LimaJaimedeMagalhaes_POR0032JayMLimTransviado_1 LimaSebastiaodeMagalhaes_POR0028SMagLimViscondessa_1 LobodeAvilaArtur_POR0072LobAviCaramurus_1 LoboFranciscoBarros_POR0097FraBLobGil_1 LoureiroAugusto_POR0098AugLouBruxa_1 LoureiroUrbano_POR0092UrbLouQuintino_1 LousadaAntonioJoseCoelho_POR0040AJCLTripeiros_1 MacedoDiogode_POR0029DiodMacCristao_1 MachadoJulioCesar_POR0082JulCMacLisboa_1 MagalhaesLuisde_POR0043LuiMagSoares_1 MascarenhasMiguelJT_POR0027MJTMMariaDaFonte_1 MeloTomasde_POR0034TomMelLuiz_1 MendoncaAntonioPedroLopesde_POR0057APLopMenDoido_1 MesquitaAlfredode_POR0095AlfMesRua_1 MesquitaMarcelino_POR0087MarMesImpostores_1 ModernoAlice_POR0056AliModSandoval_1 MoreiraJoaoBaptistadeMatos_POR0073MatMorTempestades_1 NoronhaEduardode_POR0078EduNorAgonizar_1 OliveiraMartinsJoaquimPedrode_POR0067OliMarFebo_1 OliveiraMascarenhasJoaquimAugustode_POR0071OliMasArrabido_1 ONeilMaria_POR0065MarONeiMarquesa_1 PestanaAlice_POR0083AliPesPrejuizo_1 PimentelAlberto_POR0022AlbPimCintra_1 PimentelAlberto_POR0055AlbPimAnel_1 PimentelAlberto_POR0058AlbPimGuerrilha_1 PinheiroBernardinoPereira_POR0094BerPPinArzilla_1 PinheiroChagasManuelJoaquim_POR0017MJPChaMeianoite_1 PinhoMariaBenedictaMousinhodeAlbuquerque_POR0086MBenPinMarina_1 PintoFortunatoCorreia_POR0075ForCPinAgitador_1 PintoJulioLourenco_POR0079JulLPinMargarida_1 RamalhoOrtigaoJoseDuarte_POR0063RamOrtMisterio_1 RodriguesManuelMaria_POR0025ManMRodRosa_1 SaAnaMariaRibeirode_POR0093AnMRSaMathilde_1 SaAntonioManueldaCunhae_POR0081AMCunSaParte_1 SaCarneiroMariode_POR0019MarSCLucio_1 SarmentoAugusto_POR0085AugSarProvidencia_1 SarmentoInacioPizarrodeMorais_POR0039InaPizEngeitado_1 SilvaLuisAugustoRebeloda_POR0016LARSilFantasmas_1 SousaMariaPeregrinade_POR0069MPerSouHenriqueta_1 SouzaLopode_POR0061LopSouLagrimas_1 TeixeiradeQueirosFrancisco_POR0026TeiQueSalustio_1 VarelaAJPereira_POR0088PerVarMiseraveis_1 VasconcelosAntonioAugustoTeixeirade_POR0045AntATVasCastromino_1 VasconcelosMariadoMontedeSantanae_POR0006MMSAVLourenco_1 VieiraJoseAugusto_POR0036JosAVieDivorciada_1
AlbergariaAntoniodaCostaCoutoSade_POR0033ACCSAAnselmo_1 0.143719031442 8.682959080295879 7.466703574446017 10.144944732860525 6.284453239184743 7.4692653198484384 7.114560400509611 6.767183851344093 7.355202684667618 5.725767231237626 10.076312836941762 8.115618171109682 8.81864383132138 9.205999724238717 8.74262962558223 9.252442842077501 6.054945729819906 7.272802618357247 7.247398839756392 8.539386400966674 7.753995862420673 6.23852604942584 6.562452542066975 8.057636293832545 6.475416519645064 7.624228835787991 7.448665458062377 5.059612056401528 5.564576944428113 5.089277948354036 9.045544249983523 7.576942513708203 6.754330225646894 6.258151305595049 4.801247471962855 6.735158776509039 6.700245882556147 9.092472920034021 5.493424109656467 5.3905604233506486 4.261271729620096 8.738871601327434 9.196797982155227 7.755737370404649 9.428764067190205 9.975435090788729 5.0865508221307545 7.013408905123382 5.596119971664744 8.197444106313126 7.364864934442488 8.596152345832008 9.72614339137484 9.03066752763262 8.624493763906633 7.554448631351887 8.438435205012402 6.718789206966201 4.339635746109847 5.9124447495120815 5.866912378944713 8.640775038429009 7.989740554177765 5.825512984916493 8.959468482598647 6.7594167917907155 5.476913075961265 7.945501041767657 6.882962514363853 6.428061623138356 6.362463463069578 6.399754684467237 7.829128462183537 6.842561107243292 8.616416389305058 4.337557595110159 7.407887020086406 6.394777868772639 6.363450100490754 7.596242514221334 8.555725594580464 7.9726830527345856 5.703295180796017 4.369779223105165 9.356417881818523 7.655701933761341 4.711266077943549 5.884875344318292 7.32244669525813 6.5465277774249895 6.987078069937898 8.778052076281043 9.284411147028932 4.638998669538101 5.780748740321573 7.014696799801408 5.179816528298939 7.128867924906694 7.315520011445869 6.767811164572574
AlbuquerqueAntoniode_POR0018AntAlbBacalhoa_1 8.682959080295879 0.143719031442 7.744403760526934 4.680188196498917 6.875798447554962 7.39522584454205 8.111544423803347 8.22673039077826 7.834346225496463 9.100665118782706 7.1796694287803 8.536019702314695 3.9947458149653468 4.66306531533488 4.326791813801297 6.637688468070063 6.563171725720131 6.402684425937674 6.032544898701921 7.1495995747219165 6.805341170153936 8.247884725640933 7.893318666493796 5.951633764133146 7.59991322202097 7.263427405875094 5.82972304784654 10.046093155420426 9.287394485582256 9.63607607077455 6.0531687839710955 6.309266435018082 6.6697853617252685 6.793767372254648 7.078599467127341 7.3245337839677065 8.611009682024596 5.420576268561177 8.100459691654267 7.975368357200844 9.188856826686022 5.778590234270725 6.442199716930247 6.3030090640551215 5.244043257545186 5.648933451078621 7.5716676638908185 7.526868309885743 7.944675424034946 7.056108563325197 6.00800563556445 6.964007493772854 6.273971617988877 6.33596635949176 6.372838310852511 6.379619484833333 5.618004553245544 7.922215222765567 8.240413826272036 8.712021497595137 7.489742786068341 8.121917781006966 5.543046507110489 7.981250633399099 5.461228738253905 8.171953528232493 8.732409316300703 7.816976616860741 7.329956115592297 7.466065280507047 7.796322038307708 7.6282470170119066 6.624645224127623 7.422880750454503 6.228497079594517 8.31541749832969 6.357810985849057 7.730952466270806 8.95174061655709 8.085920819743434 6.675602968713627 7.256866427165529 7.563599170408736 8.442042372688483 5.22384238097988 6.444463206717709 8.064212023907158 8.048605082990697 7.628710486771831 7.056619236862366 8.847931023223692 7.6350376906631245 6.436675810132226 8.891855330245797 7.743532978040323 6.20721633379238 8.182697032851088 7.68863731772268 6.9731586136128145 5.691450122779144
AlmeidaCarlosPintode_POR0050CarPAlmLisboa_1 7.466703574446017 7.744403760526934 0.143719031442 8.296258893623728 6.325674307118681 7.1872495892691175 7.2414008481775545 6.699872796948367 6.378046148117781 6.792286930184714 6.603252706530995 5.543194911040486 7.954554013170591 8.61481505584615 8.692690455003348 5.95377710288186 7.3572668992537364 7.857056098462606 7.937177127056799 6.8151753177890315 6.738342730435883 6.653383014237115 8.153925084875857 7.569460058551242 6.94172938305715 7.123410899035471 7.740991899833195 6.216810106197668 6.490106129166274 7.066469195575563 8.02609877561422 7.311856393985627 7.178649707796364 7.897681098314134 7.352741026763407 6.446330650276077 6.519988169088512 7.635044678026912 7.664075417290903 7.388980794789081 7.358472989060609 7.908658635762059 7.227852613263437 7.912809114324159 8.818851867783547 6.829931502526557 5.846414576358047 7.999592453217165 7.093397872295085 5.253516992917509 8.516377719626984 6.681327877298526 6.469078121085491 6.025572775350309 6.629279252647628 7.397128187370299 7.873534962314176 7.018076424585582 7.484368525599043 6.985381200761996 7.298233543807978 6.210476150404897 6.156716031475365 6.5731896453951535 7.97716759381325 6.513911265273298 6.964035146709784 6.311260474965786 8.225973410557838 7.720944165950564 7.993164638035474 6.086680737949258 5.97235979901881 6.433239428695461 6.266307345189403 7.338792485587276 8.30498169037273 8.059420921650153 6.746133059646991 6.751183276920471 6.145602687545565 7.273965653514444 7.497493751477059 7.395255598410637 7.373364907173119 8.055365342687377 7.943382029173513 6.77381568317882 5.855778314087343 8.450993623060793 6.282969853272224 6.01694540143762 6.125236927748167 6.048352990598151 7.475402980477463 7.203263558561124 7.667113369897688 6.511791328352956 5.732748673468334 8.118420846698626
AlmeidaFialhode_POR0060FiaAlmRuiva_1 10.144944732860525 4.680188196498917 8.296258893623728 0.143719031442 7.60940967251396 6.9353224296482106 7.319577929878539 9.000456452273509 8.406863818694545 9.259748350110854 6.924006096049326 8.888282447450978 4.504294063123987 3.4082903127344077 4.647558949344976 7.015644424164742 5.323480968427048 4.693823962229515 4.103941999959963 8.219298469724379 6.667627579665032 8.031651191259167 7.214763657421966 5.938154258054004 7.679520455187727 6.088501512034661 5.895803725468192 9.262066893179401 8.007474927227143 8.51490419022142 5.556579573097721 5.748936831610685 6.8329031641555025 6.871159041676084 8.610763200282808 8.36959162222123 8.32538510691161 4.6399693386140966 8.586134330576899 8.874472976803583 10.105208808768772 5.451715439385933 5.822328567336058 5.5547019854189035 4.254842038042115 5.206607854054937 9.966183526311134 6.583395293172867 8.406184223804669 6.936688074366036 5.185460786245836 6.851557964190287 6.486273387826759 6.686334093454198 7.151563159557931 6.140818354486555 4.843364689138621 9.504783803270342 8.490278406809935 7.806028687869791 7.520515939514967 6.9153912345513335 7.1403368704249885 9.134274513674766 4.317308202923042 8.961860390740764 10.069053023188273 7.38260207757203 7.273785764830625 6.9772728517162905 7.2733124186021225 8.563377641457823 7.809147009500308 7.1813464484893235 7.937516185594358 9.048590780068729 6.1967800501176775 7.475564479601649 8.904341791538508 8.405497611568894 7.483362339914991 7.269919188515267 7.032337634878109 9.313800386776387 3.5389568436478815 4.9145257893044025 9.037429856804138 9.395255603887806 8.920710310029667 6.303330912052115 8.991196528812049 7.880233048301429 6.124250243361127 9.02412957229217 8.810942977412022 6.301454899688829 9.342954504750967 8.793011329315592 9.099457670325913 5.496958020701478
AlmeidaGarrettJoaoBaptistadaSilvaLeitaode_POR0004AlmGarViagens_1 6.284453239184743 6.875798447554962 6.325674307118681 7.60940967251396 0.143719031442 7.681899961368149 7.144220183664937 7.20153673193437 6.714498144355447 5.633232763323942 7.740285456820493 7.624152284405609 6.4429208864479355 7.419212874180661 7.1621793369805555 7.476927974093143 6.172548817213396 6.817575303424013 7.064978587724158 7.706225280382295 6.817215417686409 7.7254962356721775 6.83527450634398 7.388395936103695 7.0689271862011385 7.594268736396868 6.1073434801587405 6.541019276786391 6.499700819429984 7.221632126439552 5.9080608399145635 8.239323743348082 6.311145054714459 6.115515280484809 5.512199562233575 5.442265286567705 7.165258236642911 8.636284484790115 6.977503532456889 7.151147155340523 6.476560834103792 7.252351124486538 7.470710993706364 7.79357852241645 8.381328936064845 7.117089360901167 6.670276917527761 7.988575532240767 7.183229061502757 7.197804788718582 7.730840033068371 6.863437239968816 7.754911735988377 7.593392060719936 7.81841250347138 7.527019998407429 6.923498772626877 7.747577320045034 6.584760354165958 7.190471569927034 7.434874333649248 7.824351555985063 6.860589063829903 7.004800520901794 8.540267082099756 6.392028580281714 8.358359978932487 6.7718985263115705 6.172210038214664 7.322864171442067 7.817502736024101 7.3215506773431525 7.780801116561272 6.803344204716184 7.82770726851549 6.893213167081886 7.754237027047082 7.736633043035618 7.239395633916613 8.003473151532212 6.071585415791459 7.365307440483916 7.239040017552361 6.771307433162742 7.828679900759381 7.681887405958139 7.2329125573254265 7.3679738956106515 7.561378628642116 7.148854371378 7.813294082352453 7.08379004548145 7.358726988643129 5.551682579804448 6.800012041126604 7.607987979502036 7.941395738592873 7.063113287447231 6.302049223629564 7.1371458746034655
AmorimFranciscoGomesde_POR0046FraGAmoSelvagens_1 7.4692653198484384 7.39522584454205 7.1872495892691175 6.9353224296482106 7.681899961368149 0.143719031442 6.750700067887207 7.3871872197701665 7.293572058746015 6.34646264566744 6.433096914755447 6.471102421506734 8.828325566904397 8.608592755465732 8.332702583411322 6.547676978443148 6.8926879470833 6.745577729714289 6.875527037054238 6.770172632063778 7.042107836048912 7.893403815620483 7.000541744282899 6.990955750622432 7.7073177987534 7.133969751322495 7.610692215947317 6.57564943305281 7.130643370908252 7.450466793130127 7.093294549837055 7.2908191186104006 7.785436399025641 7.448352501477389 7.844928699814147 8.043506851331868 6.015371473490557 6.971012394847681 6.870448502416972 6.8548694570756465 7.160723577029074 7.142743294708581 7.701613763987501 7.294626662092241 7.765779521632414 7.074617108203445 7.228920365564294 7.023036157976624 7.123957179795702 6.364894605103692 7.395575401732136 7.280752884810191 6.598152441304101 6.9892214476536 6.822825497146235 6.7151701217656 7.18153294200388 6.8571694479811 7.1180975921448155 6.562414616283718 7.388349988680845 5.775538298987839 7.479407318983912 7.111324404371141 7.7616353007359935 7.147705227358329 6.62008075732725 7.4290135784168445 7.242301604150804 6.4978001931254 6.811299198844995 7.318011532886231 7.300134987766659 7.271045328778364 7.437783073215626 6.751978896886449 7.175904564262204 6.51046711344476 6.119977125426528 6.894816519494663 7.736786389636273 6.920261329341818 7.177542295743438 7.047149130197223 7.858192308307277 6.580873199082033 7.30780764579211 7.278688103060384 7.148037846089343 7.238814739450678 6.269677048467345 7.722424263386529 6.6788047962357995 5.748803994583291 6.744187037059879 6.723709126012137 6.32884003139495 7.587684488900248 7.14869992142992 8.26063399856507
BarataAntonioFrancisco_POR0049AntFBarCartuxo_1 7.114560400509611 8.111544423803347 7.2414008481775545 7.319577929878539 7.144220183664937 6.750700067887207 0.143719031442 4.022589516813394 4.132373935174686 7.559088068049372 4.8376435804304805 7.349084699672921 6.971168404943335 6.5204735969374825 7.042794407417294 6.6398423953652985 6.987560574109254 8.768432613481052 8.534427866482629 5.3629067810152335 8.645021908250175 5.975173165225012 7.230843713039486 6.601870078043008 6.6465893277542545 7.2008510368217715 9.66392498350829 6.053302657052824 6.723338847784421 7.159124270413623 6.605541833444185 7.740716736689875 8.521144307631461 8.917958001284937 7.789927528513498 5.315792332278689 6.23024282131834 8.045106135625009 6.7384633911315035 6.050417364808679 7.274190736437112 6.49336895089489 5.366554548240471 6.885697961224176 7.199218000732074 7.251120394321219 7.295155634492555 6.036340955517111 7.561206729250861 8.815111146404114 8.062886796420784 6.728109878941871 7.679531231933706 8.606097253928125 6.837579208764255 8.12410224345387 7.011310753812974 5.756869936051701 6.157332360716168 6.284753976895443 6.844838037078785 6.251737142768648 8.16707160689362 7.669509346696071 8.4234598009251 5.964613810967674 7.787176761528588 8.652818247391885 6.251841448081714 5.523264282237464 7.231691188274557 8.12575317712826 7.417560121964304 6.963227685552222 6.889706879104123 7.05212711790746 7.599999529062065 6.165570387429522 6.17448209263529 5.6719695933005525 6.9443942772386595 8.330852490816122 6.482360795658768 7.400727137136679 8.512579833289951 8.241089559900583 8.42732825385022 9.009371962311084 7.286846043089856 7.837785693780239 7.165747109571668 7.143926684021242 6.708992231967298 7.629579489968318 8.995220372236629 6.982100334161438 6.407732758071349 6.76626345075509 8.950628239795961 8.173630095967573
BarataAntonioFrancisco_POR0059AntFBarDuelo_1 6.767183851344093 8.22673039077826 6.699872796948367 9.000456452273509 7.20153673193437 7.3871872197701665 4.022589516813394 0.143719031442 3.358741724219419 8.07718440903736 4.904293597681256 6.3141632119299285 8.291719077875307 8.313627749821872 8.562890916514379 5.953018836461974 8.70803003862547 9.624146070965931 9.837772245453705 5.1360728238287106 9.078080739524271 4.659442617176525 7.926440662565547 6.8655133307875955 5.853628255109063 8.369658074317533 8.534486445910037 6.0577984737219 6.969422584295798 7.0364108939611665 7.427048229962634 8.05993060847886 8.860044461118198 9.337000610619619 7.63933370457098 4.06420351968546 7.543003874264165 8.23176105046788 6.998282983930091 6.502411146595425 6.912686673655738 6.795149451463716 5.932007397067114 7.136344360623779 8.019969169522232 7.817014014765338 6.854886545937142 6.56396361233163 6.947872087176131 7.562976264443854 8.881985245525616 6.516212725182055 7.065181116849029 7.237050891410209 6.685727860006431 8.11953747687004 8.271592836762608 5.149166767973198 6.391320257038049 6.976452729479622 7.352168497068098 6.395035888033576 7.102574204930791 6.518145817791393 8.628684980768254 5.8109050312122985 5.853215300709868 8.275156841922316 6.670659009391599 5.94788830080838 7.028784141298411 7.653742174802188 6.660041568145985 6.971440230413842 6.110922166380883 7.02622707329437 8.078989688786235 6.425239074668128 5.814464685093979 4.558742189117326 6.48781181349396 8.153954759372443 7.225418762190599 7.765656357223813 9.251983425428856 8.661374337509232 8.171552969657991 6.808944937777061 6.027467998381595 8.816244172411517 6.7501164209813265 6.6959072633519 6.3718306521708135 7.555325769793913 7.718623268972141 7.342508770935088 6.17043071649951 5.031057091377668 7.985181308422691 8.591068565385344
BarataAntonioFrancisco_POR0064AntFBarManuelinho_1 7.355202684667618 7.834346225496463 6.378046148117781 8.406863818694545 6.714498144355447 7.293572058746015 4.132373935174686 3.358741724219419 0.143719031442 8.072059028313564 4.531989538359743 5.850324673291921 7.682398250715293 7.848549892139293 7.812684606367249 5.683576151753594 8.433205392876369 9.405817131442229 9.713081370533846 5.082904355701267 8.741120923125479 5.588460105082838 8.11653682414041 6.570888677841104 5.902247694257143 7.820462452665849 8.593403922294147 6.331433006104913 6.967171467499261 7.780520847698956 7.117675868820709 8.18190254118761 8.502698426906592 9.169904682222231 7.903004265142859 4.215847246943648 7.496445666362786 7.981146922115521 7.000471227848603 6.579924360371825 6.996837183057338 7.04901984080907 5.955710615995515 7.415035659967423 7.932266251690855 6.93534376872941 7.038230321850706 6.63282818321107 7.469566228455118 7.1558034747781285 8.709400484587078 6.1937705654909925 6.635779259484768 7.057349200369277 6.143286212258682 7.564435721777232 7.804254754393233 5.365834856721603 7.194445305730813 7.33800170225977 7.292297764325265 6.096718361342735 6.210684889273485 6.89517838696373 8.602615556994685 5.3344233332939295 6.58376699921271 8.345293746467533 7.058255907846319 6.056114796259296 7.640253335164886 7.992476396062606 6.480681252327849 7.275136932685944 5.644148546423369 7.517161806462269 7.925303878906016 6.8507250990989785 5.9158853997735905 5.072176419301729 5.915582670423237 8.129214032236003 7.9432688029839085 7.9495582685158945 8.769358962343032 8.847736192916768 8.676069597183254 7.605502398281855 6.030654363541025 9.263721911815486 6.426143171024413 6.3471513437573694 6.125586200677717 8.289539323566117 8.096697692430197 7.328374143032843 7.1106478840472676 5.396949866491473 7.754424823150967 8.74851096338974
BastosJoseJoaquimRodriguesde_POR0077JosJRBasDeserto_1 5.725767231237626 9.100665118782706 6.792286930184714 9.259748350110854 5.633232763323942 6.34646264566744 7.559088068049372 8.07718440903736 8.072059028313564 0.143719031442 7.6201394324991165 6.637246035862467 9.530933688733658 10.278914551482696 9.0993654865561 8.21666096547886 5.99986257670718 6.250124318567036 6.847464745191211 6.780839935699797 6.238839335783691 8.772893259305226 6.647573978884561 7.599036976462961 7.899858788945941 6.985972645948898 6.919634926400936 6.04570510630066 6.421700789261597 6.360141565620776 5.54652534380167 9.300906955604283 6.58362631706771 5.1736460619130415 6.472821792792442 7.561283204953116 3.894745910732352 8.978344506526232 6.25220929074697 6.861107024727671 5.5169714526383595 9.237615208193121 9.15589725159351 9.075048509869616 8.818440019199912 8.017696967984277 6.111848973340463 7.466255050547318 6.331078732613236 7.6782756483882215 8.394725427709503 8.027993901896947 8.420232834830491 7.835227397217219 8.083316212598598 7.7742761431962055 8.105278528410842 6.965973830427085 6.805418036332797 6.395384443792051 7.908428975725304 7.985142282710539 8.65589918040701 5.909165229600953 8.95483814147966 6.41636213141634 6.76215834248179 5.451347609751635 5.4963529582972654 8.104324573471285 7.194514408904454 6.611914967953398 8.40719741004831 7.621357499448333 9.57184495411992 5.9518871175419745 7.130852875583314 7.121651612701066 6.541030119942174 7.8048248223642425 6.298658967657543 6.505266968987396 7.17809009838978 4.238111240719073 8.74081988953694 7.377656744564291 6.008981372796499 6.431814040741349 7.5283480980305395 5.300468755061264 6.139840527930351 5.898535112630427 7.943253525837741 4.367238121985663 5.7038941853553595 7.754764736303152 6.525580097891081 7.266942739505486 6.428570130195459 8.116317778260534
