 AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 CxipikoIvo_SRP19090IvoCPauci-L2_1 CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 DinicxSreten_SRP19091SretenDPreporodjaj-L2_1 DomanovicxRadojeM_SRP19025RadojeDStradija-L2_1 DxordxevicxVladan_SRP18631VladanDjKocinaKrajna-L2_1 DxordxevicxVladan_SRP18690GmundenskoJezero-L2_1 DxordxevicxVladan_SRP19131VladanDjUFront-L2_1 DxoricxNikolaV_SRP18821NikolaVDjKavaljerLaza-L2_1 DxuricxDusxan_SRP18962DusanDjKonacDelo-L2_1 DxuricyicxMladenSt_SRP19141MladenDjKadSumeTalasi-L2_1 GavrilovicxAndra_SRP18930AndraGPrveZrtve-L2_1 GavrilovicxAndra_SRP18964AndraGDespotovaVlastela-L2_1 GavrilovicxDraga_SRP18840DraginjaGIzUcitZivota-L2_1 GavrilovicxDraga_SRP18870DraginjaGBabadevojka-L2_1 GavrilovicxDraga_SRP18890DraginjaGDevRoman-L2_1 GlisxicxMilovan_SRP18751MilivanGGlavaSecera-L2_1 IgnxatovicxKakov_SRP18590JakovIDjuradjB-L2_1 IgnxatovicxKakov_SRP18620JednaZenidba-L2_1 IgnxatovicxKakov_SRP18630JakovIMilanN-L2_1 IgnxatovicxKakov_SRP18750JakovIVasaRespekt-L2_1 IlicxDragutinK_SRP19040DragutinIDjera-L2_1 IlicxDragutinK_SRP19061DragutinIHadziDisa-L2_1 KaksxicxDxura_SRP18740DjuraJSeljaci-L2_1 KaksxicxDxura_SRP18760DjuraJCicaTima-L2_1 KankovicxMilica_SRP19180MilicaJPreSrece-L2_1 KanxicxVelislav_SRP18992VelislavJLutajuceDuse-L2_1 KaraRadovanovicxPavle_SRP19002KrvaviZlocin-L2_1 KevticxaStevanaK_SRP18911StevanJJDanica-L2_1 KezdicxKostaD_SRP19062KostaJZlocinSvekrve-L2_1 KomarcyicxLazar_SRP18800DragocenaOgrlica-L2_1 KomarcyicxLazar_SRP18871LazarKMojKocijas-L2_1 KomarcyicxLazar_SRP18934LazarK1RazorenUm-L2_1 KosticxTadijaP_SRP18960TadijaKGospodaSeljaci-L2_1 KosticxTadijaP_SRP19030PrvoVeselje-L2_1 KovicyicxZxivojin_SRP18935RobinjicaZlata-L2_1 LazarevicxLazaK_SRP18980LazaLSvabica-L2_1 MamuzicxStevan_SRP18961StevanMNejednakaBracacorr20201221-L2_1 MarkovicxAdamovPavle_SRP18881PavleMADuhVremena-L2_1 MatavulxSimo_SRP18922SimoMBakonja-L2_1 MatijasxicxStevanM_SRP18970StevanMatGroficaAgnesa-L2_1 MihajlovicBranko_SRP18780BrankoMPredZoru-L2_1 MijatovicxCyedomilx_SRP18910CyedomirMIkonija-L2_1 MijatovicxCyedomilx_SRP18920RajkoOdRasine-L2_1 MijatovicxCyedomilx_SRP18990MijatovicCyKnezGradoje-L2_1 MilicxevicxMilanDx_SRP18790MilanDjMJurmusaFatima-L2_1 MilicxevicxMilanDx_SRP18810MilanDjMDesetPara-L2_1 MilicxevicxMilanDx_SRP18860MilanDjMOmerCelebija-L2_1 MilicxevicxVelxkoM_SRP19121VeljkoMBespuce-L2_1 MiodragovicxKovan_SRP19102JovanMRadisa-L2_1 Nepoznat_SRP18923NNBeogradskeTajne-L2_1 NovakovicxStojan_SRP19130StojanNKaludjerHajduk-L2_1 NusxicxBranislav_SRP19021BranislavNOpstinskoDet-L2_1 NusxicxBranislav_SRP19201BranislavN1915-L2_1 PetrovicxBosxkoSt_SRP19080ModernoRoblje-L2_1 PetrovicxKosta_SRP18965KostaPNeimarisaKrajem-L2_1 PopovicxPanta_SRP18691PantaPKakavJeKo-L2_1 PopovicxStevanV_SRP18882StevanVPSumarevaCerka-L2_1 PopovicxSxapcyaninMilorad_SRP18880SapcaninSanjalo-L2_1 PopovicxTodorLx_SRP19010TodorPGila-L2_1 RadovicxDimitrije_SRP18942DimitijeR-Sinovac-L2_1 RadulovicxPera_SRP18752PeraRBezOcaMajke-L2_1 RankovicxDragutinaK_SRP19023DragutinRSlavko-L2_1 RankovicxSvetolik_SRP18971SvetolikRGorskiCar-L2_1 RankovicxSvetolik_SRP18993SvetolikRSeoskaUciteljica-L2_1 RankovicxSvetolik_SRP19000SvetolikRPoruseniIdeali-L2_1 RogicxDusxan_SRP18921DusanRSrbinHrvatica-L2_1 SavicxBozxa_SRP19031BozaSDveSestre-L2_1 SekulicxIsidora_SRP19190IsidoraSDjakon-L2_1 SremacStevan_SRP18941StevanSPopViraPopSpira-L2_1 SremacStevan_SRP18950StevanSIvakovaSlava-L2_1 SremacStevan_SRP19071StevanSZonaZ-L2_1 SretenovicxMihailo_SRP18940MihailoSRadeticaMara-L2_1 StankovicxBorisav_SRP18991BorisavSUvelaRuza-L2_1 StankovicxBorisav_SRP19022BorisavSPokojnikovaZena-L2_1 StankovicxBorisav_SRP19101BorisavSNecistaKrv-L2_1 SuboticxKamenko_SRP19203KamenkoSLegijaSmrti-L2_1 SuboticxKovan_SRP18730JovanSKaludjer-L2_1 SvetolikVladimir_SRP18951VladimirSKaznjenoNeverstvo-L2_1 SxisxkovicxDragomir_SRP19200DragomirSJedanOd-L2_1 TaletovPeraS_SRP19060PeraTNovac-L2_1 TasicxDimitrijeS_SRP19024MickoHarambasa-L2_1 TodorovicxPera_SRP18892PeraTodSilazakSPrestola-L2_1 TodorovicxPera_SRP18933PeraTodSmrtKaradjordja-L2_1 TomicxKasxa_SRP18966JasaTNazareni-L2_1 TutunovicxRadojicaV_SRP19001MilanovoSkolovanje-L2_1 UskokovicxMilutin_SRP19100MilutinUDosljaci-L2_1 UskokovicxMilutin_SRP19110MilutinUPotroseneReci-L2_1 UskokovicxMilutin_SRP19140MilutinUCedomirIlic-L2_1 VeselinovicxKankoM_SRP18891JankoVBorci-L2_1 VeselinovicxKankoM_SRP18932JankoVSeljanka-L2_1 VeselinovicxKankoM_SRP18963HajdukStanko-L2_1 VuleticxVukasovicxVid_SRP19011VidVVCarDubrovnik-L2_1
AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 0.0 46.08348031766599 64.01453596399699 63.24828413997528 63.45288844936355 65.17994378436741 66.07080461448197 62.86288935078904 64.01355107703517 56.26207760736809 57.99719515952045 59.20454516711435 48.05721626108265 51.020399854127064 51.4562556955538 56.31129450213313 52.06057990673719 58.31158031312234 56.53825430225182 57.09553118497966 51.12061360573965 54.58065253447727 52.10557362874255 63.6354484764662 51.91715881112422 53.918837640112244 51.84273348052205 54.27230490515374 61.238768306622624 56.54092926354419 57.048727474791015 51.35461877581162 53.74366354898551 54.462264576926955 51.30392333767985 53.85319733224157 55.93095725217033 45.72760797067353 46.69901393982504 48.656079378750206 61.781697713078174 61.24997453457717 50.00688625563822 53.54330536506489 58.50951245040311 63.089428423374095 62.773613047807885 51.781773908871656 57.08164399215019 55.49877520449988 54.777550409657316 56.51689080304224 60.58804268701421 54.28351666099208 58.68391869125775 60.306247791950604 59.224930319264324 55.672948389508704 54.06107853006308 61.57720922305426 59.75474686791031 57.66534901376406 61.44592384422161 50.40825943994175 57.6905410394579 65.27156843696805 65.42818872985036 52.31434920935057 49.45643998851778 54.392553603275545 63.671854924145286 64.8146327925327 67.25337553367675 49.71980174714151 60.62226468794453 60.12042635185982 62.121967703777074 65.14117400216571 63.91887367300622 54.668825318370104 60.71557373753789 61.901733027397306 63.04678691763777 55.12869711979209 50.35655192029715 53.16655275427086 63.01818781313798 56.46041442208843 54.98477024357009 55.42213962018371 56.88627946634538 58.48879710862696 53.99554122883582 54.15462191128904 57.384756490886566 59.64326209347057 55.648821364382506 55.86818851723674 54.427965315725324 57.325226154076304
BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 46.08348031766599 0.0 62.62838373602431 61.45920162761078 69.02937022264227 67.07388192884038 65.99105197319933 63.46720209340942 62.00437725250947 68.74571728664532 59.62888060928624 47.931485142612914 52.49610775868088 47.43918835915243 48.74848157135639 60.77554643679307 45.47887890212757 49.50960337390621 44.61661428049676 47.240606476187665 52.98328166548672 59.24605418454572 56.09876927822421 69.71031015825628 40.23563935465425 62.145192166385094 57.7451339717634 52.679546394662296 58.45094753981347 53.97339255990367 63.4793358641404 56.53368794276841 65.98032655299785 52.309057922410894 59.20697021901564 45.766646637267584 40.79146804601464 44.480919161898605 52.33479756653308 58.72198868960778 62.32531870435862 68.4888445806673 52.111007151142516 65.84245086380099 67.33053853368612 61.076872926319076 63.68459259823561 52.059718586122266 55.992364432846685 48.58724835893887 53.88076008008397 49.581750548753746 54.54424675520753 61.244343171625694 52.50447318436196 57.219793700434195 56.92675613935504 42.868621622382555 42.73623882392504 62.04250333115452 48.44132942562433 46.10948222454527 55.3816912818125 47.471107937300395 53.65450488214166 61.178116323085064 71.27872771011276 56.067943096719816 52.84730633996324 66.16154422610408 69.94957010089796 72.37066724584689 64.82003721188151 55.30572765081896 59.711931650383704 54.10080825086561 66.14786546076205 68.70270076135579 63.90965217578518 61.21909734671897 66.21368095696073 66.4029229043239 61.907242684889 44.005665855704386 44.06678509462307 47.294569536723024 64.10485053032815 61.79616304612563 50.38202398410493 51.33722746607644 45.91135017671608 61.11094532972755 63.76471752620889 53.32252565279614 55.35854400407099 54.42677241533012 66.85778612165372 67.92091270566625 66.58822477983502 47.8684744350925
CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 64.01453596399699 62.62838373602431 0.0 34.44405640045892 42.16958186054594 43.6029655737346 39.81341593364561 51.642326356134205 52.283279132202985 58.26687470216199 59.56953476302637 57.32326726968225 59.057930905403936 61.19782196547298 63.07190359320644 64.38103493525959 59.55028594118592 59.203945927784865 55.420781897511894 55.36291037888824 59.173734477156614 60.84940441966088 63.062964374730086 49.971215599878285 59.88916723263558 58.703822401088736 60.666418383320064 60.345292787751085 53.353786210644174 59.69901452523721 55.3639992281431 62.709074767514096 65.52383822611738 60.120320207001434 66.45819586608862 64.45469846314563 62.49895530361494 64.05095559960687 63.21870107907927 62.630346215696584 49.822397292062334 51.53730138545814 59.81773810521717 57.74918884396417 59.42948853068911 58.96268540655188 50.03610039103053 64.90668929121975 62.34391195840634 54.066395156642926 56.05696117153367 55.69673764569238 57.85640741114054 57.25915757360744 55.75599325192802 47.368138206032384 63.82400360916123 63.34579711879611 62.27358506099945 57.48031377399729 53.68256397851587 59.293781814366895 44.717989657844974 62.221180102500455 57.745605829151025 55.00354358946461 54.37811920749515 51.699973292137656 62.929397140925175 60.70432672577468 52.3819635988143 53.22706525727801 51.96395082640046 58.47482980859159 63.5682852778455 58.612746202738066 55.85075798655649 57.312736690559525 54.77952360192803 56.07529582688089 52.24735132549251 57.33330371801558 58.11258781793889 61.06021803675068 56.8436832022506 61.16736132439405 59.85938650889134 59.910034334850494 60.514485629068126 61.12011822084887 64.37109297997205 59.95794732248025 53.45852751648048 60.27274860691282 57.06392992864887 54.57209847509017 52.01057351653922 52.289589250879075 51.44064905347262 55.19102414772178
CxipikoIvo_SRP19090IvoCPauci-L2_1 63.24828413997528 61.45920162761078 34.44405640045892 0.0 44.77079063880861 45.33314800813404 42.510617099262184 47.344180261196975 46.82304650015486 55.42663560596639 57.30732326509576 60.455231054356794 63.308228067679224 63.620848117599984 64.98166633756331 66.50776224464443 62.221561537638514 64.74923985061494 56.74157122353063 57.86204486130816 62.26561333023025 59.99776943820566 59.787306214719685 47.66464171562563 55.64740494606607 58.38639187747341 58.136628759138205 54.115604147139656 54.41765612654406 57.64642496632997 51.95359473218324 60.808455257340896 68.7894789410762 58.058428040315526 63.19073732247352 62.767987051948246 56.48588098753534 66.16846344377292 62.16160631310263 61.14227112790517 44.90993512740797 49.80339386869561 59.70595523870047 59.76976061976217 57.18030222829981 52.48273816556432 49.15027030619616 68.77285270180853 65.79454401675666 52.55955605027521 54.20346354326047 53.44206671921204 51.219578560841725 54.202733721155276 50.58851664859654 52.67564523383423 64.29469312625903 68.34318751754132 61.48184573773392 57.19906316473717 59.02104282457697 63.391750831429334 45.57043121587611 58.580719498890375 59.869720233634894 53.21699143013073 53.36886720361345 56.777334499646095 63.968702975815646 63.187799648153025 51.53524748838961 55.0875044540444 52.83623172464269 57.24078285093995 63.25407196991508 59.08507278799339 55.803800343668385 50.50152863458025 54.527339775488336 54.97913005943513 50.22809079289557 52.54612315944017 55.25701893587297 61.36113682847473 56.697415247722624 65.88802608927205 59.10124904838917 62.379370262694465 66.33371020335015 66.16194552458865 66.6384925585644 57.055304747305335 56.607847183012666 65.38934187872873 61.88656136463212 58.50251427647447 52.14528823027694 52.59634651713648 53.0994064735163 56.76411341393641
CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 63.45288844936355 69.02937022264227 42.16958186054594 44.77079063880861 0.0 31.134428552285804 28.343403079563796 52.394507921896995 56.713995853599684 56.72367155519237 54.32434861732999 63.366756829758884 65.74428761086976 68.14908839619987 65.58063950327634 62.00514576105316 66.53556489441091 67.40877398985002 62.163783713380475 63.77784259252475 59.84585962593997 60.52717248649053 62.625690506734855 43.24336069473375 63.747855936511776 55.095512301562415 60.10764134414075 64.52225136884708 53.862469534701304 59.99650424677619 54.04300128893539 59.988181723969646 60.90382959086 59.59872982353613 58.30025499611391 67.43410360400698 68.29703315562432 62.74314547281977 59.933674667629894 58.27357571434224 44.45183162448632 45.925142601219804 59.54894483235313 50.94303709608403 53.975750885895465 57.86432662328934 48.77296071594282 64.78966056491217 58.97430196408258 59.371238093492074 56.528578767771954 57.31631440119784 59.096381517338855 59.48602984545611 58.256911732024435 55.24105540370205 61.19757348312967 68.62715469907474 67.72927668231304 56.14450814813534 62.38879037339952 63.4941495471051 45.954391469179356 65.51733640406243 64.65276032768087 56.195022821670335 56.01467477047031 50.099172911091635 63.42707374294474 51.13042211114422 48.78846043934694 50.63038043219022 51.66818959651063 46.73598750038265 58.472587056173936 66.82015641735883 49.68415819324625 49.13436922914225 52.50466710342868 53.62545160562443 49.98038722214654 58.1597449313437 59.58314887915414 63.239672637773666 58.42034183766878 64.86945007297817 58.89079185798355 55.683849673630164 63.675793187352284 62.648936801728865 64.8405660576989 56.11113313764819 49.85554718615634 64.50570286850224 62.12247645693393 61.91898857220701 44.00771911398223 43.39599367995251 44.49880771662354 62.88772190800547
CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 65.17994378436741 67.07388192884038 43.6029655737346 45.33314800813404 31.134428552285804 0.0 23.538935803980813 52.75575753071346 54.29977199527904 56.18289359560418 61.464552878695855 62.74203211415716 62.92919685660086 63.971782468754306 68.6820125740493 60.48750250042002 64.78262641215339 64.66447250637313 64.42275584536955 59.593998373390285 60.87995292267351 59.222336075720015 62.2579639847048 48.14527768670194 66.05352595014676 59.86711015107831 59.84748960220935 62.907379565548425 55.558894711532545 58.75653209173332 58.059836267823144 62.71278058328364 58.77041749395979 60.12186968238566 64.19285297249465 67.40357286718232 65.1498639669372 66.93937436092126 64.51611266995837 60.07919943680625 51.57584370497051 46.92011391867747 61.362555716959015 49.5287222591208 58.94768723118177 62.156225441549815 53.732528438887535 67.94791281031905 60.99757449534339 58.025431005208354 55.558184141175595 58.24379620317331 60.74487380057793 59.13256661380153 56.24732574121001 47.120566278923405 58.90115104029463 64.63164024437886 65.17406996934743 57.33828621413944 56.192126818456444 62.27503931573775 50.431198643849044 66.60212173385685 64.25327578179073 57.0223946259475 48.46672370746798 50.63301679634189 62.821132019310205 52.27319910056079 49.33639111545766 48.01183162021083 50.225017524045285 54.88337748761707 57.755004660061395 61.36905809716716 54.008953407845674 53.08344641658092 51.20944995312394 57.764142705963856 40.06887967791513 46.87683751183117 49.74603045367857 65.87358771519966 63.60338886208249 63.727761650016724 54.7602773477903 53.23651261917989 61.312162440656635 61.11886434506736 62.28810404428834 59.1377032803035 51.383848860479 63.20164056475827 60.9948014924061 59.0490927532627 52.92972167916788 51.203366678386004 49.96403931451553 63.87605224397117
CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 66.07080461448197 65.99105197319933 39.81341593364561 42.510617099262184 28.343403079563796 23.538935803980813 0.0 49.77942733098906 52.56000822031651 58.514696281254366 58.14790330429777 60.23899944730094 63.270309756615966 64.83400501948502 67.7713762039841 64.10899270633794 62.79767768442521 62.30151707210962 58.82043966824127 57.445708004469786 62.518893203885796 64.09079816561238 65.25874013636914 45.730003212917346 62.82732851962713 59.29880870978457 64.03678375900984 64.38334048807418 51.71738327805485 60.176200105406075 56.05340166049925 62.56985991944566 63.994543703331786 61.91296369121024 65.00885399185763 67.37781195035816 66.68842108619512 64.42584947580438 62.35179114309167 61.61115547866016 47.1344079931586 47.31836527730235 61.08603899183887 54.35713847856487 60.662714889270184 59.71668624572396 50.743196468503555 67.49159640957663 61.57024333104826 54.3309100528681 53.927513187562475 55.03338865377577 56.972757897545186 60.4626765608174 56.833116879505006 49.18739665970165 62.98694091242487 66.49835698071654 64.97506876783274 57.77804626768737 56.71227803254244 60.49805581358974 44.285560508959875 68.46770247679335 63.696198960569625 54.06250044786954 52.45376017339368 51.425055566511055 66.18972807365873 55.13163183917528 48.555663166909746 49.249413557222724 46.77052609066744 51.79362426523296 60.337310011074905 62.83363510690748 54.695245103530034 53.56206463519843 52.694528999265174 57.404220771951984 45.72205173123064 55.197825737192765 55.43922597588987 63.2458420939198 61.05936059867579 62.567559998608004 59.44280629000055 55.44497575843038 60.777430290949006 61.61894836526736 63.78268385027013 59.957304920508044 53.344339225896306 63.68644811355478 60.355628332945614 58.65995140591886 50.31681461337039 49.605611239843824 47.74846062109388 59.239857668129126
DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 62.86288935078904 63.46720209340942 51.642326356134205 47.344180261196975 52.394507921896995 52.75575753071346 49.77942733098906 0.0 39.45297541083167 48.37962349985323 56.04783018258586 63.6106743688937 64.2241844702928 65.37657681073728 63.93691162588787 66.99627529630557 65.58985165133382 66.37770923070391 61.634303931858746 62.117796631222554 63.5111959934694 59.35066662342397 61.58303924429467 45.71663654529226 54.74951814501779 53.63892294747666 54.39197697929598 51.70407506605293 62.27956731916571 61.73389242259411 47.865722491524934 53.36553040174171 63.04647203338976 58.9702264752705 57.00652539874714 65.76631772957455 58.89619401380949 60.087870083639444 56.92464783096726 57.7407353287218 41.95887560388549 50.93643192517711 60.31734037316862 57.63369194647177 52.470706741354796 54.52942300014971 44.99026430645074 65.99747955692568 66.61835365209362 54.699583886978864 57.485327474131125 57.02623265859146 49.447984402561666 51.714337934488334 50.939321615514615 61.67408539485862 60.59018838479619 68.17844162438853 60.31088072894454 56.70224527957652 64.69923675315377 67.02498172907883 51.64744999988574 56.48058262934029 62.5879382161859 51.70142711831605 57.42587929880371 64.69218744844571 63.483865558889796 61.14091394789851 56.19418718497583 57.436432481539555 56.13646961686127 54.97530990682863 64.45688016030343 58.4944970054583 52.42824431012991 37.179318129568614 46.250133292067055 50.71584498323917 52.86118686115386 52.6118423412723 55.22405087364369 60.91377275860606 57.7971963384589 67.43736834964018 58.93382674510864 60.99118131732944 65.6297880616022 63.286382426219284 65.00792329904888 60.075898437348414 58.00587728482753 64.18248255220938 59.247908856619084 58.99667841743607 49.71515490691211 46.778490957172245 52.49339536556143 53.385397060539994
DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 64.01355107703517 62.00437725250947 52.283279132202985 46.82304650015486 56.713995853599684 54.29977199527904 52.56000822031651 39.45297541083167 0.0 39.42199208537428 63.40716512085588 57.79641437418049 61.023872223546796 60.15984905951482 63.686493320564544 64.99829512873356 62.561112603495914 54.79387320867462 55.69737615789987 56.49012378924052 66.93862835325343 59.17973576668915 61.64171185311508 54.245027457624595 55.94864882535081 61.46206529909997 61.384826657204876 50.45776334050876 54.864879963384155 60.75672236837334 50.86924969318036 56.6247594959328 66.64000848878452 57.78336371845384 65.65146592851264 61.03733888904004 52.57087495934937 63.852804287234996 62.960962119271734 62.5252419990646 47.788517047965605 57.401422274585094 58.437472803427156 61.54012523797387 58.93020770115771 56.09383314108723 47.33084546487144 65.70787593264987 69.64930326610605 49.39908353937454 57.6630881301924 55.02644897052066 47.37662190563986 56.22116097284586 49.23449811432688 52.7476480040791 61.70179152905623 59.849167551881514 56.83227505193163 58.603935331738455 56.873686168353686 63.00658134255703 47.874601263390645 56.800230178050214 59.914087257061176 47.31913401344302 58.22956127642443 60.2264074334516 64.09749356784941 67.28281890496862 58.106387363204554 55.837039571787315 50.233418371665245 59.78335288296614 59.21638404131313 49.926048425233816 59.707715810435225 50.485224695542875 52.665053907605085 57.28102327087181 51.185003731854316 50.30182352908 51.02434519688043 59.77901958679002 59.60606580320368 66.33357904733249 60.767651735285746 55.5963604513296 65.4402079605686 59.062729669612 62.787883591224286 58.81230869793645 64.05637165203756 58.24542586876178 52.38710094481473 51.96230099504812 61.24610950342769 56.05020330729768 58.748083215968215 50.56937241426813
DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 56.26207760736809 68.74571728664532 58.26687470216199 55.42663560596639 56.72367155519237 56.18289359560418 58.514696281254366 48.37962349985323 39.42199208537428 0.0 59.098170648244036 62.87621024200854 59.27223758987174 62.94052005758224 60.417483846788805 58.24361001865485 65.51661568125157 61.14549867336115 64.76228181964127 63.57296390129056 62.08058001168806 52.42443851120584 54.56862745129756 57.29096289511702 61.21790229096083 56.548377481582726 55.6693872187508 54.56883144513113 60.362215574232295 60.150043260795655 57.36363593966509 54.4916135711719 45.94843316683046 54.86509412429554 54.51113300038696 62.40537246301905 60.1729031789779 61.331609244495795 59.69880077075008 55.89689441103145 54.906880904158555 52.49957942963278 56.394965081284944 48.34758390350561 55.921322699878594 56.94358543361917 54.001022290696746 58.73577241716395 63.30776637219867 59.3024265078703 61.36306511447881 63.025540875000985 55.510596595673 54.02768118086779 56.0695409538282 53.40006327158475 58.06099133262714 63.21076529401535 59.88028806602377 58.68328020464408 63.55337662549622 66.12627063100186 57.18799100569398 58.10635369679255 62.07833357775003 55.393100495442596 53.9131321524819 59.397444563350106 57.66447550102448 54.188085822248624 56.47976450564436 54.36868816658799 55.9869328622562 56.60234923085838 54.5006939144216 54.52121779933785 59.925893766512765 52.97360199909359 55.349670363862344 55.27158420385554 49.564170643942106 45.51581685735888 51.154365735231764 62.7055878077425 62.29766166573009 66.75246927990209 53.067322889473274 51.95494569989315 67.03812738293274 61.37956099937122 62.96325242431369 53.74643744016675 57.86599045958007 53.17786094589047 52.566250530484595 52.47468115682885 55.12511468754948 51.900760264038745 54.24031425834091 59.90144596879403
