 AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 CxipikoIvo_SRP19090IvoCPauci-L2_1 CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 DinicxSreten_SRP19091SretenDPreporodjaj-L2_1 DomanovicxRadojeM_SRP19025RadojeDStradija-L2_1 DxordxevicxVladan_SRP18631VladanDjKocinaKrajna-L2_1 DxordxevicxVladan_SRP18690GmundenskoJezero-L2_1 DxordxevicxVladan_SRP19131VladanDjUFront-L2_1 DxoricxNikolaV_SRP18821NikolaVDjKavaljerLaza-L2_1 DxuricxDusxan_SRP18962DusanDjKonacDelo-L2_1 DxuricyicxMladenSt_SRP19141MladenDjKadSumeTalasi-L2_1 GavrilovicxAndra_SRP18930AndraGPrveZrtve-L2_1 GavrilovicxAndra_SRP18964AndraGDespotovaVlastela-L2_1 GavrilovicxDraga_SRP18840DraginjaGIzUcitZivota-L2_1 GavrilovicxDraga_SRP18870DraginjaGBabadevojka-L2_1 GavrilovicxDraga_SRP18890DraginjaGDevRoman-L2_1 GlisxicxMilovan_SRP18751MilivanGGlavaSecera-L2_1 IgnxatovicxKakov_SRP18590JakovIDjuradjB-L2_1 IgnxatovicxKakov_SRP18620JednaZenidba-L2_1 IgnxatovicxKakov_SRP18630JakovIMilanN-L2_1 IgnxatovicxKakov_SRP18750JakovIVasaRespekt-L2_1 IlicxDragutinK_SRP19040DragutinIDjera-L2_1 IlicxDragutinK_SRP19061DragutinIHadziDisa-L2_1 KaksxicxDxura_SRP18740DjuraJSeljaci-L2_1 KaksxicxDxura_SRP18760DjuraJCicaTima-L2_1 KankovicxMilica_SRP19180MilicaJPreSrece-L2_1 KanxicxVelislav_SRP18992VelislavJLutajuceDuse-L2_1 KaraRadovanovicxPavle_SRP19002KrvaviZlocin-L2_1 KevticxaStevanaK_SRP18911StevanJJDanica-L2_1 KezdicxKostaD_SRP19062KostaJZlocinSvekrve-L2_1 KomarcyicxLazar_SRP18800DragocenaOgrlica-L2_1 KomarcyicxLazar_SRP18871LazarKMojKocijas-L2_1 KomarcyicxLazar_SRP18934LazarK1RazorenUm-L2_1 KosticxTadijaP_SRP18960TadijaKGospodaSeljaci-L2_1 KosticxTadijaP_SRP19030PrvoVeselje-L2_1 KovicyicxZxivojin_SRP18935RobinjicaZlata-L2_1 LazarevicxLazaK_SRP18980LazaLSvabica-L2_1 MamuzicxStevan_SRP18961StevanMNejednakaBracacorr20201221-L2_1 MarkovicxAdamovPavle_SRP18881PavleMADuhVremena-L2_1 MatavulxSimo_SRP18922SimoMBakonja-L2_1 MatijasxicxStevanM_SRP18970StevanMatGroficaAgnesa-L2_1 MihajlovicBranko_SRP18780BrankoMPredZoru-L2_1 MijatovicxCyedomilx_SRP18910CyedomirMIkonija-L2_1 MijatovicxCyedomilx_SRP18920RajkoOdRasine-L2_1 MijatovicxCyedomilx_SRP18990MijatovicCyKnezGradoje-L2_1 MilicxevicxMilanDx_SRP18790MilanDjMJurmusaFatima-L2_1 MilicxevicxMilanDx_SRP18810MilanDjMDesetPara-L2_1 MilicxevicxMilanDx_SRP18860MilanDjMOmerCelebija-L2_1 MilicxevicxVelxkoM_SRP19121VeljkoMBespuce-L2_1 MiodragovicxKovan_SRP19102JovanMRadisa-L2_1 Nepoznat_SRP18923NNBeogradskeTajne-L2_1 NovakovicxStojan_SRP19130StojanNKaludjerHajduk-L2_1 NusxicxBranislav_SRP19021BranislavNOpstinskoDet-L2_1 NusxicxBranislav_SRP19201BranislavN1915-L2_1 PetrovicxBosxkoSt_SRP19080ModernoRoblje-L2_1 PetrovicxKosta_SRP18965KostaPNeimarisaKrajem-L2_1 PopovicxPanta_SRP18691PantaPKakavJeKo-L2_1 PopovicxStevanV_SRP18882StevanVPSumarevaCerka-L2_1 PopovicxSxapcyaninMilorad_SRP18880SapcaninSanjalo-L2_1 PopovicxTodorLx_SRP19010TodorPGila-L2_1 RadovicxDimitrije_SRP18942DimitijeR-Sinovac-L2_1 RadulovicxPera_SRP18752PeraRBezOcaMajke-L2_1 RankovicxDragutinaK_SRP19023DragutinRSlavko-L2_1 RankovicxSvetolik_SRP18971SvetolikRGorskiCar-L2_1 RankovicxSvetolik_SRP18993SvetolikRSeoskaUciteljica-L2_1 RankovicxSvetolik_SRP19000SvetolikRPoruseniIdeali-L2_1 RogicxDusxan_SRP18921DusanRSrbinHrvatica-L2_1 SavicxBozxa_SRP19031BozaSDveSestre-L2_1 SekulicxIsidora_SRP19190IsidoraSDjakon-L2_1 SremacStevan_SRP18941StevanSPopViraPopSpira-L2_1 SremacStevan_SRP18950StevanSIvakovaSlava-L2_1 SremacStevan_SRP19071StevanSZonaZ-L2_1 SretenovicxMihailo_SRP18940MihailoSRadeticaMara-L2_1 StankovicxBorisav_SRP18991BorisavSUvelaRuza-L2_1 StankovicxBorisav_SRP19022BorisavSPokojnikovaZena-L2_1 StankovicxBorisav_SRP19101BorisavSNecistaKrv-L2_1 SuboticxKamenko_SRP19203KamenkoSLegijaSmrti-L2_1 SuboticxKovan_SRP18730JovanSKaludjer-L2_1 SvetolikVladimir_SRP18951VladimirSKaznjenoNeverstvo-L2_1 SxisxkovicxDragomir_SRP19200DragomirSJedanOd-L2_1 TaletovPeraS_SRP19060PeraTNovac-L2_1 TasicxDimitrijeS_SRP19024MickoHarambasa-L2_1 TodorovicxPera_SRP18892PeraTodSilazakSPrestola-L2_1 TodorovicxPera_SRP18933PeraTodSmrtKaradjordja-L2_1 TomicxKasxa_SRP18966JasaTNazareni-L2_1 TutunovicxRadojicaV_SRP19001MilanovoSkolovanje-L2_1 UskokovicxMilutin_SRP19100MilutinUDosljaci-L2_1 UskokovicxMilutin_SRP19110MilutinUPotroseneReci-L2_1 UskokovicxMilutin_SRP19140MilutinUCedomirIlic-L2_1 VeselinovicxKankoM_SRP18891JankoVBorci-L2_1 VeselinovicxKankoM_SRP18932JankoVSeljanka-L2_1 VeselinovicxKankoM_SRP18963HajdukStanko-L2_1 VuleticxVukasovicxVid_SRP19011VidVVCarDubrovnik-L2_1
AtanackovicxBogoboj_SRP18520BogobojADvaIdola-L2_1 8.00557850841 23.608708245052473 30.12805444070903 29.82197848791846 29.75133823936255 30.764105178248276 30.75743146537685 30.027740474561732 30.21927103743838 27.83474778255654 28.50780735805447 28.84697640759614 25.03217734017054 25.514526007737995 25.913272787339093 27.474827744123154 25.690788993833497 28.122606626913477 27.431784015361366 28.049246853549814 25.635209053135878 26.688420871544803 26.459249843494717 29.48667290069411 26.12232084897664 26.94460421248906 26.06456365850191 26.770887252357483 29.379405014999254 27.294313725766564 27.519752041292875 25.91528977764481 25.876402806706565 26.856775183089475 25.657024367014188 26.541985788772894 27.26561157032439 24.23638572646409 24.500137197003202 24.875932673019754 29.713207326380655 29.27395294673564 25.358142904147343 25.420513993896513 27.761724708794837 29.31895606472747 29.646913159422873 25.655724056416982 27.848868280799344 27.646787892440194 26.738143766339626 27.726127782892796 28.579847716627313 26.029541187608487 27.732789709890504 28.08795441763593 28.70857216277411 27.555297740053852 26.581898286120975 29.240095714412586 28.653813169935773 27.864832056670107 29.50118520168231 25.03610903863442 27.621908722457913 30.36198453506034 30.44200372619143 25.931878169517404 25.474380872982813 26.811493479949576 30.338669084351036 30.891058100614707 31.51946197949169 25.41398657570466 29.386556666294556 28.628633236423223 29.87378346917062 30.574109950705314 29.94924957159213 27.004089499555317 29.364524322885465 29.397976495347315 29.96901912065283 27.05387650597032 25.602461818510058 26.695927754144485 29.582881906779267 27.47031009212444 27.113780862307244 26.905731164473583 28.0916097610105 28.545688804635404 26.998010290361673 26.679292559111367 27.37609676594237 28.491179927974205 27.182974909381507 27.901770449786156 26.912198490635046 28.36900663799376
BaruncyicxKosta_SRP18791KostaBPastirKralj-L2_1 23.608708245052473 8.00557850841 29.69743956911432 29.106494982158694 31.880963422419676 31.678196087440654 31.46973345048829 29.21007836187452 29.83209082447149 31.852563721662285 28.25722238162753 24.54066862684203 26.27297534157631 24.554143380026982 24.842473440785213 28.48412968943319 23.68040179664255 25.415713895140495 23.676465173545967 24.494708606818367 26.063826265337507 28.446595971124154 27.29779780646266 32.01571779560539 22.39926657252387 29.129494266230648 27.6519226092183 24.94757312930935 27.952182015747944 26.630816731274923 29.623552036116667 27.559856982359673 31.136750312757954 25.709442029988722 28.46907363780962 24.370001324047365 22.188126354367554 23.527004757092445 26.2591339844289 29.150519086419784 29.639760393677278 32.16534442473724 25.962960188150337 30.72366886389593 30.95581000482903 28.62759574172616 29.717401277421413 25.827529091124706 26.943230716487722 25.193034518812762 27.481348727047536 25.529626211377924 26.045817084137834 28.86694409589017 25.77786787929663 27.74271695976813 27.61399635118302 23.577749176479298 22.948602694742068 29.52407660007332 24.85680830257537 24.275176578788972 27.260718913439387 23.945564362441107 26.504657881427473 28.952093463684992 32.91060912927518 27.551145158439212 26.41465913074689 30.965744032570885 32.38136690316878 33.434557136982605 30.758106921305355 27.429788153919688 28.819334870969826 26.280361668715635 30.71084627693321 31.420520343000753 29.73876284824938 29.192104974077065 30.922989244109576 31.047534092797733 29.02268925061534 23.6822053257283 23.170217332254907 24.625329035172307 29.89343633075498 29.23098359725183 25.69213799444006 26.11391060582674 24.148661354487892 28.813756303591052 30.093138131243865 26.790461939465025 27.01786764571124 27.18625820390834 31.02852305695832 31.78966626755194 31.188287606996006 24.98603680990908
CxipikoIvo_SRP19041IvoCZaKruhom-L2_1 30.12805444070903 29.69743956911432 8.00557850841 20.257099080344428 22.76499504030115 22.809414158025362 21.758260134932353 25.223879295177458 26.055592727496016 27.460100974987277 28.7024089143868 28.23269228987022 28.104947602922824 29.101377605136925 29.851642823710698 29.86320781828787 28.403079848081415 28.604054604646706 27.4788933356255 27.23906002418266 28.475312850822768 29.37149906259507 29.540568012749908 25.39478985218847 28.59705849631234 28.33214017418088 28.759867555618417 29.125972203600814 26.246346653111228 28.16903912846249 26.822895301079416 29.345095311931257 30.629391286861825 28.873048119814055 31.422791661661194 30.31739300202511 30.12927381628425 29.77546184918006 29.60505996424179 29.391442540263938 24.289303068501646 25.550692569171854 28.815111167879223 28.020514698753246 28.907392393928333 28.400060695627612 25.415742862734252 30.516758728231952 29.680068350283136 26.654227850170535 26.934867899482747 27.079314231086062 27.960224564074533 28.137968219958264 27.056844129881384 24.269971768634125 29.948217414929005 29.808538543212258 29.968795611071396 28.066731662817567 26.910876018787636 27.938221123389113 23.414503737841297 29.40734367807811 28.040282646722215 26.347675041758865 27.038012765023016 26.045713569288697 29.786186773383356 29.09988790872533 26.097766103079582 26.21862006796041 25.825255757111773 27.798968929441834 29.93945837898242 28.231420703093498 27.231218934299616 27.409014054396508 26.803515235011965 27.36710662446743 26.499594609177965 27.542345243990297 28.261417749979735 29.436073408311067 27.535378471865354 29.108495157699547 29.010460364756483 28.343270468855767 28.889396214656315 29.33890208224654 30.698454889893334 28.602152367043665 26.89700729452887 29.049414234922548 28.23875257390394 26.987021736202124 25.924547590184 26.008579453669093 25.741386944812806 26.869035035371443
CxipikoIvo_SRP19090IvoCPauci-L2_1 29.82197848791846 29.106494982158694 20.257099080344428 8.00557850841 23.921809357466874 23.82872510652027 22.55265624368562 23.80427731096476 24.080254386970342 27.055697357036216 27.503904134294544 28.823520019841787 29.241990378060322 30.074498038443966 30.699691166851327 30.829266653467272 29.00696916052579 29.925438028675654 27.21998763127966 27.957153589609366 29.34513173607536 28.949763417979703 28.406306401687406 24.62348247077804 26.499445724846968 28.41166458790663 28.06690302645926 26.487066251707496 26.924597822560358 27.725488755045127 25.954357569534626 28.953955654936795 32.28484381958388 28.127323062261436 29.9735132441912 29.236957272987773 27.95548805042582 30.57875297039004 29.38417640294439 29.15902805234986 24.093698270748256 25.507124726850744 28.8693339677694 28.900738821033265 28.057695450765593 25.995082452382306 25.131437801091508 31.68195009691985 30.71289510507818 25.700888372119927 26.582734100451397 26.292348732589865 25.76279114388083 26.889508705183378 25.260296051607096 25.98264932928628 30.413280099273237 31.427588007431844 29.988489128949595 27.65463053627787 28.678898177610456 29.054426089003176 23.838321678919126 28.093298318612387 28.600571170688667 26.179655454466896 26.24182816247361 27.141407194350943 29.803627188412065 30.077761956245133 25.8871300151396 27.07589828889481 26.236795794932146 27.80124076331661 29.80905599373403 27.775677407315907 27.78433390745668 25.304600649081507 26.920043833469823 27.099411362096028 25.514153707321057 25.6909139055092 27.033685167667336 29.479309698460114 27.477608390564054 30.633931293656484 28.626152387461598 29.396204833571122 30.979928711542165 31.076030466948584 31.03177747325523 27.24424208385264 27.825729691531528 30.907305335333465 29.823522727475247 28.19681379632059 26.286922502716024 26.797216425920936 26.444355726305034 27.205615315213134
CxorovicxSvetozar_SRP19051SvetozarCZenidbaPK-L2_1 29.75133823936255 31.880963422419676 22.76499504030115 23.921809357466874 8.00557850841 19.25104542668906 18.13095381343188 26.457929471135106 27.868857252070114 27.464083866505216 27.054561040207652 30.390019890402453 30.84252849316569 31.453818817438062 30.54424739685015 29.492165023523338 30.74220661482897 31.23428521204085 29.904482792726863 30.109455340030927 28.66141503727135 28.838051679736516 29.76029379821768 23.196517406364915 29.721073327531048 26.89101496847486 29.017609005224752 30.29937380321025 26.64158784211767 28.560426027092824 26.62502225842839 28.913640332300787 29.22187591542343 28.410286067279444 28.524219967610094 31.645977256756048 32.099717022623935 29.841978711852608 29.092138403000636 27.57463488252418 23.870312373538173 24.297535866606157 29.004425336952217 25.890153402424307 26.11401057449278 27.49024393372424 25.431368963191126 30.069171750709902 28.729088543959417 28.66366342304974 27.351658843312492 27.46810517144641 28.886546796817907 28.57048948998222 28.203620317553455 27.333098251200727 29.579886849758527 31.583629730877337 31.369427203433425 28.06893228298815 29.329135591459224 29.154227659329784 24.2816898674506 30.545408510267634 30.187774548992472 27.509366222803436 27.175195876924526 24.533413450127245 29.26084179889133 25.70505835602737 25.156282276124983 25.12628007918846 26.104251496317534 24.326656208148442 28.373769203751493 31.689587859169478 25.064636709565836 25.043616756336256 26.084831914805306 26.127999164761736 25.180246866520623 27.634491978419817 28.431144518076373 30.0691393090273 27.926699035640798 30.431690606008445 28.81720174733519 27.186196414467897 29.993454690228166 29.709312650287366 29.917537221989868 27.558726418703262 25.69972748661894 30.18360213152359 29.488412343383793 29.595142087734697 23.504212385721523 22.961590611114467 23.449273972533227 29.028738045691018
CxorovicxSvetozar_SRP19132SvetozarCJarani-L2_1 30.764105178248276 31.678196087440654 22.809414158025362 23.82872510652027 19.25104542668906 8.00557850841 16.794000921237032 26.0550638218528 26.776267259785673 27.03965744904457 29.495061570571714 29.607135711533825 30.200138528633573 30.096433918451766 31.525747448172616 29.48001729233408 30.5514357397892 30.629601180927068 30.748269102510164 28.65020785400014 29.376690009497395 28.26158418256197 29.377291617185435 24.87234047269283 30.935175643967757 29.003628217544097 29.078929581567383 30.040730038493795 27.430558265961213 28.476059121365775 28.224650365651215 30.11598171324492 27.65891899296746 29.306491136512978 30.793193567091382 31.618711961826012 31.23309413249065 31.027768024220634 29.81822391441402 27.40676192727054 25.99057605913331 24.310099067806803 29.585198540264177 25.09460729238948 28.70982152321458 29.08036127680268 26.611274713489422 31.809896460828202 29.4823993020593 27.654993035231577 26.391674102657312 27.893345328273732 28.845322313773583 27.86781520148281 27.65193960064027 24.7264562173064 28.595192868860863 30.381146246923798 30.377054034008967 28.31508255155242 27.263934984615776 28.596297607153684 25.20391799856958 30.913994516106587 30.46076649973282 27.506134851517082 24.29942966284027 24.74418551330923 28.15458060506352 26.217151564089214 25.167758680023933 24.80838026876205 25.395094942284146 26.934333934899897 27.794757663002105 29.200133937389616 27.14168827964726 26.397530581352232 25.690869688612516 28.082224821211895 22.17557171971597 23.847794501730984 25.471520014218353 30.898955133961124 29.50377170586347 29.43608979377331 27.256793424261954 26.46956183820376 28.920772040168274 29.029591488700174 29.441920652926342 28.88133385789352 25.912981128599185 29.9007307774004 29.347158696391393 28.38624557043562 26.74885649938457 26.078496639196274 25.38587195576681 29.27337263705241
CxorovicxSvetozar_SRP19192SvetozarCUcelijama-L2_1 30.75743146537685 31.46973345048829 21.758260134932353 22.55265624368562 18.13095381343188 16.794000921237032 8.00557850841 24.953662977445067 26.189816680131134 27.8352968397738 28.29720657410604 28.825069942197302 29.416080031690107 30.34295937621071 31.690022958168843 30.007919422442647 29.854964168356442 29.6310387527567 28.59427608376584 27.79467533841734 30.338292741923727 30.27609905801027 30.376538714954492 23.150369433079693 29.468703699005047 28.576280292286388 30.308193613730523 30.297055255252733 25.858838649384765 28.69439244607476 27.74273645883015 29.90035598955341 30.72576366025397 29.617720646892728 31.04201782929253 31.202880194658253 31.791235961585013 30.34301849191914 29.663580728297454 29.140076447343564 24.751310565392558 24.724591748076246 29.548720687024765 27.00613773416526 29.199065921047524 27.805874178235484 25.753922140831722 31.645529650767735 29.959913646027644 26.3762720776225 25.88737197968076 26.57195321209932 28.120064064493107 29.03980560419797 27.966104437486436 25.249500039137935 29.765976667124423 30.69764205874638 30.65613451180995 28.127432772419002 27.594868574024353 27.854527331631132 23.333153539777054 31.48506268265977 30.091933754864147 26.219563645489277 25.86287916450168 24.599268391748904 30.020435949575134 26.92381653060094 24.721213981371378 24.516345546412488 24.43714675033943 26.117012287287114 28.702000026874064 29.40225545294572 27.283043484465193 26.343188978491998 26.308623840142094 28.23618197603561 23.91822566118407 26.713902014731445 26.950332492727902 29.888992028752828 29.176238979853746 29.199442655096615 28.718741632675535 27.139864543253108 28.525508152141775 29.32651482063647 30.17199472375884 28.70498828596057 26.605495325108183 29.962132307944255 29.297652454243234 28.21423936452568 25.52132088344464 25.945276665499573 24.581673311430436 28.00390613395747
DimitrijevicxKelena_SRP19012JelenaDDjulMarika-L2_1 30.027740474561732 29.21007836187452 25.223879295177458 23.80427731096476 26.457929471135106 26.0550638218528 24.953662977445067 8.00557850841 21.077757413086854 24.78292666832729 26.604371383706436 29.355942582760353 29.94326545373083 31.173328038400832 29.827211588759987 31.815606211620125 30.759511822405187 31.413378781910918 28.68688297064733 28.492992078037346 29.925306369891384 27.359183956291453 29.08782607220875 23.096007477204004 26.359709587455537 26.77223583086845 26.13177332285183 26.368318125610845 29.811150878952553 29.669958880761314 24.883521552509343 27.03323706681034 29.702073484526117 27.808421507681675 28.10028255850115 30.85746895772179 29.396255480011746 28.851314798063754 27.79179664050974 28.263490423244516 22.613064203976812 25.70293739161697 29.347213570759067 28.02432534593387 26.80109277108879 26.795055177574113 23.887577582336096 30.470237117972843 31.16945236995487 26.46147154875461 27.63135774099072 27.656415920034558 25.031343630159217 24.88432542164885 24.881970050805034 29.439854860899143 29.32223217239287 31.839487604870676 29.547076774312224 27.851303514294276 29.92098062612472 30.668638288300475 24.638579257687777 27.605713740609154 29.87865048192855 25.08175220424607 27.831735802655515 30.646357749631132 28.597361940794784 29.92557520440109 26.818087024945775 27.54559382701439 27.334149022402695 26.792580600038693 30.005405003621338 28.13285591075836 26.0200071399942 20.844947578902147 24.288735729240557 25.802067921726696 25.643537844103392 27.51928443944486 27.480453010683338 28.962392910119963 27.778514444845204 30.724053090000265 28.656064534109785 29.769846525645022 30.35054326810784 30.2366453741156 30.57239995612694 28.960985202692648 26.89540825626841 29.844975333499974 28.580002432162424 28.06707354684662 25.237606509729094 24.54320870313966 26.216329631393634 26.138004997403804
DimitrijevicxKelena_SRP19070JelenaDFatiSultan-L2_1 30.21927103743838 29.83209082447149 26.055592727496016 24.080254386970342 27.868857252070114 26.776267259785673 26.189816680131134 21.077757413086854 8.00557850841 21.69906016693519 29.703843879623335 27.1759342894013 29.02540415276984 28.84669531797645 29.796329524825186 29.445989273278187 29.280440999251518 27.028992152584408 27.006431920814475 27.606406737096904 31.051159801623758 28.666537438451197 28.99138222137957 25.50418180958823 27.320184476985695 29.011086822348506 29.323491698162947 25.431990468376767 27.322608349580218 28.56101131485783 26.100693917054215 27.141222267580556 31.186686629067093 28.041047932817285 31.102125716459888 29.137173877059237 26.52056887552958 29.710440969670927 30.16900929672339 30.027239560823787 24.499371850994887 27.75469143094129 28.327933623620883 29.647649559150942 28.67293468592197 27.102373111323388 24.122795864651994 30.791004915656647 32.54794128549654 25.55521128768375 27.732846644461695 26.80909523812548 24.224621817018313 28.078446961800143 25.388820916417433 25.98914858574749 29.078873236815582 29.411156729262782 28.0566982412166 28.24548214062623 28.04948957685606 29.2628420114148 24.852952088234062 27.05727361971822 28.528089089498195 24.28673408410279 28.53019091220869 28.725417669473714 30.344514717187597 30.66886220932032 27.628038392974467 26.77563054623966 24.979205888347725 29.07040028417382 28.35228672307884 25.62426319135565 28.28213903183397 24.56696712937857 25.906939258385126 27.818928108846812 25.61256575513495 25.108217393496496 25.747874372891694 28.71065312078136 28.680934394906377 31.29983381256179 28.964278427408715 27.147689443100617 30.40099649635382 28.686114366790502 29.91574933830934 28.372068430806333 30.14366516627958 28.521825840768873 26.52483852917348 26.13008262918087 28.810612420661673 27.014215893770675 27.820064158967714 25.06258387371344
DimitrijevicxKelena_SRP19120JelenaD-Nove-L2_1 27.83474778255654 31.852563721662285 27.460100974987277 27.055697357036216 27.464083866505216 27.03965744904457 27.8352968397738 24.78292666832729 21.69906016693519 8.00557850841 28.422065952152117 29.72576626123726 28.284804602857413 30.049083980311835 28.546802813168018 28.30841871406414 30.958807887803374 29.17063220251136 29.974853992794976 29.85424592384965 28.73870327512776 25.885415370036746 26.763927166552985 27.175326904647953 29.492054379771133 27.86223094605685 27.485156638771787 27.12381428557283 29.31199912716194 29.05622740824234 28.094378553312367 27.177250183513397 23.496280240360115 27.189877355644207 26.65827136507251 29.46163501797069 28.59841398886099 29.155775542747154 29.080997018608336 27.346437285595655 27.09459336143795 26.301413072268343 28.03280877071244 24.426992681469297 27.834893234829373 27.92556085445823 26.641285395557023 28.02216369111294 29.893343337678207 28.406759816930897 28.893962380108757 29.634097564256024 27.30877912981867 26.528537332105493 27.343996280479267 26.642817631791957 28.20009631189859 29.820362886132916 28.924719542302217 27.915101319076417 29.332523798295068 30.851948796032726 28.19545515303558 27.919251746136865 29.62443723787248 26.773306286031715 26.688397106352628 28.18492939304072 28.276019414562185 26.466819084229204 27.43244430387181 26.386413308945976 27.362465081672845 27.6849022441645 26.699575062719358 26.890407445538575 28.90309790237699 26.193561537195688 27.72642646713901 27.21570591944748 25.12485074248741 23.89015094921139 25.534700109123865 29.749433763415727 29.646969565714567 31.18501181307975 26.52124808843592 25.773172871806064 30.99743917671301 29.47996475422953 29.830899852297474 26.6617650721404 27.665766652174455 26.094440099683283 26.68195097501851 26.114071311608598 26.945899136967824 26.01498304480145 26.38566707976557 28.579364888306017
