 BartelAnton_SLV00094-L2_1 BedenekJakob_SLV00024-L2_1 CankarIvan_SLV00398-L2_1 CankarIvan_SLV00401-L2_1 CankarIvan_SLV00410-L2_1 CankarIvan_SLV10001-L2_1 CankarIzidor_SLV30001-L2_1 CarliLukovicAlojz_SLV10002-L2_1 CiglerJanez_SLV10003-L2_1 DetelaFran_SLV00111-L2_1 DetelaFran_SLV00112-L2_1 DetelaFran_SLV00278-L2_1 DetelaFran_SLV00363-L2_1 DetelaFran_SLV00364-L2_1 FajdigaIvan_SLV10004-L2_1 FaturLea_SLV00352-L2_1 FaturLea_SLV00502-L2_1 FaturLea_SLV00506-L2_1 FinzgarFranSaleski_SLV00273-L2_1 FinzgarFranSaleski_SLV00496-L2_1 FinzgarFranSaleski_SLV00497-L2_1 FinzgarFranSaleski_SLV00498-L2_1 FinzgarFranSaleski_SLV10005-L2_1 GovekarFran_SLV00048-L2_1 GovekarFran_SLV10030-L2_1 GrudenJosip_SLV00425-L2_1 JaklicFran_SLV00126-L2_1 JaklicFran_SLV00373-L2_1 JanezicKraljevIvan_SLV00135-L2_1 JelencVitomirFeodor_SLV10006-L2_1 JurcicJosip_SLV00216-L2_1 JurcicJosip_SLV00217-L2_1 JurcicJosip_SLV00279-L2_1 JurcicJosip_SLV10007-L2_1 JurcicJosip_SLV10008-L2_1 JurcicJosip_SLV10009-L2_1 JurcicJosip_SLV10010-L2_1 JurcicJosip_SLV10011-L2_1 KersnikJanko_SLV00058-L2_1 KersnikJanko_SLV00187-L2_1 KersnikJanko_SLV00194-L2_1 KersnikJanko_SLV10029-L2_1 KocevarFerdo_SLV20001-L2_1 KoderAnton_SLV00098-L2_1 KoderAnton_SLV00099-L2_1 KoderAnton_SLV00103-L2_1 KoderAnton_SLV10012-L2_1 KovacicIvo_SLV10013-L2_1 KraigherAlojz_SLV00355-L2_1 KvederZofka_SLV10014-L2_1 KvederZofka_SLV10015-L2_1 LahIvan_SLV10031-L2_1 LevstikVladimir_SLV00345-L2_1 LevstikVladimir_SLV00478-L2_1 LevstikVladimir_SLV00483-L2_1 MahnicAnton_SLV10016-L2_1 MalovrhMiroslav_SLV00455-L2_1 MalovrhMiroslav_SLV00456-L2_1 MalovrhMiroslav_SLV00458-L2_1 MalovrhMiroslav_SLV00459-L2_1 MalovrhMiroslav_SLV00460-L2_1 MalovrhMiroslav_SLV00461-L2_1 MalovrhMiroslav_SLV10017-L2_1 MaseljPodlimbarskiFran_SLV00132-L2_1 MaseljPodlimbarskiFran_SLV00310-L2_1 MaseljPodlimbarskiFran_SLV10018-L2_1 MencingerJanez_SLV00174-L2_1 MeskoKsaver_SLV00072-L2_1 MilcinskiFran_SLV10019-L2_1 MurnikRado_SLV00473-L2_1 MurnikRado_SLV00476-L2_1 MurnikRado_SLV00526-L2_1 NadlisekMarica_SLV10020-L2_1 PajkPavlina_SLV00231-L2_1 PajkPavlina_SLV00234-L2_1 PajkPavlina_SLV00240-L2_1 PajkPavlina_SLV10021-L2_1 PesjakLuiza_SLV00227-L2_1 PodmilsakJosip_SLV00122-L2_1 PregeljIvan_SLV00417-L2_1 PrelesnikMatija_SLV00452-L2_1 PrelesnikMatija_SLV00454-L2_1 PrepeluhAlbin_SLV10022-L2_1 SketJakob_SLV00172-L2_1 SketJakob_SLV20002-L2_1 SorliIvo_SLV00325-L2_1 StritarJosip_SLV10023-L2_1 StritarJosip_SLV10024-L2_1 StritarJosip_SLV10025-L2_1 StrukeljIvan_SLV00090-L2_1 StrukeljIvan_SLV00092-L2_1 TavcarIvan_SLV00136-L2_1 TavcarIvan_SLV00324-L2_1 TavcarIvan_SLV00406-L2_1 TavcarIvan_SLV10026-L2_1 TrostIvo_SLV00421-L2_1 VodebEmil_SLV10027-L2_1 VosnjakJosip_SLV10028-L2_1 ZbasnikFran_SLV00391-L2_1 ZbasnikFran_SLV10032-L2_1
BartelAnton_SLV00094-L2_1 0.0 2.963032146532381 3.47658908650742 3.4314895142253103 3.38480809983216 3.4251484418970604 3.205368053033654 2.789033334438124 2.495360166629219 3.140342255852764 2.916698529863779 3.27487021648893 3.007750655815896 3.25555738617006 2.8551705890654 3.2395895248085083 3.245310122427906 3.1753784225341275 3.13468031043773 3.1835146624814197 3.19897966053414 3.3140854286554697 3.218155308196719 3.159068302544171 3.079560604512973 2.877914219670216 3.18091773725967 3.254707135280304 2.884715623122533 3.06965464673189 2.770152003669048 2.814177582593533 2.757265151936351 2.728100688908272 2.802129132843903 2.7357128016188836 2.574539947535326 2.920161159315242 3.002851910998568 3.109461527396108 2.985459300271741 3.18580611268432 2.3404600482147364 2.67522879040399 3.020228392575892 2.7764087750819266 2.7618535747802837 3.1679753735986607 3.1831208788633623 3.32826270375037 3.2709117380318595 3.0792939590528468 3.3803826379042805 3.1971329025326907 3.332192561589884 2.624907556605872 2.910891960120938 2.889881497359954 2.861917951221331 2.9228996685944786 3.010485364518515 3.045109150693535 2.62837513480502 3.032227725910992 3.010274642778022 3.0087147456382297 2.8261731854686403 3.013423251974679 3.2552345020132196 2.9607555373062953 3.1155806515110047 3.1475827934309373 3.151821215021523 2.7425070892296386 2.969611211477936 2.917048370564107 2.920028556971083 2.9746318865313044 2.7032420089956988 3.26044122781509 2.9058848832076 2.871915504734176 3.11587221667205 2.546063987362235 2.7443903967503047 3.2116198088069305 2.958736043446617 2.937425310748531 3.08138075265573 3.0220682149389058 2.886832741498907 3.081611489237374 2.9704815281500387 2.963909951648947 3.0422970654689196 2.991036004399827 3.31544986885566 3.008893561489217 3.27493796083978 3.35707982120688
BedenekJakob_SLV00024-L2_1 2.963032146532381 0.0 3.42262372983417 3.38005894713903 3.4158354296840496 3.4987475932139205 3.0794432375230105 2.867376170770175 2.8733173935462393 3.0235265872953763 3.0725633649601933 2.91641394036896 2.8428341548479112 2.956256981944654 2.8211864782342717 2.9672128686806616 3.3236780596550504 2.929575689079031 3.12189860333352 3.1888170599289 3.3188653449011705 3.07827096850213 3.16510860798928 3.23351496878847 3.146738092759786 3.0269968683538275 2.813008977150341 2.9025165916544062 2.927967691295861 3.3240282290089507 2.861604756156119 2.753545496627281 2.877418945827406 2.80850371693203 2.861738068060575 2.883655446046406 2.903600739152948 2.8739866871837423 3.087386968480546 3.0450824421654676 3.08648891647133 3.037675959453537 2.85953414331737 2.93034312224648 2.767744975218638 2.876333397382865 2.9403732679643153 2.784183077579177 3.127975445863406 3.21090795607764 3.2294902090749 3.17603124915082 3.2844316411821297 2.855685611626238 3.1209228774632995 2.7119360969568347 3.14150591323199 3.21732798149013 2.999270690856823 3.117854465496019 3.23748520010641 3.159234631851447 2.847064525947102 2.874820024424531 3.031910922600266 3.0410043600104144 2.768284032862989 3.24972202439927 3.071315349998775 2.915800079525142 3.084726605104395 3.0459806270281584 3.012574167004701 2.9208314427338298 3.1015996539947204 2.895901025765505 3.11242834575852 2.986285719749273 2.836656438657389 3.15953843979786 2.921590778119218 2.960239850586209 3.4690238525996597 3.049206601930134 3.034257823442809 2.9386309733007714 2.874293110799369 2.77790880316824 2.991643636358374 2.639313440116263 2.689895162216235 2.7307275080981306 2.960173124450134 3.010360473308654 2.992862246019436 2.81093772162687 3.2335906185215606 3.1833268738127303 3.0731947282219396 2.984548059349386
CankarIvan_SLV00398-L2_1 3.47658908650742 3.42262372983417 0.0 1.836133765706621 2.270222371856002 1.9077396262239492 2.759870537585638 3.4054358433206295 3.24414062093776 3.0977520154492018 3.18953727467522 3.0181838432175203 2.968831376728494 2.870641389901178 3.4076246476913896 3.148608622466657 2.723146838959204 3.2062341857998504 3.0344411783891028 2.761999949420511 2.73709245946235 2.539620452706356 2.8070188300669727 2.9326741763496393 2.781038780637847 3.2963771058202 3.001768354319977 2.891958950627454 3.3872492037863102 2.952893155569022 3.2077547566010303 3.4376349426837702 3.2399732742557905 3.18985738059275 3.14466752805053 3.28693684869556 3.42728124503065 3.12590210213855 2.97576726804445 2.996574148049763 3.1584529031699002 2.819190286587751 3.41164309967503 3.47934386865931 3.2515474550771604 3.53541657247463 3.49976376130774 2.980711432280759 2.764645858546703 2.758929768474059 2.724295570944593 2.9040738873089738 2.471690819639276 3.0409621614841233 2.927706227253327 3.5475036650685396 3.2632952938371904 3.009281868334509 3.2073983926109 3.29548231787101 2.998363795885427 3.1105671181510823 3.27415053570979 3.0874587226559393 3.0794294617821096 3.060633419264645 3.5378006020136397 2.954333441621875 2.618108643076347 3.012965600080827 2.8760841682181377 2.8595512540549572 3.070528855136808 3.33927450700047 3.16843873360615 3.48090067818684 3.1605562720379696 3.0683421636777792 3.3853556896359196 2.496413778271863 3.2795610719105803 3.2368320737595795 2.579899122803175 3.4981230095070197 3.30948639870952 2.612338784425547 3.29709768895174 3.2032643873741 3.1158986102394 2.939043160889125 3.15491928098889 3.19212082573934 3.0486777859051015 3.0287792257745227 3.10523183972738 3.29298514241684 2.759233866836583 2.8372990346595017 2.9144821339085487 2.986913076229531
CankarIvan_SLV00401-L2_1 3.4314895142253103 3.38005894713903 1.836133765706621 0.0 1.731732989609524 1.312650360042815 3.018953972659733 3.58397319318872 3.35362133535073 3.067530852404561 3.18979221338412 3.19842279664842 3.1351237991159797 3.1312256024451797 3.7174975183711596 3.2675621636962955 2.508748472739252 3.374521408914145 2.925112203275811 2.629728058139002 2.410696005005673 2.784585928822836 2.660379207354631 2.973322732506931 2.9152110166030543 3.20374755103985 3.12608871489439 3.26937355038071 3.2109829288615233 2.749957651838597 3.10331963444682 3.34160955339408 3.27911128626942 3.26884704871463 3.29887909477739 3.246336224149 3.33816264094658 3.1768544380433497 3.050655593069248 3.111533977319977 3.11100961095023 2.977920697919107 3.55076213152888 3.2413576785372498 3.2111598313798 3.49072030647357 3.40810017728077 3.28509330926469 3.032572331925921 2.49126714958924 2.6454929713982 2.7303207186947223 2.563409502173786 3.26349372691429 3.014811442812086 3.52799323633112 3.0256334232408113 3.10339965306512 3.12438471164521 3.1118941342637045 3.0299188399284267 3.1816329910765933 3.6604938181063 3.14257792760092 2.9325560877196017 3.114086458947922 3.51522245823735 2.924690533975686 2.662902949194606 3.2258445825915403 2.954907032507556 2.878726532233424 3.093183617479306 3.5032978345826202 3.124762164262047 3.42368967436595 3.1186422759768497 3.1967287318002597 3.23014305751379 2.8023402644272606 3.4101873682042503 3.3865022706306496 2.4846323923269162 3.48423936991475 3.23160363883719 2.7122703745300294 3.32921939014113 3.1461609433730935 3.058954977566644 3.16225975502826 3.23306963270083 3.39461886024354 2.900765917584244 3.074473221168892 2.748669338686278 3.2691373067057805 2.735531708383903 2.94379372621089 2.688990406906349 2.834070837607276
CankarIvan_SLV00410-L2_1 3.38480809983216 3.4158354296840496 2.270222371856002 1.731732989609524 0.0 1.9504475865203261 3.029450093447071 3.6208023350136003 3.3644347352111703 3.04406397329986 3.32512963346595 3.200930892411216 3.35223102193084 3.33250290949124 3.4334615085913303 3.4232382180253405 2.8672219678775 3.48467116510356 2.966821700537101 2.8506015161898173 2.605747217927385 3.1573367722483976 3.038141714007414 3.0372721083184593 3.058115751435426 3.1919155314244603 3.21711177965801 3.31360836715525 3.048123513075999 2.536454427548626 3.20832438713202 3.2346942774798197 3.2171682531352497 3.23140220087012 3.2520499380325103 3.069490149982208 3.1794136942939 3.1932327459349006 2.955807625639077 3.084048954107458 3.031432882762689 3.052405302508779 3.58598906937078 3.1631236545140204 3.20686716983739 3.2139512385682 3.1502928682205016 3.46227824290974 2.906225689999041 2.365517988017075 2.58547138816899 2.720836935998714 2.5265695134550192 3.3788472374974736 2.923274999991513 3.4960977113746603 2.984263069683662 3.020871381889392 3.076926389661669 3.03411172556026 2.8350241060321704 2.920612486927119 3.66606849425857 3.089011816505397 3.0504216718600903 3.146290945692622 3.2361277244624898 2.7836418117340163 3.042012330081591 3.18832869896633 3.132749581461195 3.052790696392253 2.9920329658048788 3.33856326327032 2.800462782173696 3.030815756483536 2.874870784565764 3.244597538786704 3.1070782327948994 3.2168813248656623 3.3125209753790603 3.2589043805760602 2.572093456989258 3.12340276764819 3.10150848411522 2.778900428779025 3.038387426090833 2.92837600955731 2.7776786786159207 3.25762857800662 3.1399762937683997 3.38564276597509 3.046333147669793 3.17202388889995 2.918626371822542 3.08672135765277 2.878401404366042 3.00170944553422 2.5687168701958862 2.661384945476116
CankarIvan_SLV10001-L2_1 3.4251484418970604 3.4987475932139205 1.9077396262239492 1.312650360042815 1.9504475865203261 0.0 3.081128459385236 3.3920952624446947 3.4033738810132204 3.066192637240767 3.1750158743219807 3.25683777125702 3.31223840101738 3.30007068079025 3.59356538713954 3.0825453542085466 2.389105249322454 3.132642631119026 2.806549712789163 2.678854927022723 2.344239495328421 2.829294220485587 2.620790605238871 2.8506329278021187 2.935639569368624 3.15304739184447 3.15137573112468 3.34532751979744 3.1427498726232246 2.807300198844964 3.1270613451551297 3.3023172696526997 3.36296946575075 3.3648655230296898 3.332164106558909 3.3079322334828998 3.26831515678115 3.18607058070062 3.04716087807444 3.067371097277702 3.12853575114914 2.8951236033493037 3.47793326926403 3.26627649737712 3.28353717703767 3.4636320729879095 3.31440303478679 3.2958482498221704 3.001755702448692 2.501239826401819 2.6479693544425142 2.8911217111789 2.5343736541367523 3.144655744218847 3.01757893757229 3.4996305061699102 3.0778759029036697 3.1060702420964352 3.107883935754343 3.126184065438236 3.075289069924536 3.214457810904063 3.5447184947463497 3.1557441430840107 3.0548588884626513 3.1536059483332997 3.4214897948562903 2.8211066502892033 2.7593721140945053 3.106791581517072 2.8256313722737447 2.763540487929808 3.156173923645038 3.4073174719632897 3.1557215399160246 3.3565351274926005 3.0483600138034084 3.031547063912112 3.28481961410216 2.792714053893212 3.35526110137255 3.30128598336765 2.409588898198069 3.39758208167062 3.052381461485063 2.9816594690858036 3.27700895352139 3.23185826250981 3.0377022382013728 3.27607667668102 3.37775446734097 3.3130586848401 2.9556982212054352 3.066026698217169 2.849435029760652 3.25983602629444 2.7715320965942 3.1051128714392897 2.8687882979371633 2.9925525517195433
CankarIzidor_SLV30001-L2_1 3.205368053033654 3.0794432375230105 2.759870537585638 3.018953972659733 3.029450093447071 3.081128459385236 0.0 3.066677383372909 2.869303444817341 3.23614371274326 3.38427869681455 3.0122311712443404 3.0188691010802904 2.9637951761926002 2.9246520418842388 2.847424044717879 3.0949143455006696 2.929407963636778 3.046919828007247 2.843894164498801 3.027597886850637 2.737122948242376 3.068717451605055 3.22494908248927 3.071239412444279 3.2778328134870303 3.100159930431419 2.9036141586580264 3.249594678430803 3.022029944920932 3.1372747711107403 3.13740330941912 2.8748948675305748 2.8605124172326537 2.924377709914462 2.96607688937289 3.2427656374898 2.9020938630519586 3.19201634718896 3.16150067491776 3.162683844064047 3.0508115412788914 3.20773492235611 3.2536736016144 3.0520633768624252 3.063356185293156 3.219596103003779 2.937540018523143 2.749508827491765 2.68360694667334 2.845143290914823 2.945914680672253 2.8571301009207977 2.715527420096066 3.0217571704269046 3.1183691302705134 3.20632390627538 2.982451569241462 3.08732692613819 3.1764085251152396 2.9831184781407156 2.9725624965334223 2.842566549039401 2.9222619826197684 3.2224191953802 2.997560334363552 3.049955212860618 3.1864061893971902 2.976984853023724 3.0917271934675297 2.8570353064571963 3.151023630824991 2.863479943265304 2.962931301598166 3.11604145398754 3.054527788010072 2.996748212111031 2.83299571520374 3.14152723638158 2.80459116595073 3.0882033196319245 3.0654700312587266 2.813746955878648 3.1194221424644537 3.290170601553896 2.820188401911647 2.798025987017826 3.00028165873065 2.969456776692765 2.8854837722420994 2.9584165358282153 2.961127278843065 2.9308388976089086 3.034922785797825 3.060513720618705 3.107883626486753 3.18966253592196 2.947384339906442 3.1793755408277997 3.0975666893935303
CarliLukovicAlojz_SLV10002-L2_1 2.789033334438124 2.867376170770175 3.4054358433206295 3.58397319318872 3.6208023350136003 3.3920952624446947 3.066677383372909 0.0 3.0174705928527787 3.140936867190163 2.789214043170476 3.13661558713269 3.12487127541706 3.21053779230623 2.413603063015727 2.060397197880458 2.698831743330225 1.837046347103213 2.84707912005519 2.97466416344826 2.956036752403319 3.1055823565829037 2.5567221503818938 2.924193914239172 2.7415648821731837 2.36918174877016 3.0335543255934323 3.175355519908861 2.985207769126791 3.50383679096068 3.20393086449004 2.7828854671935046 3.227817129708902 3.4398877693654804 3.178690829257963 3.3157851549418798 3.013830971445791 3.1679786082674104 3.24069950110915 3.2456459506921504 3.144050242625601 3.27308082083751 2.494073807892428 2.9486781840243896 2.793525220551279 2.770430736611572 2.700155020598093 2.714033128207153 2.856309726198095 3.49126368757709 3.27739941563235 3.4193195548969078 3.17714237454015 2.032376566002782 2.964449704021265 2.482889065862985 3.071981684291255 3.315082037290785 3.23720464148325 3.050665925772499 3.5831780989986797 3.5442261719929404 2.315351501232607 3.1145496423286243 3.0327218380257053 2.821080514608754 2.574438795573129 2.8926366584676924 3.117847482858 2.706679720673566 2.679129302407845 2.530337625280133 3.4797150554499803 2.835018662753175 3.4738021705913105 2.972358700225448 3.15520329092298 2.531953887730298 3.0977375442800272 3.0182298644488 2.7784050087892838 2.676637319308942 3.2877736272025597 3.0890555485265905 2.6611229642460748 3.47016781832268 2.770236441995528 3.25679737724448 2.959275558385213 3.411287737477344 3.5437501458749696 2.596029641975192 3.2675799658565605 3.16705335780716 3.383417377150515 3.1522603491826624 3.074881772922679 3.22273021225641 3.8286924606453003 3.72940647542902
CiglerJanez_SLV10003-L2_1 2.495360166629219 2.8733173935462393 3.24414062093776 3.35362133535073 3.3644347352111703 3.4033738810132204 2.869303444817341 3.0174705928527787 0.0 3.205358722375708 3.137222286885743 3.1123196241424917 2.63370817668429 2.868885049354126 3.170868714634355 3.1950678301817192 3.4346208656133905 3.2110351381203928 3.27866674603343 3.1269474674653104 3.27920770306837 3.022125721102558 3.3597014189191103 3.3712589224441 3.3243104026086097 3.4207928534373497 2.80122618867259 2.6874515704336677 3.087432703602857 3.21464443433307 2.742688858493338 2.85918066278165 2.354552233030522 2.2133068239075433 2.491406528225438 2.505858091852151 2.6221693681537728 2.4459949372570637 3.250623382880412 3.3107305813687598 3.141033610647752 3.2379523619437203 2.559208261875306 3.1435195143492987 2.949658015553902 2.9074147150324072 3.373825720781589 3.01984460251423 3.128547294850671 3.1190281925867804 2.8789714991538364 3.25593667597293 3.41620067264002 2.970489166301766 3.44756730709528 2.806740453874494 3.006085932053765 2.916923033115824 2.83409141328594 2.989843877410115 2.952255528924035 2.786839503362534 2.7668263906627804 3.060446166508166 3.217428840902168 3.17582926503738 3.1000148161292422 3.4003382002787204 2.96290588474805 3.0957001114434464 3.166211161023254 3.4293304088268606 3.0900629424620893 2.8630505681696348 3.170063815743652 3.026375657253264 3.0321763604842484 2.965534304723802 2.86014950141919 3.0719216108530194 3.014779293017657 3.08622602653119 3.25839808414812 2.840070158598292 3.161043690056311 3.029007179755544 2.706471276588625 2.500621575725891 2.728855796063598 2.614772141594664 2.728006786649682 3.284642323583802 2.90202021849106 3.03361836411512 2.909794212645525 3.1090511456610948 3.5551891233884003 3.12282634520854 3.007090951255159 3.042515556795946
DetelaFran_SLV00111-L2_1 3.140342255852764 3.0235265872953763 3.0977520154492018 3.067530852404561 3.04406397329986 3.066192637240767 3.23614371274326 3.140936867190163 3.205358722375708 0.0 2.2204231478719567 2.221677342186703 2.697889946524665 2.496460558906278 3.22866208133002 2.9813568884605672 2.926153640373794 2.998252066150838 3.05757763791459 3.1893858251664904 3.18024740783754 3.1785076829673997 3.0200703227545658 3.1094616428266146 3.058332984733552 2.9696440341357437 2.7345684171061837 2.901624459796442 2.8282041699987683 2.972166603654496 2.977083348873604 3.0914104657559047 3.2184249990925 3.15960958704834 3.2394512759345 3.2743305656918 3.0671376927602365 3.1508570124012905 2.878798149940421 2.656028663518351 2.8143764259810746 2.754748923259369 3.222084909596477 2.850453846156299 3.0813536119987797 3.045147266401985 2.9751184245674063 3.044701544856892 3.13835916588793 3.19172686628355 3.1812629886541703 2.89585117440815 3.1251500418985203 3.2089604076705003 3.0130775424506595 3.043280206740511 2.924992718674865 2.957307214089205 3.07309950917168 3.0123342249307186 3.1118435049212696 3.0072435524342627 3.2030426903125 3.058354616506674 2.996613177440208 3.12638740140635 3.1489301238503895 3.2794869741963186 2.9053153410882757 3.27073706374728 3.28424081006775 3.15195078321534 3.06244736005271 3.08247773089325 2.9832395839334556 3.098533912322994 3.028346292176259 2.957678484012533 3.019323126942674 2.9905925171487393 3.0216641007353 3.13512553154441 3.2431748853280697 2.9853032265124897 3.17750148128654 3.16869763125678 3.14870336022982 3.1306772633026174 3.06275494228446 2.823625452042998 2.846026668844973 2.995463466793579 3.1928654450500398 3.13478975086562 3.079793402636768 3.05497548936527 2.8912957946693902 2.9970071292442584 2.85243358685954 2.89865334548636
