 BartelAnton_SLV00094-L2_1 BedenekJakob_SLV00024-L2_1 CankarIvan_SLV00398-L2_1 CankarIvan_SLV00401-L2_1 CankarIvan_SLV00410-L2_1 CankarIvan_SLV10001-L2_1 CankarIzidor_SLV30001-L2_1 CarliLukovicAlojz_SLV10002-L2_1 CiglerJanez_SLV10003-L2_1 DetelaFran_SLV00111-L2_1 DetelaFran_SLV00112-L2_1 DetelaFran_SLV00278-L2_1 DetelaFran_SLV00363-L2_1 DetelaFran_SLV00364-L2_1 FajdigaIvan_SLV10004-L2_1 FaturLea_SLV00352-L2_1 FaturLea_SLV00502-L2_1 FaturLea_SLV00506-L2_1 FinzgarFranSaleski_SLV00273-L2_1 FinzgarFranSaleski_SLV00496-L2_1 FinzgarFranSaleski_SLV00497-L2_1 FinzgarFranSaleski_SLV00498-L2_1 FinzgarFranSaleski_SLV10005-L2_1 GovekarFran_SLV00048-L2_1 GovekarFran_SLV10030-L2_1 GrudenJosip_SLV00425-L2_1 JaklicFran_SLV00126-L2_1 JaklicFran_SLV00373-L2_1 JanezicKraljevIvan_SLV00135-L2_1 JelencVitomirFeodor_SLV10006-L2_1 JurcicJosip_SLV00216-L2_1 JurcicJosip_SLV00217-L2_1 JurcicJosip_SLV00279-L2_1 JurcicJosip_SLV10007-L2_1 JurcicJosip_SLV10008-L2_1 JurcicJosip_SLV10009-L2_1 JurcicJosip_SLV10010-L2_1 JurcicJosip_SLV10011-L2_1 KersnikJanko_SLV00058-L2_1 KersnikJanko_SLV00187-L2_1 KersnikJanko_SLV00194-L2_1 KersnikJanko_SLV10029-L2_1 KocevarFerdo_SLV20001-L2_1 KoderAnton_SLV00098-L2_1 KoderAnton_SLV00099-L2_1 KoderAnton_SLV00103-L2_1 KoderAnton_SLV10012-L2_1 KovacicIvo_SLV10013-L2_1 KraigherAlojz_SLV00355-L2_1 KvederZofka_SLV10014-L2_1 KvederZofka_SLV10015-L2_1 LahIvan_SLV10031-L2_1 LevstikVladimir_SLV00345-L2_1 LevstikVladimir_SLV00478-L2_1 LevstikVladimir_SLV00483-L2_1 MahnicAnton_SLV10016-L2_1 MalovrhMiroslav_SLV00455-L2_1 MalovrhMiroslav_SLV00456-L2_1 MalovrhMiroslav_SLV00458-L2_1 MalovrhMiroslav_SLV00459-L2_1 MalovrhMiroslav_SLV00460-L2_1 MalovrhMiroslav_SLV00461-L2_1 MalovrhMiroslav_SLV10017-L2_1 MaseljPodlimbarskiFran_SLV00132-L2_1 MaseljPodlimbarskiFran_SLV00310-L2_1 MaseljPodlimbarskiFran_SLV10018-L2_1 MencingerJanez_SLV00174-L2_1 MeskoKsaver_SLV00072-L2_1 MilcinskiFran_SLV10019-L2_1 MurnikRado_SLV00473-L2_1 MurnikRado_SLV00476-L2_1 MurnikRado_SLV00526-L2_1 NadlisekMarica_SLV10020-L2_1 PajkPavlina_SLV00231-L2_1 PajkPavlina_SLV00234-L2_1 PajkPavlina_SLV00240-L2_1 PajkPavlina_SLV10021-L2_1 PesjakLuiza_SLV00227-L2_1 PodmilsakJosip_SLV00122-L2_1 PregeljIvan_SLV00417-L2_1 PrelesnikMatija_SLV00452-L2_1 PrelesnikMatija_SLV00454-L2_1 PrepeluhAlbin_SLV10022-L2_1 SketJakob_SLV00172-L2_1 SketJakob_SLV20002-L2_1 SorliIvo_SLV00325-L2_1 StritarJosip_SLV10023-L2_1 StritarJosip_SLV10024-L2_1 StritarJosip_SLV10025-L2_1 StrukeljIvan_SLV00090-L2_1 StrukeljIvan_SLV00092-L2_1 TavcarIvan_SLV00136-L2_1 TavcarIvan_SLV00324-L2_1 TavcarIvan_SLV00406-L2_1 TavcarIvan_SLV10026-L2_1 TrostIvo_SLV00421-L2_1 VodebEmil_SLV10027-L2_1 VosnjakJosip_SLV10028-L2_1 ZbasnikFran_SLV00391-L2_1 ZbasnikFran_SLV10032-L2_1
BartelAnton_SLV00094-L2_1 0.0 45.81812799214651 53.94487932694118 52.88158492194355 52.34686609347342 53.41942747915017 50.81654912247791 43.84378157170092 39.0432456135798 47.638849033147224 44.60787617636694 50.09416373446288 46.8528602248776 49.91984705372822 44.829820480069394 50.81413118307396 49.59812550992302 50.35016215381218 49.784842352852635 50.05657309532685 51.075679977440245 52.531613167623306 50.67174302438301 49.63174452937738 47.519426682592304 43.84009057438464 47.83901355559302 51.80089034452492 43.69872439738477 47.112674172861716 43.03153810901592 44.18045573827931 44.07751233720451 43.82273664973653 45.17426278420184 43.03356212239051 40.52979481188141 45.820806517523266 46.58523796517581 47.435687084421076 45.56777898674863 49.020787750773934 37.93401742371019 42.02075908253738 47.983615696156875 43.14603004637673 42.0249946406785 49.30074853163754 50.87241567329027 51.97038260054797 50.94360268518051 44.93278519075196 53.22904645065402 50.788772957897464 50.09499880549717 40.87716798362737 44.734732386590025 43.175436849652606 43.316418469630705 45.33728010897851 46.85191804997198 46.416052988191446 41.88209747310805 48.15341130792596 46.3430170081055 46.700373018858286 44.19236310932308 47.44127937486157 50.963366089682516 45.58883970247436 49.71198908215144 49.589395242763224 48.556946024993934 44.08855827483023 45.834535695202895 45.97517423648448 45.215942612623834 47.444507155132364 40.58414689893362 51.18779347720542 45.24891661776041 44.695757330640795 48.3303253273891 39.59912945420824 42.05179741981109 49.264241459174336 45.979081980102976 45.45108460343705 47.40045155069957 46.52328528016849 45.181003737078335 47.72940443717773 46.57194789650116 46.47174808654211 47.383380202681856 46.32341889911919 50.880823704961074 45.775895429833085 49.49873950642008 50.46182033765274
BedenekJakob_SLV00024-L2_1 45.81812799214651 0.0 53.904508388627264 53.33840284713038 53.78592891620214 55.54946501234476 49.22365195558946 46.94520457194604 43.256980845489984 45.59053990849886 46.83426812566405 44.958087801200335 43.92163504887313 44.76260603225622 45.419112659132495 48.687720059689624 53.02887809592308 47.46239375796067 48.735470046899415 49.5436913079351 52.80287007590639 47.550201432362705 50.344441918465044 49.47597158690097 48.032341222455834 48.873545477491426 43.935581274397656 45.70936260651666 43.618343549420175 52.02251581599231 43.576284051744786 43.120046333513045 44.0152193275123 42.928179750169335 44.628381521329295 44.13666083890877 44.25536471049755 44.84165276727637 47.93940200727083 46.537614103463454 48.33068479471228 47.004038935269406 44.99257363591099 45.315126801864636 43.70303314500968 45.490944023495096 45.876754209351645 43.447433155534064 49.85860701627203 50.61140720307839 49.6627320797662 48.03892556671121 51.97664989384013 47.00830726036505 48.55352656815177 42.12836823713867 48.13331366576783 48.21877600655355 44.29184526840356 47.08740009418582 49.20230209778439 47.90071942902648 45.51207222579907 44.00138726829461 46.74858434152952 46.63890079510169 42.30883409934841 52.258362719966115 46.085691791575606 45.23270524079742 49.20786756384593 48.255351758863775 45.33539321046939 47.182601250733974 47.43402038508317 44.79232415115312 47.583941119732415 47.28370306919491 43.5134575289312 49.14101298720003 45.0905415981723 47.162662275718546 55.08354180789372 46.958572411813854 46.90400746867251 45.431111063056846 46.05205093019471 42.0259055159787 46.70098931472559 39.380284652316455 40.37132295129686 41.94721529070596 45.14615005997119 45.34187660593105 44.69229920442813 43.17214737482171 50.76181131822413 49.094814212779404 47.37860159695908 45.84539836923598
CankarIvan_SLV00398-L2_1 53.94487932694118 53.904508388627264 0.0 27.0960093146283 33.08402456281565 27.528201510687328 41.33713556754815 52.11644410431266 50.61080228274632 49.59857256710316 51.27553757522766 47.54154472835427 45.745600711627965 44.65529077556657 52.21234432705962 47.34932989495587 42.30069669113577 48.582743765819295 46.72173579754908 42.5958723802933 40.71512940540944 37.578932201977686 42.9822541691845 46.2323284492485 43.70765427552488 51.57428607819941 47.13196702850201 44.03594582479081 54.09224355246035 46.47703858721512 49.66793744852292 53.13497900619195 49.82042536267948 48.360629764544285 49.25590828924735 51.243699975102345 54.01927783470793 48.56990653640997 46.958315302939916 48.22735573706925 49.855033461274104 44.44595876720008 51.608750431109705 54.4533650249945 49.534778482402935 55.43482055596054 55.834037550469276 45.15843206713689 41.16751930073806 41.82697735484895 42.14157419228551 46.976039224423964 37.803988400940305 42.70718186135808 46.007973034598784 54.60413553352724 51.31898369820972 48.42166132954455 51.88286860397985 52.44822960981909 47.533950801861025 50.02017778566108 50.1762020484343 46.58770651769139 46.91879494985195 47.00086370122736 53.935600467295494 44.766026982462265 41.138997906457156 45.995391688577385 42.97729902791424 43.538174184371414 47.68722188678494 51.324638755039786 49.35924306565884 54.04885204664032 48.346545370576 47.64483521758282 53.47177501864952 38.94422106439007 50.13040997295299 49.44654197981908 38.71140915571363 55.320487845067525 51.72746297314089 39.890725430768406 49.88676917990255 49.9187009747638 48.28467586813456 45.18675443996908 49.10566928459133 48.88731084790631 46.129514545315615 47.28339505855536 48.82964881023382 51.446863413483875 42.69179139157551 45.092813835873315 45.709555797096456 46.20016816439562
CankarIvan_SLV00401-L2_1 52.88158492194355 53.33840284713038 27.0960093146283 0.0 25.181559342215433 19.08803541556777 44.247259594934775 51.97782514073646 51.69422736964962 49.1951939515474 50.32543570625991 50.52603113865922 48.11906323050771 48.24987798462315 56.40878885733369 47.399495943404766 36.121319070830666 48.43670111702141 44.63451227944048 39.692404303132996 34.26482066315009 40.96774403319227 39.35266691405578 46.74103603034801 43.754014290708284 49.825090654960874 49.47364812894941 51.420580287260236 52.178560704237604 44.06027112133652 48.23474372059032 51.99156185635263 50.971534583920246 51.63548556596063 52.07639269842101 51.63096093168192 52.83592058169693 49.09276041760715 47.84429545734528 49.717117847187765 48.17567703480063 46.656394137083126 53.09304405743711 51.58338978151019 48.115580965913146 55.03308044683836 54.53859726213141 49.158783836481554 46.0027743650223 38.98172589523049 40.56558727189352 44.6768167504001 38.85638134556923 43.16213906397558 46.210457982038726 54.27818286003357 47.576466500434705 49.45158209316786 50.29987435766315 50.835566516670475 49.032870584111635 53.201906375595975 54.12000399963763 47.66273308580353 43.6636231206705 47.37590055529649 53.77561752510927 44.71638887882155 40.824300170270746 48.39346780363031 42.90527282874732 41.46787682388767 49.4436074386745 54.08604672410963 50.757026576657395 53.863359463573524 48.67138084670178 47.62589977382467 50.71402586660557 42.09155612600237 53.40965286303525 51.99446316508721 36.83798460427475 55.35879262137478 50.25065253031436 42.28248861083687 50.04956328593825 50.815696851838005 49.059164634722606 49.16209987649091 51.66248856231573 51.22343772998168 43.95285453855951 49.031457693297575 43.705176523261926 51.401131112166155 41.42372965728826 46.43651365506576 44.60297693174344 46.3715900282812
CankarIvan_SLV00410-L2_1 52.34686609347342 53.78592891620214 33.08402456281565 25.181559342215433 0.0 27.452181808585312 43.35997242394805 53.525778851287726 53.61360393004044 49.02249612078298 52.358242145411445 50.9529373760481 52.106812665765965 52.356581649019645 50.91588095569485 50.13680400005237 43.23261050040696 50.1227777021344 44.48116796762706 43.453823628923914 38.83927672395383 46.990958576755354 46.016150984176775 47.16250560204833 46.476527845403815 49.95773090908807 52.129060771243644 51.99169649936822 48.40370770926985 39.35965903666854 51.41275078804809 50.86931520018205 50.58076483317746 51.385290683756075 51.447933119611285 48.722299246985486 50.51180386446895 50.2865283907688 46.83551559866038 49.3640668990262 47.22180825962721 48.699766347847806 53.64727739642336 49.85874420239737 48.23239531576844 48.479325036271504 48.82411888192129 53.2280836315081 42.719404735066966 35.33795759837604 39.20078549564801 43.83562657887463 37.99149519580141 47.31442907396728 45.4549711289244 54.23536083657614 48.05236857279356 49.24388028658109 49.133387414341136 49.5610828409921 45.429735607538476 48.334499100257915 55.23448743076794 46.75534103314523 47.44959992292446 47.85299357371973 48.3654344466462 41.21875351027126 47.64061349524243 48.390909093519014 45.75673651225558 46.54724333889669 46.585283240066175 50.68975436249335 43.87128902468362 46.50179865620888 44.57935529973674 47.31900932866351 48.91728306313058 48.839161951478474 50.95577422288156 50.41402004281884 38.49869905549566 48.91840171555862 48.09172790975895 43.31322002889108 43.89268600703625 47.84947982352739 44.370034290285304 50.73163150716835 49.16130611254985 51.24598575048295 46.676382674949274 49.81217025709553 46.88467882435864 47.625505413298505 45.566165351144164 47.24487613537462 42.920992229034994 43.47656513569014
CankarIvan_SLV10001-L2_1 53.41942747915017 55.54946501234476 27.528201510687328 19.08803541556777 27.452181808585312 0.0 46.219201881185235 49.48346231526838 53.15603870550609 48.681657569492494 50.10379673887145 51.21614427545105 50.675905469373774 51.23306448318094 54.01939133322014 45.426976732282064 35.293734961358446 45.49445405290646 43.384748164836374 40.309156399740296 34.00297672515095 42.49701595262731 37.99283779642466 44.60337230365359 44.47858231908918 48.16018880404943 49.68430840634386 51.78029487669647 52.05994501888806 42.892483547244765 48.91252329494183 51.42195717558405 52.65632337671248 53.20969553127385 53.40712702618768 52.47895938755138 51.99279551684923 48.879351287898004 48.220237636745644 48.96054122246921 48.69011076685615 45.614563961312676 53.13327016968599 52.069746551169736 49.107673186774335 55.04224242894505 53.478689117511784 50.32196769837029 44.780850233181326 39.34540625334359 42.04361231130649 46.60380590898766 37.08922885681676 42.226626169987085 45.731518652608116 54.55188290803655 48.53248134451662 49.87842819492246 51.429654454534436 50.88971581315717 49.319115308718615 52.96743196113836 52.46472590123966 47.52845394253272 45.47112519072329 48.037529327935005 53.083680714567556 41.9040857473267 42.63504965793306 46.34932541956341 40.96950832597305 39.746515915359026 51.08757676023592 52.59800364805237 51.0067641455186 53.26609694386841 47.44014462941455 45.571762948514724 51.06357577897735 41.765336136655606 52.25244582062754 50.471179043394784 35.755629235165614 53.91502594247645 47.336012562411135 46.68186314489808 49.47745452312213 52.04693055013242 47.872257907815175 52.79773280033915 54.70220944638852 50.14234346818279 45.695184050669184 48.93756757621035 45.089363461493654 51.70518110779668 41.590430622685574 48.36681310192286 46.948498004133654 48.195764719846395
CankarIzidor_SLV30001-L2_1 50.81654912247791 49.22365195558946 41.33713556754815 44.247259594934775 43.35997242394805 46.219201881185235 0.0 51.25995652181045 46.31830330391833 49.83956244293151 53.39399949686518 45.24909301187515 47.53472381862091 45.98680434918377 46.952993824685365 47.01258309404035 48.97867462543282 47.70440024287077 46.71679237998247 43.336653781961246 45.95287563157684 42.32763865483508 48.222384002452216 49.615592542242965 47.64684771534557 52.395058999100804 49.705975008612455 46.01866193699442 52.30520556449323 44.51000146733093 49.313293682328954 49.8827311198287 44.0635349308216 42.79358882054834 43.97056353500979 45.36634488929108 51.26769900643552 46.272277370928755 48.70779436007238 48.69644074862957 49.3587514552207 46.67333817594006 51.361956199956055 50.808892366973026 48.289614621199654 47.725157346441954 50.9488485389565 46.229115751086766 42.24201831795541 39.91409036490453 42.99945015505046 44.28864410351115 41.7364522565478 43.63415452252295 46.83100756628476 48.742435894687894 49.63050304944535 46.52234634514198 47.42987249230914 50.19858441116469 45.166128277780196 45.44910179931756 45.795147343676945 46.427467927471454 50.00325305416485 46.84924104678386 48.213672988462555 49.36693101232967 46.601878909471914 47.691767735986765 44.81451373717067 49.0721154581792 43.16080067695577 46.25286707531115 47.40151022461383 47.428269584384445 45.81669892846233 45.20754761265714 48.951992278896995 44.38127366392754 48.75552212290303 47.47341549475451 42.744736737481354 48.80834184671169 52.91117372909399 43.20096290809045 44.29684286741656 46.08830635615703 45.22610338604157 45.43436131287998 45.21115812319535 47.29435466488534 45.58851970510556 46.19834997482369 49.0224393931735 47.099715276279916 49.996677210371665 44.635979924258194 47.544635467220004 47.3164190099832
CarliLukovicAlojz_SLV10002-L2_1 43.84378157170092 46.94520457194604 52.11644410431266 51.97782514073646 53.525778851287726 49.48346231526838 51.25995652181045 0.0 48.83231035986327 46.23286530270834 40.67722097040215 49.520669529745845 49.30744904040292 51.22817119216427 40.20655368241328 35.87728624023087 42.36587948364456 32.14228194855053 45.08302320657304 45.66327975770259 45.83317742245461 49.851311225628784 38.229960835605425 45.624376744215766 43.39870827488661 34.05684914362519 47.038355897635185 51.2412322147601 44.66705089246481 51.8566800475794 50.580198722148225 42.28947197554374 52.82676580025082 54.91243074486677 51.511144809528986 52.9077695582578 45.840835477221226 49.25083287705803 50.2292224991909 50.02649418956009 49.61806338227349 50.96676605560687 40.479625039317185 45.21349331656481 46.21308569186279 46.19053830493018 40.96256439194052 45.37919709331907 46.29361096809411 53.43601656556621 51.0306365386273 48.65865078882899 48.86142410735914 36.912759042555656 45.04981643215459 40.55626930426654 44.10299886150942 49.24662070152158 48.96049040761515 44.51873372884069 54.592439195267204 53.02630964762262 39.41337420338583 50.35881665296019 46.41062860879927 45.13459288656798 42.77756366261877 43.3802341109974 49.10882389528289 43.58916332615262 45.43939855152023 40.72091472888795 54.28229742046598 46.58020185987766 52.71881930364236 48.28935876786542 49.27640564141789 41.931824332081 46.23029917994 47.451547098123015 44.120606484537426 42.23652999640999 49.75662011198992 48.06873742460654 41.34110936738247 53.317979628491734 44.56542360917392 50.69410788871409 46.75587342472948 55.57034137154401 56.82254202554675 41.43363476505404 50.9969484247819 48.846402890425324 50.4814241669296 50.73175482413545 45.58401983807867 48.733917014618605 56.420814746454795 54.915711273091254
CiglerJanez_SLV10003-L2_1 39.0432456135798 43.256980845489984 50.61080228274632 51.69422736964962 53.61360393004044 53.15603870550609 46.31830330391833 48.83231035986327 0.0 48.535999818899526 47.89568515180711 46.477820675692286 39.03349005575761 41.9819124066521 50.971014726645535 49.48907623277881 52.74828342785507 51.33295477927656 51.78071390287164 50.349411219727806 52.07285980072359 47.25333960216176 53.70291616053066 52.06199120295943 51.48259840939254 53.155630051570526 42.41620240236033 39.761488143162644 46.6568287092266 50.62083834670939 43.70670165714093 44.53869529035899 36.01979391157734 33.50920125327865 39.08982222008092 39.84818927277009 41.76817022079396 37.75722153812476 52.400842135070626 52.40914522675809 49.65106092130215 50.11896537179692 40.51561634179189 50.21837070767242 47.098310822344324 46.94740626260897 53.820521917535764 46.3582284114956 50.65092173410508 47.846620189075765 43.1573154238965 50.55911566598398 53.93425837341888 46.83475291597133 53.29618776876397 43.48399538358525 46.343062721246035 45.53114430309511 44.3504619770606 46.2919391068491 45.64790413076406 43.52204806985003 45.62536528067305 47.00076232373933 48.75887169567218 49.1517364283226 48.83101719347805 53.86107609756981 45.072480397573855 48.32574408892975 50.252812086492554 54.30812570614555 47.29450390156602 45.97630334770699 49.19364715269105 47.5270400394689 46.376801649949556 47.43409812422197 43.46422663643874 48.089753774203785 46.219930102687236 47.36534812626215 51.52399625326941 44.721589769650485 48.930761278583226 45.01627863422729 41.048192126748084 37.306618164649194 41.134379257106986 38.98254645304639 41.24289110439653 52.325964676249676 45.55603204302541 47.683294542678624 43.648845605189386 47.430993341646285 55.277794793488574 47.864411021121995 45.37880788033511 46.02372770607192
DetelaFran_SLV00111-L2_1 47.638849033147224 45.59053990849886 49.59857256710316 49.1951939515474 49.02249612078298 48.681657569492494 49.83956244293151 46.23286530270834 48.535999818899526 0.0 32.22939508287229 33.18484206247268 41.892345075812415 37.878740642469786 49.406743093038685 44.45261933056628 46.06592562613843 44.89625079761464 47.50180172879766 50.30119334524949 50.07991625283562 49.03988266845254 46.1586669062662 49.49696667269198 47.370328845886505 45.87793759000719 41.444362111365415 44.625525843650514 41.54157573241502 46.997445114727725 46.163790170335744 47.18180490542939 49.89179827850941 48.673175135565224 50.84874853985546 51.050366289543085 46.282104998385655 49.43723123081234 46.20237517701477 41.40841717601423 44.37612353120476 43.20517327395073 48.58230786081065 43.94550344060962 47.332007369402916 46.65440763362865 45.911160483711754 47.05577960858455 49.43271588688798 49.711777457954774 49.1675028043728 44.58464422357479 49.54846425551989 49.548509405212585 46.61003204965969 46.94057325006259 45.10693434301289 44.88698772080286 47.05064485154473 45.914427311533906 48.26542024854536 46.26547118645035 48.899509119421516 47.06913385977 47.57636371491327 48.45382517200642 48.694023338982696 51.78693340558061 45.75753470261843 50.049918214488414 49.92905896830768 48.62857858921855 47.598272656405896 48.56915745607721 47.008751188248944 48.21900090131173 48.14882454603075 44.56995036757197 47.075836297950254 46.12359484879004 46.815293868742074 48.33915652416501 50.95011743093135 46.77891452146792 48.64808100824461 49.62490676126957 48.12865774227474 48.31832635498281 46.892500874834305 43.86147079517858 44.72931573988871 47.030863273920914 50.47238116192287 48.875703440231256 48.571152139785134 48.04314847500487 45.32109266626949 47.369714382847704 44.99532463458481 45.797263619776096
