 BartelAnton_SLV00094-L2_1 BedenekJakob_SLV00024-L2_1 CankarIvan_SLV00398-L2_1 CankarIvan_SLV00401-L2_1 CankarIvan_SLV00410-L2_1 CankarIvan_SLV10001-L2_1 CankarIzidor_SLV30001-L2_1 CarliLukovicAlojz_SLV10002-L2_1 CiglerJanez_SLV10003-L2_1 DetelaFran_SLV00111-L2_1 DetelaFran_SLV00112-L2_1 DetelaFran_SLV00278-L2_1 DetelaFran_SLV00363-L2_1 DetelaFran_SLV00364-L2_1 FajdigaIvan_SLV10004-L2_1 FaturLea_SLV00352-L2_1 FaturLea_SLV00502-L2_1 FaturLea_SLV00506-L2_1 FinzgarFranSaleski_SLV00273-L2_1 FinzgarFranSaleski_SLV00496-L2_1 FinzgarFranSaleski_SLV00497-L2_1 FinzgarFranSaleski_SLV00498-L2_1 FinzgarFranSaleski_SLV10005-L2_1 GovekarFran_SLV00048-L2_1 GovekarFran_SLV10030-L2_1 GrudenJosip_SLV00425-L2_1 JaklicFran_SLV00126-L2_1 JaklicFran_SLV00373-L2_1 JanezicKraljevIvan_SLV00135-L2_1 JelencVitomirFeodor_SLV10006-L2_1 JurcicJosip_SLV00216-L2_1 JurcicJosip_SLV00217-L2_1 JurcicJosip_SLV00279-L2_1 JurcicJosip_SLV10007-L2_1 JurcicJosip_SLV10008-L2_1 JurcicJosip_SLV10009-L2_1 JurcicJosip_SLV10010-L2_1 JurcicJosip_SLV10011-L2_1 KersnikJanko_SLV00058-L2_1 KersnikJanko_SLV00187-L2_1 KersnikJanko_SLV00194-L2_1 KersnikJanko_SLV10029-L2_1 KocevarFerdo_SLV20001-L2_1 KoderAnton_SLV00098-L2_1 KoderAnton_SLV00099-L2_1 KoderAnton_SLV00103-L2_1 KoderAnton_SLV10012-L2_1 KovacicIvo_SLV10013-L2_1 KraigherAlojz_SLV00355-L2_1 KvederZofka_SLV10014-L2_1 KvederZofka_SLV10015-L2_1 LahIvan_SLV10031-L2_1 LevstikVladimir_SLV00345-L2_1 LevstikVladimir_SLV00478-L2_1 LevstikVladimir_SLV00483-L2_1 MahnicAnton_SLV10016-L2_1 MalovrhMiroslav_SLV00455-L2_1 MalovrhMiroslav_SLV00456-L2_1 MalovrhMiroslav_SLV00458-L2_1 MalovrhMiroslav_SLV00459-L2_1 MalovrhMiroslav_SLV00460-L2_1 MalovrhMiroslav_SLV00461-L2_1 MalovrhMiroslav_SLV10017-L2_1 MaseljPodlimbarskiFran_SLV00132-L2_1 MaseljPodlimbarskiFran_SLV00310-L2_1 MaseljPodlimbarskiFran_SLV10018-L2_1 MencingerJanez_SLV00174-L2_1 MeskoKsaver_SLV00072-L2_1 MilcinskiFran_SLV10019-L2_1 MurnikRado_SLV00473-L2_1 MurnikRado_SLV00476-L2_1 MurnikRado_SLV00526-L2_1 NadlisekMarica_SLV10020-L2_1 PajkPavlina_SLV00231-L2_1 PajkPavlina_SLV00234-L2_1 PajkPavlina_SLV00240-L2_1 PajkPavlina_SLV10021-L2_1 PesjakLuiza_SLV00227-L2_1 PodmilsakJosip_SLV00122-L2_1 PregeljIvan_SLV00417-L2_1 PrelesnikMatija_SLV00452-L2_1 PrelesnikMatija_SLV00454-L2_1 PrepeluhAlbin_SLV10022-L2_1 SketJakob_SLV00172-L2_1 SketJakob_SLV20002-L2_1 SorliIvo_SLV00325-L2_1 StritarJosip_SLV10023-L2_1 StritarJosip_SLV10024-L2_1 StritarJosip_SLV10025-L2_1 StrukeljIvan_SLV00090-L2_1 StrukeljIvan_SLV00092-L2_1 TavcarIvan_SLV00136-L2_1 TavcarIvan_SLV00324-L2_1 TavcarIvan_SLV00406-L2_1 TavcarIvan_SLV10026-L2_1 TrostIvo_SLV00421-L2_1 VodebEmil_SLV10027-L2_1 VosnjakJosip_SLV10028-L2_1 ZbasnikFran_SLV00391-L2_1 ZbasnikFran_SLV10032-L2_1
BartelAnton_SLV00094-L2_1 -5.67076670154 -1.6472181393923004 -0.05793268616328769 -0.3060283101799754 -0.295770353032465 0.031016850532699612 -0.37442957782624453 -1.8090152967334976 -1.8499010598742298 -1.8151470732027557 -1.759174603555756 -1.3243465196158095 -1.255575897045479 -1.136846050891778 -1.5016376293826297 -0.895314535599681 -1.363467113341115 -0.8474122611378371 -0.4280476781024193 -0.49573608230268407 0.08719475220440816 0.015824701070913997 -0.5587629458042956 -0.7756221548613723 -1.4480955596362208 -1.9602028121832302 -1.8908860764102136 -0.2721681077886897 -2.3307100405620815 -1.2098997330432755 -1.6721507672224627 -1.2948912197471676 -0.7532618402191762 -0.794883282756511 -0.5847754035983446 -1.1984951883765649 -1.5586588413186113 -0.8881171059694273 -1.340870376680795 -1.3242158679457445 -1.5644977107806743 -1.1672305315647937 -1.5783937921051978 -1.9317966366183517 -0.7377547849302918 -1.5607568531612637 -2.3739532423714187 -1.2297084641942826 -0.23010578987379338 -0.12414405577335809 -0.30349933448279137 -2.484995469843349 -0.011108194025124208 -0.4089535783070772 -1.4316537447548698 -1.8073532099051912 -1.4897803959997091 -2.1710296242201528 -1.7626442086912648 -1.3570888383635709 -0.7779042810681585 -1.0659470795939119 -1.5079164567758692 -0.8163107672852058 -1.3571109636478993 -1.2438847655007879 -1.4801373562236815 -0.7498383763467941 -0.3968488823479039 -1.4848265277200903 -0.34347909978017815 -0.6643563984356591 -1.3015519447927137 -1.2049618110359417 -1.2030310727239513 -1.1025757201170157 -1.2930264986123499 -0.833307844416528 -2.621137487780022 -0.3938291415173581 -1.484183818555394 -1.5330779878607168 -0.8604477584883561 -2.1415044679402797 -2.227880151168989 -0.948860977493176 -1.4385177694550124 -1.382633036075582 -1.2785027636181512 -1.4646438914141584 -1.441231687524879 -1.3827212923120409 -0.7748511182591745 -0.8877474510149963 -0.9394066515568553 -1.515014603947563 -0.7643016915924975 -1.488340860878522 -0.9962581983111306 -0.9118281636195239
BedenekJakob_SLV00024-L2_1 -1.6472181393923004 -5.67076670154 0.31267674762785064 0.15009463432876088 0.22287623702817702 0.644538143080161 -0.4273738903158366 -0.5717196489309868 -2.39136693840391 -1.7677526905512184 -1.5820872511069364 -1.57351819935518 -1.684791601757564 -1.8856855336086429 -1.2207049553844422 -0.3544532814434407 0.21636375576363062 -0.5353307639659756 -0.8103237804828449 -0.6481804645840483 0.13324712710126863 -1.0749192348130798 -0.31489804825277035 -1.0650136643250143 -1.5179804312779086 -0.5354247882424232 -1.5465280016584002 -1.1237315533749372 -2.36380322201593 0.059722757293296735 -1.9635009881462222 -1.7642104479395553 -1.6690096941285133 -1.936923438883287 -1.289143323031627 -1.742507263230411 -1.9435752466022382 -1.1712496107559718 -1.1959110344348534 -1.547443720090929 -0.7773368710344999 -1.3538193634474902 -1.4726221824094439 -1.4702769767355837 -1.5432498225873172 -1.2348262137317179 -1.4829209833316368 -1.7011989050546636 -0.11718495683073918 -0.40204156211830755 -0.9182726815143648 -1.2644386495867757 0.17226587160426446 -0.3509333863272388 -0.8074863971320771 -1.8898111557638813 -0.959255119847388 -1.510795051992639 -2.30500603356475 -1.5901886240854277 -0.9276512773803116 -1.4053611377482356 -1.0345815209285045 -1.9149517015367619 -1.342764083819988 -1.4987731420513082 -2.1339312075281267 0.32208539264861774 -1.8890779908071067 -1.5813708750983997 -0.6133697414284514 -0.8154795743263392 -1.69892219240112 -0.49777430346668067 -1.1493793517688682 -1.5419247174489588 -1.1180694571499357 -0.9613135970226498 -1.8822150781608464 -0.9347750757449379 -1.5630075451919834 -0.9311457404074968 0.71755576680064 -1.1660878149739737 -1.2890255261293548 -1.3512576312585867 -0.8480176784128484 -2.0986712359503934 -0.9586270356012822 -2.9051995261651506 -2.692713035184526 -2.1870529917105066 -1.9150315268375975 -2.1132550280730413 -2.1363905888728087 -1.8708681463848567 -0.16945831888256188 -0.6878784012969369 -1.156450768319847 -1.3173697173179806
CankarIvan_SLV00398-L2_1 -0.05793268616328769 0.31267674762785064 -5.67076670154 -4.299767625874375 -4.027659190699755 -4.332732612452302 -2.4336141192959553 -0.4663915307951872 -0.5159211624216539 -0.11488585286971562 0.059126413854634116 -0.6060120659273557 -1.2370027219067656 -1.3007120877221972 -0.47248489420231304 -1.3853903244260326 -1.813774058188761 -1.1291089434681132 -1.3339949996046856 -2.010630625072239 -2.6570984446320556 -2.949107343323097 -1.9376331462875653 -0.6278913997445333 -1.4518181399436874 -0.5615643786568685 -0.8434388815522028 -1.6527564470557472 0.6600714410422973 -1.3610423911612728 -0.7042282435952523 -0.32328224920511917 -0.8134786528467358 -1.245596874985246 -0.6605551852236341 -0.48679862892676967 0.20096832627151778 -0.9239649933393355 -0.7868793952944068 -0.1388578416195148 -0.46592701178168533 -1.0070141595110653 -0.9579123854401302 0.12479278187238273 -0.9737752596015355 0.2900916219152475 0.7213093318881871 -1.30450887887016 -2.424460861611403 -1.989284737374148 -1.776149671028522 -0.6058046724672334 -2.763763848149656 -3.1811812909968338 -1.2140151284540075 -0.08578563816818548 -0.461337924819557 -0.30280163477066924 0.10927373180402639 0.07304806875677512 -0.8152614549049082 -0.15794728855678405 -0.6374694591792852 -1.6964360567573296 -1.6914585640247453 -1.5075781849755223 -0.5370226287646928 -1.7465749790548002 -1.7611464663531664 -1.2185848372384542 -2.028910274997231 -1.939806631609747 -0.5535959013280998 -0.5785660643083166 -0.6837868694720253 0.033286181877302694 -1.2043525705031375 -0.6713930389673676 0.3567233070052584 -2.263961247593838 -0.8225750506572684 -1.1645437283145852 -2.647829419360642 0.42130902161707234 -0.3489201765575985 -2.8100434197998143 -1.027726503478525 -0.6289972848617468 -0.8964237984674952 -1.1961356000714896 -0.5524637179062742 -0.9615048189507097 -1.3678614208662685 -0.837380977404901 -0.6260494671139485 -0.3375892571648282 -1.7834285931744773 -1.2383711273607934 -1.1203848912673333 -1.141998394597961
CankarIvan_SLV00401-L2_1 -0.3060283101799754 0.15009463432876088 -4.299767625874375 -5.67076670154 -4.604485278857394 -4.9074670881063485 -2.273334797124765 -1.1207445734203128 -0.30207364152215693 -0.05005988016942851 -0.048953534855650196 -0.186318401630284 -1.2943530605576006 -1.0226947030749554 0.2343283465737685 -1.8466799638384654 -3.1464330725322918 -1.684745591900313 -1.6544385187027586 -2.4260385141383067 -3.647277629286877 -2.788801949553123 -2.8101191733971 -0.8135482289309747 -1.8362022873847983 -0.7050895163374136 -0.36958792473222984 -0.3047608172451467 0.7354048589049795 -1.4237865384601904 -0.9679582118835225 -0.18395035146264452 -0.38398243382852526 -0.01286721874266834 -0.1763641422117885 0.0538421270260792 0.17650552879304834 -0.9262054509782034 -0.7493378517037028 -0.15829103787512322 -1.0165548902487271 -0.8576587131715351 -0.7912745302310495 -0.14808523683222963 -1.209057581113205 0.6409132763555425 0.7554815067188012 -0.9657716025199715 -1.7339318418366096 -2.2257628641451883 -2.212516782585553 -0.8340226107125335 -2.6294847299886817 -4.287765371554481 -1.3682599406128522 -0.17170185934011112 -0.7626919729544608 -0.27862821588968445 -0.03216857122964413 0.15022101686503148 -0.4109818790543856 0.7896645437959647 -0.7024559606539643 -1.1901229159982716 -2.1498004708641054 -1.3901682374874675 -0.03241009347727831 -1.7865566739867296 -2.0789873581950786 -1.2699040369030206 -2.19369245646771 -2.6804078131879256 -0.2427748867243962 -0.18898421732599122 -0.06930750739319265 0.2618697930160833 -0.8721540723431839 -1.0986588880183807 -0.12931288678604663 -2.237725036206697 0.1719654681759654 -0.42258173641137114 -2.891983773093642 0.5531028548001388 -0.45492942881528103 -2.054106350866866 -0.9507112747195475 -0.05798346250532269 -0.4742842397183798 -0.7471224068820106 0.045220689380127015 -0.7963143529644924 -1.7430206528285894 -0.5578144453396525 -1.282074909531676 -0.13232298460427058 -2.1312128848020584 -1.133655464345065 -0.7330333015118997 -0.7038605705860963
CankarIvan_SLV00410-L2_1 -0.295770353032465 0.22287623702817702 -4.027659190699755 -4.604485278857394 -5.67076670154 -4.371797852430358 -2.7714350519326874 -0.5755890212152331 0.4181105945941677 -0.3223985216163901 0.1211528537137266 -0.27014114527905286 -0.45895677024853165 -0.23710030835974005 -1.0054529288966534 -1.22228812449137 -1.868822479430041 -1.426230591745123 -1.9386369907564038 -1.9818049186160995 -2.804972608419691 -1.9620074877350433 -1.8194452988190433 -0.7194336068526345 -1.3771464541963574 -0.6810271264434803 0.1476565778220832 -0.3283270983938807 -0.20557147676444462 -2.532943498453152 0.1499991716973869 -0.3116383021917198 -0.406741416223772 -0.10436396493661153 -0.21286091018003997 -0.44585227169480013 -0.23530907687403557 -0.41027157387889296 -0.7402133258731054 -0.2219310170349485 -0.9225830009204244 -0.4711778387203238 -0.42117449782873745 -0.41461442252936426 -1.0410587056036615 -0.9067354192726669 -0.4562682528677503 0.10312446694851252 -2.5450560213116944 -2.792358051036626 -2.3702972479401776 -1.395613923078551 -2.89672651764174 -2.6017107108051065 -1.2451836279219295 0.2160938615955616 -0.6144844975539964 -0.34906369297929596 -0.44910291714431433 -0.1526247679356926 -1.2652347308342882 -0.4827119888129986 -0.25419749400380376 -1.2792104185697175 -1.0801960367858539 -1.4997626154308616 -1.1416385440068582 -2.3495257183091023 -0.979434842367129 -1.104508781562884 -1.6850721204015233 -1.3226904157124197 -0.8832264115311999 -0.8050477935950485 -1.5280177583841321 -1.0963920640575997 -1.3764341524888772 -1.625523419362911 -0.4158703965369555 -1.4529897733932036 -0.5593085712500278 -0.38161026605769327 -2.7346025672899015 -0.61861352561198 -0.6504647130326706 -1.7622893561100228 -2.1953533360367334 -0.47349887421057707 -1.2750142239349394 -0.4717264806290934 -0.6315826840580481 -0.7914556167653052 -1.2648428355292616 -0.6163078619631948 -0.5108409057052565 -1.1503785679265457 -1.141198857274829 -1.307040629611465 -0.8994769576529269 -1.137532173629901
CankarIvan_SLV10001-L2_1 0.031016850532699612 0.644538143080161 -4.332732612452302 -4.9074670881063485 -4.371797852430358 -5.67076670154 -1.728772695075081 -1.5874672576475568 0.16215056859562038 -0.2432935887422702 -0.0874712125464853 0.07746972524796716 -0.6821403711138309 -0.2616172177735679 -0.4587895771275431 -1.9892615108970815 -2.9543429266929997 -2.0947540907817817 -1.7082484197965506 -2.459674602727175 -3.579754695738738 -2.5219653761198426 -3.2061660242823318 -1.3471256059685772 -1.592042904031534 -1.2517577425866289 -0.4927851796233559 -0.4789141251408917 0.8660786188703493 -2.1652733727563187 -0.6395074872376937 -0.26443370316654535 0.14709651654551945 0.34041679515549594 0.17730267958593343 0.33946911781150757 0.19295003924385112 -1.2823635267538416 -0.45420264711853403 -0.13734388369339376 -0.7501270523196296 -0.9035340404378664 -0.6605339699073153 -0.08098681490413526 -1.2491705761780154 0.5988007476048045 0.5901775162622639 -0.590904713665783 -2.182877119016917 -2.134303712336853 -1.6498378378672447 -0.540249715710403 -3.2072289326780545 -4.407794713888647 -1.6700507726480949 0.14569699011439488 -0.636580361150998 -0.24087211044742426 0.47137489615993167 0.16925521823646972 -0.5805085387388099 0.5685395894988676 -1.036197964883248 -1.3971222861928363 -1.91758303128642 -1.169291380317313 -0.030403901293321024 -2.6029331617467966 -1.5970314627107474 -1.6128084420403184 -2.521037761179694 -2.9345994394132373 0.07449677633699522 -0.7622281330306758 -0.11443296740492179 0.2530477897060803 -1.1279260275292866 -1.4403348348251066 -0.19313561835694212 -2.402111162228775 -0.2245317936502291 -0.7503086482134418 -3.142168967498034 0.26508575774327175 -1.2473324106812287 -1.1877624076142446 -1.1430962882468918 0.4003084302218555 -0.5814484085723327 0.4424692880840022 0.9475620993800796 -1.1698869111362364 -1.3529328836965906 -0.5709880009787786 -1.1547828456208522 0.07231953952787999 -2.363985193547187 -0.9478043242446146 -0.4897319623594351 -0.6555554961915689
CankarIzidor_SLV30001-L2_1 -0.37442957782624453 -0.4273738903158366 -2.4336141192959553 -2.273334797124765 -2.7714350519326874 -1.728772695075081 -5.67076670154 0.2439276867473263 -0.7469639023393849 -0.47106922124637596 0.2104923308182003 -1.622399045372104 -0.6372611634724892 -1.0706526461681756 -1.2639327333595272 -0.7897713363025818 -0.9913383830407599 -0.758290118262133 -1.5388897349273978 -1.8663755546808296 -1.772482230807395 -1.7962655235128728 -0.8669538224618953 -0.977455332004521 -1.3686161571203468 -0.12098131251481542 0.03255200826307112 -0.8885117477187384 0.13058487669337032 -2.3734794656999383 -0.6673068853952535 -0.3663194204603259 -1.751315576962753 -2.112906857584861 -1.8142528257479615 -1.4480378678417873 -0.16300064179324178 -0.9388500393872059 -1.197914475846446 -0.9902537130888881 -0.9673020499884492 -1.3066153543880086 0.04276732899704833 -0.5568968102634422 -0.9309084508759015 -1.1989388740106468 -0.4891623086096181 -1.0035148935783142 -1.8667371945448412 -2.723763880525116 -2.2629666071870767 -1.9975923320221758 -2.830971807453249 -1.542545162361473 -1.169096708438829 -0.9907105472946832 -0.6723372488069711 -0.9671472810676982 -1.2126154102077031 -0.38849689426681916 -1.633848995770528 -1.3044975974728212 -0.7930259814671841 -1.0611947933914478 -0.6129633468616575 -1.1403586286273613 -1.221432987591177 -0.9756180230412255 -0.8911945687445527 -1.2585684530021362 -1.8829329251540399 -1.0453012849591743 -1.8752995869434395 -1.1323540393477092 -1.1134215321897805 -0.9059832209881992 -1.497865371464253 -1.5427652344408003 -0.6890358000105699 -1.2463547585515606 -0.6954845720663773 -1.3585432994621145 -2.2354956115758227 -0.9764941121837847 -0.06047379595164996 -1.9841664330281936 -1.6138901778206887 -1.1225855667662614 -1.5716772319594028 -1.0310456490015214 -1.285230885139497 -0.8371582614725108 -1.374884100128838 -1.2939015613758835 -0.41779367884254365 -1.5432311795629958 -0.533253519689615 -1.862827769283065 -1.3498075606397948 -1.1320020982668368
CarliLukovicAlojz_SLV10002-L2_1 -1.8090152967334976 -0.5717196489309868 -0.4663915307951872 -1.1207445734203128 -0.5755890212152331 -1.5874672576475568 0.2439276867473263 -5.67076670154 -0.7871458567712197 -2.213383253797905 -3.064671012704273 -0.28904078690703705 -0.46680240364331604 -0.01857046422882661 -1.4490984395244293 -1.849812001429253 -2.1025329179473378 -2.5483090262273547 -1.155580017826695 -1.4040752892747372 -1.3668325688586662 -0.2527614428834981 -2.961791368538609 -1.3430677014116943 -1.7344915296018408 -3.80334462230636 -1.0992906586592892 -0.06743909024796617 -2.433045316822426 -1.1300216370122393 -0.6464738328193803 -2.4398040092802358 0.5364326861436588 0.5755995924968952 0.0835465529415093 0.2687173935687321 -1.6338300051045185 -0.782826626368906 -0.7863635228403665 -0.7723125843842561 -0.7351211580813213 -0.47981224886905804 -1.9757961786231755 -1.4964892968455519 -0.5123245522936765 -0.5514266141198656 -2.3792130125924515 -0.7568780829262999 -0.5793747892084138 -0.38635355958727047 -0.637082306798234 -2.2366303646589274 -0.6637839573195641 -1.4550995310858645 -2.011271831252923 -1.8297215830086533 -2.647084683925261 -1.7128897255160098 -1.1992005774837728 -2.5498683049641526 -0.1764599744251923 -0.6464069982301359 -1.586851330270907 -0.25224833887955034 -1.2196958032528828 -1.0175082201813281 -1.100329640336681 -1.9061737699135068 -0.5302520215363558 -1.324996956929698 -0.7926838614665519 -1.9426783274794739 -0.03481361649915209 -0.6477999724599643 -0.17793043060124586 -0.3014481403326336 -0.6433978100778835 -1.5013077063984244 -2.297778817207183 -1.0882506237954452 -1.7542325815623738 -1.8778488453024689 -1.2756074812793596 -1.052860404977605 -2.272876425255992 -0.28125434509246683 -1.3502282529687466 0.05631435458027813 -0.6730663217027799 0.7702164990897943 0.9361398342705254 -1.646445309301814 -0.6816184354479088 -0.8775387457141112 -1.5314083824101057 -0.09180489411349652 -1.9464883064108913 -1.105418352181183 -0.1280814520069023 -0.3208081946128224
CiglerJanez_SLV10003-L2_1 -1.8499010598742298 -2.39136693840391 -0.5159211624216539 -0.30207364152215693 0.4181105945941677 0.16215056859562038 -0.7469639023393849 -0.7871458567712197 -5.67076670154 -1.528857011163968 -1.5181703134398024 -2.204356320280068 -2.7445366623780263 -2.9037882349660187 -0.41272271665454335 -1.3358826083397064 -0.798229678098993 -0.7268195054001726 -0.03784822038954837 -0.026051650365549364 0.09512400564608668 -0.6910993573024882 0.4209664349080152 -0.7206588127143758 -0.7322557242243476 -0.49530013784754334 -2.221370461635186 -2.6533919238202612 -2.0221960805184866 -0.04274505208996434 -1.250181397199846 -1.4210973437344427 -2.328757573387669 -2.8079036154826134 -1.6070662792722292 -1.4917645784165983 -1.4791746629571974 -2.1894644834653487 0.2041761470048853 0.04800773900677077 -0.5732097718003445 -0.6276447994825547 -1.5170578995202595 -0.4725038270057291 -0.9048189897282028 -0.9038403154337559 -0.044561720899801836 -1.7712625174032437 0.18544732073942866 -0.9152130951681348 -2.0179347192874477 -0.7555165749463145 0.198275166045553 -1.2359130562244371 -0.39688486416495017 -1.8406535171903042 -1.3507646364415353 -1.3561953633384862 -1.5062967313467495 -1.3409571753933853 -1.0176275691176981 -1.4634602059751987 -0.38845041979280726 -1.4358467880447678 -1.457702330179543 -1.0724083571978267 -1.0472919413953001 0.6002108335549667 -1.801631070070725 -1.0304394672131156 -0.7948138555746698 -0.08652508748285252 -1.2912488379960827 -0.8125949521820819 -0.3205921787628282 -0.8229535380503104 -1.1259426878756493 -0.7957254597452073 -2.1527759969992903 -0.7695881182034329 -1.767641106154411 -1.4429784258274407 0.2286534800475192 -1.3204813749985655 -1.251657329888838 -1.7939543656446215 -2.3049266984039583 -2.6670419755346693 -2.4240148019269627 -2.6863864450670727 -2.1263580544243506 -0.29342531697128094 -1.0014723256334686 -0.6327595351796521 -2.058918010238172 -1.4309563224157977 0.060292316944640455 -1.1530308816901227 -1.3674053402239237 -1.5207911184243095
DetelaFran_SLV00111-L2_1 -1.8151470732027557 -1.7677526905512184 -0.11488585286971562 -0.05005988016942851 -0.3223985216163901 -0.2432935887422702 -0.47106922124637596 -2.213383253797905 -1.528857011163968 -5.67076670154 -3.9148897158652574 -3.2162128702076105 -1.9744222512741192 -2.478888595163596 -1.0443683313824186 -1.9911404495159055 -0.7732357416118407 -2.0103263983198736 -1.0207616067644623 -0.3638812685599101 -0.1872422663912939 -0.7115572091885821 -1.3683394325262759 -0.7762108286102989 -1.25831551854963 -1.590295743162002 -1.9306378730455473 -1.2161517213961206 -2.82088546360863 -0.9103889897666352 -0.9875517059141691 -1.4662358085352156 -0.7345134168405768 -1.0026227637257636 -0.4110101636798474 -0.5429273241583991 -1.8617444391574995 -0.6627224880665282 -0.6986354959623872 -1.721292925985208 -1.07043367090984 -1.412540472498394 -1.6075237037651604 -1.6776068669729056 -1.2682019876979995 -1.3645290908359429 -1.5932007240240937 -0.9041636135505434 -0.6484831026256308 -0.3194019380246387 -0.8589398006032427 -1.8638725816170822 -0.43575828888270396 -0.7438251348822051 -1.2804197576497554 -1.148240366057372 -1.8979225427644748 -1.9439432863387882 -1.6096311523706976 -1.7444803378985312 -1.0227151338468117 -1.423204302535793 -1.117794764431389 -1.125518826523968 -0.9435163877596 -1.0901255740118254 -0.8657671393929647 -0.3564248678477756 -1.1802414804859538 -1.166417800817344 -1.0106032775789033 -1.2250456047515652 -0.9638316293612581 -0.687799871966508 -1.0451756960151446 -1.1597960532566376 -0.42323957606182055 -1.4534017403076933 -1.3093724998957637 -1.312343302661876 -1.2943380449805715 -1.2340104953101476 -0.4288464567384259 -1.271601911796143 -1.2746566312555865 -0.6191719831102216 -0.9027671788367003 -1.2698736376921795 -1.2378311564999545 -1.4551368406028617 -1.2679128460109492 -0.7016357484307802 -0.12482583289940534 -0.8210847328560542 -0.4589817405583022 -0.7843306713966185 -1.4423681158998103 -1.198014609925214 -1.2732216437993775 -1.1758874637411614
