
deu>>
model	prec	rec	f1	acc
add	0.5451	0.9117	0.5007	0.9257
add_b	0.5437	0.9102	0.499	0.9248
bert	0.3311	0.7829	0.2582	0.7129
lemma	0.4913	0.9268	0.4815	0.9212
masked_2	0.3411	0.8414	0.2979	0.7346
masked_3	0.3185	0.8166	0.256	0.75
max	0.5128	0.9053	0.4579	0.9221
max_b	0.5128	0.9053	0.4579	0.9221
min	0.4199	0.8598	0.3623	0.8424
min_b	0.5091	0.8827	0.4474	0.9067
mult	0.5396	0.9117	0.4975	0.9266
mult_b	0.5091	0.8827	0.4474	0.9067
pos	0.4058	0.8549	0.3468	0.837
vnorm	0.5878	0.9117	0.539	0.9357
vnorm_b	0.5702	0.9156	0.5247	0.9375
weights_deu	0.597	0.9116	0.5489	0.9466
weights_deu_b	0.5966	0.9116	0.5487	0.9475
weights_eng	0.5762	0.9259	0.5342	0.9411
weights_eng_b	0.5612	0.9295	0.521	0.942
weights_universal	0.5762	0.9301	0.5365	0.9493
weights_universal_b	0.5757	0.9301	0.5365	0.9493
word	0.4834	0.9129	0.4283	0.9203

eng>>
model	prec	rec	f1	acc
add	0.218	0.9367	0.1929	0.7982
add_b	0.2139	0.934	0.1913	0.786
bert	0.1357	0.8909	0.1134	0.5561
lemma	0.2455	0.949	0.217	0.8351
masked_2	0.1592	0.9168	0.1329	0.6439
masked_3	0.1423	0.9114	0.1132	0.5772
max	0.2282	0.9447	0.1999	0.814
max_b	0.2282	0.9447	0.1999	0.814
min	0.2057	0.9243	0.1752	0.7474
min_b	0.2057	0.9243	0.1752	0.7474
mult	0.19	0.9076	0.1448	0.6386
mult_b	0.2057	0.9243	0.1752	0.7474
pos	0.158	0.9267	0.133	0.6632
vnorm	0.212	0.9377	0.1889	0.7965
vnorm_b	0.2133	0.9394	0.1894	0.8035
weights_deu	0.216	0.9376	0.1898	0.7947
weights_deu_b	0.2228	0.9367	0.1956	0.7947
weights_eng	0.27	0.9434	0.2423	0.8404
weights_eng_b	0.263	0.9455	0.2362	0.8421
weights_universal	0.2668	0.9426	0.2396	0.8404
weights_universal_b	0.2569	0.942	0.23	0.8333
word	0.2525	0.9391	0.2215	0.8175

fra>>
model	prec	rec	f1	acc
add	0.4249	0.8776	0.3935	0.8211
add_b	0.4247	0.8785	0.3942	0.8238
bert	0.1816	0.8072	0.139	0.4444
lemma	0.3501	0.8826	0.2842	0.7507
masked_2	0.3056	0.8723	0.2539	0.7046
masked_3	0.2317	0.8237	0.1862	0.561
max	0.3664	0.8947	0.3017	0.813
max_b	0.3664	0.8947	0.3017	0.813
min	0.275	0.8238	0.24	0.6314
min_b	0.3503	0.8588	0.296	0.7398
mult	0.4211	0.8673	0.3858	0.8022
mult_b	0.3503	0.8588	0.296	0.7398
pos	0.2812	0.8184	0.221	0.6125
vnorm	0.4129	0.8823	0.3827	0.8266
vnorm_b	0.4213	0.8887	0.389	0.832
weights_fra	0.4514	0.8867	0.3889	0.832
weights_fra_b	0.4324	0.8875	0.3746	0.8293
weights_por	0.3915	0.8888	0.3529	0.813
weights_por_b	0.372	0.8903	0.3311	0.8103
weights_universal	0.4573	0.8908	0.3943	0.8347
weights_universal_b	0.444	0.8895	0.3794	0.832
word	0.3335	0.8807	0.2927	0.7561

hun>>
model	prec	rec	f1	acc
add	0.7857	0.993	0.7821	0.9906
add_b	0.7857	0.993	0.7821	0.9906
bert	0.3247	0.879	0.2987	0.6991
lemma	0.7246	0.9865	0.7219	0.9781
masked_2	0.4528	0.9553	0.4289	0.9185
masked_3	0.4293	0.9244	0.3882	0.8464
max	0.7857	0.9925	0.7819	0.9875
max_b	0.7857	0.9925	0.7819	0.9875
min	0.3207	0.9334	0.2883	0.8213
min_b	0.7226	0.9712	0.7124	0.9624
mult	0.6875	0.9847	0.6793	0.9781
mult_b	0.7226	0.9712	0.7124	0.9624
pos	0.3276	0.9227	0.2905	0.8088
vnorm	0.8462	0.9963	0.8443	0.9937
vnorm_b	0.8462	0.9963	0.8443	0.9937
weights_hun	0.9167	0.998	0.9157	0.9969
weights_hun_b	0.9167	0.998	0.9157	0.9969
weights_universal	0.9167	0.998	0.9157	0.9969
weights_universal_b	0.8462	0.9963	0.8443	0.9937
word	0.6471	0.9907	0.6423	0.9812

por>>
model	prec	rec	f1	acc
add	0.4137	0.9288	0.3784	0.8792
add_b	0.4137	0.9248	0.3754	0.8755
bert	0.1827	0.8981	0.1152	0.5925
lemma	0.3243	0.9285	0.2826	0.8
masked_2	0.2385	0.9432	0.2083	0.8113
masked_3	0.2605	0.924	0.2129	0.7509
max	0.325	0.9361	0.291	0.8264
max_b	0.325	0.9361	0.291	0.8264
min	0.2206	0.9305	0.1724	0.7547
min_b	0.3448	0.92	0.3021	0.834
mult	0.3955	0.9218	0.353	0.8679
mult_b	0.3448	0.92	0.3021	0.834
pos	0.2191	0.9289	0.1709	0.7509
vnorm	0.415	0.9329	0.3829	0.8755
vnorm_b	0.416	0.9306	0.3821	0.8642
weights_fra	0.3393	0.9358	0.3016	0.8528
weights_fra_b	0.3353	0.931	0.2959	0.8377
weights_por	0.4231	0.936	0.387	0.883
weights_por_b	0.4229	0.9337	0.3856	0.8755
weights_universal	0.3484	0.9304	0.3096	0.8377
weights_universal_b	0.3643	0.9319	0.327	0.8491
word	0.2551	0.9137	0.2112	0.7245

slv>>
model	prec	rec	f1	acc
add	0.5799	0.8593	0.5341	0.7688
add_b	0.579	0.8593	0.534	0.7688
bert	0.311	0.7278	0.2819	0.5042
lemma	0.5406	0.8766	0.5034	0.7729
masked_2	0.5175	0.8338	0.4866	0.7208
masked_3	0.479	0.808	0.4227	0.6792
max	0.5269	0.8791	0.4906	0.7833
max_b	0.5269	0.8791	0.4906	0.7833
min	0.4751	0.8305	0.4363	0.6979
min_b	0.5785	0.8663	0.5423	0.7792
mult	0.5795	0.852	0.5296	0.7583
mult_b	0.5785	0.8663	0.5423	0.7792
pos	0.4601	0.8341	0.4226	0.6958
vnorm	0.5773	0.8563	0.5287	0.7688
vnorm_b	0.5278	0.8751	0.4878	0.7729
weights_slv	0.5637	0.8783	0.5256	0.7833
weights_slv_b	0.5608	0.875	0.5224	0.7792
weights_srp	0.6156	0.8578	0.5701	0.7729
weights_srp_b	0.6132	0.8548	0.5673	0.7688
weights_universal	0.5789	0.8755	0.5399	0.7833
weights_universal_b	0.5612	0.8769	0.5219	0.7792
word	0.4684	0.8523	0.4221	0.7188

srp>>
model	prec	rec	f1	acc
add	0.6007	0.9015	0.5381	0.8
add_b	0.5981	0.9015	0.5366	0.8
bert	0.2926	0.7767	0.2441	0.4918
lemma	0.4348	0.8822	0.3824	0.7082
masked_2	0.4208	0.8599	0.3676	0.7016
masked_3	0.3643	0.8262	0.2939	0.623
max	0.4974	0.8779	0.4243	0.741
max_b	0.4974	0.8779	0.4243	0.741
min	0.4448	0.8711	0.3888	0.7344
min_b	0.5222	0.9173	0.4699	0.8066
mult	0.5705	0.8968	0.5145	0.7934
mult_b	0.5222	0.9173	0.4699	0.8066
pos	0.433	0.8681	0.3765	0.7279
vnorm	0.6012	0.8819	0.5221	0.7836
vnorm_b	0.5829	0.8828	0.5034	0.777
weights_slv	0.5936	0.9032	0.5373	0.7836
weights_slv_b	0.5998	0.9138	0.5478	0.7934
weights_srp	0.5886	0.9086	0.5273	0.8033
weights_srp_b	0.5863	0.8996	0.5196	0.7967
weights_universal	0.5894	0.9153	0.5321	0.7967
weights_universal_b	0.5884	0.9141	0.5294	0.7934
word	0.4726	0.8828	0.42	0.7279
